Info,Course Title,Course Description,Credits,Course Number
"Course Chair:     Eric Gould  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     All  
Prerequisites:     AR-201 and HR-212  
Department Code:     JCMP  
",Arranging for Contemporary Jazz Ensemble,The arranging of original tunes combining both traditional jazz techniques and contemporary compositional concepts. Analysis of taped examples.,2 credit(s),AR-328
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     AR-201  
Department Code:     JCMP  
",Jazz Arranging for Small Ensemble,"Jazz arranging techniques for the rhythm section and various small-group instrumental combinations of up to three horns (melodic voices). Emphasis on developing complete rhythm section sound (with or without winds) and advanced voicing techniques (including interval-based voicings, linear approach techniques, and constant structure).",2 credit(s),AR-340
"Course Chair:     Casey Driessen (Valencia) and Marco Pignataro (Boston)  
Semesters Offered:     Spring, Summer  
Required of:     None; elective course in all graduate programs  
Electable by:     All graduate students  
Prerequisites:     Written approval of program director  
Department Code:     CPRF  
",Contemporary Arranging,"In this course, students explore the musical concepts of melody, rhythm, harmony and form as applied to the principles and techniques of writing and arranging for the rhythm section (drums, bass, guitar, keyboards, basic percussion) and a lead-line in a solo instrument, two horns (trumpet, alto or tenor sax) or voice. Students learn about the conceptualization process of combining individual components to create a musically satisfying arrangement. Students also learn various contemporary musical styles and the musical concepts that comprise them, including writing from the bottom up (groove-driven) and top down (working with a melody in a lead instrument or voice). Students will complete writing assignments that incorporate combinations of acoustic, electronic, and/or MIDI instruments.",3 credit(s),AR-511
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     All except MUED majors  
Electable by:     All  
Prerequisites:     CM-211 or CM-251  
Department Code:     COMP  
",Tonal Harmony and Composition 2,"Continuation of CM-211. Advanced tonal harmony and intermediate compositional procedures. Emphasis on harmonies with sevenths, other upper extensions, chromatic alterations as well as modulation.",2 credit(s),CM-212
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     COMP, FILM, and CWPR majors  
Prerequisites:     CM-212, and CP-210 or CP-212  
Department Code:     COMP  
",The Russian Art of Modulation,"During this course the students will explore and master the technique of modulation to the keys both closely related and distant. Using the concepts of three degrees of kinship between keys and the major-minor (minor-major) systems, the students will acquire the skill of gradual modulation as well as sudden modulation, as it was taught in Russia. This practical/theoretical approach will both contrast and complement current methods of handling this more advanced area of harmony, and will thus bring about for the student additional practical applications of these concepts.",2 credit(s),CM-227
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     MUED majors  
Electable by:     MUED majors  
Prerequisites:     PW-111 and AR-111  
Department Code:     COMP  
",Traditional Materials and Structure of Music 1,"This course introduces students to diatonic harmonic analysis in various musical textures, melody writing, and harmonization of melodies in various musical textures.",2 credit(s),CM-251
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     COMP majors  
Electable by:     All  
Prerequisites:     CM-221 and either COND-211, COND-216, or COND-221  
Department Code:     COMP  
",Contemporary Techniques in Composition 1,"Specific techniques of traditional 20th-century composition. Technical devices such as quartal harmony, serial writing, polytonality, and contrapuntal techniques. Assignments are directly related to each of these aspects of composition and are performed in class.",2 credit(s),CM-311
"Course Chair:     Richard Carrick  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     ET-111 and PW-111  
Department Code:     COMP  
",New Music Composition and Performance Workshop,"The workshop provides opportunities for student composers to hear performances of their own work, and for student performers to gain public performing experience of original student works and works written within the last 60 years. Important works of the 20th century are explored. It is advisable, but not required, for students to have taken MHIS-261 prior to enrolling in this course. This course can be repeated for credit.",2 credit(s),CM-318
"Course Chair:     Richard Carrick  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     MTEC-111  
Department Code:     COMP  
",Digital Score Preparation for Composers,"The course will focus on the acquisition of skills with technological tools for the creation of professional composition portfolios. Production of publication-ready scores and parts using Finale or Sibelius notation software will be emphasized, including nonstandard notation. Basic audio editing techniques will also be presented to create demonstration recordings.",2 credit(s),CM-342
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     All except MUED majors  
Electable by:     All  
Prerequisites:     PW-111  
Department Code:     COMP  
",Tonal Harmony and Composition 1,"Functional tonal harmony analyzed and composed in various musical textures. Emphasis on voice leading, melodic writing, and figured bass.",2 credit(s),CM-211
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     COMP and FILM majors  
Electable by:     All  
Prerequisites:     CM-212 or CM-252, and CP-210 or CP-212  
Department Code:     COMP  
",Techniques of Tonal Writing,"Specific techniques of traditional tonal composition. Conclusive and nonconclusive phrases; antecedent-consequent phrase relationships; open-ended phrase relationships; sequencing; modulation; large-scale tonal relationships; thematic variation and development. Application of these techniques in writing, using models from the classical period.",2 credit(s),CM-221
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     COMP and FILM majors  
Electable by:     All  
Prerequisites:     CM-212 or CM-252  
Department Code:     COMP  
",Instrumentation and Score Preparation,"The technical aspects involved in creating finished, professional scores. Score layout; instrumental/vocal ranges and performance characteristics; special playing techniques and limitations; breath and bowing considerations; choice of key, meter, beat, and subdivision values; use of slurs, articulation marks, dynamics, tempo variation, and other devices for indicating expressive nuance; proper underlaying of vocal text; calligraphy; creating a practical piano reduction; and extracting parts.",2 credit(s),CM-231
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     MUED majors  
Electable by:     MUED majors  
Prerequisites:     CM-251 and CP-210 or CP-211  
Department Code:     COMP  
",Traditional Materials and Structure of Music 2,"This course is a continuation of CM-251. Students explore more in-depth concepts, including advanced traditional harmony and intermediate compositional procedures, as well as seventh chords, altered chords, and modulation.",2 credit(s),CM-252
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     COMP majors  
Electable by:     All  
Prerequisites:     CM-311 or FS-351, and COND-211 or COND-216  
Department Code:     COMP  
",Contemporary Techniques in Composition 2,The continuation of CM-311 with concentration on the employment of serial approaches to composition. Various composition assignments and a final project are required.,2 credit(s),CM-312
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     CM-212  
Department Code:     COMP  
",Scoring for Strings,"Discussion of string instruments, their special effects, and proper notation. Principles of string orchestration and voicing techniques.",2 credit(s),CM-341
"Course Chair:     Eric Gould  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     All  
Prerequisites:     HR-212  
Department Code:     JCMP  
",Indian Music Styles and Techniques for Jazz and Contemporary Composition,"The class will expose students to and survey the two main Indian classical music systems: Hindustani (North Indian) and Carnatic (South Indian) along with Konnikol (South Indian rhythmic solfege). Selected Indian film music will also be examined. Students will compose, arrange, and create improvisational models using specific Indian music ideas and techniques as a source.",2 credit(s),CM-346
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     CM-212, and CP-210 or CP-212  
Department Code:     COMP  
",Principles and Techniques of Writing for the Voice,"Examination of representative solo vocal works from the 19th and 20th centuries (including works requiring nontraditional vocal techniques), with emphasis on dramatic organization, relationship of music to text, and appropriateness to the capacity of the trained singing voice. Special attention given to principles of vocal technique and speech articulation as they apply to composition, principles of vocal notation, and considerations of opera and musical theater. Students will be expected to write specified vocal passages based on assigned texts as well as participate in some improvisation and dramatic reading of texts in class.",2 credit(s),CM-355
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     AR-111, HR-211, and one of the following: CM-311, ILPH-351, ILPH-357, MLAN-345, MLAN-346, or PSW-351  
Department Code:     COMP  
",World Music Resources in Composition,"Approaches to composition using ideas and aesthetic principles from a variety of non-Western musical traditions. Explorations of diverse concepts of rhythm, melody, timbre, and form as heard in the music of Africa, Asia, India, and South America. Assignments will include a substantial composition illustrating these principles.",2 credit(s),CM-361
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring, Summer  
Required of:     JCMP majors  
Electable by:     All  
Prerequisites:     CM-371  
Department Code:     JCMP  
",Jazz Composition 2, Composition of non-song-form jazz pieces based on motivic development. Discussion of form and content as it applies to episodic composition in jazz. Examination of representative works by various jazz composers. Various assignments and the composition of an episodic five-minute piece are required. ,2 credit(s),CM-373
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     HR-325  
Department Code:     JCMP  
",Post Bebop Harmonic Innovations,"Survey and analysis of music growing out of the bebop jazz era. Extensive study of John Coltrane, Miles Davis, Wayne Shorter, and Thelonious Monk. Discussion of blues forms and modal harmony used in the 1960s. Application of concepts through composition of original music.",2 credit(s),CM-385
"Course Chair:     Eric Gould  
Semesters Offered:     Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     AR-201 and written approval of course chair  
Department Code:     JCMP  
",Serial Techniques as Applied to Jazz Composition,Utilization of 12-tone methodology in creating a one-movement concert jazz piece.,2 credit(s),CM-434
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     HR-212  
Department Code:     JCMP  
",Jazz Fusion Composition and Arranging for Small Ensemble,"Through the study of major artists and recordings, the student will identify the compositional and instrumental practices of the jazz fusion idiom and apply those to writing assignments and projects. Jazz fusion is looked at broadly and may include a variety of idiomatic 20th-century world music and popular music techniques. The course does not follow a particular methodology, but rather encourages the student to find his/her own voice within the genre. The class begins with a historical survey of the jazz fusion idiom starting with Miles Davis's landmark Bitches Brew recording and continues with the music of the alumni of Davis' influential bands, up to today. As students apply techniques and ideas learned, they will gain perspective as to how jazz fusion is part of music as a whole and examine some of the underlying principles that make for good composition. A special section of the course will be dedicated to introducing students to some fundamentals of Indian ragas (scales) and to Konnikol (Indian rhythmic solfege) and their application to contemporary jazz-fusion composition. Groups such as Shakti, Miles From India, Trilok Gurtu, The Marc Rossi Group, and others have brought this information to the forefront, and it is helping to redefine jazz fusion.",2 credit(s),CM-345
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     CM-212  
Department Code:     COMP  
",Choral Composition,Traditional scoring techniques for full chorus with and without instrumental accompaniment. A choral composition in a traditional style is required as a final project.,2 credit(s),CM-351
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     All  
Prerequisites:     None  
Department Code:     COMP  
",Introduction to Electroacoustic Music for Composers,"Introduction to Electroacoustic Music for Composers is a survey course in electronic and computer music composition. Designed especially for students on Berklee composition tracks, the course is suitable for any student wishing to gain a comprehensive overview of the history and techniques of electronic music while learning to compose works at the computer for electronics alone or in combination with live instruments.",2 credit(s),CM-357
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring, Summer  
Required of:     JCMP majors  
Electable by:     All  
Prerequisites:     AR-201  
Department Code:     JCMP  
",Jazz Composition 1,"A systematic approach to the art of composing in the jazz idiom. Exploration of melodic, harmonic, and rhythmic principles. Standard jazz song form. Analysis of jazz standards. Arranging considerations applied as a means of enhancing a composition. Projects for small jazz group required.",2 credit(s),CM-371
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring, Summer  
Required of:     JCMP majors  
Electable by:     All  
Prerequisites:     AR-331 and CM-373  
Department Code:     JCMP  
",Jazz Composition 3, Composition of multisection extended jazz compositions. Discussion of form and orchestration as it applies to extended composition in jazz. Examination of representative works by various jazz composers. Composition of a short chamber piece without rhythm section and a large-scale ten-minute piece are required. ,2 credit(s),CM-375
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     COMP majors  
Electable by:     All  
Prerequisites:     CM-311  
Department Code:     COMP  
",Directed Study in Composition 1,"Individualized instruction in composing small forms (i.e., short instrumental pieces, themes and variations, art songs, single movements of larger works, etc.). Emphasis on developing stylistic diversity and gaining experience in writing for various musical textures and ensemble combinations.",1 credit(s),CM-398
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     All except FILM, MTHE and MUED majors  
Electable by:     All  
Prerequisites:     COND-211 or COND-216  
Department Code:     COMP  
Location:     Boston Campus, Valencia (Spain) Campus  
",Conducting 2,"The course assumes basic beat pattern knowledge and covers three areas: (1) symphonic conducting with an instrumental soloist (concerto), (2) symphonic conducting with a vocal soloist (operatic aria), and (3) symphonic conducting of a major modern work involving complete meter changes. Works used include a romantic piano or violin concerto, an operatic excerpt, and a piece such as Petrouchka, The Rite of Spring, or Symphonies of Wind Instruments.",1 credit(s),COND-212
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     FILM majors and all students not taking COND-212, except MTHE and MUED majors  
Electable by:     All  
Prerequisites:     COND-211 or COND-216  
Department Code:     COMP  
Location:     Boston Campus  
",Conducting 2 with Live Keyboard Ensemble,A conducting class class where students conduct other students playing MIDI keyboards that create the sounds of the instruments of an orchestral ensemble. Each student learns all aspects of score preparation and rehearsal techniques. All sessions are recorded for home study.,1 credit(s),COND-217
"Course Chair:     Cecil Adderley  
Semesters Offered:     Fall, Spring, Summer  
Required of:     MUED majors; MTHE majors not taking COND-221  
Electable by:     MUED and MTHE majors  
Prerequisites:     COND-221   
Department Code:     MUED  
Location:     Boston Campus  
",Instrumental Conducting for Music Education Majors,"This course introduces students to fundamental beat patterns, basic conducting technique, phrasing, articulation, and problems of tempo. Students discuss and study score analysis and take part in lab sessions for instrumental application of classroom skills. This course is geared to the needs of public school music educators.",2 credit(s),COND-222
"Course Chair:     Cecil Adderley  
Semesters Offered:     Fall, Spring, Summer  
Required of:     MUED majors  
Electable by:     MUED majors  
Prerequisites:     COND-221  
Department Code:     MUED  
Location:     Boston Campus  
",Choral Rehearsal Techniques for Music Education Majors,"This course is designed to prepare students to effectively design, lead, and assess choral rehearsals. It examines vocal repertoire for school music groups with extensive analysis and application of rehearsal techniques for specific elementary, middle, and high school ensemble settings. As part of the course, students develop score analysis and rehearsal techniques as they apply skills and knowledge in lab sessions.",2 credit(s),COND-321
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-212, CM-231 or AR-112, ISKB-211 (for non-keyboard majors), and written approval of course instructor  
Department Code:     COMP  
Location:     Boston Campus  
",Advanced Conducting Skills for the Theater,"This is a hands-on, lab-style course, focused on skills particular and unique to theater conducting. Each student will choose a different musical from a list of possibilities and during the course of the semester will prepare, analyze and conduct parts of it. Additionally, all students will conduct each other. Students will also sing, play, and read dialogue for each other in order to simulate specific, relevant theater conducting situations.",2 credit(s),COND-331
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-212 or COND-217  
Department Code:     COMP  
Location:     Boston Campus  
",Advanced Conductor's Workshop with Live Keyboard Ensemble,"A practical course for conductors and music directors in preparation, organization, rehearsal, and recording under studio conditions. Emphasis on establishing fluency in conducting and rehearsal techniques to maximize efficiency in the session.",2 credit(s),COND-351
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     All except MTHE and MUED majors  
Electable by:     All  
Prerequisites:     ET-211 or ET-231  
Department Code:     COMP  
Location:     Boston Campus, Valencia (Spain) Campus  
",Conducting 1,"Techniques of conducting vocal and instrumental music. Fundamental beat patterns. Discussion and study of terminology, problems of tempo, phrasing, and articulation.",1 credit(s),COND-211
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     All students not taking COND-211, except MTHE and MUED majors  
Electable by:     All  
Prerequisites:     ET-211 or ET-231  
Department Code:     COMP  
Location:     Boston Campus  
",Conducting 1 with Live Keyboard Ensemble,"This course emphasizes in-depth score study and elements involved with the formulation of musical ideas, the role of the conductor, and the proper kind of relationship between the conductor and the orchestra. Students gain valuable experience rehearsing and conducting an ensemble. The course utilizes eight keyboards, allowing the formation of an in-class live keyboard ensemble creating a virtual orchestral sound. Each of eight performers play their own individual lines from the score while one person conducts and rehearses the ensemble. Each conductor will be videotaped while in front of the ensemble for further study.",1 credit(s),COND-216
"Course Chair:     Cecil Adderley  
Semesters Offered:     Fall, Spring, Summer  
Required of:     MUED majors; MTHE majors not taking COND-222  
Electable by:     MUED and MTHE majors  
Prerequisites:     None  
Department Code:     MUED  
Location:     Boston Campus  
",Choral Conducting for Music Education Majors,"This course introduces fundamental beat patterns, basic conducting technique, phrasing and articulation, and problems of tempo. Students discuss and study applicable terminology. Additionally, students participate in lab sessions for choral application of classroom skills, which are geared to the needs of public school music educators.",2 credit(s),COND-221
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     Written approval of instructor and course chair and either COND-351 or COND-498  
Department Code:     COMP  
Location:     Boston Campus  
",Advanced Conducting Seminar With Live Orchestra,This course is designed for the student who wishes to further abilities in conducting. Emphasis is on rehearsal techniques and interpretation while working with a live orchestral ensemble.,2 credit(s),COND-311
"Course Chair:     Cecil Adderley  
Semesters Offered:     Fall, Spring, Summer  
Required of:     MUED majors  
Electable by:     MUED majors  
Prerequisites:     COND-222  
Department Code:     MUED  
Location:     Boston Campus  
",Instrumental Rehearsal Techniques for Music Education Majors,"This course is designed to prepare students to effectively design, lead, and assess instrumental rehearsals. It examines instrumental repertoire for school music groups with extensive analysis and application of rehearsal techniques for specific elementary, middle, and high school ensemble settings. As part of the course, students develop score analysis and rehearsal techniques as they apply skills and knowledge in lab sessions. Note: performance on secondary instrument(s) is required.",2 credit(s),COND-322
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-212 or COND-217, ISKB-211 (for non-piano principals), and written approval of course instructor  
Department Code:     COMP  
Location:     Boston Campus  
",Theater Musical Direction,"This is a lecture/discussion class, which begins with a brief history of the modern American musical and basic definitions of theater terminology. Topics discussed will cover the period from the 1920s through the present, following the development of the musical from its song-and-sketch and European operetta roots to the modern integrated music drama. The body of the course follows the journey of a show from its inception through to closing night. Each participant will choose a songwriter or songwriting team as a subject for an in-depth presentation for the rest of the class. Basic theater terminology will also be taught and students will be tested on history and theater craft.",2 credit(s),COND-332
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-217 or COND-351  
Department Code:     COMP  
Location:     Boston Campus  
",Conducting for Film and TV Production,"Rehearsing and recording to picture with live performers under studio conditions. Focus on preparation, efficiency, and accurate synchronization.",2 credit(s),COND-361
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall  
Required of:     None  
Electable by:     FILM majors  
Prerequisites:     Written approval of course chair and concurrent enrollment in FS-P484  
Department Code:     COMP  
Location:     Boston Campus  
",Conducting for Silent Film,"This course functions as a companion to FS-P484 Scoring Silent Films 1, and prepares the students in that course for the specific challenges of conducting music live to picture in a concert setting. It is to be taken concurrently with FS-P484. Use of punches and streamers will be emphasized, as well as rehearsal technique. The course will culminate in a live performance of a silent film from a previous semester, and will prepare the students to conduct their own music the following semester in FS-485 Scoring Silent Films 2.",2 credit(s),COND-484
"Course Chair:     Cecil Adderley  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-221; and COND-222 or COND-211  
Department Code:     MUED  
Location:     Boston Campus  
",Studies in Instrumental Score Analysis,The ability to analyze and dissect musical scores is an essential skill for the instrumental music educator. This course will focus on techniques for analyzing scores and using this information to develop structured and sequential rehearsal plans for the repertoire studied. The application of musically appropriate conducting gestures that effectively convey the intended artistic interpretation will also be covered.,2 credit(s),COND-P341
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-212 or COND-217  
Department Code:     COMP  
Location:     Boston Campus  
",Conducting Small Ensembles,"This course is designed to give students practical experience in conducting rehearsals of small instrumental groups. Students will expand their conducting technique and deepen their score-preparation skills in class meetings with their colleagues playing MIDI keyboards in preparation for sessions with small ensembles (e.g., brass quintet, flute choir, string quartet, wind quintet); at these sessions themselves, the students will meet the challenges of analog instrumental groupsbalance, intonation, rehearsal skills, and conductor-performer relations.",2 credit(s),COND-355
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-311 or COND-351  
Department Code:     COMP  
Location:     Boston Campus  
",Advanced Rehearsal Techniques,"An advanced course for conductors in the development of effective technical, musical, and psychological skills, including planning (choice of literature, aesthetic and practical considerations, allotment of rehearsal time); musical preparation (development of interpretation, choice of tempi, stylistic factors, identifying difficult or tricky passages, editing parts for bowing and breathing); rehearsal (pacing, including alternating woodshedding with play-through; balancing dynamics; using effective gestures with the baton, face, left hand, and body; giving effective verbal instructions; intonation; listening and prioritizing; stopping and starting; knowing when to be satisfied); and human factors (mutual respect and honesty, shared responsibility, ensemble esprit de corps, and psychological momentum).",2 credit(s),COND-421
"Course Chair:     Richard Carrick  
Semesters Offered:     Fall, Spring, Summer  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-212 or COND-217 and written approval of instructor and course chair  
Department Code:     COMP  
Location:     Boston Campus  
",Directed Study in Conducting,"Supervised preparation and performance of an approved conducting project. Projects may originate with recitalists or from various departments such as Film Scoring, Contemporary Writing and Production, and Music Production and Engineering. The student will conduct at least one project from the following categories: studio recording, recital or live concert requiring a conductor, or preparing and conducting a work with an ensemble.",2 credit(s),COND-498
"Course Chair:     Richard Carrick  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     COND-212 or COND-217  
Department Code:     COMP  
Location:     Boston Campus  
",Careers in Conducting,"Presentation and discussion on the topics of what it takes to succeed as a professional conductor in the 21st century. Several topics will be presented throughout the semester, including how to run a recording session, the business aspect of being a conductor, interpersonal responsibilities, management, and planning. Conducting remains one of the music's elusive professions: why do some succeed while others fail? Following Richard Strauss, we spend our whole lives trying to become better conductors, only to find out at the end of our lives how much more we have to learn. In addition, the financial and managerial aspects of our organizations and of our own careers ought never to be too far from our minds: for in them we occupy the dual roles of senior manager and principal artist.",2 credit(s),COND-P391
"Course Chair:     Andrea Pejrolo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     CWPR majors  
Electable by:     All  
Prerequisites:     AR-111, ET-112, HR-112, and MTEC-111  
Department Code:     CWP  
",Groove Writing,"Expanding on the material introduced in AR-111, this course focuses on creating and writing grooves for the rhythm section (guitar, keyboard, bass, percussion, and drums) and the ways in which different grooves work together. Original techniques and practical approaches to creating grooves will be presented, as well as methods to refine and create variations in grooves and scoring with production goals in mind. Styles studied include funk, hip-hop, rock, reggae, and ska; Latin styles, including bossa, samba, salsa, cha-cha, songo, and baion; shuffle, as used in rock, blues, and funk; generic dance grooves such as techno; and pop and Euro-pop. Projects will include transcription, sequencing, and live performance of grooves.",2 credit(s),CW-171
