category,title,credits,prerequisites,description
ANTHROPOLOGY,ANTH 323 Peoples of Africa ,3 cr,Prerequisite: ANTH 130 or ANTH 140,"Focuses on the ethnic, cultural, religious, economic and political diversity in select regions of Africa, as representative of the kinds of differences found throughout the continent. Explores such diversity through a historical framework, addressing the history of colonial penetration, the impact it had in various parts of Africa and in the African diaspora, and the complex interplay between indigenous cultures and their values with the exigencies of the modern nation state. Course attributes: C&FS, CRCU."
ANTHROPOLOGY,ANTH 324 Native American Peoples ,3 cr,Prerequisite: ANTH 130 or ANTH 140,"Explores indigenous cultures of North America. Students will consider technology and social systems, contact between indigenous and European cultures, migration issues, pre-Columbian world view and lifeways. Contemporary issues including sovereignty, land claims, social issues and cultural autonomy will be examined. Course attributes: C&FS, CRCU."
ANTHROPOLOGY,ANTH 330 Children and Culture ,3 cr,Prerequisite: ANTH 130 or ANTH 140,"Focuses on a comparative analysis of children's lives in the U.S. and other cultures. Examines the interplay of culture and biology in the socialization process. Children will be viewed at work and at play. Explores significant social problems affecting children. Course attributes: C&FS, WMST."
ANTHROPOLOGY,"ANTH 345 Culture, Health and Illness ",3 cr,Prerequisite: ANTH 130 or ANTH 140,"Compares medical beliefs and practices in Western and non-Western societies. Examines cultural beliefs, social behaviors, and economic and environmental factors that influence susceptibility to disease. Addresses issues concerning patient-doctor communication and psychosocial management of illness."
ANTHROPOLOGY,ANTH 346 Disability and Culture ,3 cr,Prerequisite: ANTH 130 or ANTH 140 or SOCI 100,"Examines ways cultural meanings of disability and experiences of people with disabilities vary across cultures and historical eras. Investigates impact of social institutions, such as education, family, government, media and medicine, on the lives of disabled. Explores disability as a site of cultural creativity, as evidenced by interactive strategies, performance arts, and life writing, as well as a site of oppression and exclusion. Compares global disability rights movements. Course attributes: SOCJ."
ANTHROPOLOGY,ANTH 355 Politics of Culture ,3 cr,Prerequisite: ANTH 130 or ANTH 140 or instructor approval,"Explores nation-states as social and historical creations. Examines the forces and factors that produce national, ethnic, indigenous and popular culture. Investigates gendered, ethnic and religious dissent, and controversies concerning diverse cultural claims and transnational processes. Considers the role of popular culture in shaping representations of self and others. Examples are drawn from the U.S., Israel/Palestine, South Africa, Egypt, Tibet, and more. Course attributes: SOCJ."
ANTHROPOLOGY,ANTH 355H Honors: Politics of Culture ,3 cr,Prerequisite: ANTH 130 or ANTH 140 or instructor approval,"Explores nation-states as social and historical creations. Examines the forces and factors that produce national, ethnic, indigenous and popular culture. Investigates gendered, ethnic and religious dissent, and controversies concerning diverse culture claims and transnational process. Considers the role of popular culture in shaping representations of self and others. Examples are drawn from the U.S. Israel/Palestine, South Africa, Egypt, Tibet, and more. Course attributes: HONR, SOCJ."
ANTHROPOLOGY,ANTH 365 Gender Roles and Culture ,3 cr,Prerequisite: ANTH 130 or ANTH 140,"Examines the roles and statuses of women and men in Western and nonWestern societies, treating gender as a social construct rather than a biological given. Considers theories about the bases of sexual inequality and the relationship between gender and other social hierarchies. Investigates how cultural notions of gender influence an individual's religious, political, sexual and familial experiences. Course attributes: C&FS, SOCJ, WMST."
ANTHROPOLOGY,"ANTH 370 Culture, Power and Protest ",3 cr,Prerequisite: ANTH 130 or ANTH 140,"Compares the forms of resistance practiced by oppressed groups in a variety of societies. Considers the assumptions that have influenced researchers' assessments of social action. Emphasizes that numerous cultural practices, ranging from religious rites to oratory to spirit possession, have political implications. Course attributes: SOCJ."
ANTHROPOLOGY,ANTH 395 Special Topics in Anthropology ,3 cr,Prerequisite: ANTH 130 or ANTH 140 and additional prereqs to be announced,"A course or seminar for students who have taken a substantial number of anthropology courses. Such courses or seminars may explore any of a variety of topics concerning social anthropology, physical anthropology, archeology, applied anthropology or linguistics, or courses in theory and method."
ANTHROPOLOGY,ANTH 499 Teaching Assistant in Anthropology ,3 cr,Prerequisite: Junior/senior status,"Supervised academic class presentation(s), assistance with study sessions and tutorials, attendance at all classes, final paper and other duties negotiated with course instructor. Must have completed a minimum of four (4) courses in the discipline, have a 3.0 overall GPA or better, and a B+ or better in the course. This course can be taken for either pass/fail or traditional letter grading. The course requires approval of the department prior to enrollment."
ANTHROPOLOGY,ANTH 500 Independent Study,1 to 3 cr,"Prerequisite: Junior/senior status, department approval",Open to juniors and seniors who wish to read in a given area or to study a topic in depth under the direction of an anthropologist. Requires written reports and frequent conferences with the advisor.
ANTHROPOLOGY,ANTH 501 Research Assistant,1 to 3 cr,"Prerequisite: SOCI 331, junior/senior status, instructor approval","Students will assist faculty member in conducting original quantitative and/or qualitative research projects. The responsibilities may include collecting archival, ethnographic, interview, or focus group data, working with data sets, or other research activities. This course is repeatable for a maximum of  6 credits."
ANTHROPOLOGY,ANTH 540 Anthropology Internship,3 to 15 cr,"Prerequisite: Junior/senior status, ANTH130 or ANTH140, six semester hours of related courses at 200 level or above, department approva","Placement of advanced students in public or private organizations which actively apply anthropology, archeology or ethnohistory as part of their work routine. Internships may be developed in such areas as interethnic services, cultural resource management, museum work, local history, etc. Internships are awarded from 3 to 15 credits per semester, depending on the extent of student involvement."
ART,ART 116 Introduction to Drawing ,3 cr,Prerequisite: None,"Introduces art practices through the study and creation of drawings. Drawing is fundamental to the visual arts. Working from observation, a mix of methods of line, value, and form build skills of tone, visual proportion, scale, sketching, composition, concept and artistic meanings."
ART,ART 117 Great Monuments of Art I ,3 cr,Prerequisite: None,"Introduces the history of art through the study of specific masterworks, which exemplify the art of a particular period and culture. Sites such as the Vatican and artists such as Leonardo da Vinci will be examined in order to understand how art embodies and expresses civilization. Masterworks in local museums will also be included for first-hand observation, as will examples from non-western culture."
ART,ART 118 Introduction to Design ,3 cr,Prerequisite: None,"Using a variety of materials, this introductory course explores design elements, characteristics and concepts including presentation skills and the role of the craft. Students develop visual thinking strategies by using line, shape, form, texture, value, color and space, as well as the concepts of focal point, unity, variety, movement, pattern and balance."
ART,ART 125 Introduction to Sculpture ,3 cr,Prerequisite: None,"Introduce a variety of sculptured methods including manipulation, addition and subtraction as well as princples of three-dimensional design."
ART,ART 212 Introduction to Painting ,3 cr,Prerequisite: ART 116,"This in-depth studio art laboratory uses painting from observation to investigate and refine the use of color. Projects and readings include painting media and their use, classic and contemporary palette organization, color mixing and color theory."
ART,ART 216 Intermediate Drawing ,3 cr,Prerequisite: ART 116,"Develops intermediate drawing projects by working from observation and imagination. Techniques focus on line, modeling and form using intensive sketching processes."
ART,ART 217 Great Monuments of Art II ,3 cr,Prerequisite: ART 117,"Introduces contemporary art from the mid 19th century to the present day, and how the art embodies and expresses contemporary visual culture. Examples from American, European and non-Western contemporary art will be included, as well as examples from local museums for firsthand interactions."
ART,ART 218 Intermediate Design ,3 cr,Prerequisite: ART 118,"Students integrate and extend processes and media that were introduced in the first semester, with a focus on how compositional development, conceptual and material process and independent inquiry form the foundation of the design process."
ART,ART 221 Introductory Seminar in Art History ,3 cr,Prerequisite: ART 117,"Studies art history with a specific focus on artists and periods. Social, political and economic trends, along with the period's cultural context, are employed in the understanding and interpretation of the art. This course cannot be taken more than once for credit."
ART,ART 232 Intermediate Painting ,3 cr,"Prerequisite: ART 116, ART 212","Continues the exploration of our visual world, with increased attention to painting materials, color and palette, composition and metaphor in painting."
ART,ART 235 Introductory Studio (Technique) ,3 cr,Prerequisite: ART 116,"Study and practice important facets of studio art techniques and creative methods in a creative arts laboratory environment. The course includes exercises and art projects to prepare students as they begin to develop a professional portfolio of original artworks. Course topics vary by semester and may include: sculpture, mixed media, collage, assemblage, cartooning, landscape painting and other topics. Repeatable if different topic."
ART,ART 305 The Human Figure ,3 cr,Prerequisite: ART 116,Draw and/or paint based on direct observation of the nude model. The human figure is a central force of symbolism in European and Amerian fine art. As such students will interact with artistic anatomy traditions and innovations.
ART,ART 306 The Concrete Poem ,3 cr,Prerequisite: ART 116,"Combine words and images in experimental, interdisciplinary formats such as hypertext, photo collage, muralgraffitti, sculptural installation and word-based painting or drawing. After preliminary studies and exercises, students develop their own visual concrete poems."
ART,ART 311 Topics in Art ,3 cr,Prerequisite: ART 117,"Provides advanced work in analysis, interpretation and research. Offerings: art, history and the American landscape."
ART,ART 312 Form and Composition ,3 cr,Prerequisite: ART 212,Develops compositional approaches to the making and understanding of visual artworks through the use of historical and contemporary art methods and concepts.
ART,ART 315 Intermediate Art Lab ,3 cr,"Prerequisite: ART 116, ART 212","Focus on the creation of a series of artworks around a common theme, technique or art medium. This is an intermediate studio art laboratory course. This course may be repeated."
ART,ART 321 Intermediate Seminar in Art History ,3 cr,Prerequisite: ART 117,"Covers specific areas of art history in order to supplement the more comprehensive introductory level studies of art. Students gain an in-depth experience with one medium or period. Offerings: Prehistoric to Early Renaissance Art; History of 19th and 20th Century Art; History of American Watercolor Painting; History of American Poster Graphics; The Prendergasts and the ""Eight""; Homer, Eakins, and Sargent; Art and the Italian Landscape; The Lure of Italy, 19th Century Artists and the Italian Experience."
ART,ART 335 Intermediate Studio (Technique) ,3 cr,Prerequisite: Any 100 or 200 level ART course,"Employs mid-level studio art techinques to create original artworks. Method and technique vary by semester and may include art forms such as cast painting, block printing, digital photography, book arts, sculpture or other specialty topics. Course may be repeated."
ART,ART 412 Advanced Art Lab ,3 cr,Prerequisite: ART 315,"Advanced, experimental studio art laboratory. Course work includes analysis and creation of symbolic/metaphoric systems, conceptual methods and decision-making in aesthetics as related to individualized art projects designed by the student with frequent feedback from the instructor, peer groups and/or guest artists. This course may be repeated."
ART,ART 413 Advanced Seminar in Art History ,3 cr,Prerequisite: ART 117,Studies art history with a more specific focus on artists and periods. Social and political theory is employed in the understanding and interpretation of art. Offerings: Art and Society 1870-1914; French Impressionist Era; Art and the Art Museum; Art of the Italian Renaissance.
ART,ART 435 Advanced Studio (Technique) ,3 cr,Prerequisite: Any 200 or 300 level ART course,"Employs advanced studio art techniques to create original artworks. Method and technique vary by semester and may include art forms such as portraiture, engraving, manipulated photography, book arts, sculpture, or other advanced specialty topics. Course may be repeated."
ART,ART 480 Senior Art Project ,3 cr,Prerequisite: ART 312,"Develop a public exhibition of art created in the art studios. Under the supervision of FPA faculty, students will select work from their art portfolios, organize and present a professional display in an art gallery or other appropriate community venue."
ART,ART 510 Studio Art Teaching Assistantship ,3 cr,Prerequisite: Instructor approval,"Learn the fundamentals of art lab management and studio art teaching. Course content covers federal and state regulations regarding art media and their use, various philosophies of art education, and practical applications in the college classroom. With faculty guidance, advanced students gain a preliminary teaching experience."
ATHLETIC TRAINING,ATTR 100 Observation in Athletic Training I ,1 cr,Prerequisite: None,"Introduces the field of athletic training. Includes completion of hands-on proficiency skills related to the field of athletic training, outlined by the NATA Education Council. This course will be graded on a pass/fail basis. Coreq: ATTR 220"
ATHLETIC TRAINING,ATTR 101 Observation in Athletic Training II ,1 cr,Prerequisite: None,"Explores further the introduction to the field of athletic training. Includes completion of hands-on proficiency skills related to the field of athletic training, outlined by the NATA Education Council. This course will be graded on a pass/fail basis. Coreq: ATTR 221"
ATHLETIC TRAINING,ATTR 200 Practicum in Athletic Training I ,1 cr,Prerequisite: ATTR major Coreq: ATTR 321,"Builds on course content acquired by the sophomore year of the athletic training program. Provides clinical experience in the field of athletic training. A presentation, practice and outcomes testing of clinical proficiency skills outlined by the NATA Education Council is required. Experience will come from various sports and settings. This course will be graded on a pass/fail basis."
ATHLETIC TRAINING,ATTR 201 Practicum in Athletic Training II ,1 cr,Prerequisite: ATTR major Coreq: ATTR 322,"Expands upon course content acquired by the sophomore year of the athletic training program. Provides clinical experience in the field of athletic training. A presentation, practice and outcomes testing of clinical proficiency skills outlined by the NATA Education Council is required. Experience will come from various sports and settings. This course will be graded on a pass/fail basis."
ATHLETIC TRAINING,ATTR 220 Introduction to Athletic Training I ,3 cr,Prerequisite: None,"Introduces students to the field of athletic training and sports medicine. Explores fundamental principles of athletic training, which includes terminology, physical conditioning and injury prevention. Coreq: ATTR 100"
ATHLETIC TRAINING,ATTR 221 Introduction to Athletic Training II ,3 cr,Prerequisite: ATTR 220 Coreq: ATTR 101,Explores further the introduction to the field of athletic training and sports medicine. Emergency procedures and health care administration in athletic training will be emphasized.
ATHLETIC TRAINING,ATTR 300 Practicum in Athletic Training III ,1 cr,Prerequisite: ATTR major Coreq: ATTR 337,"Builds on course content acquired by the junior year of the athletic training program. Provides clinical experience in the field of athletic training. A presentation, practice and outcomes testing of clinical proficiency skills outlined by the NATA Education Council is required. Experience will come from various sports and settings. This course will be graded on a pass/fail basis."
ATHLETIC TRAINING,ATTR 301 Practicum in Athletic Training IV ,1 cr,Prerequisite: ATTR major Coreq: ATTR 338,"Expands upon course content acquired by the junior year of the athletic training program. Provides clinical experience in the field of athletic training. A presentation, practice and outcomes testing of clinical proficiency skills outlined by the NATA Education Council is required. Experience will come from various sports and settings. This course will be graded on a pass/fail basis."
ATHLETIC TRAINING,ATTR 321 Lower Body Assessment ,4 cr,Prerequisite: ATTR major,Explores all aspects of injury evaluation. Injuries to the lower extremity and lumbar spine will be stressed through lecture and lab.
ATHLETIC TRAINING,ATTR 322 Upper Body Assessment ,4 cr,Prerequisite: ATTR major,"Explores all aspects of injury evaluation. Injuries to the upper extremity, head and cervical spine will be stressed through lecture and lab."
ATHLETIC TRAINING,ATTR 337 Modalities in Athletic Training ,4 cr,Prerequisite: ATTR major,Explores neurophysiology and human physiology. Students will learn how these systems are affected when microfailure has occurred. Students will also learn how to use therapeutic modalities and develop specific protocols that will affect the recovery of the microfailure. Required laboratory.
ATHLETIC TRAINING,ATTR 338 Therapeutic Exercise ,3 cr,Prerequisite: ATTR major,"Studies the techniques and principles involved in rehabilitation of athletic injuries. Topics included are therapeutic and reconditioning exercise, weight training/conditioning, psychological and physiological considerations and proper program construction."
ATHLETIC TRAINING,ATTR 340 Athletic Training Management ,3 cr,Prerequisite: Junior/senior status,"Explores management issues related to the field of athletic traning and sports. Topics include but are not limited to health care administration, professional development, ethics, budgeting, legal concerns, drug testing and bloodborne pathogens. This course also prepares the athletic training student for the NATA exam, employment and/or graduate school. Course attributes: LDRS."
ATHLETIC TRAINING,ATTR 400 Practicum in Athletic Training V ,1 cr,Prerequisite: ATTR major Coreq: ATTR 450,"Builds on course content acquired by the senior year of the athletic training program. Provides clinical experience in the field of athletic training. A presentation, practice and outcomes testing of clinical proficiency skills outlined by the NATA Education Council is required. Experience will come from various sports and settings. The course will be graded on a pass/fail basis."
ATHLETIC TRAINING,ATTR 401 Practicum in Athletic Training VI ,1 cr,"Prerequisite: ATTR 200, ATTR 201, ATTR 300, ATTR 301, ATTR 400","Expands upon course content acquired by the senior year of the athletic training program. Provides clinical experience in the field of athletic training. A presentation, practice and outcomes testing of clinical proficiency skills outlined by the NATA Education Council is required. Experience will come from various sports and settings. This course will be graded on a pass/fail basis."
ATHLETIC TRAINING,ATTR 450 General Medicine in Athletic Training ,1 cr,"Prerequisite: BIOL 342, BIOL 343","Explores all aspects of non-orthopedic injuries and disorders of the physically active including history taking, evaluation and instrument use. Exposes the Athletic Training student to non-orthopedic injuries and disorders associated with the physically active."
BUSINESS ADMINISTRATION,BADM 100 Explorations in Business ,3 cr,Prerequisite: Open to all except junior/senior Business Administration majors,"Introduces students to the basic functions of business and management through examination of contemporary issues in businesses and organizations. Topics include management of human and financial resources, production and marketing of goods and services, and legal and ethical issues in decision-making. Provides students with basic competencies in business communications and research methods, and illustrates both successful/unsuccessful decision-making. Course attributes: CSS."
BUSINESS ADMINISTRATION,BADM 201 Business Law I ,3 cr,Prerequisite: Sophomore status,Develops an in-depth understanding of the American Law Institute's Second Restatement of Contracts and the Second Restatement of Agency and relevant provisions of the Uniform Commercial Code.
BUSINESS ADMINISTRATION,BADM 206 Math Methods in Business and Economics ,3 cr,Prerequisite: Completion of Tier I Quantitative Reasoning,"Studies the fundamental methods of mathematics applied in business, economics and finance. Familiarizes students with basic Business and Economics principles of optimization and marginal analysis. Topics include linear, polynomial, exponential and logarithmic functions, graphs, limits, and basic concepts of differentiation and applications of derivative. This course will be waived if the student has previously completed MATH 220 Calculus I."
BUSINESS ADMINISTRATION,BADM 210 Information Technology for Business ,3 cr,Prerequisite: CCCL 100,"Explores the application of technology to business communications and decision-making. Students will utilize word-processing, spreadsheets, databases, statistical analysis software, Internet tools, graphics and presentation software to find, retrieve, organize and present business information. Emphasizes the importance of technology (including ethics and etiquette) in facilitating efficient business communication."
BUSINESS ADMINISTRATION,BADM 224 Financial Accounting ,3 cr,Prerequisite: CCCL100,"Introduces basic principles and methods used to develop financial statements. Introduces ethical issues in accounting. The course focuses on the key concepts involved in understanding how business events affect the financial statements, without going into double-entry recordkeeping. Spreadsheet and word processing software are used in the analysis of financial information."
BUSINESS ADMINISTRATION,BADM 225 Managerial Accounting ,3 cr,Prerequisite: CCCL 100,"Introduces basic cost principles and methods used to determine, plan and control costs. The course focuses on developing and using relevant managerial accounting information to make business decisions. Spreadsheets and word-processing software are used in the analysis of managerial accounting information."
BUSINESS ADMINISTRATION,BADM 240 Issues in Event and Sport Management ,3 cr,Prerequisite: None,"Provides students with an overview of the basic issues in managing events in business, culture and tourist venues, and sport and fitness industries. Covers all aspects of event management, including feasibility studies, operational planning and marketing evaluation. Industries examined include professional, collegiate and amateur levels of sport organizations; cultural and tourism venues, as well as all business organizations planning conferences, trade shows, and other events."
BUSINESS ADMINISTRATION,BADM 242 Legal & Social Environment of Business,3 cr,Prerequisite: Sophomore status,"Introduces government regulation of individuals and businesses. The Constitution, statutes and adjudicated cases will be used extensively to illustrate the history, philosophy, structure, processes and controls of state and federal regulatory systems over economic, social and individual activities."
BUSINESS ADMINISTRATION,BADM 260 Management ,3 cr,Prerequisite: Sophomore status,"Explores the historical development and concepts of modern management theory. Blends behavioral theories of management and social responsibility and presents applications in a variety of organizational settings. Examines the role of managers in today's organization and in society and studies the complex multicultural, global organization of today. Course attributes: LDRS."
BUSINESS ADMINISTRATION,BADM 270 Marketing ,3 cr,Prerequisite: Sophomore status,"Examines the role of marketing in today's organizations and in society and studies the complex multicultural, global organization of today. Examines basic theory and terminology with emphasis on the major marketing components: product, price, promotion and distribution. Uses multiple research sources, including the Internet, to explore the marketing practices of today's organizations and learn real world applications of marketing theory."
BUSINESS ADMINISTRATION,BADM 290 Sophomore Special Topics ,3 cr,Prerequisite: Sophomore status,"Introduces students to various topics of emerging importance in the fields of marketing, management, finance, accounting, and e-commerce. Examines current issues in one or more of these areas."
BUSINESS ADMINISTRATION,BADM 300 Personal Investing ,3 cr,Prerequisite: Junior status,"Provides an introductory but comprehensive study of the major aspects of personal investing. Topics covered include investment goals and strategies, risk/return assessment, individual stock investing - fundamental and technical analysis, bonds, stock mutual funds (various types/ objectives), global investing, money market mutual funds, the New York Stock Exchange/financial markets and institutions, accessing investment information and analysis on the Internet, online investing. No prior business courses are required or necessary."
BUSINESS ADMINISTRATION,BADM 303 Business Law II ,3 cr,Prerequisite: BADM 201,"Continues the study of business law focusing on sales transactions and their connection with the Uniform Commerical Code. Legal aspects of secured transactions, commercial paper, bailments and carriers are also studied."
BUSINESS ADMINISTRATION,BADM 310 Advanced Information Technology for Business ,3 cr,Prerequisite: BADM 210,"Provides an in-depth study of the business information technology application. Students will learn to use the advanced functions found in word processing, spreadsheet, and database applications found within the business environment."
BUSINESS ADMINISTRATION,BADM 320 Accounting Systems ,3 cr,Prerequisite: BADM 224,"Studies how accounting information is recorded and summarized using double-entry recordkeeping, first manually and then using a commercial accounting software package. Students will be introduced to the design, operation and management of computerized accounting information systems, and will develop an understanding of how accounting systems serve the other management informational needs of a business."
BUSINESS ADMINISTRATION,BADM 321 Financial Reporting I ,3 cr,Prerequisite: BADM 320,"Studies the measurement and disclosure issues in accounting for assets in accordance with generally accepted accounting principles (GAAP). Studies the theoretical, practical and ethical issues involving alternative GAAP. Students use general ledger software in the analysis of accounting information and preparation of financial statements."
BUSINESS ADMINISTRATION,BADM 322 Financial Reporting II ,3 cr,Prerequisite: BADM 321,"Continues the study of measurement and disclosure issues in accounting for liabilities and equity in accordance with GAAP. Further studies the theoretical, practical, and ethical issues involving alternative GAAP, as well as the income statement and the statement of cash flows. Students use computer software in the analysis/presentation of financial reporting issues."
BUSINESS ADMINISTRATION,BADM 330 Cost Accounting ,3 cr,Prerequisite: BADM 225,"Focuses on the development of cost information needed by managers to plan and control in manufacturing, merchandising, and service enterprises. Topics build on material introduced in managerial accounting and include: job and process costing, standard costing, cost allocations, inventory management, transfer pricing and performance measurement. Spreadsheet and general ledger software will be used in the analysis of cost accounting information."
BUSINESS ADMINISTRATION,BADM 335 Federal Taxation - Individuals ,3 cr,Prerequisite: BADM 224,"Studies federal income tax laws for individuals, with a broad overview of Massachusetts income tax laws for individuals. Students use commercial tax preparation software to enhance their ability to interpret and apply income tax law as it applies to individuals."
BUSINESS ADMINISTRATION,BADM 340 Financial Management ,3 cr,"Prerequisite: BADM 224, ECON 141, junior status","Studies the acquisition and administration of funds in today's corporation. Topics include shareholder wealth maximization concepts, the globalization of financial markets, working capital, risk/return, alternative forms of short- and long-term funds, financial statements analysis, mergers and acquisitions."
BUSINESS ADMINISTRATION,BADM 345 Sport Finance and Economics ,3 cr,"Prerequisite: BADM 240, ECON 142","Examines the theoretical and practical implications of economics and finance in sports. Basic theories in finance and economics are applied to managerial control of sport organizations. Includes financial analysis, feasibility studies, and economic impact studies of sport teams and venues. Examines microeconomic decisions made by sport consumers, players and managers, owners and venue governing bodies."
BUSINESS ADMINISTRATION,BADM 350 Global Business and Economic Issues ,3 cr,Prerequisite: Junior status; completion of Tier II Self & Society domain,Analyzes the current global business and economic issues facing businesses and organizations. Provides interactive participation of students and faculty from multiple campuses. Students utilize business and economic theory to analyze and address critical issues facing multi national corporations. Topics include various global business and public policy issues. Students work on inter-campus project teams via the course website to produce multimedia analytical reports.
BUSINESS ADMINISTRATION,BADM 361 Organizational Behavior ,3 cr,Prerequisite: Junior status,"Explores the study of group behavior in various organizational settings through the study of organizational theories of structure, culture motivation, communication and group dynamics. Cases and/or group activities are used to illustrate the application of theory to actual organizational scenarios. Course attributes: LDRS."
BUSINESS ADMINISTRATION,BADM 362 Human Resource Management ,3 cr,Prerequisite: BADM 260,"Examines and analyzes personnel functions of staffing, developing, compensating and motivating. Specific techniques within each function are explored in detail. Emphasizes the legal environment in which the human resource manager operates."
BUSINESS ADMINISTRATION,BADM 363 Operations Management ,3 cr,"Prerequisite: ECON 216, BADM 260","Examines today's organizations to gain an understanding of planning, organizing, and controlling production facilities in manufacturing and service industries."
