Category,Credits,Id,Description,Title
ENGL,3,1010,"Designed as a workshop in which each student develops a portfolio of personal and academic writing, the seminar follows a semester-long process. Students write and rewrite essays continuously, discuss their works-in-progress in class, and receive feedback during individual and small group conferences with the instructor. Students read a wide range of texts, including various forms of non-fiction prose. In addition to regular conferences, the class meets two hours per week to discuss the writing process, the relationship between reading and writing, conventional and innovative ways of doing research, and evolving drafts of class members.",First Year Writing Seminar 
ROTC,0,1011,TBD,Leadership Laboratory 
FREN,1,1012,This intensive 50-minute course is open to students enrolled concurrently in Elementary French II (FREN 1010) and need further reinforcement of structures and vocabulary studied in Elementary French II.  This course is limited to 10 students so that there is optimum student / teacher interaction and frequent student participation. It is highly recommended to students who struggled with Elementary French I.,Elementary French Practicum II 
HIST,0,1013,TBD,Discussion Group for HIST1011 
HIST,0,1014,TBD,Discussion Group for HIST1012 
HIST,3,1015,"This course examines the interactions of the persons, ideas, institutions, and movements that have shaped the European experience from the Renaissance through the Reconstruction of Europe after World War II.  The special emphasis during the first semester will be on the Renaissance, and the Reformation, the discoveries of explorers and scientists, and the Enlightenment.  The second semester will cover the period since the French Revolution.",Modern History I: Cultural History of Modern Europe 
SOCY,3,1016,TBD,Youth in American Society 
THEO,3,1017,"This is a two-semester course that fulfills the Theology core requirement.  This sequence of courses considers significant questions in conversation with some of the most important writings in the tradition of Western Christian thought. Its purpose is to encourage students by drawing systematically on primary sources of historical significance to uncover the roots of the Christian faith and life and to delineate the values for which this tradition of faith stands. Students considering a minor course of study in the Faith, Peace, and Justice Program will find this course of special interest.",Introduction to Christian Theology II 
HIST,0,1018,TBD,Discussion Group for HS 016 
SOCY,3,1019,TBD,The Roots of Racial Wealth Gap in Public Policy 
ADCO,3,1020,"Surveys the political, social, and cultural forces that influenced the development of the media. Topics include media history, governmental regulation issues, media economics, the impact of mass media on society, and the organizational decision-making process within the media institutions.",Survey of Mass Communication 
THTR,1,1021,TBD,Theatre Production Lab II: Scenery Prep 
THTR,1,1022,TBD,Theatre Production Lab II: Costumes Prep 
BSLW,3,1023,"This course introduces students to the legal system and the social, legal, and regulatory environment of business.  In addition to learning how the legal system works, students study substantive areas of business law including antitrust law, securities regulation, environmental law, employment law, international business and intellectual property rights.  The course includes an examination of the law of contracts from formation requirements to remedies for breach.",Catalyst: Introduction to Law and Legal Process 
THTR,1,1024,TBD,Theatre Production Lab II: Electrics Prep 
HIST,0,1025,TBD,Discussion Group for HS 023 
SOCY,3,1025,"The twenty-first century opened with combined crises of climate, bio-diversity, and eco-system collapse. This course studies these crises from the dual perspectives of history and sociology. We look at how climate change developed, the shift from sustainable to unsustainable agriculture, the loss of forests around the planet, toxic chemicals, population trends, and other topics. For each section of the course we begin with historical trends before tackling present issues. Throughout, the class we focus not just on problems, but also solutions. This year we are planning to ""flip"" the class in order to maximize interaction and project based learning. The class will not be offered in 2016-17.",People & Nature: History & Future of Human Impacts on the Planet 
THTR,1,1026,TBD,Theatre Production Lab II: Special Topics Prep 
HIST,3,1027,"This is the first of two courses that survey the historical development of Europe from the Renaissance to the present, with the intention of explaining how the unique Western society in which we live today came into being. The great expansion of European power and culture since 1500 has made the development of Europe a key to understanding the modern world as a whole. Particular emphasis is placed on political, diplomatic, and cultural factors, but social, economic and religious aspects are also covered.  The first semester will cover the period from the Renaissance through the French Revolution. The first half is a hybrid course consisting of on-line discussions and one class meeting per week.",Modern History I 
SOCY,3,1027,"Climate crisis and ecological overshoot have become humanity's most pressing challenges. Despite the contemporary nature of these problems, human disruption of the natural environment is not new. Environmental historians have identified major human alterations in ecosystems over the last 500 years. This course combines historical and contemporary perspectives to explore both the familiar and the novel as we study forests, climate, agriculture, water, and toxic pollution. We devote substantial attention to solutions and what will be necessary to achieve a sustainable future.",Eco-Challenges and Sustainable Solutions 
ADHS,3,1028,"A survey of European history from the end of the French Revolution to the present. Topics include the impact of industrialization on European society, the expansion and retreat of European imperialism, the Enlightenment tradition and challenges to it, 20th century capitalist crises and responses to them.",Social/Cultural Europe Since 1789 
SOCY,0,1029,Discussion group for SOCY1025,People and Nature Discussion Group 
SOCY,3,1030,"This course explores the social construction of boundaries between the ""normal"" and the so-called ""deviant."" It examines the struggle between powerful forms of social control and what these exclude, silence, or marginalize. Of particular concern is the relationship between dominant forms of religious, legal, and medical social control and gendered, racialized and global economic structures of power. The course provides an in-depth historical analysis of theoretical perspectives used to explain, study and control deviance, as well as ethical-political inquiry into such matters as religious excess, crime, madness, corporate and governmental wrong-doing, and sexual subcultures that resist dominant social norms.",Deviance and Social Control 
POLI,6,1031,"This course explores how marginalized and oppressed people have used public performancesin the theatre and on the streetsto make political claims about human rights and social justice. We will examine a range of political plays and protest movements, asking how and why do relatively powerless people use public performances to make political claims? Can theatre be both good politics and good art? Students will create their own political performances (e.g. short plays, puppet shows, videos, etc.), learning about various aspects of theatre while developing a better understanding of their own political views and interests.",Performing Politics 
HIST,3,1032,The continuation of HIST1031,Europe and the Modern World II 
HIST,0,1033,TBD,Discussion Group for HIST1031 
HIST,0,1034,TBD,Discussion Group for HIST1032 
MATH,3,1035,TBD,Intro to Probability and Statistics for OTE 
MATH,3,1036,TBD,Intro to Calculus for OTE 
SOCY,3,1037,"This course examines social institutions in American Indian societies, such as the family, religion, and government. Focusing on southeastern peoples, especially the Cherokee, the course begins with the period of ""first contact"" and investigates the impacts of European cultures. It pays special attention to the development of the institution of African American slavery in American Indian societies, and the consequences for contemporary legal-political controversies among White, Black, and Native Americans.",Introduction to American Indian Societies 
THEO,3,1037,"A course for beginners in Hebrew with attention to modern Israeli. The course is intended to develop the ability to read a variety of Hebrew texts and other Hebrew prose and poetry and to set a foundation for both conversational and compositional skills. As part of the learning, students will be exposed to modern Israeli culture. No previous knowledge of Hebrew is assumed.",Introduction to Modern Hebrew I 
HIST,0,1038,TBD,Discussion Group for HS 036 
SOCY,3,1038,"Viewing race, class, gender, sexuality, and other identities as inseparable from discussions of inequality and power, this course will begin by discussing the social construction of these categories and how they are connected.  We will then look at how these social identities shape  and are also shaped by four general subject areas:  (1) wealth and poverty, (2) education, (3) family, and (4) crime, law, and social policy.  Although this course is separated into subject areas, we shall see that these areas greatly overlap and are mutually influenced by one other.","Race, Class, and Gender "
THEO,3,1038,"The second semester of a course for beginners in Hebrew, with attention to modern Israeli. The course is intended to develop the ability to read Hebrew texts and other Hebrew prose and poetry and to set a foundation for both conversational and compositional skills. As part of their learning, students will be exposed to modern Israeli culture.",Introduction to Modern Hebrew II 
HIST,3,1039,"The past five hundred years witnessed the rise to power and prosperity of Western societies. This course examines the significance of the beginning of global relationships. Includes issues in early modern European history, as well as early exploration, the colonization of America, the African slave trade and the Atlantic economic dependency.",The West and the World 1500-1789 
SOCY,3,1039,"The aim of this course is to provide a broad overview of how Africa has impacted the world and how the world has impacted upon Africa. The course is divided into six basic topic of ""units."" Each unit deals with a major area of debate in the field of African studies.",African World Perspectives 
ADHS,3,1040,"This course examines the major developments of European history from the French Revolution to the present. These developments are studied from a political, social, economic and cultural point of view, not simply for the impact they had on Europe, but also for their wider global significance.",West and World Since 1789 
HIST,3,1041,"The purpose of this course is two-fold. First, as an essential part of a liberal education, the course will assist students to develop their skills of critical reading, thinking, speaking, and writing. Second, the course will introduce students to some of the broad outlines of European politics, society, and culture from the Renaissance and Reformation to the outbreak of the French Revolution.",Europe in the World I 
THTR,2,1042,TBD,Advanced Project Lab: Costume Design 
HIST,0,1043,TBD,Discussion Group for HS 041 
HIST,0,1044,TBD,Discussion Group for HS 042 
ADFN,4,1045,"Course explores tools to better understand the complex financial investment which all investors have access to and must now use to meet their long term financial objectives. In periods of economic and financial uncertainty, financial knowledge is critical to achieving greater financial security. Focus is on two key elements of the investment process - security analysis and portfolio management. Security analysis involves understanding the characteristics of 
various securities such as stocks, bonds, options, and futures contracts in the marketplace. Portfolio management is the process of combining individual securities into an optimal portfolio tailored to the investors objectives and constraints. Familiarity with Introductory Finance is recommended but not required.","Investments:Stocks,Bonds,Securities Market "
HIST,3,1046,The continuation of HIST1045,Modern History II 
HIST,0,1047,TBD,Discussion Group for HS 045 
HIST,0,1048,TBD,Discussion Group for HS 046 
THTR,2,1049,TBD,Advanced Production Lab: Stage Manager 
GERM,3,1050,"The emphasis will be on further training in active use of the language, with emphasis on reading and conversation. The course includes readings in twentieth-century German prose, fiction, and non-fiction; German culture and society; grammar review; and discussion and composition. Auditors must register.",Intermediate German I 
THTR,2,1051,TBD,Advanced Production Lab: Technical Director 
HIST,3,1052,The continuation of HS 051.,Modern History II:  The Rise of Europe in the World 
CLAS,3,1052,"This course is a review of the essentials of Classical Attic grammar and a reading of selections from Greek literature, often Xenophon's  Anabasis, Plato's Apology and/or Crito, or a play such as Euripides's Medea.",Intermediate Ancient Greek I 
HIST,0,1053,TBD,Discussion Group for HS 051 
CLAS,3,1053,"This course is designed to develop students proficiency in reading Greek literature in the original language through intensive readings from two Greek travel narratives: Book 9 of Homers Odyssey (including the story of the Cyclops) and selections from Xenophon's Anabasis. We will read the Greek assignments slowly and carefully while reviewing grammar, combined with discussion of the social and cultural contexts of these works.",Intermediate Ancient Greek II 
HIST,0,1054,TBD,Discussion Group for HS 052 
ADCO,3,1055,TBD,Transcultural Communication 
CLAS,3,1056,This course gives a thorough review of the essential grammatical forms presented in Elementary Latin along with a close reading of an introductory selection of Roman prose and poetry.,Intermediate Latin I 
HIST,0,1057,TBD,Discussion Group for HIST1055 
HIST,0,1058,TBD,Discussion Group for HIST1056 
HIST,3,1059,"This course surveys the making of the modern world from the perspective of Eurasia, from the long-distance links formed by medieval Islam to the global context of the Industrial Revolution of the eighteenth century. Along the way, we will challenge common geographical (mis)conceptions of East versus West in historical narratives and find out where they came from and how they have changed. While emphasizing global conjunctions in history, this course will highlight the interaction of Europe and Asia in the the period before 1880. Topics to be examined include trade, religion, ecological change, migration, and warfare.",Islam and Global Modernities I 
ERME,3,1060,"This course emphasizes that assessment entails more than quizzes, unit tests, and standardized multiple-choice measures of student learning.  The course explores how assessment is a key component of all aspects of the instructional process including organizing and creating a classroom culture, planning lessons, delivering instruction, and examining how students have grown as result of instruction. The validity of inferences and decisions made based on assessment information is examined within each phase of instruction.  The goal is to show students that assessment is an integral part of teaching that should not be separated from daily classroom practices.",Classroom Assessment 
CLAS,3,1061,"This course is a continuation of CLAS1060, which is offered in the fall semester.",Elementary Modern Greek II 
HIST,0,1062,TBD,Discussion Group for HS 060 
HIST,3,1063,"This course runs from the 1490s to the 1790s and is a survey of the rise of capitalism and colonialism and their impact (economic, social, and cultural) upon Europeans and Latin Americans (Indigenous, Iberian, and African), including the rise of Portuguese, Spanish, Dutch, and English empires, the Atlantic slave trade, and the revolutions in England, France, and their American colonies.",Latin America in the World I 
HIST,3,1064,"The course looks at the development of modern Latin America through the examination of revolutions that took place throughout the Americas from the late 18th through the early 21st centuries. The independence of United States from England failed as a model for political, economic, and social change in Latin America. Through an understanding of the Haitian Revolution, the Independence movements of the Spanish Americas, Brazil's break from Portuguese authority, the struggle for Cuban Independence in the late 19th century, the Mexican Revolution, and the socialist revolutions in 20th century Latin America, we will trace the development of modern Latin America.",Latin America in the World II 
FREN,3,1065,"The course objectives are (1) to develop the ability to read French readily and accurately through the study of grammatical structures and vocabulary; (2) to develop techniques for the reading of French-language material;  and (3) to provide practice in the translation of French texts in general and of texts related to the students' major fields of study and research. This course may be taken for a grade, for pass/fail, or audited (as a registered auditor). Students desiring a pass/fail grade must file this grading preference with the Graduate School of Arts and Sciences.",Intensive Reading in French 
HIST,0,1066,TBD,Discussion Group for HIST1064 
SOCY,3,1067,"This course will examine the relationship between education and society through the lens of sociology.  Students will develop competency around sociological theories and methods that will allow them to deconstruct some of the perennial questions in education, such as: What is the function of schooling in modern society?  Can education be relied upon to facilitate social mobility, or does it create social reproduction?  How have changing definitions of childhood and family coexisted alongside education in U.S. society?  Should everyone go to college?  How will digital media and technological change influence institutional change in education?",Sociology of Education 
HIST,3,1068,The continuation of HIST1067,America and the World II 
HIST,0,1069,TBD,Discussion Group for HIST1067 
CLAS,3,1070,This second-year course in Modern Greek will provide a review of the grammar and introduce the students to the reading of selected literary excerpts from prose and poetry.,Intermediate Modern Greek I 
CLAS,3,1071,This second-year course is a continuation of CLAS1070 offered in the fall semester.,Intermediate Modern Greek II 
PSYC,3,1072,"Memory doesn't just help us to excel on exams or to reminisce with friends. The ability to learn from past experiences makes us who we are and allows us to function in society. This course uses the study of memory as a way to explore the psychological research process. We will examine how we remember and why we forget, how our memories are tied to our sense of self and to our relations to others in society, and how everyone from advertisers to professors can capitalize on the nature of memory to influence what we remember about an experience.",Memory in Everyday Life 
SOCY,3,1073,"An introduction to the Political Economy this course will introduce students to theories, concepts and tools for studying relations between states and markets that affects the structure of power relationships. Taking a global approach we will examine the different forms of state repression, the consequences of a neoliberal and decentralized global market, and its affects on individual people/workers. This course is motivated by three inter-related questions: (1) What is the appropriate role of the government in the economy? (2) How should states govern its citizens? (3) What is the role of individuals who make up civil society?","States, Markets, and Bodies "
ADTH,3,1074,TBD,Christian Social Ethics 
SOCY,3,1076,"This course is dedicated to investigating popular culture and its role in American society and abroad. We'll be looking at a variety of sociological perspectives to examine the role of media and popular culture in everyday life, with a particular emphasis on mass media, the relationship between cultural consumption and social status, and the social significance of leisure activities from sports to shopping. We will explore definitions of ""popular culture,"" as well as those who create it and consume it. We'll look at gender, race and ethnicity as they are expressed in mainstream popular culture and subculture.",Sociology of Popular Culture 
HIST,3,1077,For description of course see HIST1055,Globalization I 
HIST,3,1078,Continuation of HIST1077,Globalization II 
HIST,0,1079,TBD,Discussion Group/HIST1077 
HIST,0,1080,TBD,Modern History II: Africa's World II 
PHIL,0,1081,Discussion group for Personal and Social Responsibility II.,Discussion Group/PL 089 
THEO,3,1082,Continued work in the study of  modern Israeli Hebrew and the reading and comprehension of texts of moderate difficulty.,Continuing Modern Hebrew II 
ADTH,4,1083,"Every culture treasures and transmits stories that graphically convey its values. Some stories, like the Exodus story of liberation and new freedom, resonate across times and cultures. Others are more localized and sometimes at odds with dominant cultural stories. This course examines both kinds of stories in works of literature, film, journalism, social analysis and theology. Readings: Exodus, Jaroslav Pelikans Jesus Through the Centuries, Michael Walzers Exodus and Revolution. In the study of clashing stories, we conclude with the story of the universal family as articulated by Pope Paul VIs On the Development of Peoples.",Explorations in Social Ethics I 
SOCY,3,1084,"The purpose of this course is to increase the understanding of how the mass communication system operates in American society, and how and why media products take the form that they do. It focuses on the production of news, advertising and entertainment. We will examine how various media industries are organized and how such organization is sometimes transformed by regulation, competition, and/or technology. We will focus on media content and investigate factors that promote stability, change, and diversity. We will address the consumers of mass media products and how they utilize and are affected by media content.",Mass Media in American Society 
HIST,0,1085,TBD,Discussion Group/HIST1083 
PHIL,3,1086,"This course explores contemporary approaches to personhood, including philosophical, theological, and scientific contributions to concepts such as uniqueness and particularity, subjectivity and desire, relationality and communion; freedom and ethical responsibility. In the second half of this course, we address the implications of our investigations to specific contemporary issues, including the influence of  technology (e.g. social media, artificial intelligence), market economies, and consumerism on our self-understanding as persons and ethical beings. Throughout this course, we will continually return to two fundamental questions: 1) Who am I? and 2) Who should I become? Our readings and class discussion will assist in formulating answers to these fundamental questions, helping to uncover some of the hidden assumptions guiding our understanding of ourselves.   No special background in philosophy will be assumed for this introductory course.",Ethical Identities & Personhood 
HIST,3,1087,See description for HIST1055,Globalization I 
HIST,3,1088,The continuation of HIST1087,Globalization II 
HIST,0,1089,TBD,Discussion Group for HIST1087 
MUSA,1,1090,"In meetings twice a week students learn to sing melodies by sight through a solfege system of drilling scales and intervals (sight-singing) and learn to notate melodic, rhythmic, and harmonic patterns (ear-training).  The course principally helps students pass the Ear Training/Sight Singing requirement  for the major but can benefit individuals in singing groups or those who wish to improve their practical musical skills.  Preference given to majors & minors.  Usually taken concurrently with MUSA 2100 Harmony or MUSA 3100 Chromatic Harmony.",Ear Training/Sight-Singing Lab 
PHIL,3,1091,See description under PHIL1090.,Perspectives on Western Culture II/Perspectives II 
THEO,3,1091,See description under PHIL1090.,Perspectives on Western Culture II/Perspectives II 
SOCY,3,1092,"We analyze issues of war and peace before and after the Cold War, focusing on U.S. wars, largely in the Third World. In the first part of the course, we explore core theories of the roots of war. In the second part, we focus on the Cold War era, examining Vietnam, El Salvador, and other U.S. conflicts. In the third part, we focus on more recent wars: Iraq,Syria,  the Israeli-Palestinian conflict, the ""war on terrorism"" as well as conflicts such as Rwanda and Sudan. The fourth section explores the United Nations, social activism among students, and other routes to peace.",Peace or War 
HIST,3,1093,"This course covers several centuries of time (prior to 1800)and traces the political, social, economic, and cultural changes that created the modern world. Depending on the expertise of the instructor, different parts of the world may serve as focal points for examining the complex historical processes behind modern-day transnational relationships, values, and ideas. As part of the Core Curriculum, this course seeks to broaden students' intellectual horizons by exposing them to new places, periods, and perspectives.",Modern History I 
ENGL,3,1094,"Following on from ENGL1093, this course offers a continuing introduction to the Irish language for American students. We will continue along our examination of Irish culture and literature through the Irish language. You can look forward to reading contemporary texts, poetry, and drama, and to enlarging your understanding of the cultural heritage out of which the language emerged. Completion of this and Continuing Modern Irish I and II will fulfill the Morrissey College of Arts and Sciences language proficiency requirement.",An Introduction to Modern Irish II 
SOCY,3,1096,"""Age doesn't matter unless you're a cheese,"" quipped actress Billie Burke (the Good Witch in The Wizard of Oz). Nevertheless, age does matter within societies. This class will cover specific topics in four general areas of sociological study: roles and relationships (e.g., within the family), inequalities (e.g., ageism), institutions (e.g., health care), and social change (e.g., the aging of the population). By the end of the course, you will have acquired a new approach to thinking about how you and others age in the social world and the ways in which age is portrayed in the media.",Aging and Society 
SOCY,3,1097,"The course presents an overview of the major issues, themes, and controversies in the death and dying literature. Historical, cultural, political, economic, and psychological aspects are considered, but the emphasis is on sociological dimensions and perspectives. Among the issues to be considered are the following: historical trends in attitudes toward death, cross-cultural and historical perspectives on death, the development of children's understanding of death, health care for the dying, hospice, patient-caregiver relationship, the social role of the dying patient, funeral practices, bereavement, truth-telling and the terminal patient, suicide, assisted suicide, genocide, euthanasia, homicide, the death penalty, near-death experiences, brain death, efforts to extend the human lifespan, and social immortality.",Death and Dying 
EALC,1,1100,"Tutorial supervision of independent language learning in Mandarin Chinese. 
Extremely limited availability and admission criteria.",Independent Language Study: Mandarin Chinese 
AADS,3,1101,"This course provides an overview of the recent history of sub-Saharan Africa. It begins by examining colonization and the dynamics of colonialism, then traces the development of anti-colonialism and nationalism, and concludes by surveying the trajectories of post-colonial states and societies. Throughout the semester we will think about popular experiences in addition to institutional or elite narratives, ask questions about the changing position of Africa in the world, and contemplate the stakes of conceptualizing African history in the present. Materials will include a range of academic literature, fiction and non-fiction works by African intellectuals, and visual media.",Africa Since 1850 
HONR,3,1102,See course description under HONR1101.,Western Cultural Tradition II 
MATH,4,1103,"MATH1103 is a continuation of MATH1102. Topics covered in the course include several algebraic techniques of integration, many applications of integration, and infinite sequences and series.",Calculus II 
HONR,3,1104,See course description under HONR1101.,Western Cultural Tradition IV 
AADS,3,1104,"This two-semester survey examines the history and culture of African-Americans from the pre-colonial period to the present. The first semester treats the period before the middle passage, the evolution of slave and free society, the development of Black institutions, and the emergence of protest movements through the Civil War's end. During the second semester, the emphases are placed on issues of freedom and equality from Reconstruction, urban migration, and civil rights struggles through current consideration of race, class, and gender conflicts.",African-American History I 
HIST,3,1105,"This course covers several centuries of time and traces the political, social, economic, and cultural changes that created the modern world. Depending on the expertise of the instructor, different parts of the world may serve as focal points for examining the complex historical processes behind modern-day transnational relationships, values, and ideas. As part of the Core Curriculum, this course seeks to broaden students' intellectual horizons by exposing them to new places, periods, and perspectives.",Modern History I 
CHEM,3,1106,"This is a two-semester sequence. The second semester focuses on the basic principles of organic chemistry and topics covered include the chemistry of life, nutrition, medicine, and agriculture. The goal of the course is to develop a knowledge base from which one can make intelligent decisions about local global environmental issues as well as formulate solutions to the ever-increasingly complex problems of today's technological society.",Chemistry and Society II 
THEO,3,1107,"The course is designed to introduce the variety of African religious experiences within the context of world religions. The significance and contents of Africism as the African autochthonal religion will be outlined. Heterochthonal religions to Africa will be discussed. These include the following: Middle East originating religions, like Judaism, Christianity, and Islam, and those originating in India, like Hinduism, Jainism, Sikhism, and Parseeism. While emphasis will be laid on the impact religion has had on African communities within the context of peace and justice in the world, the course will also consider the role of Africism in a changing Africa.",Religion in Africa 
AADS,3,1108,"By studying creative writing by African writers and writers of African descent, this course examines how diasporic Africans created viable lives for themselves in the ""New World.""  Questions that define this study include: how were Africans in the diaspora able to negotiate the complex social, political, and cultural spaces they encountered? What ancestral traces have they retained and how do these traces co-exist within New World realities?",African and African Diaspora Literature 
FREN,3,1109,"The emphasis will be on building upon prior study and developing a practical knowledge of the French language, as spoken by native speakers in contemporary France. Our goal is to help students develop oral and written proficiency in the language. The emphasis is on contemporary French culture and history, vocabulary expansion, accuracy of expression, and interactive language use. Short literary and cultural readings will provide authentic insight. Classroom work will be supplemented with web-based assignments and an online audio program.",Intermediate French I 
CHEM,3,1110,"This course is intended for students whose major interest is science or medicine. It offers a rigorous introduction to the principles of chemistry with special emphasis on quantitative relationships, chemical equilibrium, and the structures of atoms, molecules, and crystals. The properties of the more common elements and compounds are considered against a background of these principles and the periodic table.",General Chemistry II 
PSYC,3,1111,"This course is one of two introductory courses required for Psychology majors, along with PS1110. This course introduces students to the basic questions, perspectives, and methods that characterize the fields of developmental, social, cultural, personality, and clinical psychology.",Introduction to Psychology as a Social Science 
BIOL,3,1112,Seniors with advanced standing who have already completed at least one semester of undergraduate research can apply to participate in the Biology Honors Program.  Students design and execute experiments as part of independent research projects conducted under the mentorship of a faculty member. Students write a senior honors thesis describing their project and its results.,Biology Honors Research Thesis I 
ITAL,3,1113,"The prime objective of the course is to improve reading and writing skills, to continue building oral proficiency, and to provide a lively and current cultural background of contemporary Italy. A review of the elements of language will be supplemented by the reading of selected texts, oral practice, and individual research, all presented within the context of contemporary Italian society and classic Italian culture. Students will develop their ability to satisfy basic survival needs and to engage in conversation on a fairly complex level.",Intermediate Italian I 
ITAL,3,1114,"The prime objective of the course is to improve reading and writing skills, to continue building oral proficiency, and to provide a lively and current cultural background of contemporary Italy. A review of the elements of language will be supplemented by the reading of selected texts, oral practice, and individual research, all presented within the context of contemporary Italian society and classic Italian culture. Students will develop their ability to satisfy basic survival needs and to engage in conversation on a fairly complex level.",Intermediate Italian II 
UNAS,1,1115,"From a stylistic perspective, this course examines one of the building blocks of any piece of writingsentences. Although writing a sentence is often taken for granted, in fact writing even a single sentence involves many choices. For any sentence, usually there isnt only one way to grammatically structure it, isnt only one way to arrange its parts, isnt only one way to word it. This course unpacks important stylistic choices, demonstrating that how a sentence is written determines what meaning it conveys. To better appreciate sentence mechanics, students will analyze the writing style in published articles and posts, and will also complete short writing exercises and assignments and analyze their own writing style. Through this practice, students will learn how to write sentences that are clear and effective.",Writing Style: Sentence Mechanics 
PHIL,3,1116,"The medieval world of philosophy and theology was a multicultural world: Arabian, Jewish, and Christian thinkers from the three great religious traditions adopted, adapted, and shared the philosophical riches of the classical world and the religious resources of the biblical heritage. This course introduces students to the great Arabian thinkers Alfarabi, Avicenna, Algazel and Averroes; the respected Jewish authors Saadiah Gaon, Moses Maimonides, and Gersonides; and the famous Christian writers Anselm, Bonaventure, and Thomas Aquinas and the intellectual challenges from the Greek intellectual world that they met and faced in the Middle Ages.",Medieval Religions and Thought 
ARTS,3,1117,"This drawing course focuses on the genre of portraiture, both in theory and in practice. The Mona Lisa, carnival portraits, and everything in between they all share the same initial approach to the figure. We will first hone in on the structure of the head. From there, we will use value, shapes, and color to create strong portraits with charcoal, gouache, and watercolor pencils. Along with traditional methods we will explore contemporary approaches to portraiture, with differing uses of format, composition, and color schemes. Classroom activities will include demonstration, lecture, and critiques. Basic drawing skills are strongly recommended.",The Art of Portraiture 
CHEM,3,1118,This is the second part of a one-year course that serves as the Honors alternative to the two-semester General Chemistry CHEM1109-1110. This course will build upon the chemical fundamentals that were covered in the first semester to introduce organic chemistry as well as its physical basis. Topics to be covered include the structure and reactivity of organic compounds.,Honors Modern Chemistry II 
ADPS,4,1119,"Violence by our young people has become a national public health epidemic. Youthful assailants have moved from misdemeanors to major crimes of homicide, rape, robbery and assault. When violence occurs, the community asks why were there no warning signs of impending trouble and what can be done to prevent such problems in the future? This course examines the warning signs, which are usually many and protracted; it looks at related theories of development, attachment and adjustment and then explores active strategies parents, teachers, counselors, law enforcement and others interested in young people can implement to prevent these violent outbursts.",Preventing Youth Violence 
CHEM,1,1120,Laboratory required for all students enrolled in CHEM1118. This laboratory course stresses discovery-based experiments. It uses state-of-the-art instrumentation to illustrate the principles discussed in CHEM1117-1118 and introduces students to techniques used in modern chemical research. One three-hour period per week.,Honors Modern Chemistry Laboratory II 
AADS,3,1120,"The course is designed to introduce the variety of African religious experiences within the context of world religions. The significance and contents of Africism as the African autochthonal religion will be outlined. Heterochthonal religions to Africa will be discussed. These include the following: Middle East originating religions, like Judaism, Christianity, and Islam, and those originating in India, like Hinduism, Jainism, Sikhism, and Parseeism. While emphasis will be laid on the impact religion has had on African communities within the context of peace and justice in the world, the course will also consider the role of Africism in a changing Africa.",Religion in Africa 
UNAS,3,1121,See course description under UN 119.,New Scientific Visions II/Perspectives IV 
NELC,3,1122,"This course is a continuation of NELC1121 (SL017), a first-semester course. Students who have not taken NELC1121 (SL017) should not enroll in NELC1122 (SL018) unless they have spoken with the instructor first.",Elementary Arabic II 
NELC,3,1123,Required exercises and conversational practice to supplement Elementary Arabic I/II.,Elementary Arabic Practicum 
