Course Title,Term,Course Description,Course Number,Credits,Course Id
 Topics in Fluids and Propulsion,"Spring, Fall","Provides credit for work on material in fluids or propulsion outside of regularly scheduled subjects. Intended for study abroad under either the department's Year Abroad Program or the Cambridge-MIT Exchange Program. Credit may be used to satisfy specific SB degree requirements. Requires prior approval. Consult department.
",16,Not Defined,16.101
 Flight Vehicle Aerodynamics,Fall,"Aerodynamic analysis of flight vehicles using analytical, numerical, and experimental techniques separately and in combination. Matched asymptotic expansions. Farfield behavior. Finite wing theory. Trefftz-plane analysis. Laminar and turbulent boundary layers. Slender body theory. Calculation and measurement of drag components. Aerodynamic stability derivatives.
",16,12,16.110
 Compressible Internal Flow,Spring,"Internal compressible flow with applications in propulsion and fluid systems. Control volume analysis of compressible flow devices. Compressible channel flow and extensions, including effects of shock waves, momentum, energy and mass addition, swirl, and flow non-uniformity on Mach numbers, flow regimes, and choking.
",16,6,16.120
 Analytical Subsonic Aerodynamics (New),Fall,"Analysis of external inviscid, subsonic, flow over aerodynamic thin airfoils and slender lifting bodies. Analyses formulated using singular perturbation and multiple scale methods. Linearized theory. Similarity. Rayleigh-Janzen method. Prandtl-Glauert method. Gthert similarity rule. Subsonic flow past a wave-shaped wall.
",16,6,16.121
 Analytical High Speed Aerodynamics,Spring,"Analysis of external inviscid, transonic, supersonic, and hypersonic flows over thin airfoils and lifting bodies of revolution. Analyses formulated using singular perturbation and multiple scale methods and parametric differentiation. Non-linear, unsteady transonic flow. Prandtl-Meyer flow. Body of minimum wave drag. Sonic boom. Hypersonic equivalence principle. Hypersonic similarity rule (matched asymptotic expansions).
",16,6,16.122
 Aerodynamics of Viscous Fluids,Spring,"Boundary layers as rational approximations to the solutions of exact equations of fluid motion. Physical parameters influencing laminar and turbulent aerodynamic flows and transition. Effects of compressibility, heat conduction, and frame rotation. Influence of boundary layers on outer potential flow and associated stall and drag mechanisms. Numerical solution techniques and exercises.
",16,12,16.13
 Structural Mechanics,Spring,"Applies solid mechanics to analysis of high-technology structures. Structural design considerations. Review of three-dimensional elasticity theory; stress, strain, anisotropic materials, and heating effects. Two-dimensional plane stress and plane strain problems. Torsion theory for arbitrary sections. Bending of unsymmetrical section and mixed material beams. Bending, shear, and torsion of thin-wall shell beams. Buckling of columns and stability phenomena. Introduction to structural dynamics. Exercises in the design of general and aerospace structures.
",16,12,16.20
 Topics in Materials and Structures,"Spring, Fall","Provides credit for work in materials and structures outside of regularly scheduled subjects. Intended for study abroad under either the department's Year Abroad Program or the Cambridge-MIT Exchange Program. Credit may be used to satisfy specific SB degree requirements. Requires prior approval. Consult department.
",16,Not Defined,16.201
 Manufacturing with Advanced Composite Materials,Fall,"Introduces the methods used to manufacture parts made of advanced composite materials with work in the Technology Laboratory for Advanced Composites. Students gain hands-on experience by fabricating, machining, instrumenting, and testing graphite/epoxy specimens. Students also design, build, and test a composite structure as part of a design contest. Lectures supplement laboratory sessions with background information on the nature of composites, curing, composite machining, secondary bonding, and the testing of composites.
",16,6,16.202
 Structural Dynamics and Vibrations,Fall,"Single- and multiple-degree-of-freedom vibration problems, using matrix formulation and normal mode superposition methods. Time and frequency domain solution techniques including convolution and Fourier transforms. Applications to vibration isolation, damping treatment, and dynamic absorbers. Analysis of continuous systems by exact and approximate methods. Applications to buildings, ships, aircraft and offshore structures. Vibration measurement and analysis techniques. Students should possess basic knowledge in structural mechanics and in linear algebra. Students taking graduate version complete additional assignments.
",16,12,16.221[J]
 Mechanics of Heterogeneous Materials,Fall,"Mechanical behavior of heterogeneous materials such as thin-film microelectro- mechanical systems (MEMS) materials and advanced filamentary composites, with particular emphasis on laminated structural configurations. Anisotropic and crystallographic elasticity formulations. Structure, properties and mechanics of constituents such as films, substrates, active materials, fibers, and matrices including nano- and micro-scale constituents. Effective properties from constituent properties. Classical laminated plate theory for modeling structural behavior including extrinsic and intrinsic strains and stresses such as environmental effects. Introduction to buckling of plates and nonlinear (deformations) plate theory. Other issues in modeling heterogeneous materials such as fracture/failure of laminated structures.
",16,12,16.223[J]
 Computational Mechanics of Materials,Fall,"Formulation of numerical (finite element) methods for the analysis of the nonlinear continuum response of materials. The range of material behavior considered includes finite deformation elasticity and inelasticity. Numerical formulation and algorithms include variational formulation and variational constitutive updates; finite element discretization; constrained problems; time discretization and convergence analysis. Strong emphasis on the (parallel) computer implementation of algorithms in programming assignments. The application to real engineering applications and problems in engineering science are stressed throughout. Experience in either C++, C, or Fortran required.
",16,12,16.225[J]
 Plates and Shells: Static and Dynamic Analysis,Spring,"See description under subject 2.081[J].
",16,12,16.230[J]
 Feedback Control Systems,Fall,"Reviews classical control design using root locus and frequency domain methods (Nyquist diagrams and Bode plots). Studies state-space representation of dynamic systems, including model realizations, controllability, and observability. Introduces the state-space approach to control system analysis and synthesis, including full state feedback using pole placement, state estimation, and the design of dynamic control laws. Also covers performance limitations and robustness. Extensive use of computer-aided control design tools. Applications to various aerospace systems including navigation, guidance, and control of vehicles. Students taking the graduate version complete additional assignments.
",16,12,16.30
" Topics in Control, Dynamics, and Automation","Spring, Fall","Provides credit for work on material in control and/or dynamics and/or automation outside of regularly scheduled subjects. Intended for study abroad under either the department's Year Abroad Program or the Cambridge-MIT Exchange Program. Credit may be used to satisfy specific SB degree requirements. Requires prior approval. Consult department.
",16,Not Defined,16.301
 Feedback Control Systems,Fall,"Graduate-level version of 16.30; see description under 16.30. Includes additional homework questions, laboratory experiments, and a term project beyond 16.30 with a particular focus on the material associated with state-space realizations of MIMO transfer function (matrices); MIMO zeros, controllability, and observability; stochastic processes and estimation; limitations on performance; design and analysis of dynamic output feedback controllers; and robustness of multivariable control systems.
",16,12,16.31
 Stochastic Estimation and Control,Fall,"Estimation and control of dynamic systems. Brief review of probability and random variables. Classical and state-space descriptions of random processes and their propagation through linear systems. Frequency domain design of filters and compensators. The Kalman filter to estimate the states of dynamic systems. Conditions for stability of the filter equations.
",16,12,16.322
 Principles of Optimal Control,Spring,"Studies basic optimization and the principles of optimal control. Considers deterministic and stochastic problems for both discrete and continuous systems. Solution methods include numerical search algorithms, model predictive control, dynamic programming, variational calculus, and approaches based on Pontryagin's maximum principle. Includes many examples and applications of the theory.
",16,12,16.323
 Aircraft Stability and Control,Spring,"Brief review of applied aerodynamics and modern approaches in aircraft stability and control. Static stability and trim. Stability derivatives and characteristic longitudinal and lateral-directional motions. Physical effects of wing, fuselage, and tail on aircraft motion. Flight vehicle stabilization by classical and modern control techniques. Time and frequency domain analysis of control system performance. Human pilot models and pilot-in-the-loop control with applications. V/STOL stability, dynamics, and control during transition from hover to forward flight. Parameter sensitivity and handling quality analysis of aircraft through variable flight conditions. Brief discussion of motion at high angles-of-attack, roll coupling, and other nonlinear flight regimes.
",16,12,16.333
 Dynamic Systems and Control,Spring,"See description under subject 6.241[J].
",16,12,16.338[J]
 Spacecraft and Aircraft Sensors and Instrumentation,Fall,"Covers fundamental sensor and instrumentation principles in the context of systems designed for space or atmospheric flight. Systems discussed include basic measurement system for force, temperature, pressure; navigation systems (Global Positioning System, Inertial Reference Systems, radio navigation), air data systems, communication systems; spacecraft attitude determination by stellar, solar, and horizon sensing; remote sensing by incoherent and Doppler radar, radiometry, spectrometry, and interferometry. Also included is a review of basic electromagnetic theory and antenna design and discussion of design considerations for flight. Alternate years.
",16,12,16.343
 Astrodynamics,Spring,"Fundamentals of astrodynamics; the two-body orbital initial-value and boundary-value problems with applications to space vehicle navigation and guidance for lunar and planetary missions with applications to space vehicle navigation and guidance for lunar and planetary missions including both powered flight and midcourse maneuvers. Topics include celestial mechanics, Kepler's problem, Lambert's problem, orbit determination, multi-body methods, mission planning, and recursive algorithms for space navigation. Selected applications from the Apollo, Space Shuttle, and Mars exploration programs.
",16,12,16.346
 Real-Time Systems and Software,Spring,"Concepts, principles, and methods for specifying and designing real-time computer systems. Topics include concurrency, real-time execution implementation, scheduling, testing, verification, real-time analysis, and software engineering concepts. Additional topics include operating system architecture, process management, and networking.
",16,12,16.35
 Concepts in the Engineering of Software,Spring,"Reading and discussion on issues in the engineering of software systems and software development project design. Includes the present state of software engineering, what has been tried in the past, what worked, what did not, and why. Topics may differ in each offering, but are chosen from the software process and life cycle; requirements and specifications; design principles; testing, formal analysis, and reviews; quality management and assessment; product and process metrics; COTS and reuse; evolution and maintenance; team organization and people management; and software engineering aspects of programming languages.
",16,12,16.355[J]
 Communication Systems and Networks,Spring,"Introduces the fundamentals of digital communications and networking. Topics include elements of information theory, sampling and quantization, coding, modulation, signal detection and system performance in the presence of noise. Study of data networking includes multiple access, reliable packet transmission, routing and protocols of the internet. Concepts discussed in the context of aerospace communication systems: aircraft communications, satellite communications, and deep space communications. Students taking graduate version complete additional assignments.
",16,12,16.36
 Communication Systems and Networks,Spring,"Introduces the fundamentals of digital communications and networking, focusing on the study of networks, including protocols, performance analysis, and queuing theory. Topics include elements of information theory, sampling and quantization, coding, modulation, signal detection and system performance in the presence of noise. Study of data networking includes multiple access, reliable packet transmission, routing and protocols of the internet. Concepts discussed in the context of aerospace communication systems: aircraft communications, satellite communications, and deep space communications. Students taking graduate version complete additional assignments.
",16,12,16.363
 Data-Communication Networks,Fall,"See description under subject 6.263[J].
",16,12,16.37[J]
 Statistics for Engineers and Scientists,Fall,"See description under subject 6.434[J].
",16,12,16.391[J]
 Principles of Wide Bandwidth Communication,Fall,"Introduction to the principles of wide bandwidth wireless communication, with a focus on ultra-wide bandwidth (UWB) systems. Topics include the basics of spread-spectrum systems, impulse radio, Rake reception, transmitted reference signaling, spectral analysis, coexistence issues, signal acquisition, channel measurement and modeling, regulatory issues, and ranging, localization and GPS. Consists of lectures and technical presentations by students.
",16,12,16.395
 Human Systems Engineering,Fall,"Provides a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation, space, and medical systems. Focuses primarily on derivation of human engineering design criteria from sensory, motor, and cognitive sources. Includes principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Students taking graduate version complete a research project with a final written report and oral presentation.
",16,12,16.400
 Topics in Communication and Software,"Spring, Fall","Provides credit for student work on undergraduate-level material in communications and/or software outside of regularly scheduled subjects. Intended for study abroad under either the department's Year Abroad Program or the Cambridge-MIT Exchange Program. Credit may be used to satisfy specific SB degree requirements. Requires prior approval. Consult department.
",16,Not Defined,16.401
 Robotics: Science and Systems,Spring,"See description under subject 6.141[J].
Enrollment limited.",16,12,16.405[J]
 Principles of Autonomy and Decision Making,Fall,"Survey of reasoning, optimization and decision making methodologies for creating highly autonomous systems and decision support aids. Focus on principles, algorithms, and their application, taken from the disciplines of artificial intelligence and operations research. Reasoning paradigms include logic and deduction, heuristic and constraint-based search, model-based reasoning, planning and execution, and machine learning. Optimization paradigms include linear programming, integer programming, and dynamic programming. Decision-making paradigms include decision theoretic planning, and Markov decision processes. Students taking graduate version complete additional assignments.
",16,12,16.410
 Cognitive Robotics,Spring,"Algorithms and paradigms for creating a wide range of robotic systems that act intelligently and robustly, by reasoning extensively from models of themselves and their world. Examples range from autonomous Mars explorers and cooperative air vehicles, to everyday embedded devices. Topics include deduction and search in real-time; temporal, decision-theoretic and contingency planning; dynamic execution and re-planning; reasoning about hidden state and failures; reasoning under uncertainty, path planning, mapping and localization, and cooperative and distributed robotics. 8 Engineering Design Points.
",16,12,16.412[J]
 Principles of Autonomy and Decision Making,Fall,"Graduate-level version of 16.410; see description under 16.410. Additional material on reasoning under uncertainty and machine learning, including hidden Markov models, graphical models and Bayesian networks, computational learning theory, reinforcement learning, decision tree learning and support vector machines. Assignments include the application of autonomy algorithms to practical aerospace systems, as well as more advanced programming assignments.
",16,12,16.413
 Planning Under Uncertainty,Fall,"Concepts, principles, and methods for planning with imperfect knowledge. Topics include state estimation, planning in information space, partially observable Markov decision processes, reinforcement learning and planning with uncertain models. Students will develop an understanding of how different planning algorithms and solutions techniques are useful in different problem domains. Previous coursework in artificial intelligence and state estimation strongly recommended.
",16,12,16.420
 Human Supervisory Control of Automated Systems,Fall,"Principles of supervisory control and telerobotics. Different levels of automation are discussed, as well as the allocation of roles and authority between humans and machines. Human-vehicle interface design in highly automated systems. Decision aiding. Trade-offs between human control and human monitoring. Automated alerting systems and human intervention in automatic operation. Enhanced human interface technologies such as virtual presence. Performance, optimization, and social implications of the human-automation system. Examples from aerospace, ground, and undersea vehicles, robotics, and industrial systems.
",16,12,16.422
 Aerospace Biomedical and Life Support Engineering,Spring,"Fundamentals of human performance, physiology, and life support impacting engineering design and aerospace systems. Topics include effects of gravity on the muscle, skeletal, cardiovascular, and neurovestibular systems; human/pilot modeling and human/machine design; flight experiment design; and life support engineering for extravehicular activity (EVA). Case studies of current research are presented. Assignments include a design project, quantitative homework sets, and quizzes emphasizing engineering and systems aspects.
",16,12,16.423[J]
 Sensory-Neural Systems: Spatial Orientation from End Organs to Behavior and Adaptation,Spring,"See description under subject HST.514[J].
",16,12,16.430[J]
" Research Seminar: Human, Remote and Autonomous Systems in Air, Sea, and Space",Fall,"Examines relationships between human-occupied, remotely operated, and autonomous systems in the extreme environments of the deep ocean, air, and spaceflight. Uses a mix of historical, sociological, and engineering perspectives, examines different forms of human presence in each type of system and how they relate to each other in time and space, including: physical hand-on-the stick flying, supervisory control, remote operation, systems design, programming autonomous systems, management. Emphasis on networks of people interacting in networks of organizations through networks of machines.
",16,12,16.440[J]
 Human Systems Engineering,Fall,"Provides a fundamental understanding of human factors that must be taken into account in the design and engineering of complex aviation, space, and medical systems. Focuses primarily on derivation of human engineering design criteria from sensory, motor, and cognitive sources. Includes principles of displays, controls and ergonomics, manual control, the nature of human error, basic experimental design, and human-computer interaction in supervisory control settings. Students taking graduate version complete a research project with a final written report and oral presentation.
",16,12,16.453[J]
 Biomedical Signal and Image Processing,Spring,"See description under subject HST.582[J].
",16,12,16.456[J]
 Bioengineering Journal Article Seminar,"Spring, Fall","Each term, the class selects a new set of professional journal articles on bioengineering topics of current research interest. Some papers are chosen because of particular content, others are selected because they illustrate important points of methodology. Each week, one student leads the discussion, evaluating the strengths, weaknesses, and importance of each paper. Subject may be repeated for credit a maximum of four terms. Letter grade given in the last term applies to all accumulated units of 16.459.
",16,2,16.459
 Statistical Methods in Experimental Design,Spring,"Statistically based experimental design inclusive of forming hypotheses, planning and conducting experiments, analyzing data, and interpreting and communicating results. Topics include descriptive statistics, statistical inference, hypothesis testing, parametric and nonparametric statistical analyses, factorial ANOVA, randomized block designs, MANOVA, linear regression, repeated measures models, and application of statistical software packages.
",16,12,16.470
 Human-Computer Interface Design Colloquium,Fall,"Provides guidance on design and evaluation of human-computer interfaces for students with active research projects. Roundtable discussion on developing user requirements, human-centered design principles, and testing and evaluating methodologies. Students present their work and evaluate each other's projects. Readings complement specific focus areas. Team participation encouraged. Open to advanced undergraduates.
",16,4,16.475
 Aerospace Propulsion,Spring,"Presents aerospace propulsive devices as systems, with functional requirements and engineering and environmental limitations. Requirements and limitations that constrain design choices. Both air-breathing and rocket engines covered, at a level which enables rational integration of the propulsive system into an overall vehicle design. Mission analysis, fundamental performance relations, and exemplary design solutions presented.
",16,12,16.50
 Aircraft Engines and Gas Turbines,Fall,"Performance and characteristics of aircraft jet engines and industrial gas turbines, as determined by thermodynamic and fluid mechanic behavior of engine components: inlets, compressors, combustors, turbines, and nozzles. Discusses various engine types, including advanced turbofan configurations, limitations imposed by material properties and stresses. Emphasizes future design trends including reduction of noise, pollutant formation, fuel consumption, and weight.
",16,12,16.511
 Rocket Propulsion,Fall,"Chemical rocket propulsion systems for launch, orbital, and interplanetary flight. Modeling of solid, liquid-bipropellant, and hybrid rocket engines. Thermochemistry, prediction of specific impulse. Nozzle flows including real gas and kinetic effects. Structural constraints. Propellant feed systems, turbopumps. Combustion processes in solid, liquid, and hybrid rockets. Cooling; heat sink, ablative, and regenerative.
",16,12,16.512
 Space Propulsion,Spring,"Reviews rocket propulsion fundamentals. Discusses advanced concepts in rocket propulsion ranging from chemical engines to electrical engines. Topics include advanced mission analysis, physics and engineering of microthrusters, solid propellant rockets, electrothermal, electrostatic, and electromagnetic schemes for accelerating propellant. Some coverage is given of satellite power systems and their relation to propulsion systems. Laboratory work emphasizes design and characterization of electric propulsion engines.
",16,12,16.522
 Internal Flows in Turbomachines,Spring,"Internal fluid motions in turbomachines, propulsion systems, ducts and channels, and other fluid machinery. Useful basic ideas, fundamentals of rotational flows, loss sources and loss accounting in fluid devices, unsteady internal flow and flow instability, flow in rotating passages, swirling flow, generation of streamwise vorticity and three-dimensional flow, non-uniform flow in fluid components. Alternate years.
",16,12,16.540
 Ionized Gases,Fall,"Properties and behavior of low-temperature plasmas for energy conversion, plasma propulsion, and gas lasers. Equilibrium of ionized gases: energy states, statistical mechanics, and relationship to thermodynamics. Kinetic theory: motion of charged particles, distribution function, collisions, characteristic lengths and times, cross sections, and transport properties. Gas surface interactions: thermionic emission, sheaths, and probe theory. Radiation in plasmas and diagnostics.
",16,12,16.55
 Undergraduate Research,"Spring, Fall, IAP, Summer","
",16,Not Defined,16.UR
 UPOP Engineering Practice Experience,"Spring, Fall","See description under subject 2.EPE.
",16,1,16.EPE
 UPOP Engineering Practice Workshop,Fall,"See description under subject 2.EPW.
Enrollment limited.",16,1,16.EPW
 Special Subject in Aeronautics and Astronautics,"Spring, Fall, IAP, Summer","Basic undergraduate topics not offered in regularly scheduled subjects. Subject to approval of faculty in charge. Prior approval required.
",16,Not Defined,16.S685
 Special Subject in Aeronautics and Astronautics,"Spring, Fall, IAP, Summer","Opportunity for study or lab work related to aeronautics and astronautics not covered in regularly scheduled subjects. Subject to approval of faculty in charge. Prior approval required.
",16,Not Defined,16.S686
 Special Subject in Aeronautics and Astronautics,"Spring, Fall","Opportunity for study or lab work related to aeronautics and astronautics but not covered in regularly scheduled subjects. Prior approval required.
",16,Not Defined,16.S688
 Experimental Projects I,"Spring, Fall","First in a two-term sequence that addresses the conception and design of a student-defined or selected experimental research project carried out by two-person team under faculty advisement. Principles of research hypothesis formulation and assessment, experimental measurements and error analysis, and effective report writing and oral presentation, with instruction both in-class and on an individual and team basis. Selection and detailed planning of a research project, including in-depth design of experimental procedure that is then carried through to completion in 16.622.
",16,6,16.621
 Experimental Projects II,"Spring, Fall","Execution of research project experiments based on the plan developed in 16.621. Working with their faculty advisor and course staff, student teams construct their experiment, carry out measurements of the relevant phenomena, analyze the data, and then apply the results to assess the research hypothesis. Includes instruction on effective report writing and oral presentations culminating in a written final report and formal oral presentation.
",16,12,16.622
 System Safety,Fall,"See description under subject IDS.045[J].
",16,12,16.63[J]
 Flight Measurement Laboratory,Spring,"Opportunity to see aeronautical theory applied in real-world environment of flight. Students assist in design and execution of simple engineering flight experiments in light aircraft. Typical investigations include determination of stability derivatives, verification of performance specifications, and measurement of navigation system characteristics.
Restricted to students in Aeronautics and Astronautics.",16,6,16.64
 Engineering Leadership Lab,"Spring, Fall","See description under subject 6.911.
Preference to first-year students in the Bernard M. Gordon-MIT Engineering Leadership Program.",16,3,16.650
 Engineering Leadership,"Spring, Fall","See description under subject 6.912.
Preference to first-year students in the Gordon Engineering Leadership Program.",16,3,16.651
 Management in Engineering,Fall,"See description under subject 2.96.
Restricted to juniors and seniors.",16,12,16.653
 MATLAB Skills for Aeronautics and Astronautics (16.99),Fall,"Introduction to basic MATLAB skills in programming, analysis, and plotting. Recommended for sophomores without previous MATLAB experience.
Preference to Course 16 majors.",16,3,16.66
 Engineering Innovation and Design (New),"Spring, Fall","See description under subject 6.902.
",16,6,16.662
 Engineering Leadership Lab,"Spring, Fall","See description under subject 6.913.
Preference to second-year students in the Bernard M. Gordon-MIT Engineering Leadership Program.",16,6,16.667
 Project Engineering,"Not Offered, ","See description under subject 6.914.
Preference to students in the Bernard M. Gordon-MIT Engineering Leadership Program.",16,4,16.669
 Leading Creative and Innovative Teams (New),Spring,"See description under subject 6.915[J].
Enrollment limited to seating capacity of classroom. Admittance may be controlled by lottery.",16,12,16.671[J]
 Modern Space Science and Engineering Seminar,Spring,"Exposes students to the broad variety of scientific and technology experiments being carried out in space, and the complex engineering required to implement them. Fosters an appreciation for the interaction of science and engineering in the space enterprise. Specific topics vary from year to year.
",16,6,16.68
 Project in Aeronautics and Astronautics,"Spring, Fall, IAP, Summer","Opportunity to work on projects related to aerospace engineering outside the department. Requires prior approval.
",16,Not Defined,16.680
 Topics in Aeronautics and Astronautics,"Spring, Fall, IAP, Summer","Opportunity for study or laboratory project work not available elsewhere in the curriculum. Topics selected in consultation with the instructor.
",16,Not Defined,16.681
 Selected Topics in Aeronautics and Astronautics,"Spring, Fall","Study by qualified students. Topics selected in consultation with the instructor. Prior approval required.
",16,Not Defined,16.682
 Seminar in Aeronautics and Astronautics,"Spring, Fall","Speakers from campus and industry discuss current activities and advances in aeronautics and astronautics.
Restricted to Course 16 students.",16,2,16.683
 Selected Topics in Aeronautics and Astronautics,"Spring, Fall, IAP, Summer","Study by qualified students. Topics selected in consultation with the instructor. Prior approval required.
",16,Not Defined,16.687
 The History of Aviation,Spring,"See description under subject STS.467[J].
",16,12,16.707[J]
 The Airline Industry,Fall,"Overview of the global airline industry, focusing on recent industry performance, current issues and challenges for the future. Fundamentals of airline industry structure, airline economics, operations planning, safety, labor relations, airports and air traffic control, marketing, and competitive strategies, with an emphasis on the interrelationships among major industry stakeholders. Recent research findings of the MIT Global Airline Industry Program are showcased, including the impacts of congestion and delays, evolution of information technologies, changing human resource management practices, and competitive effects of new entrant airlines. Taught by faculty participants of the Global Airline Industry Program.
",16,12,16.71[J]
" Aerospace, Energy, and the Environment",Fall,"Addresses energy and environmental challenges facing aerospace in the 21st century. Topics include: aircraft performance and energy requirements, propulsion technologies, jet fuels and alternative fuels, lifecycle assessment of fuels, combustion, emissions, climate change due to aviation, aircraft contrails, air pollution impacts of aviation, impacts of supersonic aircraft, and aviation noise. Includes an in-depth introduction to the relevant atmospheric and combustion physics and chemistry with no prior knowledge assumed. Discussion and analysis of near-term technological, fuel-based, regulatory and operational mitigation options for aviation, and longer-term technical possibilities.
",16,12,16.715
 Air Traffic Control,Fall,"Introduces the various aspects of present and future Air Traffic Control systems. Descriptions of the present system: systems-analysis approach to problems of capacity and safety; surveillance, including NAS and ARTS; navigation subsystem technology; aircraft guidance and control; communications; collision avoidance systems; sequencing and spacing in terminal areas; future directions and development; critical discussion of past proposals and of probable future problem areas. Requires term paper.
",16,12,16.72
 Airline Management,Spring,"Overview of airline management decision processes, with a focus on economic issues and their relationship to operations planning models and decision support tools. Application of economic models of demand, pricing, costs, and supply to airline markets and networks. Examination of industry practice and emerging methods for fleet planning, route network design, scheduling, pricing and revenue management, with emphasis on the interactions between the components of airline management and profit objectives in competitive environments. Students participate in a competitive airline management simulation game as part of the subject requirements.
",16,12,16.75[J]
 Logistical and Transportation Planning Methods,Spring,"See description under subject 1.203[J].
",16,12,16.76[J]
 Air Transportation Operations Research,Spring,"Presents a unified view of advanced quantitative analysis and optimization techniques applied to the air transportation sector. Considers the problem of operating and managing the aviation sector from the perspectives of the system operators (e.g., the FAA), the airlines, and the resultant impacts on the end-users (the passengers). Explores models and optimization approaches to system-level problems, airline schedule planning problems, and airline management challenges. Term paper required.
",16,12,16.763[J]
 Introduction to Airline Transport Aircraft Systems and Automation,"Not Offered, ","Intensive one-week subject that uses the Boeing 767 aircraft as an example of a system of systems. Focuses on design drivers and compromises, system interactions, and human-machine interface. Morning lectures, followed by afternoon desktop simulator sessions. Critique and comparison with other transport aircraft designs. Includes one evening at Boston Logan International Airport aboard an aircraft.
Enrollment limited.",16,6,16.767
 Planning and Design of Airport Systems,Fall,"See description under subject 1.231[J].
",16,12,16.781[J]
 Flight Vehicle Engineering,Fall,"Design of an atmospheric flight vehicle to satisfy stated performance, stability, and control requirements. Emphasizes individual initiative, application of fundamental principles, and the compromises inherent in the engineering design process. Includes instruction and practice in written and oral communication, through team presentations and a written final report. Offered alternate Spring and Fall terms.
",16,12,16.82
