category,credits,description,title
American Studies,4,"Introduction to interdisciplinary American Studies. Explores the history, reality, ideology and meaning of American identity. American identities as shaped by such factors as place, work, family, political systems, religion and education. Focus on how American identities both shared and individual are formed by race, class, gender and ethnicity. General Education: Perspectives on Diversity, Self and Society or Historical Perspectives. Introductory.",AST 160 : American Identities
American Studies,4,"Places immigrant narratives into the broader context of immigration policies that shaped immigrant communities. Analyzes current rise in hate crimes and growing anti-immigrant sentiment. Topics include how immigration policies have been influenced by economic interests, demand for labor, war, colonization, nativism, and xenophobia. Uses oral histories, poetry, and multi-media resources. General Education: Upper Level Writing, Perspectives on Diversity, AND Historical Perspectives. Intermediate.",AST 220: Coming to America
American Studies,4,"Examines the social and cultural construction of masculinity in the United States using the theories and methods of Anthropology. Topics include race, class, ethnicity, and religion; popular images of American men (e.g., movies, magazines, sports, jokes); relation-ship of US manhood to sexuality, war, and women. Some comparison to other cultures. General Education: Perspectives on Diversity, Self and Society or Historical Perspectives. Intermediate.",AST/HDA 225 : Anthropology of American Men
American Studies,4,"Explores how gender influences and shapes political campaigns, ideologies and candidates. Sets gender within the wider historical framework of America as a multicultural society. Examines role of women change agents in American politics such as Eleanor Roosevelt and Hilary Rodham Clinton. Topics include abortion, affirmative action, gay marriage and civil rights. General Education: Self and Society or Ethics and Social Justice.",AST 256: Gender and Politics
American Studies,4,"Analyzes history and meaning of race in America. Interdisciplinary, including fiction, philosophy, historic documents, laws, and popular culture. Focus on Native American, African American, Asian American, and Latino experiences. Topics include Indian removal policies, slavery, creation of whiteness, eugenics, immigration exclusion laws, 1960s civil rights movements, and con-temporary meanings of race. General Education: Perspectives on Diversity and Upper Level Writing (after ENG 121) and Ethics and Social Justice or Historical Perspectives. Intermediate.",AST 257: Race in America
American Studies,4,"Investigates different religious traditions in the United States, past and present, while studying social science theories of religion. Topics include: Why does religion exist; how different religions assimilate or resist citizenship; the tension between religious freedom and the common good; consumerism and religion; religions in Boston; what does religion do for us that so many Americans are religious; does truth matter, and are there fake religions? General Education: Perspectives on Diversity also Historical Perspectives or Self and Society. Intermediate",AST/HDA258: Religion in America
American Studies,4,"Provides examples, context, theories, and methodologies for understanding the development and meaning of American popular culture. Particular focus on gender, race, and ethnicity. Emphasis on analysis of culture from different mediums, including popular literature, film, music, and television. Organized historically, and by medium. General Education: Perspectives on Diversity and Up-per Level Writing (after ENG121) and Historical Perspectives. Prerequisite: AST 160 or by permission of instructor. Intermediate/Advanced.",AST 265/365: Studies in American Popular Culture
American Studies,4,"A travel/study course on West African culture, history and spirituality with a 2-week international service learning component. Study and experience 2 West African countries, Ghana and Bnin that have been pivotal historically and culturally to the development of the US and other countries in the Americas. General Education: Perspectives on Diversity Intermediate.","AST 290: History, Culture and Spirituality of West Africa"
American Studies,4,"Examines nature of media-its violence, sexism, racism and commercialism; why it is this way; how it shapes childrens development, attitudes and behavior, families, and society; how to develop broad-based media literacy which incorporates conflict resolution, anti-racism, anti-sexism efforts into professional settings and everyday life; policy and advocacy issues. (Advanced Psychology, Advanced American Studies, Advanced Communications). Pre-requisite: One course in Human Development.",AST 323/HDP 323: Media Madness
American Studies,4,"Explores the processes and outcomes of globalization and analyzes basic Human Rights literature and its application to the global economy. Students will also discover how their daily actions and interactions impact the lives of others, particularly those in impoverished nations. Prerequisite: HDP 120-121, 122-123 or HDP 130-131 or HDA/PSG 121. General Education: Perspectives on Diversity, also Self and Society or Ethics and Social Justice. Advanced.",AST/HDA 350 : Globalization and Human Rights
American Studies,4,"Explores the richness of scholarship in American Studies. Using theories and methodologies adopted in the social sciences and the Humanities, students examine specific time periods, such as the 1950s or specific topics, such as the social construction of white-ness or the nature of work in capitalism. Prerequisites: AST 160 and at least one intermediate AST course or by permission of instructor. Advanced.",AST 403 : Senior Seminar in American Studies
American Studies,4 to 6,"Builds upon students focus and provides experience in a field of the students choice. Students gain deeper understanding of role of cultural institutions in American Society, such as museums, media organizations and activist based organization. Location decided in consultation with advisor. Placements are 10 hours a week. Discussion group accompanies fieldwork. Open to American Studies majors only. Prerequisite: juniors and seniors only. Advanced.",AST 410: Internship in American Studies
Arts,4,"Introduces the world of arts and the vocabularies of music, theatre and visual arts. Using a multi-disciplinary approach, offers opportunity to be creator, performer, audience member, critic. General Education: Creativity and the Arts. Introductory. Typically offered as a First-Year Seminar. Offered: fall only",AMT 101 : Introduction to the Arts
Arts,4,"Explores the experience associated with art, and considers the nature of artistic expression and of creativity. Through reading of selected philosophical texts, pursues an understanding of how we produce, perceive, and respond to art. Field trips to museums or performances. Required for Arts Majors. General Education: Up-per Level Writing (after ENG 121) Intermediate. Prerequisite: ENG 121 and one course in the arts or philosophy. Offered: fall only",AMT/PHL 254 : Aesthetics: Philosophy of the Arts
Arts,4,"Offers professional experience in an arts field of the students choice. Provides a context for understanding the meaning of the arts in peoples lives. Placements for the internship are 150 hours per semester. Open to Arts Majors only. Advanced. Prerequisite: Arts Major, Junior or Senior Status, permission of department chair. Offered: fall and spring",AMT 412: Internship in the Arts
Autism,4,"Situates contemporary understandings of autism in multiple fields. Analyzes research in multiple developmental domains. Studies the autism spectrum ranging from profound to mild, often mixed in any one individual. Explores the emergence of expert-advocates with autism and their families, of self-reports across the life-span, and of myriad cultural depictions. Counts as an Advanced Human Development course for the following Human Development majors: Child, Family and Culture; Counseling Psychology; and Developmental Psychology. Prerequisite: One semester of HGD and HDP 290 Children with Special Needs (may be taken concurrently). Advanced.",AUT 320: Foundations of Development in Autism
Autism,4,"Explores impact of persons with autism spectrum disorder on family development. Highlights benefits of including people with autism and family members as life-long participants, experts, and partners of the diagnostic/intervention team. Examines efforts to implement advocacy in service of community and policy change. Analyzes cases of collaboration in service delivery. Prerequisites: HDP 290 Children with Special Needs AND AUT 320 Foundations of Development in Autism. Advanced.",AUT 321: Family Community and Interprofessional Collaboration
Autism,4,Reviews the process of screening fro and diagnosing Autism. Dis-cusses evidence-based practices. Studies intervention designed to promote childrens communication and social skills and to address challenging behaviors. Explores instructional strategies used in educational settings for children with Autism and how to collaborate with parents and families. Prerequisite: AUT 320. Advanced.,AUT 322: Assessment and Intervention in Autism
Autism,4,"Employs cross-disciplinary perspective to address current and emerging issues of evaluation, research, policy, and advocacy related to individuals with autism and families across the lifespan in home, school, communities. Students will study multidisciplinary research and policy literature and complete a comprehensive project for presentation to the College and/or professional community. Corequisite: AUT 322 Assessment and Intervention, or AUT 321 Family Community and Interprofessional Collaboration in Autism. Advanced.",AUT 350: Advanced Study in Autism
Autism,3,"Employs cross-disciplinary perspective to address issues of evaluation, research, policy, and advocacy related to individuals with autism and families across the lifespan in home, school, and communities. Study empirical literature regarding the diagnostic criteria, biological and genetic influences, and an overview of evidence-based practice as treatment for autism.",AUT 510: Fundamentals of Autism
Autism,3,"Reviews effective evidence-based practices for individuals with autism, matches individuals strengths and needs for practices. Emphasizes assessing, implementing and evaluating appropriate interventions and support for children with social and communication challenges. Underscores recognizing the diversity of individuals with autism and the importance of positive psychology in improving their quality of life and learning outcomes. Prerequisite: AUT 510.",AUT 520: Autism: Interventions and Supports
Autism,3,"Examines effective practices for assessing and supporting challenging behavior for individuals with autism. Positive behavioral interventions and supports are emphasized and the functional behavioral assessment and analysis process will be covered in detail. There is a focus on prevention, the use of self-management techniques and teaching socially appropriate behavior. Prerequisite: AUT 510.",AUT 530: Autism: Positive Behavior supports
Child Life,4,"Introduces students to the history and development of the U.S. health care system from a family-centered care perspective, including identification of the organizations and professional disciplines serving children and their families. Focuses on the psychosocial, financial and emotional costs of health care and introduces students to the profession of Child Life. Course is open to second-semester first-year students and first-semester second-year students. Course required for application to Child Life dual degree.",CLF 210: Child and Family Health Systems
Child Life,4,"Examines the impact of acute and chronic illness on development of children with special healthcare needs. Studies neurological, genetic, metabolic, orthopedic, and developmental disorders of children with special healthcare needs.",CLF 255: Children with Special Healthcare Needs
Child Life,4,"Examines the values, attitudes, and approaches of family-centered care for pediatric patients. Studies quality and innovation in family-centered policy, programs, practice, and design. Students will learn the essential elements of building partnerships among physicians, staff, patients and families to create a mutually beneficial outcome.",CLF 257: Family Centered Healthcare
Child Life,4,Explores ways in which Child Life Specialists developmentally serve children across the life span and from diverse cultural environments. Focuses on the child and familys responses to medical care and the philosophy of family-centered care. Students complete a minimum 100 hour semester long child life practicum in a health care setting. Enrollment limited to accepted Child Life dual degree seniors. Prerequisite: LSC 153 or LSC 302.,CLF 350: Role of the Child Life Specialist
Child Life,4,"Explores relationships between child life play activities and child development theories, stressing the acquisition of practical skills needed for child life programming. Enrollment limited to accepted Child Life dual degree seniors.",CLF 421: Child Life Methods and Materials
Child Life,3,"Introduces research and literature on the psychosocial needs of children and families in health care settings. Focuses on theories of development, play, preparation, coping and delivery of family-centered care in the context of health care. This is the first in a required three course sequence for matriculated child life students. Open to matriculated child life students.",CLF 632: Child and Family in Health Care
Child Life,3,"Provides skills to plan, implement, document, and assess develop-mentally appropriate child life interventions including coping with medical procedures, family-centered care, ethics, expressive activities, crisis intervention, and pain management. Open to matriculated Child Life students.",CLF 670: Clinical Issues in Child Life 
Child Life,3,"Provides skills to plan, implement, document, and assess Child Life program objectives and strategic planning, including child health systems, alternative settings, grant writing, professional presentations, group dynamics, interdisciplinary collaboration, and supervision. Open to matriculated Child Life students.",CLF 770: Child Life Program Development 
Child Life,3,"Provides a 200 hour supervised internship opportunity for advanced studies degree students in a community, outpatient, or primary care setting with focus on developing skilled based on the Child Life Competencies. Students participate in a weekly process seminar at the college. Prerequisite: CLF 632. CLF 670 must be taken concurrently.",CLP 670: CL Internship/Seminar I 200-hour
Child Life,6,Provides a 400 hour internship opportunity under the direct super-vision of a certified Child Life Specialist in a hospital setting with focus on developing skills based on the Child Life Competencies. Participate in weekly process seminar at the college. Prerequisite: CLF 632. CLF 670 must be taken concurrently.,CLP 671: CL Internship/Seminar I 400-hour
Child Life,3,"Provides a second 200 hour supervised internship opportunity for advanced standing and combined degree students in a community, outpatient, primary care, or alternative setting with focus on continuing to develop and refine skills based on the Child Life Competencies. Students participate in weekly process seminar at the college.",CLP 672: CL Internship/Seminar II 200-hour
Child Life and Family Studies,4,"A 150-hour supervised practicum in a human services organization and a bi-weekly seminar. Undertake responsibilities suited to sites priorities and needs and students knowledge, skills, and learning goals. Explore organizational dynamics, community contexts, re-sources, and direct service goals. Open to students with junior or senior status who are completing Human Services minor program. Prerequisite: Completion of WLCE, CFS 340 and GPA of 2.0.",CFP 420: Practicum and Seminar in Human Services
Child Life and Family Studies,3,"A 150-hour supervised practicum in urban or suburban settings serving children and families, ranging from early childhood home visiting, school, health or social service, center-based consultations or workshops, to program development and public policy. Collaborate as interdisciplinary team member. Participate in monthly individual and group supervision and seminar. Offered: fall and spring. (Open only to students enrolled in the Certificate in Family and Parenting Services.)",CFP 603: Practicum and Seminar I: Family Studies
Child Life and Family Studies,4,"Explores developmental understandings of death and how children cope with grief and loss. Prepares students to help children with life-threatening conditions and to facilitate the bereavement needs of children who experience the death of a sibling, parent, relative, or friend. Prerequisite: HDP 120-123 or HDP 130-131.",CFS 240: Helping Children with Grief and Loss
Child Life and Family Studies,4,"Critically examines relationships between U.S. public policies and human services across the lifespan in health, mental health, education and social welfare. Identifies occupations and practitioners roles, responsibilities and challenges. Explores partnerships that build upon clients strengths. Opportunities to advocate for social change. Course is open to juniors and seniors only. Prerequisite: HDP 120-123 of HDP 130-131.",CFS 340: Introduction to Human Services
Child Life and Family Studies,3,"Examines procedures for formal and informal assessment of physical, cognitive and language development in children ages birth to 3. Critical issues in early developmental assessment are identified and addressed. Prerequisite: A course in infant and toddler behavior and development.",CFS 504: Assessment of Development in B-3
Child Life and Family Studies,3,"Provides an introduction to psychopathology, DSM IV assessment, differential diagnosis and clinical work with children and adolescents.",CFS 510: Child and Adolescent Mental Health
Child Life and Family Studies,3,"Examines topics including parenthood, adult development and caregiving, child-rearing practices, challenges for children and their parents, parents involvement in their childs learning and the dynamics of family life. Parenting education materials and family support services explored.",CFS 614: Perspectives on Parenting
Child Life and Family Studies,3,Examines theories about loss and bereavement and individual responses to various types of losses. Prepares students to provide bereavement interventions for individuals and groups.,CFS 617 : Bereavement Care
Child Life and Family Studies,3,"Introduction to contemporary and controversial issues related to the lives of children and families, using the ecological approach as a framework. Interdisciplinary faculty guest speakers select specific issues for analysis and discussion.",CFS 618: Contemporary Issues in Child and Family Studies 
Child Life and Family Studies,3,"Childrens coping skills, styles, and social support can buffer effects of stressors. Explores concepts of resiliency, risk, and vulnerability within a developmental framework. Stressors range from transitions such as starting kindergarten, to threats of loss through divorce, illness, or death, and contending with systematic barriers such as discrimination or poverty.",CFS 630: Helping Children Cope with Stress
Child Life and Family Studies,3,"Examines cultural/global responses to illness and death including beliefs about death, religious rituals, and care of the bereaved in the community. Fulfills core requirement in multiculturalism.",CFS 632 : Cross Cultural Perspectives on Grief
Communications,4,"Discover the basics of digital media production, including graphic design, digital photography, video production, and digital music production. Students will learn to plan and complete a project from pre-production to finish. Students will learn software skills for media production including Adobe Photoshop, In Design, and Final Cut. Introductory.",COM 101: Introduction to Media Production
Communications,4,"Examines the ways that people communication and the impact that communication messages have on our selves, communities, and society. Students will be introduced to the communication process, explore interpersonal and group communication, gain a better understanding of how rhetoric is used to shape social norms, and political realities. General Education: Self and Society. Introductory.","COM 150: Communication, Persuasion, and Propaganda"
Communications,4,"Learn to produce digital video for TV web and mobile from project conception to completion. Practice camera operation in field and on location settings. Learn techniques for producing a variety of video formats, and will demonstrate learning by writing, shooting and editing several short form videos. Prerequisite: COM 101 or permission of the instructor. General Education: Creativity and the Arts. Intermediate.",COM 210: Video Production I
Communications,4,"Introduces computer imaging and its capacity to design and control the two-dimensional page. Through use of various two-dimensional imaging software applications, students learn to manipulate photographs, compose with text, and develop image concepts in the digital arena. General Education: Creativity and the Arts. Intermediate.",COM 224: Designing the Digital Image
Communications,4,"Engage in the interactive world of new media with this hands-on production course. Learn to integrate web design, text, animation and video to create interactive user experiences for web and mobile devices. Complete digital media projects from concept to completion using Dreamweaver, Flash, Photoshop and more. Intermediate.",COM 230: New Media Production I
Communications,4,"Learn the basic tools and applications for creating digital animations and motion graphics for digital video and web productions. Includes an introduction to Flash and Motion. Produce animated shorts, motion projects, and credits for digital video and integrate work together in Final Cut. Previous coursework in digital media suggested, but not required. Intermediate.",COM 245: Animation and Motion Graphics
Communications,4,"Delve into the dark world of post-apocalyptic America through contemporary media. Explore depictions of the end times using a critical eye to understand underlying media messages. Understand what movies about the apocalypse tell us about the challenges of health, identity, nationality and environmental balance we face. Prerequisites: COM 140, 150, HDS 105 or LIT 180. Intermediate.",COM 250: Apocalyptic America
Communications,4,"Learn the best practices for teaching media literacy to children and teens. Explore pedagogical approaches to teaching youth to use and understand media, discover strategies for working with children that are age appropriate and engaging, and develop skills in creating curricula and delivering media education in classroom and community settings. Fulfills Communications Media Literacy requirement. Intermediate.",COM 255: Media Literacy for Children and Youth
Communications,4,"Advance understanding and ability in video production with an emphasis on dramatic and short documentary pieces. Build on experience from video production 1, completing all aspects of the production process. Projects will cover script writing, directing, three point lighting, multi camera shoots and advanced postproduction skills. Prerequisite: COM 210 Video Production I. Advanced.",COM 410: Video Production 2
Communications,4,"Offers communication students an opportunity to gain real world experience in media production and literacy sites. Students will chose a site in a school, non-profit or private sector organization and will complete 150 hours of work on site, learning all aspects integrating communication concepts and skills to complete as-signed projects and tasks. Prerequisites: Junior or Senior in communications, or by permission of the program director. Fulfills advanced media internship. Also fulfills media production inter-mediate or advanced course requirement. Advanced.",COM 412: Communications Internship
Communications,4,"Explore strategies for combining message and mission to communicate with confidence and purpose in the internet age. Students will build on video and digital media production knowledge, and examine best practices for utilizing multiple channels in order to connect with audiences and articulate effective personal stories for practical application. Advanced.",COM 425: Storytelling in the Digital Age
Communications,4,"Expand skills producing new media for web and mobile channels. Building on learning from COM 230, deepen understanding of new media technologies , web, video and graphic design skills and learn to measure and respond to audience response, making work truly interactive. Prerequisite: COM 230. Advanced.",COM 430: New Media Production II
Education,1,"100-hour minimum pre-practicum. Implement curriculum and assessments designed in accompanying courses, and apply their knowledge of child development and theories and principles of education in an elementary classroom. Reflect upon and evaluate the impact of their teaching on childrens learning and their own professional development. Prerequisites: Completion WLCE, EDU 255, Mathematics sequence, successful completion of MTEL Literacy and Communication Test (both subtests), EDU 306, 330 and 337. Corequisites: EDU 316, and EDU 336.",EDP 317: Elementary Pre-practicum
Education,4,"Provides 100 or more hour practicum experience with children in a variety of educational settings and a bi-weekly seminar. Explores the organizational and community contexts of the setting. Engages students in responsibilities appropriate to the setting. Open to students in the Education Studies Major. Prerequisite: HDP 122/123 and EDU 305, EDU 306, HDP 290 or EDU XXX Introduction to Education Settings.",EDP 425: Educational Studies Practicum
Education,6,"Full semester practicum. Performance-based assessment and re-flection in grade 1-2 classrooms. Apply early childhood theory to practice, develop inclusive/integrated curricula, facilitate inquiry learning and play, manage the classroom, and collaborate with families and professionals. Examines social, legal, economic and political issues that impact early education. Prerequisites: Pass WLCE and MTEL Literacy and Communication Tests, EDU 255, 305, 320 and 327 and MLE 301. Corequisites: EDU 250, EDU 436, and MLE 302.",EDP 437: Early Childhood Practicum and Seminar (Grade 1-2)
Education,6,"Develops skills in working with diverse children and integrating theory and practice. Assume increasing responsibility for designing curriculum, teaching, and assessing childrens learning in a class-room setting. Evaluate all aspects of their teaching through ongoing reflection and conferences with teachers and supervisors. Pre-requisites: EDU 316, EDP 317, EDU 336, 338 and MLE 301. Corequisites: EDU 445, EDU 446 and MLE 303.",EDP 447: Elementary Practicum 
Education,6,"Full semester practicum. First practicum/seminar for ECE majors in the Birth-5 specialty. Performance-based assessment and reflection in pre-k and k classrooms. Apply early childhood theory to practices, develop inclusive integrated curricula, facilitate learning through pay and inquiry, and collaborate with diverse families and professionals. Examine social, cultural, economic, and political issues that impact early education. Prerequisites: EDU305, EDU 320, EDU 327, EDU 250, EDU 367, HDP 227; Corequisite: EDU 456. Advanced.",EDP 455: Early Childhood Practicum and Seminar I-(PreK/K)
Education,6,"Enrolled in a full semester internship students are mentored in transdisciplinary placements that draw upon knowledge of child development as applied in education, social work, human service, or health care settings. Through reflection and collegial problem-solving students facilitate childrens growth and development and collaborate on teams with families and professionals. Permission from the instructor required. Prerequisites: HDP 227, HDP 257, AND EDU 250 (or its equivalent); For ECE majors EDU 305, EDU 320, AND EDU 367 are also required. Corequisites: EDU 390 AND EDU 420; For ECE majors EDU 341 must also be taken concurrently.",EDP 458: Early Childhood Practicum and Seminar-Infant/Toddler
Education,4,"Extends skills to working with families and very young children with varying needs and from diverse backgrounds and communities. Set teaching goals and evaluate their professional development to assume responsibility for the preparation of the learning environments, management of the program, and collaboration with families and allied professionals. Prerequisites: EDP 437 and EDU 436. Taken concurrently with EDU 456 (if not taken previously).",EDP 459 : Early Childhood Practicum and Seminar II- (Pre K/K)
Education,4,"Enrolled in a full semester internship students are mentored in transdisciplinary placements that draw upon knowledge of child development as applied in education, social work, human service, or health care settings. Through reflection and collegial problem-solving students facilitate childrens growth and development and collaborate on teams with families and professionals. Permission from the instructor required. Prerequisites: HDP 227, HDP 257, AND EDU 250 (or its equivalent); For ECE majors EDU 305, EDU 320, AND EDU 367 are also required. Corequisites: EDU 390 AND EDU 420; For ECE majors EDU 341 must also be taken concurrently.",EDP 464: Early Childhood Practicum and Seminar-Infant/Toddler II
Education,2 to 4,"A guided field experience in an early childhood setting linked to career goals (e.g., kindergarten teacher, director, family relation-ship coordinator) or specialties (e.g., early intervention, special education, bilingual education). Includes opportunities to gain leader-ship skills through working in community-based centers (e.g., North American Indian Center) or action research projects. Taken concurrently with, or following, EDU 456 & EDP 459 (previously EDP 457). Prerequisites: completion of EDP 427 or EDP 437, EDU 436 (previously EDP 436) & EDU 328.",EDP 467: Kindergarten/Early Childhood Internship
Education,3,"Provides opportunities to assume responsibility for preparation of curriculum in inclusive preschool or kindergarten classrooms with children and families from diverse backgrounds, using theories of child development and culturally responsive, Developmentally Appropriate Practice. Seminar topics include: ethical responsibilities, anti-bias practices, promotion of social competence, management, and partnerships with families. (200 hours) May be taken as either the first or second early childhood practicum.",EDP 521: Practicum/Seminar: ECE Pre K/K
Education,3,"Provides opportunities to assume responsibility for preparation of curriculum and management in inclusive first or second grade classrooms with children and families from diverse backgrounds, using theories of child development and culturally responsive Developmentally Appropriate Practice. Seminar topics include: ethical responsibilities, anti-bias practices, promotion of social competence, management and partnerships with families. (200 hours) May be taken as either the first or second early childhood practicum.",EDP 526: Practicum/Seminar: ECE 1st/2nd
Education,3,"Provides opportunities to assume responsibility for preparation of curriculum and management in early childhood care and education settings with children and families from diverse backgrounds, using theories of child development and culturally responsive, Developmentally Appropriate Practice. Seminar topics include: ethical responsibilities, anti-bias practices, promotion of social competence, management, and partnerships with families. (300 hours)",EDP 530: Field Experience/Seminar: ECE
Education,1 to 3,"Provides students with an individualized, guided field experience in an early childhood setting that is linked to career goals or their chosen focus of study. Students may choose to extend their previous practicum experience or they may choose to diversify their experience in a different setting. Students construct an independent study plan and select a site in consultation with their academic ad-visor and their Wheelock field supervisor. (100-300 hours.) Pre-requisite for Care and Ed. Beginning Practitioners: EDP 530. No prerequisite for Care and Education Continuing Practitioners",EDP 531: Extended Field Experience in Early Childhood Education
Education,3,"The first four weeks of the practicum are identified as pre-practicum. Assume increasing responsibility for curriculum, management, teaching diverse learners, childrens learning, and relationships with children, parents and school personnel. Assessment of teaching through reflection and supervisory consultations. Demonstration of competencies for Initial Licensure required.",EDP 536: Elementary Practicum
Education,3,"Supervised teaching experience with school age children in an international setting. Strengthens skills in teaching children if diverse backgrounds and integrating education theory and practice in an international education setting. Intern assumes increasing responsibility for curriculum, management, teaching diverse learners, childrens learning, assessment of learning, and relationships with children, families and school personnel. Assessment of teaching through reflection and supervisory consultations. Open to students in the Education Studies: International Teaching and Global learning Masters Program only.",EDP 605: International Teaching Internship and Seminar I
Education,3,"Supervised teaching experience with school age children in an international setting. Building on experiences in EDP 605, this internship will continue to strengthen skills in teaching children of diverse backgrounds and integrating education theory and practice in an international education setting. Intern assumes increasing responsibility for curriculum, management, teaching diverse learners, childrens learning, assessment of learning, and relationships with children, families and school personnel. Assessment of teaching through reflection and supervisory consultations. Open to students in the Education Studies: International Teaching and Global learning Masters Program only.",EDP 606: International Teaching Internship and Seminar II
Education,0,"Provides opportunities for candidates to demonstrate reflection on and analysis of applied practice in general elementary and special education in the grades that correspond to the initial licenses sought. Course builds on prior capstone portfolio. Benefits alumni of the graduate educator preparation programs who are applying for the initial license. Pre-requisites & Corequisites: Passing score on required MTELs for initial license; successful completion of the IESE required courses except EDU 682, and of EDU 704 Education Studies capstone.",EDU 097: IESE Portfolio
Education,0,"Provides Opportunities for students to demonstrate reflection on and analysis of practice in the elementary education grades that correspond to the initial license sought (Elementary Education, 1st-6th grade). Course builds on prior capstone portfolio. Benefits alumni of undergraduate educator preparation programs who are applying for the initial license. Pre-requisites & Corequisites: Passing score on required MTELs for initial license; successful completion of the elementary education practicum core (EDU 445, EDU 446, EDP 447, and MLE 303) and capstone for Educational Studies (EDU 481).",EDU 098: Elementary Education Capstone
Education,0,Benefits alumni of the undergraduate Child Development Specialist program who are applying for Pre-K-2nd grade licensure. Required assignment demonstrates candidate reflection and analysis on applied practice with 1st and 2nd grade students. Course provides an addendum process for a prior capstone portfolio.,EDU 099: Addendum for Initial PreK-2 Licensure
