category,dates,description,title,avail seats,section,section status,days,times,credits,requires consent,instructor,room
Art,01/18/2017 - 05/03/2017," 4 sem. hrs. Prereq.: ART 111, ART 183, or ART 213 or consent of the instructor. Emphasizes graphic and conceptual inventiveness leading to the capacity for creating independent projects in various media. Students will experiment with a range of marking systems, found imagery, mixed media, and color while working from observational, abstract, conceptual, cultural, and personal sources. As a final project,students will create a series of related works. Kiely, Lynch. ", ART 211 - Drawing II: Contemporary Approaches ,13,01,Open,Wednesday,06:00PM-08:50PM,4.00,No,Bridget Lynch,N/A
Art,01/24/2017 - 05/02/2017," 4 sem. hrs. Prereq.: Students are strongly encouraged to have taken ART 111, ART 112, or ART 117. Teaches various methods of screen printing, including paper and photo emulsion stencils, direct application of screen painting fluid, as well as screen preparation and reclamation. Students learn the operation of an exposure unit, various registration techniques, and good studio practice. Popinchalk. ", ART 215 - Screen Printing ,2,01,Open,Tuesday,06:00PM-08:50PM,4.00,No,Helen Anna Popinchalk,N/A
Art,01/23/2017 - 05/08/2017," Prereq.: ART 139. Students will refine creative and technical skills with a camera, Photoshop, and lighting. Students focus on two long-term projects, honing their ability to produce dynamic color and/or B/W digital prints. Discussions of contemporary issues, and visits to galleries and museums complement an emphasis on developing a strong personal style. Bresler. ", ART 232 - Advanced Digital Sandbox ,7,01,Open,Monday,04:30PM-07:20PM,4.00,No,Edith Bresler,N/A
Art,01/24/2017 - 05/02/2017," 4 sem. hrs. Prereq.: ART/COMM 138. Emphasizes the making of fine art photographs with attention to the aesthetics of creating photographic images in conjunction with learning advanced exposure and printing technique. Students will work on projects to explore and deepen their ideas. Black and white photography in the traditional darkroom. Sills, Bresler. ", ART 237 - Advanced Black and White Photography ,2,01,Open,Tuesday,06:00PM-08:50PM,4.00,No,Jaclyn R. Kain,N/A
Art,01/24/2017 - 05/02/2017," 4 sem. hrs. Surveys the history of photography, covering major developments from the 1830s to the present. Studies the medium in a broad cultural framework, with concentration on images and ideas and the cross-influence between photography and painting. Covers developments in art photography, documentary, and photojournalism. Hanni, Staff. ", ART 249 - History of Photography ,4,01,Open,Tuesday,03:00PM-05:50PM,4.00,No,Margaret A. Hanni,N/A
Art,01/19/2017 - 05/08/2017," This introductory class provides an overview of Islamic art (sculpture, architecture, painting and decorative arts) from its formation in the 7th century to the present. The first part of the course focuses on religious context and the development of the Islamic artistic tradition, following its geographic spread and regionalization through the 14th century. The second part continues by surveying the grand imperial traditions of the Ottomans, Safavids and Mughals, ending with considerations of 'Orientalism,' colonialization and a look at some contemporary artists. The course includes visits to the Museum of Fina Arts and Gardner Museum. ", ART 250 - Survey of Islamic Arts ,1,01,Open,"Monday, Thursday",09:30AM-10:50AM,4.00,No,Kimberlee Cloutier-Blazzard,N/A
Art,01/18/2017 - 05/03/2017," 4 sem. hrs. Examines the Isabella Stewart Gardner Museum in depth: the woman responsible for its existence, the cultural contexts in which it was formed around the turn of the century, and those in which it exists today. Through readings and course meetings at the museum, this upper-level seminar explores the organization of the Gardner, special exhibitions, the roles of various departments, and the challenges of being an idiosyncratic museum in 21st-century America. ", ART 347 - Art of the Gardner Museum ,7,01,Open,Wednesday,12:00PM-02:50PM,4.00,Yes,Margaret A. Hanni,N/A
Art,01/18/2017 - 05/08/2017," 4 sem. hrs. Directed study addresses coursework required for the major or degree not being offered formally that semester. Students work under the close supervision of a faculty member. Consent is required for a directed study, which does not count toward the independent learning requirement. Staff. ", ART 349 - Directed Study ,20,01,Open,N/A,N/A,4.00,Yes,TBA,N/A
Art,01/18/2017 - 05/08/2017, 4 sem. hrs. Staff. , ART 350 - Independent Study ,1,01,Open,N/A,N/A,4.00,Yes,Helen Anna Popinchalk,N/A
Art,01/18/2017 - 05/08/2017," 4 or 8 sem. hrs. Offers students 'hands-on' experience in an arts organization such as a gallery, museum, music program, concert hall, or arts nonprofit. Internship sites are selected in consultation with advisor based on interest and learning goals. Staff. ", ART 370 - Internship ,20,01,Open,N/A,N/A,4.00,Yes,TBA,N/A
Art,01/18/2017 - 05/03/2017, , ART 547 - Art of the Gardner ,6,01,Open,Wednesday,12:00PM-02:50PM,3.00,Yes,Margaret A. Hanni,N/A
Africana Studies,01/23/2017 - 05/08/2017," 4 sem. hrs. Using Black narratives as data, students will examine how Black people have experienced, interpreted, and resisted racial oppression in the United States. Attention will be given to variables(individuals, institutional and cultural formations)that have contributed to the development of resiliency in a people. We will also consider the ways in which racial oppression leaves its mark on members of oppressed and oppressor classes. In discussing the narratives, we will draw on scholarship from the fields of history, anthropology, sociology, and social psychology. Perry. "," AST 336 - Narratives of Oppression, Resistance & Resiliency ",14,01,Open,Monday,04:30PM-07:20PM,4.00,No,Theresa Perry,N/A
Africana Studies,01/23/2017 - 05/08/2017, , AST 365 - Intimate Family Violence ,18,01,Open,Monday,04:30PM-07:20PM,4.00,No,Dawna Thomas,N/A
Africana Studies,01/24/2017 - 05/02/2017," 4 sem. hrs. Students explore black popular culture produced and consumed by Black youth, examining how these works draw on African American historical, cultural, and linguistic practices. Can Black popular culture be resistant, subversive, and contribute to social change? Can these works critically inform the education of Black youth? Course materials draws on scholarship from the fields of education, sociology, African American studies, media studies, and linguistics. Perry. ", AST 388 - Black Popular Culture & Education Of Black Youth ,17,01,Open,Tuesday,03:00PM-05:50PM,4.00,No,Theresa Perry,N/A
Africana Studies,01/23/2017 - 05/08/2017," Using Black narratives as data, students will examine how Black people have experienced, interpreted, and resisted racial oppression in the United States. Attention will be given to variables (individuals, institutional and cultural formations) that have contributed to the development of resiliency in a people. We will also consider the ways in which racial oppression leaves its mark on members of oppressed and oppressor classes. In discussing the narratives, we will draw on scholarship from the fields of history, anthropology, sociology, and social psychology. Perry. ", AST 536 - Narratives of Opp. Resis. & Re ,20,01,Open,Monday,04:30PM-07:20PM,4.00,No,Theresa Perry,N/A
Behavior Analysis,01/24/2017 - 05/02/2017," 4 sem hrs. Introduces graduate students to the fundamentals of behavior-analytic research and measurement methods. Covers the theoretical foundations of empirical research, as well as the practical issues in conducting experimental research. The majority of the course is devoted to methods related to single-case research (i.e., data collection, logic, and experimental designs). Staff. ", BEHV 415 - Introduction to Single Subject Research Designs ,20,01,Open,Tuesday,06:00PM-09:30PM,4.00,No,TBA,N/A
Behavior Analysis,01/23/2017 - 05/08/2017, 4 sem. hrs. Reviews the definition and characteristics of applied behavior analysis. Teaches the fundamental principles of behavior that provide the framework for instructional programming. Staff. , BEHV 424 - Introduction to Behavior Analysis ,20,01,Open,Monday,06:00PM-09:15PM,4.00,No,TBA,N/A
Behavior Analysis,01/24/2017 - 05/02/2017, 4 sem. hrs. focuses on the identification of functional relationships and the evaluation of interventions from information gained through behavioral assessment. teaches how to conduct descriptive analyses and how to systematically manipulate variables to demonstrate functional relationships between the educational environment and behavior. staff. , BEHV 426 - Behavioral Assessment ,19,01,Open,Tuesday,06:00PM-09:30PM,4.00,No,TBA,N/A
Behavior Analysis,01/23/2017 - 05/08/2017," 4 sem. hrs. Explores strategies to establish, strengthen, and weaken target behaviors. Emphasizes the generalization and maintenance of established behavioral repertoires. ", BEHV 427 - Methods for Changing Behavior I ,20,01,Open,Monday,06:00PM-09:30PM,4.00,No,Gretchen Allison Dittrich,N/A
Behavior Analysis,01/18/2017 - 05/03/2017," 4 sem. hrs. Prereq: Consent of the department. Reviews issues regarding the selection of behavior change procedures, functional analysis, verbal behavior, establishing operations and classroom management. staff. ", BEHV 445 - Advanced Topic Applied Behavior Analysis ,20,19,Open,Wednesday,06:00PM-09:50PM,4.00,No,Ronald Allen,N/A
Behavior Analysis,01/18/2017 - 05/08/2017, This course is an experimental learning opportunity that provides students with access to guided application of skills and knowledge in an applied setting. It fulfills the requirements of the Behavior Analyst Certification Board for completion of a supervised fieldwork under the category of Supervised Independent fieldwork. , BEHV 461 - Mentoring Supervision I ,20,19,Open,N/A,N/A,4.00,Yes,Gretchen Allison Dittrich,N/A
Behavior Analysis,01/18/2017 - 05/08/2017, Staff. , BEHV 462 - Mentoring Supervision II ,20,01,Open,N/A,N/A,2.00,Yes,Gretchen Allison Dittrich,N/A
Biology,01/18/2017 - 05/08/2017," 4 sem. hrs. Introduces basic principles of ecology and environmental science relevant to the interactions between humans and their environment, unity and interconnections of life, and processes that drive ecological health. Relevance of ecology to today's society with emphasis on natural resource use, conservation, and the relationships of ecological health to human health. Staff. ", BIOL 104 - Intro to Environmental Science ,0,02,Wlst,"Monday, Wednesday, Friday",10:00AM-10:50AM,4.00,No,Anna Aguilera,N/A
Biology,01/19/2017 - 05/08/2017," 4 sem. hrs. Not a prerequisite for further courses in the department. Considers biological factors that contribute to sex identification and the role of women in contemporary society. Emphasizes the genetic, developmental, anatomical, and physiological differences between the sexes and the behavioral consequences of those differences. Includes lecture and laboratory sessions. Staff. ", BIOL 109 - Biology of Women ,12,01,Open,"Monday, Thursday",12:30PM-01:50PM,4.00,No,TBA,N/A
Biology,01/20/2017 - 05/05/2017, , BIOL 109L - Biology of Women Lab ,14,01,Open,Friday,11:00AM-01:50PM,0.00,No,TBA,N/A
Biology,01/19/2017 - 05/04/2017," 4 sem. hrs. Introduces basic principles of biology, including cell structure and function, biochemistry, and metabolism; Mendelian and molecular genetics; and discussion of the theory of evolution. Includes lecture and laboratory sessions. Staff. ", BIOL 113 - General Biology ,30,01,Open,"Tuesday, Thursday",09:30AM-10:50AM,4.00,No,Cassandra Saitow,N/A
Biology,01/18/2017 - 05/03/2017, , BIOL 113L - General Biology Lab ,10,03,Open,Wednesday,06:00PM-08:50PM,0.00,No,TBA,N/A
Biology,01/19/2017 - 05/04/2017," 4 sem. hrs. Prereq.: BIOL 113 or consent of instructor. Studies animal form and function, the origin of animal diversity, and the strategies that animals use to thrive in diverse environments. Considers taxonomy and phylogeny of major animal groups. Includes lecture and laboratory sessions. Abate. ", BIOL 218 - Principles of Zoology ,10,02,Open,"Tuesday, Thursday",03:00PM-04:20PM,4.00,No,Maria Abate,N/A
Biology,01/19/2017 - 05/04/2017, , BIOL 218L - Principles of Zoology Lab ,3,03,Open,Thursday,06:00PM-08:50PM,0.00,No,TBA,N/A
Biology,01/19/2017 - 05/08/2017," 4 sem. hrs. Prereq.: BIOL 113, CHEM 111 or 113; completed or concurrent enrollment in CHEM 112 or 114. Introduces the biology of microorganisms: bacteria, viruses, and fungi. Stresses control of microbial populations, systematic study, and use of quantitative methods. Includes lecture and laboratory sessions. Scott, Staff. ", BIOL 221 - Microbiology ,20,01,Open,"Monday, Thursday",12:30PM-01:50PM,4.00,No,Elizabeth A. Scott,N/A
Biology,01/19/2017 - 05/04/2017, , BIOL 221L - Microbiology Lab ,13,05,Open,Thursday,03:00PM-05:50PM,0.00,No,Katrina L. Van Dellen,N/A
Biology,01/19/2017 - 05/04/2017," 4 sem. hrs. Prereq.: BIOL 113; BIOL 218 or 221; CHEM 111 or 113; CHEM 112 or 114; or consent of instructor. Presents a thorough study of the cell, including structure, function, cell diversity, and methods of analysis. Examines major biochemical pathways of the cell in relation to particular organelles. Laboratory exercises introduce a wide range of techniques used by cell biologists. Lopilato, Owen. ", BIOL 225 - Cell Biology ,5,01,Open,"Tuesday, Thursday",09:30AM-10:50AM,4.00,No,Mary H. Owen,N/A
Biology,01/19/2017 - 05/04/2017, , BIOL 225L - Cell Biology Lab ,12,03,Open,Thursday,11:00AM-01:50PM,0.00,No,Mary H. Owen,N/A
Biology,01/19/2017 - 05/04/2017," 4 sem. hrs. Prereq.: BIOL 113 and BIOL 218, 221, or 246; CHEM 111 or 113; and CHEM 112 or 114. Presents an integrated approach to the fundamental facts and concepts of human anatomy and physiology. Examines the constituents of the human body through investigation of tissue types and histology, with further emphasis on skeletal, muscular, and nervous systems, and endocrine control. Laboratory includes histology, gross anatomy, dissection, and physiological experiments. Lite, Russell. ", BIOL 231 - Anatomy & Physiology I ,15,N02,Open,"Tuesday, Thursday",11:00AM-12:20PM,4.00,No,Charlotte Russell,N/A
Biology,01/20/2017 - 05/05/2017, , BIOL 231L - Anatomy and Physiology Lab ,1,N9,Open,Friday,11:00AM-01:50PM,0.00,No,TBA,N/A
Biology,01/18/2017 - 05/08/2017," 4 sem. hrs. Prereq.: BIOL 123 or BIOL 113; BIOL 231; CHEM 110 or CHEM 111 or CHEM 113. Introduces structural relationships and functional integration of major systems of the human body, with emphasis on cardiovascular, lymphatic, immunological, respiratory, digestive, metabolism, renal, reproductive, and homeostatic systems. Laboratory includes histology, gross anatomy, dissection, and physiological experiments. Lite, Russell. ", BIOL 232 - Anatomy & Physiology II ,0,02,Wlst,"Monday, Wednesday, Friday",10:00AM-10:50AM,4.00,No,TBA,N/A
Biology,01/18/2017 - 05/03/2017, , BIOL 232L - Anatomy & Physiology II Lab ,0,04,Wlst,Wednesday,11:00AM-01:50PM,0.00,No,TBA,N/A
Biology,01/20/2017 - 05/05/2017," 4 sem. hrs. Prereq.: BIOL 113. Class and lab introduce the student to the foundations of exercise that enhance health and prevent disease. Students learn to evaluate epidemiologic literature, studying factors that link lack of physical activity with the major chronic diseases of the present time. Lite. ", BIOL 246 - Foundations of Exer & Health ,4,01,Open,Friday,11:00AM-01:50PM,4.00,No,Meghan Garvey,N/A
Biology,01/19/2017 - 05/04/2017, , BIOL 246L - Foundations of Exer & Health Lab ,3,04,Open,Thursday,02:00PM-04:50PM,0.00,No,TBA,N/A
Biology,01/19/2017 - 05/08/2017," 4 sem. hrs. Prereq.: BIOL 225 and CHEM 225, or consent of the instructor. Considers the basic principles of immunology with applications of immunologic theory and techniques to microbiology, biochemistry, genetics, developmental biology, and evolution. Canfield. ", BIOL 331 - Immunobiology ,4,01,Open,"Monday, Thursday Friday",11:00AM-12:20PM 10:00AM-10:50AM,4.00,No,"Jennifer A. Roecklein-Canfield, Ph.D",N/A N/A
Biology,01/19/2017 - 05/04/2017," 4 sem. hrs. Prereq.: CHEM 225 and BIOL 225 or consent of the instructor. Examines gene structure and function; regulation of DNA, RNA, and protein synthesis; the control of gene expression; and the use of recombinant technology as an investigative tool. Includes lecture and laboratory sessions. Lopilato. ", BIOL 337 - Molecular Biology ,0,01,Clsd,"Tuesday, Thursday",08:00AM-09:20AM,4.00,No,Jane Lopilato,N/A
Biology,01/19/2017 - 05/04/2017, , BIOL 337L - Molecular Biology Lab ,8,03,Open,Thursday,11:00AM-01:50PM,0.00,No,TBA,N/A
Biology,01/23/2017 - 05/08/2017," 4 sem. hrs. Prereq.: BIOL 113 and BIOL 104 and consent of the instructor. Introduces the basic methods for infectious disease epidemiology and case studies of important disease syndromes and entities. Basic methods include descriptive epidemiology, outbreak investigations, disease surveillance, case-control studies, cohort studies, laboratory diagnosis, molecular epidemiology, dynamics of transmission, and assessment of vaccine field effectiveness. Scott, Staff. ", BIOL 346 - Epidemiology of Infectious Disease ,0,01,Clsd,Monday,04:30PM-07:20PM,4.00,Yes,Elizabeth A. Scott,N/A
Biology,01/23/2017 - 05/08/2017," 8 sem. hrs. Prereq.: Senior standing, consent of the department. Usually taken for two semesters (eight semester hours) but may be elected for one semester (eight semester hours) at the discretion of the faculty sponsor. Arrangements for satisfying this independent learning requirement should be made with the student's advisor or BIOL 350 coordinator before the end of the junior year. Staff. ", BIOL 350 - Independent Laboratory Research ,30,01,Open,Monday,09:00AM-09:50AM,4.00,Yes,Charlotte Russell,N/A
Biology,01/23/2017 - 05/08/2017," 4 sem. hrs. Prereq.: One semester of BIOL 350 or BIOL 370, Senior standing, consent of the department. Includes a thesis and an oral presentation at a scientific meeting or symposium. Required for all students completing an honors thesis in biology. Students must register for BIOL 350 or BIOL 370 in the first semester of their senior year. Staff. ", BIOL 355 - Thesis ,16,01,Open,Monday,09:00AM-09:50AM,4.00,Yes,TBA,N/A
Biology,01/19/2017 - 05/04/2017," 4 sem. hrs. Prereq.: PHYS 110, BIOL 231. The analysis of human movement based on anatomical and mechanical principles. Emphasis is given to the application of these principles for the understanding of human movement and performance. Musler. ", BIOL 362 - Kinesiology ,1,01,Open,"Tuesday, Thursday",08:00AM-09:20AM,4.00,Yes,Alia Grace Sullivan,N/A
Biology,01/24/2017 - 05/02/2017, , BIOL 362L - Kinesiology Lab ,2,01,Open,Tuesday,03:00PM-05:50PM,0.00,No,Alia Grace Sullivan,N/A
Biology,01/23/2017 - 05/08/2017," 8 sem. hrs. Prereq.: Senior standing, consent of the department. Provides a supervised professional experience off campus. Potential sites include clinical settings, government agencies, conservation groups, and zoos. Placement is the student's responsibility,with the support of the Career Education Center and the approval of the department. Arrangements for satisfying this independent learning requirement should be made with the student's advisor or BIOL 370 coordinator before the end of the junior year. Staff. ", BIOL 370 - Internship ,24,02,Open,Monday,09:00AM-09:50AM,4.00,Yes,Randi Lite,N/A
Consortium Agreement,01/18/2017 - 05/08/2017, Course set up for financial services for aid , CA 101 - Consortium Agreement ,1,01,Open,N/A,N/A,0.00,Yes,TBA,N/A
Chemistry,01/19/2017 - 05/08/2017," 4 sem. hrs. Examines the role that the natural sciences play in analyzing physical evidence collected at a crime scene. Students begin by defining science and understanding why the government has placed special qualifiers on scientific expert witnesses. Students will survey the sciences used in a modern crime lab to undertand the principles behind the analyses. Three hours lecture, four hour laboratory per week. Hebard. ", CHEM 108 - Crime Science ,11,01,Open,"Monday, Thursday",04:30PM-05:50PM,4.00,No,William Hebard,N/A
Chemistry,01/19/2017 - 05/04/2017, , CHEM 108L - Crime Science Lab ,12,01,Open,Thursday,06:00PM-09:20PM,0.00,No,William Hebard,N/A
Chemistry,01/19/2017 - 05/08/2017," 4 sem. hrs. Survey of chemistry. Atomic and molecular structure, solutions, states of matter. Naming of inorganic and organic compounds. Chemical reactions. Structure and function of the biological molecules of life. Nutrition and metabolism. Emphasis on chemistry in a clinical context. Laboratory includes experience with materials and techniques of clinical relevance. Four hours lecture, four hours laboratory per week. This course can not be used as a substitute for CHEM 111 or CHEM 113. Lavoie. "," CHEM 110 - General, Org. & Biochemistry ",7,01,Open,"Monday, Thursday",12:30PM-02:20PM,4.00,No,Cheryl Lavoie,N/A
Chemistry,01/18/2017 - 05/03/2017, , CHEM 110L - Gen. Org. & Biochemistry Lab ,11,02,Open,Wednesday,09:00AM-11:50AM,0.00,No,Cheryl Lavoie,N/A
Chemistry,01/19/2017 - 05/08/2017," 4 sem. hrs. Prereq.: CHEM 111 or CHEM 113. Covers nature of the covalent bond, structure of organic compounds, and their reactions and reaction mechanisms. Introduces structure and biochemical functions of compounds important to life. Three hour lecture, and one laboratory per week. For concentrators in paramedical or science-related fields. Lee, Chen. ", CHEM 112 - Introduction to Chemistry:Organic ,19,02,Open,"Monday, Thursday",12:30PM-01:50PM,4.00,No,Changqing Chen,N/A
Chemistry,01/20/2017 - 05/05/2017, , CHEM 112L - Introduction to Chemistry:organic Lab ,12,06,Open,Friday,03:00PM-05:50PM,0.00,No,TBA,N/A
Chemistry,01/19/2017 - 05/04/2017, , CHEM 216 - Quantitative Analysis ,13,01,Open,"Tuesday, Thursday",09:30AM-10:50AM,4.00,No,Michael Berger,N/A
Chemistry,01/18/2017 - 05/03/2017, , CHEM 216G - Quantitative Guided Inq Learning ,13,02,Open,Wednesday,12:00PM-12:50PM,0.00,No,Michael Berger,N/A
Chemistry,01/20/2017 - 05/08/2017, , CHEM 216L - Quantitative Analysis Lab ,7,06,Open,Friday Monday,02:00PM-04:50PM 08:00AM-08:50AM,0.00,No,TBA,N/A N/A
Chemistry,01/18/2017 - 05/08/2017," Students who want to register for travel courses must first apply through the Colleges of the Fenway GEO Center on www.cof.studioabroad.com. All requirements must be completed as listed on studio abroad before a student is accepted into a course. In addition to Simmons travel courses, other College of the Fenway courses are listed on the site. After registration on studio abroad, the GEO Center will ask for you to deposit for your course. The GEO will send the list of completed and accepted registrations to the Registrar. This is how you will be registered for the travel course. Interested students should create an account on studio abroad as soon as possible. ", CHEM 221M - Cultural Ecology & Sustainability: Lessons From Iceland ,3,01,Open,N/A,N/A,4.00,Yes,Michael Berger,N/A
Chemistry,05/21/2017 - 06/07/2017, , CHEM 221T - Travel Costs- Iceland ,3,01,Open,N/A,N/A,0.00,Yes,TBA,N/A
Chemistry,01/19/2017 - 05/04/2017," 4 sem. hrs. Prereq.: CHEM 114 or CHEM 112. Covers chemical processes in living organisms, with special emphasis on human nutrition. Studies carbohydrates, lipids, proteins, and enzymes; their function in living systems; and their metabolic pathways and regulation. Three lectures per week. Canfield. ", CHEM 223 - Introduction to Biochemistry ,20,01,Open,"Tuesday, Thursday",09:30AM-10:50AM,4.00,No,Cherie Ramirez,N/A
Chemistry,01/18/2017 - 05/08/2017," 4 sem. hrs. Prereq.: CHEM 114 or CHEM 112 with consent of the instructor. Extends CHEM 114 to consider additional classes of organic compounds and the more intimate relationship between structure and reactivity as expressed in mechanistic terms. Three hours lecture, two discussion periods, and a four-hour laboratory per week. Lee. ", CHEM 225 - Organic Chemistry II ,0,01,Wlst,"Monday, Thursday Wednesday",11:00AM-12:20PM 12:00PM-12:50PM,4.00,No,Nancy Lee,N/A N/A
Chemistry,01/19/2017 - 05/04/2017, , CHEM 225L - Organic Chemistry II Lab ,0,03,Clsd,Thursday,06:00PM-09:50PM,0.00,No,Changqing Chen,N/A
Chemistry,01/18/2017 - 05/08/2017, 4 sem. hrs. Prereq.: Completion of the competency in basic mathematics requirement. Explores our use of energy and its effect on climate. We will discuss the direct and indirect evidence for global warming and evaluate the importance of human factors. We will evaluate different 'models' used by scientists and economists to forecast future impacts of climate change as well as the 'true' costs and benefits of energy alternatives. This course will provide you with the facts and tools needed for informed participation in the global warming 'debate' as both scientist and concerned citizen. Berger. , CHEM 227 - Energy & Global Warming ,8,01,Open,"Monday, Wednesday, Friday",09:00AM-09:50AM,4.00,No,Michael Berger,N/A
Chemistry,01/18/2017 - 05/03/2017, , CHEM 323 - Drug Design: From Concept to Market ,4,01,Open,Wednesday,06:00PM-09:20PM,4.00,No,Lauren Gauthier,N/A
Chemistry,01/18/2017 - 05/08/2017," Prereq.: PHYS 110, PHYS 111, and BIOL 245. A capstone course involving the application of a variety of analytic tools to environmental problems. Teaches dynamic systems modeling, advanced spreadsheet techniques, and other computer and laboratory methods. Application areas include the environmental impacts of energy production and consumption, population dynamics, and climate change. Includes a project and presentation in the latter part of the course. ", CHEM 327 - Energy & Global Warming ,18,01,Open,"Monday, Wednesday, Friday",09:00AM-09:50AM,4.00,No,Michael Berger,N/A
Chemistry,01/19/2017 - 05/04/2017," 4 sem. hrs. Prereq.: CHEM 226, PHYS 113, and MATH 121. Covers the wave mechanical treatment of atoms, atomic and molecular spectroscopy, theories of chemical bonding, molecular structure, and statistical mechanics. Laboratory work comprises spectroscopic and computer modeling studies. Gunn. ", CHEM 332 - Quantum Mechanics & Molecular Structure ,5,01,Open,"Tuesday, Thursday",09:30AM-10:50AM,4.00,No,Mariam N. Ismail,N/A
Chemistry,01/19/2017 - 05/04/2017, , CHEM 332L - Quantum Mechanics & Molecular Structure ,5,01,Open,Thursday,02:00PM-05:50PM,0.00,No,Mariam N. Ismail,N/A
Chemistry,01/18/2017 - 05/08/2017," 8 sem. hrs. Selection of a research project involving scientific literature search, followed by laboratory work required for solution of the problem. Results presented in a thesisand a poster presentation. Staff. ", CHEM 355 - Independent Study with Thesis ,19,07,Open,N/A,N/A,4.00,Yes,Rich W. Gurney,N/A
Chemistry,01/23/2017 - 05/08/2017," 1 sem. hr. Required of all chemistry, chemistry/pharmacy, and biochemistry majors completing CHEM 355. Other interested students are invited to attend. Staff. ", CHEM 390 - Chemistry Seminar ,13,01,Open,Monday,06:00PM-07:20PM,1.00,No,"Jennifer A. Roecklein-Canfield, Ph.D",N/A
