description,title,prerequisites,schedule_type,levels,link,department
"Color and Design is a foundation course which looks at color through its physical properties as well as its expressive functions. The class will explore the properties of value, hue and intensity. The student will deal with problems in manipulating color as well as mixing it. Concern will be for the process of taking a color concept from idea to finished form. There will be emphasis on clarity of concept through quality of craftsmanship.",ART 110 - Color & Design,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=110,Art & Design
"Drawing I is an introduction to the problems, techniques, and materials of drawing. Each class project will focus on a different aspect of visual perception, composition, and artists' materials.",ART 111 - Drawing I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=111,Art & Design
"Drawing II is a continuation of the problems, techniques and materials introduced in Drawing I. Students will continue exploring a variety of drawing materials. Emphasis, however, will be placed on understanding the problems inherent in translating what one sees in three dimensions to what one creates on the two dimensional surface.",ART 112 - Drawing II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=112,Art & Design
This course is a continuation of Drawing II.The emphasis will be on developing an independent body of work with strong personal thematic content.The student will also continue to further develop his or her individual drawing skills.,ART 113 - Drawing III,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=113,Art & Design
"This course explores the basic technical and aesthetic issues associated with film photography including exposure theory, film development, black and white printing and preparing prints for display. Emphasis on photographic self-expression and communications.Students are required to have a manual SLR camera.",ART 121 - Introduction to Photography,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=121,Art & Design
"Advanced techniques in camera operation, black and white process, and composition. Emphasis is on photographic self-expression and communications. Students are expected to complete lab work as required.",ART 122 - Advanced Photography,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=122,Art & Design
"News Photography studies the practical application of photojournalism. Concentration is on providing eye-catching photographs for newspapers, magazines, newsletters and other print media. Participants will regularly take and print pictures on assignment for the campus newspaper The Observer. Students will meet with instructor once a week to receive photo assignments and critique previous assignments.",ART 123 - News Photography,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=123,Art & Design
You will learn advanced techniques in camera operation. Black and white process and composition.Emphasis is on photographic self-expression and communication.Students are expected to complete lab work as required.,ART 124 - Advanced Photography II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=124,Art & Design
"This course explores the basic technical and aesthetic issues associated with digital photography including digital camera operation, manual exposure, white balance, photo composition, image adjustment techniques and light quality.Students may be required to have a manual DSLR camera and will be required to purchase additional supplies.",ART 130 - Introduction to Digital Photography,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=130,Art & Design
The main emphasis of this course is to create an opportunity for the student to work on a comprehensive them-based portfolio.The student will develop an appropriate portfolio by working on projects that will help the student expand beyond current individual strengths and weaknesses.Students will be allowed to pursue advanced techniques such as medium format and color/digital photography while creating a cohesive body of work.Students are expected to complete lab work as required.,ART 134 - Photographic Projects,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=134,Art & Design
"This course introduces students to vector graphics in Adobe Illustrator. Through a series of exercises the student will learn the interface and tools, as well as the procedures for importing image and text documents, and for saving or exporting files in formats such as .ai, .eps, .pdf, and .jpg. Students will apply these skills to design and illustrate projects creating original works and portfolio pieces that communicate effectively.",ART 140 - Computer Graphics,,"Accelerated, Lecture",Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=140,Art & Design
"This course introduces students to Adobe Photoshop, the industry standard image editing software. Students will learn how to create original artwork, perform photographic corrections and edits, color correction and create compositions from multiple sources. Printing, web delivery and image preparation will be covered.",ART 141 - Digital Imaging I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=141,Art & Design
"This introductory course provides a basic understanding of the effective use of type. Emphasis will be on the use of typography in graphic design. Topics will include the history of type, the aesthetic qualities of letterforms, the anatomy of the letter, typeface and style, and compositional arrangement. Topics in online typography and how to integrate print and online type into a cohesive visual communication will also be discussed.",ART 142 - Typography,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=142,Art & Design
"Publication Design explores typography, page ingredients and creative visual communication while learning to create publications with a page layout software program Adobe In-Design.",ART 143 - Publication Design,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=143,Art & Design
"This course will cover topics in animation including story development, traditional animation techniques and computerized animation tools and techniques. The student will develop projects from conception through storyboard to final completion using Adobe Flash.A brief look at Adobe ActionScript programming, Flash used for web design, navigation and Flash used for gaming will give the students a sense of the vast possibilities of animation as part of the visual communication world.",ART 151 - Animation,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=151,Art & Design
"This course gives students the foundation skills to shoot video, edit video, add and edit audio to produce multimedia pieces. Camera techniques will be introduced including the study of classic and new technologies. Students will be using Final Cut Pro to produce completed works.Students may be required to purchase additional supplies.",ART 152 - Video,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=152,Art & Design
"This course will provide an overview and historical perspective on the Graphic Novel and teach the process of proposing, storyboard development, production and creation of a number of original works in various media.Students will be required to purchase Art materials as needed.This course will satisfy an ART elective requirement for students enrolled in any ART focus.",ART 160 - Art of the Graphic Novel,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=160,Art & Design
,ART 191 - Field Studies Sketchbook,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=191,Art & Design
"This course builds on the fundamentals of 3D Foundations to explore what sculpture means as a contemporary art form.Through a series of theme-based projects, students will expand their technical skills and begin to identify meaningful content in their art-making process, culminating in a collaborative installation project.",ART 208 - Sculpture I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=208,Art & Design
"This course provides a foundation in illustration with emphasis on further development of drawing skills. This course will teach students how to create pictorial interpretations of ideas or narratives for reproduction in print, electronic, and time-based media. Assignments will introduce students to a variety of illustration venues including book, editorial, and product illustration while exploring the visual methods of color and composition as precise visual tools. Students research and develop ideas, characters, stories, and settings.",ART 211 - Illustration,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=211,Art & Design
"Illustration II will build on the conceptual and technical strategies of pictorial communication introduced in Illustration I. It will offer possibilities for refining graphic and aesthetic abilities, developing personal style, and applying those skills toward assignments with actual or simulated commercial applications. Students will be encouraged to start a professional portfolio and will be exposed to the business, as well as art, of illustration.",ART 212 - Illustration II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=212,Art & Design
"The focus of Portfolio for Illustration is on developing a portfolio for purposes of further study or professional marketing. The student will develop an appropriate portfolio for illustration by working on assigned projects, selecting and presenting work, developing appropriate associated materials (e.g. resume, card, stationery, tear sheets or printed pieces).",ART 213 - Portfolio for Illustration,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=213,Art & Design
"Figure Drawing I offers the student the opportunity to draw from a live model. Class sessions will explore different approaches to figure drawing, covering a variety of techniques and concepts (gesture drawing, contour line drawing, form, light and shade, movement, etc.). Students will be encouraged to experiment with a variety of materials, and to enlarge the scale of their work as the semester progresses.",ART 214 - Figure Drawing,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=214,Art & Design
"Students will explore visual communication strategies, communication theory and the roles of message/sender in the communication process.This advanced course enhances and builds on skills developed in previous ART courses.Refining typographical skills and furthering design sensitivities will be emphasized through the development of multi-page, portfolio-quality projects.",ART 220 - Graphic Design/Visual Communication Seminar,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=220,Art & Design
"Portfolio for Photography will focus on developing a portfolio for purposes of further study or professional marketing. The student will develop an appropriate portfolio for photography by working on assigned projects, selecting and presenting work, developing appropriate associated materials.",ART 221 - Portfolio for Photography,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=221,Art & Design
"Examines advanced lighting and camera techniques using electronic flash and continuous light sources under controlled studio conditions, and on location. Emphasis is on creating portraits, products and event photography. Students will produce a photographic portfolio.",ART 222 - Studio Lighting,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=222,Art & Design
"An exploration of the storytelling power of illustration.Emphasis is on the research and drawing skills needed to develop strong characters in sequential imagery.Students work mixing traditional and digital media.The course also examines historical and emerging trends in business of the childrens books, textbooks, book covers, artists books, and graphic novels.Students will push the limits of their personal visual voices.",ART 224 - Illustration III,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=224,Art & Design
"Advanced Digital Photography builds on the skills and principles learned in ART 130 Introduction to Digital Photography, expanding upon and being more critical in looking at light, camera operations, composition and expression, and post-processing image adjustment and manipulation. Students will produce a digital portfolio.A 35mm style DSLR with manual aperture, shutter and focus adjustments are required.Additional supplies are required.",ART 230 - Advanced Digital Photography,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=230,Art & Design
"Painting I introduces the problems, techniques and materials of Painting. Each class project will focus on a different aspect of visual perception, composition and artists' materials.",ART 231 - Painting I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=231,Art & Design
This course is a continuation of Painting I. The emphasis will be on giving more complexity and subtlety to both the color and the composition in each project. The student will be encouraged to find personal solutions to the general problems presented.,ART 232 - Painting II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=232,Art & Design
"Focus is on developing a portfolio for independent work in the field of fine arts and for transfer to professional art schools and four year colleges. The portfolio will consist of works culled from the classes offered in the Visual Arts Option. Students will take slides of their artwork, create a resume and develop an artists' statement. Students will learn how to pursue exhibition and grant opportunities.",ART 233 - Portfolio for Visual Arts,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=233,Art & Design
"This is a one-semester course, three credit hours. This course is a continuation of Painting II. The student will be encouraged to find personal solutions to the general problems presented. Painting III students must complete a series of paintings that reflect a deep investigation into the art making process. Students will meet once a week with the instructor for an hour.",ART 234 - Painting III,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=234,Art & Design
"The focus of Portfolio for Art is to develop a portfolio for independent work in the visual art field as well as to transfer to a four-year institution. The portfolio will be culled from work created in ART courses. Students will also learn appropriate presentation techniques, create a resume and learn about job, grant and other opportunities in visual art fields. Must be taken during the last semester.",ART 235 - Portfolio for Art,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=235,Art & Design
"This course further develops the students understanding of Adobe Photoshop, the industry standard image editing software. Students will focus on advanced topics of digital imaging, including creating complex compositions, image manipulation, photo retouching, working with colors, channels, masking, filters, and adjustment layers. They will also explore how Photoshop is used with other applications for print and web design and learn how to create layer masks and explore some 3D aspects of the program. An overview of Browse and Raw will be included.",ART 241 - Digital Imaging II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=241,Art & Design
"This introductory course provides students with an overview of web design topics including: page layout using Adobe Dreamweaver, HTML editing, CSS formatting of elements, color considerations, online type considerations and technologies, file management, graphics preparation, usability issues and ISP roles. Students will create a functioning web site. Current industry standards and practices will be emphasized.",ART 250 - Web Design,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=250,Art & Design
"This course will cover topics in motion graphics including the integration of video, sound, type, and animation coming together in Adobe After Effects to create a comprehensive multimedia piece. Students will create storyboards and learn techniques in motion graphics including motion-based typography illustrations, special effect video pieces, and 3D motion graphics.",ART 253 - Motion Graphics,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=253,Art & Design
"This course will cover topics in 3D modeling including creating 3D artwork, color and lighting 3D artwork, texture mapping and rendering techniques. Students will learn tools and techniques using the industry standard software application Autodesk Maya.",ART 254 - 3D Modeling,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=254,Art & Design
"Designed to present the basic grammatical rules of American Sign Language.Introduces basic vocabulary, finger spelling, numbers and facial grammar.Through assignments both inside and outside the classroom, students will learn about the Deaf Community and Deaf Culture.This class is taught primarily in ASL.Students intending to enroll in Deaf Studies must pass with a minimum grade of B.",ASL 101 - Elementary American Sign Language I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=101,Deaf Studies
"A continuation of ASL101. This course builds upon the vocabulary and grammatical rules of American Sign Language. Students will focus on facial grammar and non-manual markers. Through assignments both inside and outside of the classroom students will learn about the Deaf Community and Deaf Culture. This class is taught primarily in ASL, priority seating given to Deaf or hard of hearing individuals.Students intending to enroll in Deaf Studies must pass the course with a minimum grade of B. Please note: Prerequisite ASL 101 must have been taken within the past 12 months.Students who have taken ASL 101 more than 12 months prior to registration must first be assessed by Deaf Studies faculty for permission to register.",ASL 102 - Elementary American Sign Language II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=102,Deaf Studies
"A course focused on American Sign Language (ASL) skills for use in encounters with Deaf and Hard of Hearing customers, patients, and coworkers in workplaces. Students will focus on hands on activities based on work experiences with Deaf and hard of hearing individuals. Through assignments both inside and outside of the classroom students will learn about the Deaf Community and Deaf Culture. This class is taught primarily in ASL. This course is only available to students not in Deaf Studies majors.",ASL 110 - ASL at Work,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=110,Deaf Studies
"An intensive, immersion course, focused on grammar, vocabulary, the manual alphabet, numbers, non manual markers, facial expressions, and other components of ASL.Taught in ASL.Students in the Sign Language Interpreter Option or Certificate option must obtain a minimum grade of B.All other students must obtain a minimum grade of C.Students not enrolled in Deaf Studies need the permission of the Coordinator to enroll.",ASL 111 - Intermediate ASL I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=111,Deaf Studies
"A continuation of ASL 111, building and refining competence in complex grammatical features.Improvement of receptive and expressive skills is targeted.Students in the Interpreter Transfer Option or Certificate must obtain a minimum grade of B.All other students must obtain a minimum grade of C.",ASL 112 - Intermediate ASL II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=112,Deaf Studies
"This course provides instruction in appropriate methods for learning and maintaining fingerspelling skills and intense practice in comprehension and production of fingerspelled words with emphasis on clarity, style, and accuracy. It includes discussion of research findings with fingerspelling, use of lexicalized fingerspelling and development of strategies for receptive fingerspelling. Throughout the course, students will monitor their skills using self, peer, and instructor evaluation and feedback. Media resources and assignments are given. Course taught in ASL.",ASL 115 - Fingerspelling,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=115,Deaf Studies
This course is designed for Deaf Studies majors to enhance their receptive and expressive use of ASL classifiers.The course will include hands-on activities and analyze an array of semantic classifiers.,ASL 118 - ASL Classifiers,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=118,Deaf Studies
"Designed to be a continuation of ASL 112 Intermediate American Sign Language II.Intended to refine and build American Sign Language (ASL) competence in and performance of most ASL grammatical features and ASL variations covered in previous courses.Receptive and expressive abilities enhanced through exposure to selected stylistic, regional, social, ethnic, socially restricted, and age-related ASL renditions. This course is taught in American Sign Language.",ASL 201 - Advanced American Sign Language I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ASL&crse_numb_in=201,Deaf Studies
