Category,Description,Title,Section,Openings,Id
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['05'],9 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['61'],13 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['62'],5 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['91'],15 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['95'],18 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['HY'],6 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['01'],0 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['02'],0 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['03'],0 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['04'],2 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['05'],2 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['06'],0 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['07'],3 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['08'],4 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['09'],2 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['60'],1 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['61'],1 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['65'],5 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['91'],0 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['95'],1 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,['HY'],3 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,"['PF7', '1']",11 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,"['PF7', '2']",7 open seats,111
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An introductory course in Biology with main emphasis on cell
structure and function. Topics include gene structure and inheritance,
study of plants and fungi, evolution, and ecology. Extensive
discussion of concerns facing humanity today including quality of
nutrition, environmental pollution, genetic engineering, inheritable
diseases, and birth defects.  Placement at ENG 101 level strongly advised.",General Biology I and Lab,"['PF7', 'B']",10 open seats,111
BIO,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
A continuation of Biology I. Topics include vertebrate animals with
emphasis on morphology, behavior, reproduction, and embryology of
the human organism. This course must be taken in conjunction with
BIO 122. Placement at ENG 101 level strongly advised.",General Biology II,['91'],19 open seats,112
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['01'],0 open seats,131
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['02'],1 open seats,131
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['03'],1 open seats,131
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['04'],0 open seats,131
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['60'],5 open seats,131
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['61'],1 open seats,131
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['62'],2 open seats,131
BIO,"4 Credits (4 Lecture &  Lab 0 Clinical)
4 Hours/Week (4 Hrs. Lecture) *15 wks
An Integrated study of the structure and function of the human body including atoms, molecules, cells, tissues, and organs. The skeletal,
muscular, nervous, sensory and endocrine systems are studied. Laboratory experience is correlated with classroom lecture.  Placement at ENG 101 level strongly advised. Prerequisite: BIO 111 with C or better. Safety protocols must be observed in all lab classes. These include: no food, no drink, no open-toe shoes, appropriate clothing. Only registered students may enter labs.",Anatomy & Physiology I and Lab,['91'],3 open seats,131
