category,credits,link,description,title
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4524,"An introduction to the design processes used in all areas of architecture and basic design, students develop a foundation in the principles of design through concept development, perception, comprehension and visual communication through sketches, measured drawings and models.",EDAD200 Pattern Language & Morphology in Architecture .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4525,"This course introduces students to the history, origins, properties, working methods, and assembly techniques of the major materials that comprise the built environment, with a focus on the development of woodshop skills and wood frame construction. Students are immersed in the nuts and bolts of architectural craft and construction technology practice. Through design sketch problems, hands-on demonstrations, and readings, students focus on the most common methods of constructing building systems in wood, masonry, steel, and concrete. Constructing a full-scale model of a wood-framed structure brings the theory to life. Read chapters 1-5, 8-11, and 13-15 of Fundamentals of Building Construction: Materials and Methods (Edward Allen) prior to class. Prerequisites: Concurrent or previous enrollment in EDAD200 Pattern Language Hybrid Studio/Critique Culturally Diverse ContentDepartmental RequirementFall",EDAD202 Methods and Materials .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4526,An exploration of form.Z as an introduction to 3D modeling skills. Various design projects are used as the basis to explore the 2D and 3D tools to form a basic understanding of the software.,EDAD203 3D Modeling for Freshman .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4527,"The goal of this course is to reestablish this classic form of drawing. Assignments will stress the technical aspects of pencil as well as pen and ink drawing. Students will be introduced to axonometric views, perspective construction and freehand object drawings of interior and exterior views. Lectures will include technical drawing and architectural renderings from the golden age.",EDAD205 Technical Drawing as an Art Form .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4528,"The course examines building cultures from different periods and places, beginning with pre-history and the ancient civilizations from more than 5000 years ago that kept the first written records, through the era of medievalism up to the dawn of modernity. Emphasis is given to different aspects of the built domain: selected individual buildings, their symbolical significance, layouts, spatial organization, construction, building materials and technologies, along with buildings sites and city plans within the broader urban and cultural landscapes. Each lecture is based on a variety of case studies of buildings and settlements explored within their specific geographies and historical settings. Rather than asking for simple memorizing of particular data or dates, students develop skills of analyzing, comparing and getting oriented within distinct historical spaces and periods. Lecture/Seminar Culturally Diverse ContentDepartmental Requirement",EDAD216 History of Architecture and Urban Planning I .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4530,"Introduction to architectural design as a social art. The course lays the foundation of basic skills in architecture through which students are introduced to design through observation of people and places, program schematics, access, siting and elementary building languages. Through a series of projects of increasing complexity, students work on designs that include small scale private and public programs, and transform ideas into built form. Prerequisites: Undergraduates: EDAD200 Pattern Language, EDAD102 Architectural Technical Drawing, and EDAD202 Methods and Materials Studio Culturally Diverse ContentDepartmental RequirementSpring",EDAD223 Architectural Design I .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4531,"Introduces construction at a domestic scale through lectures, slides and field trips. Structural calculations include safe selection of building parts by stress analysis, beam equations and column computations. Students learn sufficient wood and masonry building techniques to design a small wood frame building. Assignments include structural models and calculations.",EDAD227 Architectural Structures I .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4532,"Development of technical drawing skills through exploration in various media using architectural or industrial design contexts. Introduces various drawing techniques. Attention is given to 3D material rendition, construction means, and form characteristics through measuring, documentation, and transformation into 2D drawing. Freehand and hard line drawing including plan, section, elevation, axonometric, isometric, and perspective.",EDAD300 Design/Build/Artisanry .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4534,"Providing a broad overview of ecology and landscape as a basis for understanding sustainable principles, the course follows research focusing on deep retrofit detailing for new and existing wood frame housing in various climates, with an emphasis on cold climates similar to New England. Lectures include siting, water and waste, trash and recycling, conservation and energy production, air, environment and health, materials and methods in construction, transportation, food production, native landscape design and the broader issues of building community. Sustainable construction principles centered in wood frame construction for both new and existing housing presented and researched including the current developments in details, environmental and energy systems alternatives. Individually and in groups, students are required to develop details for existing construction approaching zero-energy use in various climates, associated with an outline specification indicating materials, systems and energy sources. Each student will complete a drawn presentation, an individual outline specification, and a short presentation on a focused area of interest.",EDAD302 Sustainable Architecture .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4537,"This studio is designed as an introduction to the basic principles of furniture design as it relates to history, methods of production and style. Through a series of projects, students design and construct projects focusing on material selection, joinery conventions of similar and different materials and craft in assemblage. Students are encouraged to develop consistent formal elements in their designs, with attention to ease of use, function, assemblage and workmanship.",EDAD307 Furniture Design I .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4538,"The studio focuses on the development of tools and fundamental skills for primary competence in design leading to an emerging ability to integrate design explorations - the ability to think critically about and integrate research and precedents, climate and site, program, use and structural building propositions.",EDAD310 Architectural Design II .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5259,"The course explores building cultures from around the world from 1400s until the mid-20th century. As the time-line covered in the course startswith the Renaissancedefined by its radical shift from the previous, predominantly religious, ideological framework, to man-centered beliefsystemsthe entire period can be generally considered as the Age of Modernity. Therefore, special attention in the course is paid to thevarious concepts, understanding, and architectural manifestations of the idea of Modern. Each lecture is based on a variety ofcase studies - specific buildings, urban plans and theoretical statements of the leading architects, planners and visionary contributorsto the creation of the built domain, understood through the specificities of the ideological, cultural, and intellectual settings of differentperiods and geographies.",EDAD316 History of Architecture and Urban Planning II
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4542,"Continues structural design of wooden buildings and computations for generic or special extra load applications requiring compound wood sections. Introduces steel construction and calculation for steel beams and columns. Environmental systems of plumbing, heating and insulation are covered and students design a domestic plumbing system.",EDAD317 Architectural Structures II .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5206,"The course provides a basic understanding of the use of Autodesk Revit Architectureparametric modeling software. Course content includes developing drawings usingtypical building components as well as an introduction to component editing, schedulingof components, and project documentation. Students model an entire project usingstandard and custom components as appropriate. Every session will include theintroduction of new tools and tricks. Rendering and solar studies are also explored.",EDAD318 Revit I & II
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4543,"Students are exposed to a design project of increasing complexity and an investigation of mixed use programming at an urban site. Design work includes experimentation with the design and selection of structural systems and application of sustainable principles to site and building design concepts and details. Development of architectural design skills that address the issues of housing both locally and globally viewed through a lens of cultural differences: as in typical minimum housing sizes and varied user profiles. The coursework includes investigation of elements of urban tissue such as plazas, squares, street edges and systems of city form understood through street patterns and greenways followed up in a site study focused on the primary design project for the studio. Students explore needs, values, norms and spatial patterns as a means to sensitize them to diverse physical and cultural environments that culminate in the design of a mixed-use housing project in a local urban contex Prerequisites: EDAD310, EDAD327 Studio Departmental RequirementSpring",EDAD320 Architectural Design III .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4546,"Introduces structure design of compound steel beams and columns and long span trusses of steel or wood. Environmental systems/building science topics include electricity, wiring, lighting and daylighting, long span roofing and foundation and site methods.",EDAD327 Architectural Structures III .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4547,"In this course, students initiate and are guided through a hands-on design/build project based on fundamental tenets of furniture design. Students will come to class with work from Design Processes for Furniture Design to use as the basis for their project. This studio shop course will begin with a review of design fundamentals and the concept design process. If necessary, concepts are refined through additional drawings and maquette model making as preparation for the concluding phase: completion of the final product. This class will also be open to students outside of the certificate program who have experience in basic hand tool use and maintenance as well as a comfort level for work in standing machine power tools.",EDAD330 The Art of Furniture Design I: Fundamentals of Design and Construction .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5528,"MassMaker is an interdisciplinary, mixed media design studio program focused on anentrepreneurial approach to the making of things. The course simulates the development cycle ofideas from inspiration, through design and development, prototyping and fabrication, andcreation and marketing. Working in teams with other students from different disciplines,students gain leadership, collaboration, and design skills in a problem based, hands onenvironment of shared success. Students form teams, create a problem statement, propose an idea to solve the stated problem,design their solution, prototype and fabricate it using a mixture of means and methods includingdigital design (3D Modeling, Parametric Design, Finite Analysis), digital prototyping andfabrication (3D Printing, CNC Controlled, Laser Cutters) traditional crafts (Wood, Metal,Composites shops), and the present their concept using digital design and graphics techniquesincluding printed material, digital media, animation, or interactive media. Fabrication andprototyping takes place in shops and labs located throughout the Mass Art campus. Studio space fordesign and assembly will be provided to each team.Sustainabilty ContentUndergraduate ElectoveSpring Only",EDAD333 MassMaker Studio
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4548,"In this course, students initiate and are guided through a hands-on design/build project based on fundamental tenets of furniture design. Students will come to class with work from Design Processes for Furniture Design to use as the basis for their project. This studio shop course will begin with a review of design fundamentals and the concept design process. If necessary, concepts are refined through additional drawings and maquette model making as preparation for the concluding phase: completion of the final product. This class will also be open to students outside of the certificate program who have experience in basic hand tool use and maintenance as well as a comfort level for work in standing machine power tools.",EDAD340 The Art of Furniture Design II: Fundamentals of Design and Construction .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4549,"This course investigates the nature of construction material and the inherent ways that materials behave, using these properties in small-scale design studies. Construction assemblies are studied for their logic and design opportunities. Students use industry conventions such as dimensioning and material constraints in designs to develop projects through drawing, models and building actual details. The work is developed in architectural, interior and industrial design contexts.",EDAD350 Building Components and Details .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4550,"The intent of this class is to discover and explore the basic principles of designing exhibits, including structural frameworks, ergonomics, scale, graphics, and an exploration of materials, form and fabrication. Students are exposed to concepts of time and the multiple types of display for selling, celebrations, fairs, expositions and markets.",EDAD356 Exhibit Design .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4551,"This course combines experience in the fine art of furniture making with an exploration of the procurement, preparation and use of sustainablematerials. Students develop their woodworking skills in both traditional joinery techniques as well modern production methods. Each student isresponsible for generating and building an original design that represents an understandingof efficiency and sustainability.The focus is on functional pieces for living, learning and working spaces.",EDAD360 Furniture Fabrication for a Sustainable Future .
Architectural Design,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4553,,EDAD392 AD Course Assistantship 
Architectural Design,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4554,,EDAD398 AD Internship 
Architectural Design,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4555,,EDAD399 AD Independent Study 
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4558,"Students are introduced to architectural practice through social and community design issues, fiduciary responsibility, design and construction contracts and contract law, regulations and codes governing design and construction, ethics, sustainability and environmental issues and requirements for planning, site design and building design and construction.",EDAD402 Professional Practice .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4559,"This course aims to explore light as a sculptural and spatial element in the making of art and architecture. The student is introduced to the practice of light as a medium in relation to objects, spaces, buildings and site-specific installation. The class focuses primarily on the application of light as a transformative element in visual practices. This course is designed to familiarize the student with a wide variation of approaches and practices and to encourage a sense of discovery when considering the medium of light in relation to sculptural, spatial, and architectural explorations and in everyday observations. Some Wednesday afternoon field trips to professional companies such as Reflex Lighting, Color Kinetics and downtown sites in the city of Boston are included. Students also complete an off-campus group project.",EDAD404 Advanced Lighting/City Lights .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5205,"What design decisions lead to a more sustainable future and how are those decisions made? In this course we examine how the architecture and design of cities is dependent on the underlying urban fabric by looking carefully at the forces that shape great urban spaces - the designers, the political players and the everyday urban dwellers. Contemporary projects ranging from The High Line in Manhattan to Germanys Landschaftspark Duisburg-Nord are used as case-studies in conjunction with study of Bostons historical and contemporary urban landscape. Students final projects for the course involve direct observation, analysis and documentation of selected sites in Boston. Through case studies and investigations in Boston we critically assess the social, cultural, environmental and economic factors that influence built and landscape fabric of cities and what the confluence of those underpinnings means for the future of the places where we live. Hybrid Studio Critique Sustainabilty ContentElectiveFAll",EDAD405 Making Cities Work
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5536,"This course provides a survey of main theoretical approaches in modern architectural history:beginning from the institutionalization of architectural academia until the present. Weexamine how a wide range of architectural commentators see the meaning, role, andsignificance of the built environment, and each week is devoted to a certain theme and/or theoryaffirmed in a particular historical context. The themes are explored through reading anddiscussion of the historical texts, as well as more recent interpretations by contemporarycommentators. Each weeks topic is examined in a three hour discussion on the assigned readings. Studentssharpen their critical thinking and develop their verbal and writing skills through in-depth studyof particular topics in seminar discussions, oral presentations and written assignments.Spring Only",EDAD408 Special Topics in Architectural History/Theory and Criticism .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4561,"Architectural design projects of increasing complexity, to include multi-storied construction proposed in the public realm on an urban site. The course provides a framework for making clear design decisions related to the development of solving complex programming skills in a community setting. Projects use a range of building systems requiring long spans and taller structures in steel and concrete. The studio begins with a short project exercise in manipulating an existing exposed column and beam grid system in order to investigate the structural frame, closure and edge conditions.",EDAD410 Architectural Design IV .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4563,"Introduces structural design of 3-hinged arches and concrete buildings including computations for safe selection of beams, joists, slabs and columns. Environmental systems/building science topics include active and passive solar design, HVAC, acoustics, fire alarm, sprinkler, security and elevators, concrete methods, and critical path method job planning.",EDAD417 Architectural Structures IV .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4565,"Working with greater autonomy in the shop environment, each student develops a more advanced design project in consultation with faculty. The project will be based on students ongoing practice of concept documentation and idea development in their sketchbooks, and focused on continued evolution of individual vision and practice. Practical issues such as rapid decision making and timely procurement of materials are incorporated into the design/build process. This course may be combined with the Art of Furniture class, depending upon enrolment.",EDAD440 Intermediate Furniture Design: Pre-Capstone Studio .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4566,"This is the culmination of a five semester concentration on the development of studio furniture. Students are required to produce a significant work of merita furniture suite, or a series of piecesin order to successfully complete the capstone course. The expectation is for the student to produce work which is a cohesive representation of his or her individual aesthetic voice and vision. As such, the final work will be the defining element of the emerging artists portfolio as the student moves into professional practice.",EDAD441 Furniture Design Capstone .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5556,"This class provides a detailed overview of real property development and the role of thearchitect among the wide range of professionals who contribute to the process. Students areintroduced to concepts of risk and return, real estate markets, zoning and regulation, basicproperty law, types of business entities, debt and equity, valuation and appraisal, property andliability insurance, and the various ways in which architects can engage in and contribute tocreating financially successful projects. Students learn the use of analytical toolsincluding pro forma analyses, discounted cash flows, net present value, internal rate ofreturn, project management and scheduling, and the creation anduse of simple spreadsheets. The class also looks at the biographies of a number of well-known realestate developers to see widely differing management styles and approaches. Projectsranging in size from the rehab of a 3-family triple-decker to the development of a complexmulti-million dollar mixed-use project are examined. Guest presentations by practicingprofessionals are used to bring real-world pespectives to the class materials.",EDAD445 Real Estate Development .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4567,"This course is the first of a two-semester senior architectural degree project. This project will be the vehicle for students to develop techniques to self sufficiently research, explore, develop and ultimately demonstrate the validity of an architectural thesis / proposition put forth by the student. In this semester students will identify a thesis / proposition of personal interest to them; they will develop a comprehensive preliminary architectural program that supports the thesis / proposition; and they will identify a locally available site which will provide an appropriate context for the proposed project. Through research, evaluation, analysis and testing, the student will confirm the feasibility of the chosen project to accomplish the architectural goals and support the thesis / proposition stated by the student.",EDAD450 Architecture Degree Project I (Research) .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4568,"This is the second semester course in a design study in architecture, lasting one year for each of the graduating seniors in architecture. Students come to this class armed with the products of EDAD450 - thesis concept, a comprehensive program, a feasibility study, and preliminary design drawings. In this semester students focus on their building design in plan, section, elevation, structural models of various scales, details, building envelope studies, environmental and service systems into a final design set, with details appropriate to their projects. Students shall be required to provide a bound book and associated CD organized to show process, outcomes, and the fully developed design documentation including photographs of the final project.",EDAD451 Architecture Degree Project II (Design) .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4571,"An exploration of the cognitive and psycho-social development of learners through psychological, sociological, and anthropological theories. Theories of development and the nature of art-making are the focus of the course.",AETE201 Art & Human Development .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4572,"Seminar I and Seminar II run in tandem to provide a sophomore-level introduction to teaching and contemporary art. In Seminar I, visits to a variety of educational settings (including public schools, after-school programs, alternative programs, art spaces, and community centers) introduce students to teaching contexts. The course begins to prepare students for their responsibilities as teachers.",AETE208 Seminar I: Contemporary Teaching Practices .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4573,"Seminar I and Seminar II run in tandem to provide a sophomore-level introduction to teaching and contemporary art. In Seminar II, visits to a variety of art settings (including museums, galleries, and artists studios) introduce students to contexts where art is made and produced, exhibited, and experienced. The course begins to prepare students to be socially responsible artist/educators.",AETE209 Seminar II: Contemporary Art Practices .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4574,"An opportunity for students to explore skillful communication, particularly as it relates to expectations, beliefs, relationships, and management with children and youth. Also, an examination of contemporary readings and models that link diversity and art education. Fieldwork with a variety of learners is a significant component of the course.",AETE300 Seminar III: Issues and the Individual Learner .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4575,The series of Portfolio courses requires students to place their college-wide learning in studios and critical studies in the context of art education. Substantive interdisciplinary projects are required for each seminar. The projects will steadily build towards fulfilling the Artist/Teacher Portfolio requirements established by the Art Education Department. Students may register for any of the Portfolio I or II sections.,AETE301 Interdisciplinary Portfolio I .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4576,"An intensive study of a variety of teaching models and their respective planning strategies. Reading and discussions will address writing lesson plans, conducting instructional sessions, and assessing student learning. Students make direct field observations in schools, community settings, and museums. Students will also be required to serve as research and teaching assistants to the Saturday Studios teachers on at least three Saturday mornings.",AETE307 Saturday Studios Prepracticum I .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4577,"A teaching experience to practice theories and models of teaching in the context of the Saturday Studios setting. Through readings, class discussions, and coaching sessions, students analyze communication skills and motivational techniques to inform their practice. Students reflect upon all aspects of their teaching and set goals to address challenges they encounter.",AETE400 Saturday Studios Prepracticum II .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4578,An examination of a variety of community arts programs in order to understand how artists and arts administrators approach the design and implementation of art education programs in community settings. Students will design and implement a community art project as part of the course.,AETE404 Seminar IV: Creating Community .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4579,The series of Portfolio courses requires students to place their college-wide learning in studios and critical studies in the context of art education. A minimum of three substantive projects will be required for each seminar. The projects will build steadily towards fulfilling the Artist/Teacher Portfolio requirements established by the Art Education Department. Students should register for any of the Portfolio I or II sections.,AETE406 Interdisciplinary Portfolio II .
Art Education,6,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4580,"Students are placed for their practicum in area schools for either Pre-K - 8 or 5-12 licensure. They work closely with cooperating teachersdesigning, teaching, and evaluating lessons relating to the school curriculum. They are supervised by Mass Art faculty and attend aweekly seminar on issues related to their teaching experience. They compile a teaching portfolio and hang an exhibition of their students work.",AETE407 Student Teaching Practicum .
Art Education,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4581,"An exploration of the philosophical, socio-cultural, and personal issues that shape teaching practices. Through readings and critical analysis of existing models, students design individual solutions to curriculum problems in the visual arts. (This course is usually taken concurrently with the Student Teaching Practicum or the Community or Museum Internship.)",AETE408 Seminar V: Designing Curriculum in the Visual Arts .
