department,description,title
Anthropology,"This course examines special topics from the perspective of anthropology, looking at the diversity of forms that cultures have adopted to deal with human concerns. Its purpose is to allow faculty and students to explore issues that meet special interests but which may not be offered on a regular basis.Courses could be offered at the 200, 300, or 400 levels, depending on the level of work to be required and the number of prerequisites for the course.",ANTH412 - Special Topics in Anthropology
Art History,"This course presents a survey of artistic styles from the prehistoric period through the art of the early Renaissance. Periods included are Egyptian, Aegean, Greek, Roman and Etruscan art, and the art of the Middle Ages. Films and slides are used in the presentation of works of art from the fields of architecture, sculpture, and painting.",ARTH103 - Art History I
Art History,"This course presents a study of works of art from the High Renaissance and the Mannerist periods, the Renaissance in the North, the Baroque period, and the Modern Age. Slides and films are used in this presentation of works of art from the fields of architecture, sculpture, and painting.",ARTH104 - Art History II
Art History,"This course introduces students to the study of art history by focusing on one theme, one artist, or one form of art. Painting, sculpture, architecture, and prints and drawings may be considered. Stylistic, cultural, and historic elements are components of the course.",ARTH107 - Special Topics in Art (KP)
Art Studio,"This course introduces students to a variety of drawing tools and media. Drawing from life, line, tonality, illusional space, and perspective are explored. Creativity and individual expression are stressed.",ARTS101 - Studio Drawing I
Art Studio,"This course provides an introduction to printmaking with an emphasis on the translation and development of images into a printed media, as well as the design and organization of space. Types of printmaking to be explored include relief, monotype, and drypoint.",ARTS103 - Printmaking
Art Studio,"This course introduces students to the world of art museums, galleries, auction houses, and various other art institutions, through a series of site visits and some involvement in actual gallery work. By exploring venues and the communities they serve, students will address the question, ""What is an art museum or gallery, and why is it a part of our society?""",ARTS106 - Museum Discovery (KP)
Art Studio,"This course exposes students to a variety of leadership and managerial roles in the context of an arts organization. Topics include strategic planning, budgeting, program development, fundraising and grant writing, as well as an examination of the differences between non-profit and for-profit arts management.",ARTS108 - Fundamentals of Art Management
Art Studio,"This course focuses on Photography as an art form, introducing students to the history of the practice, its most significant practitioners and their work, as well as techniques and methodologies of art photography. The course will combine both survey and studio teaching approaches so that students have the opportunity to immediately put into practice newly acquired knowledge and skills.",ARTS110 - Traditions & Methods of Art Photo (KP)
Art Studio,"This course will teach the fundamentals of working with the potters wheel, forming bowls and cylinders, texturing and coloring, surface decoration, glazing and firing in our renovated kilns. Students also learn theories and best practices of working with ceramicsstudying ancient traditions and more modern approaches in a hands-on exploration of form and function.",ARTS111X - Intro to Ceramics
Art Studio,"Using water-based clay, the class will create small-scale figure studies, sculpt individual parts of the face and end with one life-size portrait bust. With an emphasis on realism, the course is designed to cover structure, form, proportion and anatomy, as tools for self-expression. No prior art experience is necessary.",ARTS113X - Clay figure Sculpting
Art Studio,"This course introduces students to the notion of creating within three-dimensional space. Line, composition, planes, volume, and surfaces are studied from both additive and subtractive perspectives. Students construct various models and/or maquettes. Problem solving and individual expression are emphasized NOTE: Graphic Design majors should seek out the majors-only section when enrolling.",ARTS120 - Three-D Design
Art Studio,"This course is an introduction to the theories and concepts of design and color with an emphasis on developing an awareness and sensitivity to art as an integral part of ones life and as a way to complement ones aesthetic needs. This is a lecture/discussion/critique course with visual material, critical essays, individual expression, and museum/gallery trips. NOTE: First year Graphic Design majors should seek out the majors-only section when enrollling.",ARTS126 - Principles of Design & Color (KP)
Art Studio,"This is an introductory course on watercolor painting that incorporates various techniques such as glazing, wet on wet, graduated tone, and negative painting. Students acquire an understanding of basic color theory and composition. They experiment with the different relationships of wet paper, dry paper, and pigments.",ARTS130 - Watercolor
Art Studio,"This course offers the experienced drawing student a chance to continue building life drawing, human figure, still lifes and landscape skills. In addition to studio work, students learn what is necessary to advance their knowledge of design by studying the masters. Periodic class discussions help students learn visual analysis and a general approach to the criticism of art. Prerequisite: ARTS 101 or permission of instructor.",ARTS201 - Studio Drawing II
Art Studio,"This course introduces students to a variety of styles and techniques used in oil and/or acrylic painting. Canvas stretching and priming, color mixing, and brush selection are addressed. Prerequisite: ARTS 101 or permission of instructor.",ARTS203 - Painting
Art Studio,"The arts process allows students to call on many talents simultaneously, including perceiving, responding, understanding, creating, self-evaluation, and development of related skills.This course exposes education students to new ideas and art forms, and ideas, tools, and processes from arts disciplines. Students work with a variety of art forms including drawing, painting & 3D.",ARTS205 - Art for Educators
Art Studio,"The purpose of this course is to help students obtain the basic skill of drawing the human form, including anatomy, observation of the human form and fundamental exercises in gesture, contour, outline, and tonal modeling.$50 Student Fee for the models.",ARTS207 - Figure Drawing
Art Studio,"In this interdisciplinary class, we will use and interpret historical and contemporary forms of creative expression to highlight and seek to understand oppression, personal struggle and injustice.This class will integrate the Individual and Society, Global and Historical, and Aesthetics and Creativity knowledge perspectives into our exploration of inequity and injustice that exists around the world.",ARTS212X - Fighting Injustice Thru Art & Creativity
Art Studio,"This course provides an introduction to the basic concepts of digital imaging as applied to photography. Students combine traditional photographic methods with the latest digital techniques, using image manipulation software, scanning equipment and other computer-based tools. Students are responsible for providing their own digital camera.",ARTS219 - Digital Photograhy I
Art Studio,"This course is for students who wish to advance their drawing skills to a higher level. In addition to refining techniques with various drawing media, such as ink, graphite, and mixed media, students address perceptual and aesthetic issues in relation to their own work within contemporary and historical contexts. The expressive character of lines, tones, and marks are studied as inseparable from fundamental concepts and content of drawing. Developing a unique and personal vision is a primary consideration. Prerequisite: ARTS 201 or permission of instructor.",ARTS301 - Studio Drawing III
Art Studio,"This course is designed for students who wish to advance their painting skills to a higher level. In addition to refining painting techniques, students address perceptual and aesthetic issues in relation to their own work within contemporary and historical contexts. Merging inquiry and intuition, students are expected to commit to discovering individual creative expression. Prerequisite: ARTS 203 or permission of instructor.",ARTS302 - Studio Painting II
Art Studio,This course involves the study of the graphic image and how visual messages are used in a diverse media.This is an advanced photography course with an emphasis on technical methods. Hands-on studio projects give the student skills that contribute to thoughtful and effective communication. Prerequisite: ARTS 219.,ARTS319 - Digital Photography II
Art Studio,"A critical component of a successful internship experience is finding an appropriate placement. In this seminar students will identify their personal work style and strengths, will identify a good career match, will create an effective cover letter and resume, will explore effective networking, interviewing, and negotiation skills. This course will help students identify search tools for finding internships. A goal of this course is to secure an internship for the following semester. Junior standing is required.",ARTS399 - Internship Seminar
Art Studio,"This course provides the student with professional experience through an individually arranged participation of 12-15 hours per week in a work setting. Primary area of responsibility rests with the student in identifying and pursuing his/her areas of interests, in consultation with his/her team of faculty advisors. Each student is monitored during the field experience and must complete a related written project assigned by his/her team of faculty advisors. Evaluation of the field experience is based on student performance as reviewed with the employer, faculty members, and student at the completion of the experience.Junior or Senior standing.",ARTS400 - Internship
Art Studio,Arts Management students engage in an individual research and writing practice that challenges them to analyze and investigate a specialized area of arts administration and arts management. This capstone course also provides students an opportunity to clarify their professional goals based on their interests in arts management. Prerequisite: Senior standing.,ARTS404 - Senior Thesis I
Art Studio,The Arts Management senior practicum provides an opportunity for students in the final semester of their program to produce a self-directed capstone project that applies the theories and techniques that they have been developing over the last four years. Prerequisite: Senior standing.,ARTS406 - Senior Practicum
American Sign Language,"This first course in the three-course ASL sequence introduces students to the structure of ASL and its status as a world language; it also addresses the history and culture of the Deaf community.Students master fundamental receptive and expressive ASL skills, with emphasis when appropriate on communicative competence, vocabulary development, ASL grammar, and narrative/artistic forms.This is a four-credit course.",ASL111 - Elementary ASL I
American Sign Language,"In this second course in the three-course ASL sequence, students continue to master the structure of ASL as a world language.Students continue to learn vocabulary, features of ASL grammar, and facets of Deaf cultural behavior.The course also addresses narrative/artistic forms, pertinent social service agencies, history of the Deaf community, and political concerns.This is a four-credit course.Prerequisite:ASL111 or permission of instructor.",ASL112 - Elementary ASL II
American Sign Language,"In this third course in the three course sequence, students advance and refine their mastery of the structure of ASL. Students continue to learn ASL vocabulary and are introduced to advanced features of ASL grammar. Students examine increasingly sophisticated narrative/artistic forms; students also consider the ways in which signed language both reflects and enriches Deaf culture. In addition, political concerns of the Deaf community are considered, as students explore the Deaf experience. Prerequisite: ASL112",ASL211 - Intermediate ASL I
Athletic Training,"This course provides students with foundational concepts associated with the healthcare and fitness industry. Through connected learning projects, emphasis is placed on understanding musculoskeletal anatomy and medical nomenclature. Formerly - AHLT101",AT101 - Essentials of Musculoskeletal Anatomy
Athletic Training,"This course emphasizes principles and techniques for recognition and management of life-threatening and non-life-threatening medical emergency situations. Additionally, the course content includes a variety of injury and illness prevention techniques including, taping, bracing and proper hydration. The lab component of the course includes techniques for immobilization, airway management, athletic equipment management, and removal in emergency situations. At the completion of the course students will be eligible for certification in CPR Professional Rescuer/AED and First Aid by the American Red Cross.",AT103 - Techniques of Emergency Care
Athletic Training,"This course is a basic athletic training course providing an overview of prevention, recognition, and initial management of common athletic injuries. Additional topics covered in the course include: issues in health care administration, nutritional considerations, environmental issues, protective equipment, tissue healing, bloodborne pathogens and rehabilitation concepts. Formerly - AT201",AT202 - Foundations in Sport Medicine
Athletic Training,This course requires a minimum of 125 hours of supervised clinical education experience at affiliated athletic training sites. Emphasis is placed on the athletic trainers role in working with an athletic team. The laboratory component meets two hours weekly to develop additional evaluation techniques and knowledge of anatomical landmarks. Prerequisites: AT 211,AT204 - Clinical Athletic Training II
Athletic Training,"""This course requires a minimum of 100 hours of supervised clinical education experience at affiliated athletic training sites.Clinical education experiences include working with intercollegiate athletic teams with an emphasis placed on understanding the operation of an AT facility, policies and procedures, implementation of emergency techniques and first aid, application of taping and bracing techniques and engaging in professional interactions. The laboratory component of the course meets 2 hours weekly and focuses on musculoskeletal anatomy, taping and bracing, wound care and basic injury evaluations.Prerequisites: AT103 & AT202; Co-requisite AT 211Formerly - AT203""",AT205 - Clinical Athletic Training I
Athletic Training,"This course requires a minimum of 100 hours of supervised clinical education experience at affiliated athletic training sites. Emphasis is placed on the athletic trainers role in working with an athletic team. The laboratory component meets two hours weekly to develop additional evaluation techniques and the application of knowledge, skills and abilites aquired in previous coursework Prerequisites: AT 205, AT 211; Co-requisite AT 212 and AT 213",AT206 - Clinical Athletic Training II
Athletic Training,"This course focuses on techniques for orthopedic and neurological assessment of musculoskeletal injuries to the lower extremities and low back. The lab component emphasizes developing clinical skills including palpation of bony landmarks, manual muscle testing, goniometry measurements, stress tests and special tests.This is a writing intensive course. Prerequisites: AT 202 & BIO 205Formerly - AT350/350L",AT211 - Assessment Diagnosis I
Athletic Training,"This course focuses on techniques for orthopedic and neurological assessment of musculoskeletal injuries to the upper extremities and thorax, as well as internal injuries. The laboratory component emphasizes developing clinical skills including palpation of bony landmarks, performing stress and special tests. Prerequisite: AT 211.Corequisite: AT212L",AT212 - Assessment Diagnosis II
Athletic Training,"Course Description:This course provides a comprehensive study of the cervical, thoracic and lumbar spine.Topics include applied biomechanics, techniques for orthopedic and neurological assessment, and rehabilitation/management techniques.These topics are addressed through a problem-based learning format. Through lecture and laboratory opportunities, the student will develop a systematic approach to the evaluation process and develop accurate impressions and treatment protocols.Prerequisite: AT 211",AT213 - Assessment & Diagnosis: Head & Spine
Athletic Training,"In this course, major pathophysiologic concepts are explored using a body systems approach relating them to the practice of the health care professional. Theories relating etiology, pathogenesis and clinical manifestations are used to study common disease processes. The course also describes the impact of cellular dysfunction, interpretation of medical laboratory tests and drug interaction and pharmacology for the health care provider. The course encourages critical analysis of clinical data to identify logical connections and integration. Prerequisites: BIO 205, BIO 206.",AT301 - Pathophysiology
Athletic Training,This course requires between 150 and 225 hours of supervised clinical experience in the Lasell College Athletic Training facility or an affiliated site. Students may have peer teaching responsibilities. The laboratory component meets two hours per week. Emphasis is placed onidentification of anatomical landmarks and evaluation techniques being stressed. Prerequisite: AT 206,AT302 - Clinical Athletic Training III
Athletic Training,"This course is an examination of the treatment of athletic injuries through the use of cold and heat modalities, hydrotherapy, and electrical modalities. Emphasis is placed on theoretical and physiological effects on healing, and on indications and contraindications for use of each modality. Prerequisites:BIO 205, BIO 206.",AT303 - Therapeutic Modalities
Athletic Training,"This course presents intermediate and advanced principles and techniques of rehabilitation of athletic injuries. Emphasis is placed on designing rehabilitation progressions and integrating them appropriately for return to sport activity. The lab component focuses on proper techniques for specific exercises, exercise contraindications, and use of special rehabilitation equipment.Corequisite AT304L.Prerequisite: AT212 and AT 213",AT304 - Therapeutic Exercise & Rehab Techniques
Athletic Training,This course requires between 150 and 225 hour of supervised clinical experience in the Lasell College Athletic Training facility or an affiliated site. Students are exposed to increasing amounts of responsibility and advanced tasks within the role of the athletic trainer. Students may have peer teaching responsibilities. The laboratory component of the course meets 2 hours weekly and focuses on rehabilitation techniques with an emphasis on therapeutic exercise.Prerequisite: AT 302.,AT305 - Clinical Athletic Training IV
Athletic Training,Develop a moral and ethical decision making framework as related to the healthcare field as individuals (clinician) and groups (healthcare team) through the application ethical principles and concepts,AT306 - Applied Ethics in Health Care
Athletic Training,"This course requires between 150-225 hours of supervised clinical experience in the Lasell College Athletic Training facility or an affiliated site. Students have increasing responsibility for coordinating all aspects of athletic training services for an athletic team. Increasing amounts of administrative and peer teaching responsibilities are provided. The laboratory component meets for two hours weekly with emphasis on rehabilitation techniques, specifically therapeutic modalities. Prerequisite: AT 305.",AT402 - Clinical Athletic Training V
Athletic Training,"This course presents administrative concerns of the certified athletic trainer including: development of policies and procedures, legal issues, budget management, facility planning, staffing, hiring process, medical insurance issues and drug testing.Prerequisite: AT 305.",AT403 - Organization & Healthcare Administration
Athletic Training,"This course requires between 150-225 hours of supervised clinical experience at the Lasell College Athletic Training facility or an affiliated site. Increased emphasis on research, peer teaching, and presentations. The laboratory component meets for two hours weekly to review anatomical landmarks and special techniques. Prerequisite: AT 402.",AT405 - Clinical Athletic Training VI
Athletic Training,"""This course requires minimum of 200 hours of supervised clinical experience in the Lasell College Athletic Training facility or an affiliated site. Students have increasing responsibility for coordinating all aspects of athletic training services for an athletic team. Increasing amounts of administrative and peer teaching responsibilities are provided. BOC Exam prepartation is emphasized. The laboratory component meets for two hours weekly with emphasis on rehabilitation techniques, specifically therapeutic modalities. Prerequisite: AT 305.Formerly - AT402""",AT407 - Clinical Athletic Training V
Athletic Training,"This course focuses on pharmacology, ethics, psychosocial aspects of care and athletic training for special populations. Emphasis is placed on advance concepts intended to prepare students for entry-level jobs in the field of athletic training. Prerequisites: Senior standing, PSYC 101, AT 301",AT421 - Advanced Concepts in Patient Care
Athletic Training,"This course is designed to serve as a capstone course for seniors in the athletic training education program.The primary goal is to better prepare students to engage in research at the graduate level.The content of this course focuses on opportunities for undergraduate research, with three course design options: development of original case study research, with focus on adhering to written and oral presentation standards within the field; development of an original research question, with focus on methodology, data collection and statistical analysis; development of an understanding of the research process, with focus on review of the literature, defining the research question, and study methodology.Prerequisites: Senior standing, EXSC340",AT430 - Athletic Training Capstone
Biology,"This is an introductory lecture and laboratory course in biology to develop an appreciation for the patterns and functions that characterize living organisms. Emphasis is placed on cellular biology. Topics include: the chemistry of life, cell structure, and cell metabolism (respiration, photosynthesis, protein synthesis.) Corequisite: BIO 101L.",BIO101 - Principles of Biology I (KP)
Biology,"This course emphasizes the evolutionary history of life on earth. Topics include: Darwinian evolution, genetics, a survey of the five kingdoms of life, principles of ecology, and human ecology. The laboratory introduces the student to the diversity of living organisms. Corequisite: BIO 102L.",BIO102 - Principles of Biology II (KP)
Biology,"Preliminaries of the molecules of life and cell structures are investigated in this course.Topics from cell biology, nutrition, energy production, respiratory and circulatory systems, genetics, reproduction, evolutionary thought, and ecosystems are also explored.",BIO107 - Topics In Biology (KP)
Biology,"This is a one semester lab course focusing on the functions of the human body in health and disease. The structure and function of the major body systems are emphasized. Systems discussed include: skeletal, muscular, digestive, circulatory, excretory, reproductive, nervous and endocrine. Corequisite: BIO 112L.",BIO112 - Human Biology
Biology,"This is a comprehensive course focusing on the structure and function of the human body. The course introduces students to aspects of human biology ranging from the chemical basis of life and cell biology to the anatomy and physiology of the major organ systems. Topics covered include: cell biology, major body tissues, and the structure and function of the following systems: skin, skeletal, muscular, and nervous. The laboratory component includes dissection. Students should have successfully completed one year of at least secondary (high school) level Biology before electing this course. Corequisite: BIO 205L.",BIO205 - Anatomy & Physiology I
Biology,"This course is a continuation of BIO 205. The following systems are covered during the semester: endocrine, digestive, respiratory, cardiovascular, lymphatic, urinary, and reproductive. The laboratory component includes dissection.Prerequisite:BIO 205. Corequisite: BIO 206L.",BIO206 - Anatomy & Physiology II
Business,"This course is designed to familiarize students with various aspects of the business world. Areas covered include: private enterprise, forms of ownership, legal aspects, management, marketing, human resources, operations management, labor relations, and finance. In addition, students become aware of how business functions are integrated into an organization to achieve specific goals.",BUSS101 - Contemporary Issues in Business
Business,"This course provides students with an applied knowledge of the fundamental accounting process and procedures used in business. Students learn how to identify and record business transactions. In addition, students learn how to create financial statements, as well as how to become intelligent users of financial information.",BUSS201 - Financial Accounting
Business,"In this course, students gain experience in the development and use of information within an organization. Course topics include: cost terms; production costing; cost allocation for planning and control; cost behavior patterns; cost-volume-profit relationships; budgeting; inventory planning and control; pricing decisions; and aspects of investment decisions. Prerequisite: BUSS 201 with a grade C or better.",BUSS202 - Managerial Accounting
Business,"This course provides an introduction to the fundamental concepts of finance. Various techniques of analysis that reveal the relationships of risk, return, and value are demonstrated. Topics include: financial reporting; long- and short-term forecasting; managing working capital; capital budgeting; and the nature of corporate securities and debt-equity mix. Prerequisites: BUSS 101 OR HEM 101 OR FASH 101 OR SMGT 102; BUSS 202 with a grade C or better & ECON 102.",BUSS203 - Financial Management
Business,This course provides a working knowledge of everyday law as it applies to business and personal needs. The focus is primarily on contract law and property law.,BUSS205 - Legal Environment of Business
Business,"This course provides the foundation for understanding and usingfinancial planning techniques. This framework is the basis for all financial decisions large and small. Topics covered are personal financial planning, consumer credit, budgeting, investments, and banking procedures. Risk analysis regarding portfolio management and tax liabilities is also examined.",BUSS207 - Fundamentals of Financial Planning
Business,"This course examines financial statements and other financial reports with a view towards using accounting information in making investing, lending and other potential management decisions. Students explore methods of constructing, comparing and analyzing these statements and reports and the various uses of such analyses. Prerequisite: BUSS 202 with a grade C or better.",BUSS208 - Financial Statement Analysis
Business,This hands-on course is designed to provide students with a fundamental knowledge and understanding of computer applications in business.Strong emphasis of the course is on building competencies in industry-standard spreadsheet and database software applications.,BUSS209 - Computer Applications in Business
Business,"This course provides students with a basic understanding of fundamentals of federal income tax laws as they apply to individuals, businesses, and not-for-profit taxable entities.It explores the broad range of tax topics, emphasizing the role of taxation in business decision-making process, tax research, and tax planning. Prerequisite: BUSS 201",BUSS210 - Federal Income Taxes
Business,"This course takes a managerial approach to information technology concepts and applications. Given the pervasiveness of computer technology in today's world, professionals in various fields of endeavor often have a major responsibility for determining an organization's information needs and for designing and implementing information systems that support those needs. Students study concepts and issues related to information technology with the goal of understanding how it can be effectively used to improve an organization's overall effectiveness and increase its level of success. Prerequisite: BUSS 101, HEM 101, HEM 102, SMGT 102, or FASH 101.",BUSS212 - Management Information Systems
Business,"In this course, fundamentals of the nature of marketing are presented and evaluated for specific functions and institutions. Policies and practices as applied generally to marketing research involve product development, selection, channels of distribution buying and physical distribution selling. Pricing under competitive conditions, social benefits of competition and government regulations are included. Prerequisites: BUSS 101, HEM 101, FASH 101, or SMGT 102; ECON 101; HEM102.",BUSS220 - Marketing
Business,"In this course, students study individuals within the context of the organization using a behavioral approach. Group dynamics and intergroup dynamics are emphasized in relation to productivity and work satisfaction along with the examination of specific aspects of organizations that influence behavior. Areas covered include: structure, leadership, and change. Teaching modalities include case studies and role-playing. This is a writing intensive course. Prerequisite: PSYC 101 or SOC 101.",BUSS224 - Organizational Behavior
Business,"Entrepreneurship drives global innovation and economic growth. This course exposes business students to the study of entrepreneurship and the venture creation process. Topics include analyzing new business opportunities, developing business propositions, new venture planning and financing, marketing activities, financial controls, and other topics relevant to the entrepreneurial process. Students interact with faculty, local entrepreneurs, and small business owners/managers. As a culmination activity of this course, students are responsible for the development and presentation of a business plan. Prerequisite: BUSS 101.",BUSS231 - Entrepreneurship & Venture Creation
Business,"Operations strategy examines how operations can be used as sources of competitive advantage. This class will focus on understanding the need of formulating an operational strategy (long-term plan) and making strategic operational decisions. The old view of operations management as the task of maintaining a comparatively static production or service facility has given way to one characterized by a need for renewed flexibility, relentless improvement, and the development of new capabilities at the operating unit level. As a result of this changing environment, the skills required of operations managers have changed as well. The course is based primarily on case studies supported by conceptual frameworks.",BUSS232 - Operations Strategy
Business,"This course studies the American enterprise experience from colonial times until the present. The course touches upon the business component of the American experience beginning with the individual artisan-merchant through the great innovators and organizers of the 19th and 20th centuries and beyond. The historical events, cultural changes, social upheavals, and political shifts that have influenced the development of the American business environment are the core of the study. Prerequisite: BUSS 101, HEM 101, FASH 101, or SMGT102",BUSS233 - American Enterprise Experience
Business,"This course introduces students to ethical analysis in its application to management. A presupposition of the course is that ethical considerations are an integral part of effective management practices. Prerequisite: BUSS 101, HEM 101 FASH 101, or SMGT 102",BUSS235 - Ethics in Business
Business,"In this course, students analyze what it means to be a global leader in the 21st century and identify the skills necessary to be successful in an increasingly global business climate. Students explore this question personally, collectively, and globally in a creative and collaborative atmosphere. Students examine classic as well as contemporary theories of leadership and how they apply to the dynamic global business culture. The course provides students with the opportunity to acquire perspectives and skills essential to successful management in the emerging markets that are increasingly becoming key contenders in world commercial enterprise. Prerequisite BUSS 224.",BUSS237 - Contemporary Global Leadership
Business,"This course builds on concepts developed in Financial Accounting. Concentration is on the application of Generally Accepted Accounting Principles (GAAP) and International Financial Reporting Standards (IFRS) to the preparation of financial statements with an in-depth review of cash, receivables, inventories, and plant assets. The course also covers the concept of the time value of money and the application of present value techniques to accounting valuations. Prerequisite: BUSS 202 with a grade C or better.",BUSS301 - Intermediate Accounting I
Business,"This course is designed to continue the concepts of financial accounting and present a more thorough analysis of the requirements of the Financial Accounting Standards Board. Included in this course are earnings per share calculations, lease accounting, and pension accounting. The cash flow statement is also studied. Prerequisite: BUSS 301 with a grade C or better.",BUSS302 - Intermediate Accounting II
Business,"This course explores working capital management, credit management, working capital funding, and the major sources of financing debt and equity.Students undertake financial analyses of theoretical models and real-world firms and organizations, recommend financing strategies, and present their findings by using management reporting methods.Prerequisite:BUSS 203.",BUSS304 - Working Capital Management
Business,"This course addresses significant accounting matters experienced by multinational companies.Accounting matters include currency transactions and translational transfer price, and management planning and control.Prerequisite:BUSS 301 with a C or better.",BUSS305 - International Accounting
Business,"This course provides an understanding and appreciation of accounting information systems. The course teaches conceptual, analytical, and technical skills necessary to work efficiently and productively as an accountant in a computerized business information environment.The functions of Accounting Information Systems are explored from the perspective of financial accounting, managerial accounting, auditing, and tax. The course involves several hands-on exercises in Microsoft Access and Microsoft Excel to develop database and spreadsheet skills.Prerequisite: BUSS 202 with a ""C"" or better.",BUSS306 - Accounting Information Systems
Business,"This course studies the ways and means to reduce financial risk involved in international financial management. The course deals with the interrelationship between the international monetary environment and financial planning for corporations with overseas operations. It analyzes the effects on international financial planning of such factors as exchange rate fluctuations, currency restrictions, and tax regulations. It intensively examines financial aspects of multinational business including foreign investment, trade, and transfer of funds. Prerequisite: BUSS 203.",BUSS307 - International Finance
Business,"This course introduces financial accounting and reporting issues related to state and local government and non-profit organizations, including universities and health care facilities.Prerequisite:BUSS 201 with a grade C or better.",BUSS308 - Government & Not-for-Profit Accounting
Business,"This course covers techniques for identification and detection of asset misappropriation schemes and fraudulent financial statements, who commits fraud and why, and controls to prevent and detect problems.Prerequisite: BUSS 201 with a""C"" or better.",BUSS309 - Fraud Examination
Business,"This course explores fundamentals of investing. The strategies used to create money from financial capital are thoroughly examined. Financial instruments such as stocks, bonds, mutual funds, futures, options, and commodities are explored. The measurement tools used to assign risk and rate of return, performance, and value are covered. Students learn how to develop, analyze, and maintain a portfolio. Regulatory and ethical issues are examined and considered in the decision-making process. Prerequisite: BUSS 203 with a ""C"" or better.",BUSS311 - Investments
Business,"The basics of risk management are covered in this course. Problems of liability and personal loss exposures of a business are examined. Private insurance programs such as health and life insurance, and employee benefit plans are examined and assessed. Prerequisite: BUSS 203 with a""C"" or better.",BUSS312 - Risk Management
