category,course,credits,description,title
Business (Bus),BUS 161,3 credits,"This course is designed to enable students to develop the skills necessary to make marketing decisions with a global focus. Emphasis in this course will be on the differences between domestic and global marketing, the scope of global marketing, and the integration of global marketing with other fields including, global economic forces, social and cultural influences, and the political and legal forces that affect international firms. Prerequisites: Introduction to Marketing (BUS 141); English Composition I (ENG 101)",Introduction To Global Marketing
Business (Bus),BUS 162,3 credits,This course is designed to develop skills that will enable students to be comfortable and effective in a worldwide marketplace. Students should be able to understand and analyze the impact of trade negotiations on themselves and their firms. The global economic environment in which international businesses compete and the forces that have created this environment will be discussed. Prerequisites: English Composition I (ENG 101),Introduction To International Business
Business (Bus),BUS 181,3 credits,"Students enrolled in this course will learn how to plan, start, market, and manage a new small business enterprise. Emphasis will be place on identifying marketable business opportunities; the business plan; and understanding and applying the principles of planning, organizing, activating, and controlling to a small business startup environment. Prerequisites: English Comp I (ENG 101) or Concurrent",Starting Your Own Business
Business (Bus),BUS 201,3 credits,"In this course, students will examine valuation problems relating to inventories, investments, receivables, and other assets. An emphasis is placed on accounting principles, income determination, and the preparation of financial statements. Prerequisites:Principles of Accounting II (BUS 102)",Intermediate Accounting I
Business (Bus),BUS 202,3 credits,"As a continuation of Intermediate Accounting I (BUS201), students will examine problems relating to lease and pension plans, long-term investments, and current and long-term liabilities. Other topics discussed in the course include capital stock, stock rights and warrants, and an introduction to present value techniques for accounting valuation. Prerequisites: Intermediate Accounting I (BUS 201)",Intermediate Accounting Ii
Business (Bus),BUS 203,3 credits,"Students enrolled in this course will examine cost accounting practice for various aspects of manufacturing, including materials, labor, and factory overhead. Cost accumulation is also discussed as it pertains to job order systems, process systems, and standard cost systems. Prerequisites:Principles of Accounting II (BUS 102)",Cost Accounting
Business (Bus),BUS 206,,"An introduction to financial management for business firms is the focus of this course. After a review of financial statements and forms of organization, students will explore the use of assets and cost of capital as management evaluation techniques. Other topics discussed in class include an overview of the securities market, effects of inflation, investment institutions, and the essentials of international finance. Prerequisites: Principles of Accounting II (BUS 102)",Introduction To Finance
Business (Bus),BUS 221,3 credits,"This course introduces students to the legal environment of business. Topics of discussion include sources of law, the court system, business torts, intellectual property, and cyber law, criminal law, E-commerce and dispute resolution, ethics, contract and product liability law. Prerequisites: English Comp I (ENG 101) Concurrent",Business Law I
Business (Bus),BUS 232,3 credits,"As a continuation of Management I, this course examines the supervisory role of the business manager. Students will explore issues such as leadership and motivation, planning, problem solving, staffing, communication, styles of supervision, organizing, and controlling. Through classroom lectures, readings, homework assignments, and case studies, students will learn that successful management is based on both an understanding of business principles and the ability to supervise others.",Management Ii
Business (Bus),BUS 262,3 credits,This course is designed to develop skills that will enable students to be comfortable and effective in a worldwide marketplace. Students should be able to understand and analyze the impact of trade negotiations on themselves and their firms. The global economic environment in which international businesses compete and the forces that have created this environment will be discussed. Prerequisites: English Composition I (ENG 101),Introduction To International Business
Business (Bus),BUS 298,3 credits,"This course is designed for students to gain hands-on experience in a work setting related to their career interest. Students must develop a resume, cover letter and references prior to placement. Students are required to complete 150 hours (minimum of 10 hours per week), assigned readings, a mid-term project and a final project that will include an oral presentation. Students currently employed in their program of study may be eligible to combine the internship with their employment. Prerequisites: Management I (BUS 131); Business Law I (BUS 321); English Composition I (ENG 101)",Business Internship
Business (Bus),BUS 501,3 credits,"This is a primary course for students considering a career in tourism/hospitality settings. The course begins by providing an overview of the breadth of the lodging industry (hotels, etc.) and the industry's related food and beverage segments. It continues with an investigation into how regions market themselves to tourists (destination management) and the key role played by the meetings/convention industry in bringing tourists to a destination's lodging (and other retail) establishments. A special focus of this course is an investigation into the ""service"" element of the hospitality industry.",Introduction To Hospitality Industry
Business (Bus),BUS 520,3 credits,"This course focuses on the fundamentals of customer service necessary to the successful operation of service-oriented businesses with particular emphasis on the hospitality and tourism industry. The skills, attitudes, and thinking patterns needed to win customer satisfaction and loyalty will be examined through the use of real-world service encounters. Specific ways that service products can be delivered and what tools are at every customer-contact employee's disposal will be discussed.",Fundamentals Of Customer Service
Business (Bus),BUS 540,3 credits,"This course provides students with practical skills and knowledge for effective management of food and beverage service in outlets ranging from cafeterias and coffee shops to room service, banquet areas, and high check-average dining rooms. Basic service principles as well as emphasis on the special needs of guests will be discussed.",Food & Beverage Service
Criminal Justice Program (Cjp),CJP 100,3 credits,"This course provides an overview of the history and present-day operation of the criminal justice process in the United States. Students will analyze the role, responsibility, and authority of each of the components of the system: police, courts, and corrections. They will also explore and examine the underlying principles and values of justice. Prerequisites: Developmental Reading and Writing 2 (ENG 091)",Introduction To Criminal Justice
Criminal Justice Program (Cjp),CJP 110,3 credits,"This course introduces the student to the major perspectives, concerns, controversies, and debates that characterize the contemporary study of crime, criminals, and criminal behavior. It examines these problems by drawing upon other disciplines such as sociology, psychology, political science, anthropology, philosophy, medicine, and biology to provide an integrated approach to understanding the problem of crime in contemporary society and to advance solutions to the crime quagmire. Prerequisites: English Comp I (ENG 101)",Introduction To Criminology
Criminal Justice Program (Cjp),CJP 120,3 credits,"This course examines criminal law in the United States from a broad perspective. It will present the general principles and doctrines that affect the whole of criminal law, such as elements of criminal offenses, defenses to crimes, theories of punishment and rehabilitation, and perspectives on crime and criminal law. In addition, students will learn the elements of some specific crimes, such as homicide, criminal sexual conduct, crimes against public order, crimes against public morals, and crimes against property, including burglary, larceny and arson. A brief discussion of criminal procedure and constitutional limitations on government will be presented as preparation for future study of criminal justice procedure. Prerequisites: English Comp I (ENG 101)",Criminal Law
Criminal Justice Program (Cjp),CJP 130,3 credits,"This course traces the development and evolution of law enforcement to current practices in the United States. Students will analyze the role of police agencies in our society and current problems faced by law enforcement. Career opportunities in local, state, and federal law enforcement will be discussed. Prerequisites: English Comp I (ENG 101)",Law Enforcement Operations
Criminal Justice Program (Cjp),CJP 140,3 credits,"This course provides a comprehensive look at the criminal justice process from arrest to sentencing. Students will analyze the responsibilities of prosecutors, defense attorneys, and judges and the role that each plays in the process. Topics will include: plea-bargaining, victim-witness assistance, jury selection, diversion and sentencing options. Prerequisites: English Comp I (ENG 101)",Criminal Court Process
Criminal Justice Program (Cjp),CJP 160,3 credits,This course traces the historical development of the juvenile justice system and examines how and why youthful offenders and children are treated differently from adults. Recent legislative changes and the impact of these changes on the handling of certain categories of juveniles will also be studied.,Juvenile Justice System
Criminal Justice Program (Cjp),CJP 200,3 credits,"In this course, students will focus on selected aspects of civil liberties and civil rights in the United States. It will address government limitations of power; constitutional law questions; the content and nature of liberty; as well as the issues of judicial activism and restraint. Emphasis is on the Constitution and US Supreme Court cases which delineate the legal doctrines relevant to defining the constitution's guarantees of liberty. The student will be expected to learn about freedom of speech and press, freedom of religion, privacy, discrimination, capital punishment, and future directions. This course will help students grow as citizens and enable them to critically analyze the events surrounding them. Prerequisites: English Comp I (ENG 101)",Constitutional Law
Criminal Justice Program (Cjp),CJP 202,3 credits,"This course traces the development and roles of probation, parole and other community sentencing alternatives in the United States. Particular attention is paid to the legal, functional and administrative aspects of these sanctions, as well as the impact on recidivism and offender reintegration. Prerequisites: English Comp I (ENG 101)","Probation, Parole, Community Corrections"
Criminal Justice Program (Cjp),CJP 204,3 credits,"This course is intended to provide students with the skills and information necessary to review and analyze important issues in family law. Students will learn about paternity, divorce, child custody and support, alimony and adoption proceedings as well as domestic violence restraining orders and actions relating to pre and post nuptial agreements and separation orders. Prerequisites: English Comp I (ENG 101)",Family Law
Criminal Justice Program (Cjp),CJP 210,3 credits,"The development of correctional institutions and current correctional practices in the United States. Students will analyze the function and operation of correctional facilities, with particular emphasis on the Massachusetts correctional system. Prerequisites: English Comp I (ENG 101)",Correctional Institutions
Criminal Justice Program (Cjp),CJP 226,3 credits,"This course explores the social context for the constructs of race and ethnicity and analyzes the racial and ethnic implications of the United States Constitution and other federal and state laws. Particular attention will be paid to identifying and analyzing landmark cases and their impact on the political and legal structure of the nation. Students will also evaluate the effects of racial, ethnic and gender bias in jury selection, jury verdicts, sentencing, corrections and other areas of the criminal justice system.","Race, Ethnicity, And Crime"
Criminal Justice Program (Cjp),CJP 298,3 credits,Requires instructor and Internship Coordinator's approval.,Criminal Justice Internship
Early Childhood Education (Ece),ECE 101,3 credits,"Students enrolled in this course will explore the theories and practices of growth and development for infants and young children, with an emphasis on significant and recent research, contemporary schools of thought, and theories of human development. Additional topics covered in this course include the influence of heredity and environment on child development, infant and child health care, socialization and sex role stereotyping. Prerequisites: English Comp I (ENG 101) or Concurrent",Child Growth & Development
Early Childhood Education (Ece),ECE 102,3 credits,"Students enrolled in this field placement course will observe, analyze, and evaluate childhood behavior in a variety of pre-school settings. Particular attention will be focused on the children's social, emotional, and intellectual skills. Other topics discussed in class include the role of the classroom teacher, the curriculum, and the organization of pre-school settings. Field study comprises two thirds of the course. Prerequisites: Child Growth and Development (ECE 101)",Observing & Recording
Early Childhood Education (Ece),ECE 106,3 credits,"This course will develop a framework for understanding the emotional and behavioral development of young children. It will examine traditional methods of teaching right and wrong by using reward and/or punishment, which often gives the appearance of working. It will also emphasize the interpersonal relationships between children, teachers and caregivers based on communication, respect, love and understanding. Students will examine the art of teaching and helping children to learn with understanding of class controls and structuring/restructuring of the environment. Prerequisites: Child Growth and Development (ECE 101); Observing and Recording Childhood Behavior (ECE 102)",Guidance & Discipline
Early Childhood Education (Ece),ECE 201,3 credits,Learning to facilitate parent education groups and understanding group dynamics in a culturally sensitive environment is the focus of this course. Students will develop group leadership and group facilitation skills as they explore current issues in parenting as identified by the Office of Youth Services. Prerequisite: Child Growth and Development (ECE 101) or concurrent,Exploring Parenting
Early Childhood Education (Ece),ECE 202,3 credits,"Students enrolled in this course will review the history and theories of early childhood education as the basis for exploring contemporary issues. Classroom discussions and readings will focus on current trends and the future direction of early childhood education, relative to educational practices and classroom curriculum. Prerequisites: Child Growth and Development (ECE 101); Observing & Recording (ECE 102)",History & Theory Early Childhood
Early Childhood Education (Ece),ECE 203,3 credits,"Students enrolled in this course will develop an understanding of the abilities and disabilities of children classified as exceptional or special needs children, as well as the instructional organizations necessary to help special needs students achieve their potential. In addition, students will examine the impact of educational and psychological handicaps on an individual. Prerequisites: Child Growth and Development (ECE 101); Observing & Recording (ECE 102)",Special Needs Child Care
Early Childhood Education (Ece),ECE 204,3 credits,"This course identifies and discusses the health problems and health needs of young children, including common childhood disorders and diseases and the principles of nutrition related to meal planning for young children. Students examine the role of both the school and the home in the physical development of young children. Prerequisites: Child Growth and Development (ECE 101)",Child Health Care
Early Childhood Education (Ece),ECE 205,3 credits,"The central theme of this course is to explore the many ways in which children can express their creativity in a day care environment through planned activities involving music, art, rhythm and movement, and dramatic play. Through expressive arts, teachers can gain insight into a child's individual personality, hopes, dreams, fears, and frustrations and can use this information to create a positive and rewarding learning environment for young children aged 2-6. Prerequisites: Child Growth and Development (ECE 101); Observing & Recording (ECE 102)",Expressive Arts
Early Childhood Education (Ece),ECE 206,3 credits,"This course emphasizes development of instructional skills and the application of those skills to a specific method for individualizing instruction. The course is beneficial to both the novice and the experienced teacher, as it strengthens the skills a teacher must possess to function successfully in all learning environments for young children. Prerequisites: Child Growth and Development (ECE 101); Observing & Recording (ECE 102)",Early Childhood Curriculum I
Early Childhood Education (Ece),ECE 207,3 credits,"As a continuation of ECE206, students will further study the curriculum, methods, and techniques used in teaching young children. Prerequisites: Curriculum I (ECE 206); Internship I (ECE 298) or Concurrent",Early Childhood Curriculum Ii
Early Childhood Education (Ece),ECE 208,3 credits,"Planning and administration of the overall operations of a day care environment are the focus of this course. Students will be presented with a comprehensive view of contemporary day care issues, including developmental characteristics of young children, planning the environment, programming, licensing, staffing, community involvement, and parent relationships. This course provides opportunities for field observation and classroom management. Prerequisites: Child Growth and Development (ECE 101); Observing & Recording (ECE 102)",Supervision And Administration Center
Early Childhood Education (Ece),ECE 298,3 credits,"Internships provide a framework within which early Childhood Education students can work directly with young children in a classroom environment. Students enrolled in this course will work under the direct supervision of the classroom teacher, who will meet with the students regularly and assist in the development and implementation of lesson plans. A total site experience of 150 hours per semester is required. This course is to be taken concurrently with ECE 206. Prerequisites: Early Childhood Curriculum I (ECE 206) Concurrent",Childcare Internship I
Early Childhood Education (Ece),ECE 299,3 credits,"In this course, which is a continuation of ECE298, students will work with individual children in a classroom environment to assess their learning needs and design appropriate programs for young children. Students enrolled in this course will work under the direct supervision of the classroom teacher, who will meet with the students regularly to review their work and plan for the implementation of specific lessons. A total site experience of 150 hours per semester is required. This course is to be taken concurrently with ECE206. Prerequisites: Early Childhood Curriculum II (ECE 207) or Concurrent",Childcare Internship Ii
Engineering (Egr),EGR 120,3 credits,"This course provides students with an opportunity to explore the most popular computational tool(s) used by engineers. Currently, this course focuses exclusively on MATLAB",Engineering Computations I
Engineering (Egr),EGR 135,3 credits,"This course provides students with an opportunity to explore a variety of engineering fields as well as their talents and interests, guides them to learn practice design and teamwork, and communication in engineering. Students will study and compare ethics and regulations. Essential skills in mathematics and physical sciences will be developed. Students are expected to submit a term project report with evolution record of a gantt chart Prerequisites: Pre-Calculus (MAT 103) or Placement",Engineering Fundamentals
Engineering (Egr),EGR 220,3 credits,"This course focuses on the theory and practice of an advanced engineering computation tool that is currently an industry standard. Major emphasis on presentation and manipulation of multivariate functions, without the depth taught in multivariate calculus. Prerequisites: Engineering Computations I (EGR 120); Calculus III (MAT 205) Concurrent",Engineering Computations Ii
English (Eng),ENG 090,4 credits,"This course reviews initial reading skills to assist students in acquiring competence in reading comprehension and vocabulary. It is designed to review Basic English grammar, syntax, spelling, and punctuation. This course will teach effective sentence-writing, paragraph writing, and essay structure in preparation for ENG091 and college-level writing. This course does not satisfy any degree requirements.",Developmental Reading And Writing I
English (Eng),ENG 091,4 credits,"This course continues the development of reading comprehension and vocabulary skills to help students attain college-level reading skills. The writing focus is on paragraph development and organization, which includes types of paragraphs, idea development, and effective transition. It introduces essay writing. This course does not satisfy any degree requirements.",Developmental Reading And Writing 2
English (Eng),ENG 098,3 credits,"This course is designed to give students an awareness of the reading comprehension process and practice in comprehending both expository and literary college texts. The course will focus on organizational patterns, vocabulary development, and reading and study techniques. This course does not satisfy any degree requirements.",Pre-College Reading
English (Eng),ENG 099,3 credits,"This course focuses on paragraph development and organization. It includes types of paragraphs, idea development, coherence, and effective transition. It introduces essay writing and is designed for the student who has college-level reading ability. The course helps to prepare students for English Composition I. This course does not satisfy any degree requirements.",Pre-College Writing
English (Eng),ENG 101,3 credits,No description,English Composition I
English (Eng),ENG 102,3 credits,No description,English Composition Ii
English (Eng),ENG 110,3 credits,"This course explores techniques for effective public speaking in both large and small group settings. Students will develop effective communication skills through a variety of classroom discussions and oral presentations. In addition, students will explore the appropriate use of a variety of oral communication styles. Prerequisites: English Composition I (ENG 101)",Introduction To Speech
English (Eng),ENG 220,3 credits,"This survey course exposes students to writers from ancient times to the 17th century. Students will read work chosen from Biblical, Greek, Roman, Asian, African, Medieval, and Renaissance literature. Prerequisites: English Composition II (ENG 102)",World Literature I
English (Eng),ENG 221,3 credits,"A broad range of writers and literary styles will be examined in this course. Students will read the works of American, European, African, South American, and Asian writers from the late 17th century to the present, with a focus on Neoclassical, Romantic, Realistic, Naturalistic, and Modern Literature. Prerequisites: English Composition II (ENG 102)",World Literature Ii
English (Eng),ENG 225,3 credits,"African-American Literature will present the student with an overview of African-American writers past and present. The course is designed to give students an understanding and appreciation of African-American literature, from early poetry and spirituals through contemporary Black literature. Prerequisites: English Composition II (ENG 102)",African-American Literature
English (Eng),ENG 226,3 credits,"As an introduction to American literature, this course provides a chronological survey of American literature from the Colonial period through the Civil War. The relationship between literature and American life and culture will be examined in the works of authors from a variety of social segments. Prerequisites: English Composition II (ENG 102)",Literature In America I
English (Eng),ENG 232,3 credits,"This course will provide a survey of children's literature from a cross-cultural perspective. Students will develop a framework for evaluating the texts for literary and artistic quality and will examine the value system projected by individual literary works. The course will introduce students to relevant children's literature collections and reference materials. Finally, students will learn to apply critical concepts to other forms of media directed at children, including, film, television, magazines, and computer games. Prerequisites: English Composition II (ENG 102) or Concurrent",Children'S Literature
English (Eng),ENG 235,3 credits,"This course will introduce students to various writers from Africa and the Caribbean, ranging from the 18th century narrative of Olaudah Equiano to contemporary writers. Students will read novels, stories, and poetry from Africa and the Caribbean. The readings will be considered in the historical contexts of their origin and their shared experiences, as expressed through the emergence of Pan-Africanism, the Negritude Movement of the early twentieth century, and the subsequent struggles for political independence from colonial powers. Prerequisites: English Composition II (ENG 102)",Literature Africa & Caribbean
English (Eng),ENG 245,3 credits,"The focus of this course is to expose students to short stories written by authors from around the world. Students will read, discuss, and critique short stories and respond to ""The Critical Questions for Reading the Short Story"" and other literary questions. The Critical Questions refer to the stories' characters, plot, structure, symbolism, settings, atmosphere, narrators, writing style, and themes. Prerequisites: English Composition II (ENG 102)",Contemporary Short Stories
English (Eng),ENG 251,3 credits,Students enrolled in this course will learn the techniques of collecting information and will examine different forms of newspaper and newsletter writing and layout. Journalism is used as a means of introducing students to relevant social and philosophical issues. Prerequisites: English Composition I (ENG 101),Journalism I
English (Eng),ENG 260,3 credits,This course offers the focus and discipline that are necessary for students with an interest in creative writing. It emphasizes the essential elements required for writing short stories and poetry. Students' work and good writing models will be read and discussed in class. Prerequisites: English Composition I (ENG 101),Creative Writing Seminar
English (Eng),ENG 300,3 credits,"This course introduces students to the principles and standards of thinking and writing effectively. It is intended to enhance students' abilities to analyze, interpret, and evaluate issues, ideas, and problems. The course will focus on critical thinking and writing as mechanisms for processing information and for arriving at more objective conclusions based on reason and logic rather than on subjective biases and emotions. The strength of the course is the emphasis on writing as a way of extending thinking.",Critical Writing & Thinking
English For Speakers Of Other Languages (Esl),ESL 030,3 credits,"This course is designed for students who have a low-advanced writing ability. Students will learn to write compound and complex sentences using appropriate connectors and punctuation, within the structure of several types of well-developed paragraphs. This course does not satisfy degree requirements. Prerequisite: ESL_Writing Level B (ESL 020) or Placement",Esl Writing C
English For Speakers Of Other Languages (Esl),ESL 036,3 credits,This is the second Academic Note-Taking and Presentation course of the ESOL sequence. Students will take classroom notes from a variety of content areas and give oral presentations based on their notes. This low-advanced course is designed for students with a strong foundation in spoken English who require practice and direction to integrate grammatical structures accurately into spoken English as preparation for success in college courses. This course does not satisfy degree requirements. Prerequisite: Academic Note-Taking and Presentation B (ESL 026) or Placement.,Academic Note-Taking & Presentation C
