Course Title,Course Description,Course Areas,Course Id
 Financial Accounting and Reporting I,"AC311 Financial Accounting and Reporting I Prerequisite(s): GB 202 or GB 212Note: Not open to students who completed AC 211. Students will not receive academic credit for both AC 311 and AC 260.First in a two-course sequence of financial accounting courses at the professional level. Examines the principles and practices of external financial reporting, with particular emphasis on balance sheet valuations and their relationship to income determination. Reviews basic accounting concepts and the essentials of the accounting process. Covers the application of present value techniques to accounting valuations. Studies in depth the measurement and disclosure problems associated with cash, receivables, inventories, fixed assets and intangibles. Alternative accounting procedures and their impact on financial statements are also examined. ",AC,AC311
 Financial Accounting and Reporting II,"AC312 Financial Accounting and Reporting II Prerequisite(s): AC 311Note: Not open to students who completed AC 212Continues the two-course sequence begun in AC 311 by exploring additional topics involving external reporting and disclosure. Covers, in depth, such topics as current liabilities, long-term debt, stockholders' equity, earnings per share, revenue recognition, accounting for income taxes, accounting changes, and Statement of Cash Flows. ",AC,AC312
 Governmental and Not-for-Profit Reporting,"AC331 Governmental and Not-for-Profit Reporting Prerequisite(s): GB 202 or GB 212Introduces financial and reporting issues related to state and local government and nonprofit organizations. Deals with the preparation, analysis and interpretation of financial statements. The course incorporates a project to enrich the student's classroom experience. Students research, analyze, and interpret the financial performance of an actual governmental or nonprofit organization. Web sites unique to governmental and nonprofit organizations are used in the course. ",AC,AC331
 Fraud Examination,"AC332 Fraud Examination Prerequisite(s): GB 202 or GB 212Fraud Examination introduces concepts and techniques useful for accountants, managers, business owners, and criminal investigators.  The course covers many types of financial statement fraud, including asset misappropriation, fraudulent financial statements, tax fraud, and electronic fraud.  Topics include the detection, prevention, investigation and resolution of various types of fraud, and guest speakers and videos will be used to enhance the real-world nature of the course. ",AC,AC332
 Accounting Information Systems,"AC340 Accounting Information Systems Prerequisite(s): AC 311 (CPR) and GB 310 (CPR)Prepares students to be effective users, evaluators, developers, and auditors of accounting information systems (AIS). Examines several typical business processes, such as order entry/sales, billing/accounts receivable/cash receipts, and purchasing/accounts payable/cash disbursements and their associated AIS. Major themes throughout the course include oral and written communication, objectives and procedures of internal control, typical business documents and reports, proper system documentation through flowcharts and other techniques, systems analysis and design methodologies, and assessment of information processing in support of operational and strategic objectives in the context of rapidly changing technology advances. Hands-on experience with the process and control implications of enterprise systems coupled with an in-depth field-based business process analysis gives the student exposure to state-of-the-art AIS. ",AC,AC340
 Federal Taxation,"AC350 Federal Taxation Prerequisite(s): GB 202 or GB 212Note: Not open to students who completed AC 352Gives a broad training in federal income tax law and Treasury Department regulations. Introduces a broad range of tax philosophy, tax concepts, and types of taxpayers. Emphasizes the role of taxation in a business decision-making environment for all types of entities. Introduces basic skills of tax planning and tax research. ",AC,AC350
 International Accounting,AC381 International Accounting Pre or Corequisite(s): AC 312 or with permission of instructorProvides an overview of the unique accounting problems and issues posed by an international business environment. Examines the causes of international accounting diversity and its implications for financial analysis. Presents the external financial reporting and management control systems issues faced by multinational enterprises. ,AC,AC381
 Seminar in Accounting,AC402 Seminar in Accounting Prerequisite(s): Department chairperson's permissionNote: Not offered regularly.  Check with department chair for availability.Offers opportunity for advanced students to study selected topics in small groups. Allows repetition for credit. ,AC,AC402
 Advanced Accounting (Formerly AC 320),"AC412 Advanced Accounting (Formerly AC 320) Prerequisite(s): Junior-level standingPre or Corequisite(s): AC 312 (or AC 212)Note: Not open to students who completed AC 320Presents the theory and related problems of specialized topics in financial accounting. Examines leases, pensions, investments, and the particular problems associated with the partnership form of business organization. Topics also include business combinations through purchase and pooling of interests, with emphasis on consolidated financial statements of parents and subsidiaries and elimination of intercompany transactions; and accounting for foreign operations. ",AC,AC412
 Internship in Accountancy,"AC421 Internship in Accountancy Prerequisite(s): By the beginning of the internship period, the student must have completed 10.5 credit hours of accounting (including GB 201 and GB 202) or (GB 112 and GB 212). In addition, two semesters of full-time course work, including a minimum of six credit hours in accountancy, must be completed at Bentley.The course is open to superior students recommended by a committee of the Accountancy Department. Involves each student in an internship of a minimum of three months' duration in the spring semester of the junior year, the summer following junior year, or the fall of senior year. Provides the interning student with a valuable experiential learning opportunity. Includes on-the-job training in either public, corporate or government accounting. Requires the student to work closely with a faculty adviser to develop a term project related to the work experience and to complete other relevant academic assignments. ",AC,AC421
 Design and Control of Data and Systems,"AC440 Design and Control of Data and Systems Prerequisite(s): AC 340Develops an integrating framework to illustrate the evolving role of current and emerging information technologies in supporting accounting and business activities. Students explore several current issues, including data and knowledge management, using contemporary tools to capture, store, retrieve and analyze data; the design and control of complex information systems, such as a networked interorganizational system; and an overview of assurance services. A group project showing the integration of all the major business processes in a typical business provides a capstone experience. ",AC,AC440
 Advanced Federal Taxation,"AC450 Advanced Federal Taxation Prerequisite(s): AC 350Note: Not open to students who completed AC 362Examines tax topics for corporations, partnerships and proprietorships at a more complex level. Focuses on a life-cycle approach for each of the entities. Includes, at a basic level, topics of estate and gift tax and tax-exempt entities. Reinforces competent tax research and tax planning skills. ",AC,AC450
 Financial Statement Auditing,"AC470 Financial Statement Auditing Prerequisite(s): AC 311 and AC 340Note: Not open to students who have previously taken AC 371 or AC 400 or AC 471Develops an understanding and appreciation of the philosophy of the audit process and its practice.  Presents the preparation of audit working papers supporting an examination of the records and procedures of an enterprise.  Covers the report and opinion of the auditor to management, stockholders and others.  Discusses internal auditing procedures as opposed to those performed by the independent public accountant.  Considers the ethical and legal responsibilities of the auditor.  Includes an introduction to operational auditing as a tool to increase the efficiency and effectiveness of a firm's accounting system. ",AC,AC470
 Internal Auditing,"AC472 Internal Auditing Prerequisite(s): AC 311 and AC 340Develops an understanding and appreciation of the role of internal auditing in an organization. Discusses the operational approach of the internal auditor in areas such as purchasing, production, personnel, financial management, computer operations and international operations. Considers the planning and organizing of an internal audit department and coordination with the outside auditor. Uses sampling and statistical techniques and various software packages available to the internal auditor. ",AC,AC472
 Information Technology Auditing Principles and Practice,"AC475 Information Technology Auditing Principles and Practice Prerequisite(s): AC 470 or AC 472Note: Not open to students who completed AC 477 or AC 478Introduces three typical aspects of information technology (IT) audits: the audits of computerized information systems, the computer facility, and the process of developing and implementing information systems. Through readings, case studies, exercises, and discussion, students will learn to plan, conduct, and report on these three types of IT audits. Additional topics may include challenges posed by emerging information technologies, advanced audit software, business continuity planning, and the role of the IT auditor as an adviser to management. ",AC,AC475
 Performance Management and Evaluation,"AF450 Performance Management and Evaluation Prerequisite(s): FI 380Modern finance professionals need to evaluate the effectiveness of business strategy, which is very reliant on the way companies manage their internal processes and external opportunities to accomplish strategic objectives. Students will develop the necessary business analysis skills and be given the opportunity to apply them to business situations in this course. ",AF,AF450
 Law and Society,"LA101 Law and Society Note: May be used as social science, art science or unrestricted elective.This course explores the subject of law and the social order. It illustrates how changes in our laws reflect changes in society and vice versa. In this way, the course provides a focused study of the law as a dynamic force in social change.  It presents tangible examples of the power (and the limits) of law to address contemporary social problems. Themes of the course include: the legal ramifications of membership in certain societal groups (e.g. non-citizens, homeless, mentally ill, criminals); the legal impact of changing religious demographics and social attitudes (e.g., euthanasia, legalization of marijuana and/or prostitution, LGBTQ rights); and the legal impact of STEM advances (e.g., guns, reproductive rights, education). Students will learn to critically examine current laws as well as to articulate suggestions for improvements to these that will be true to our constitutional framework. ",LA,LA101
 Environmental Law,"LA102 Environmental Law Prerequisite(s): GB 103 or GB 110Note: May be used as social science, art science or unrestricted elective.This course will discuss the origins, history and trends that have evolved in environmental law.  It will explore the basic legal and ethical issues related to environmental law with major emphasis on how these issues, and the applicable laws, past and present, impact the business and personal environments. The course will focus on relevant statutes and laws at the federal, state and local levels of government. Important federal and state case decisions will also be discussed. The course will attempt to put into perspective the extent of the impact environmental laws have on society and business as the attempt to protect and preserve the environment from the effects of global warming and other threats continue to be a major concern to life as we know it. ",LA,LA102
 Gender and the Law,"LA104 Gender and the Law Prerequisite(s): GB 110Note: May be used as social science, art science or unrestricted elective.Explores the law both as a force in maintaining the second-class citizenship of women and as a tool in dismantling gender discrimination throughout society. Examines ways in which the law, in the name of patriarchy and protection of women, has been unfair to men. Reviews legal milestones in women's history whereby women gained such rights as the right to vote, to serve as jurors, to serve in the military. Studies the evolution of law as a tool for empowerment of women from early caselaw through modern statutes that seek to prevent gender discrimination in such societal arenas as the workplace, education, and health care. Addresses what many believe is the failure of the legal system to adequately handle areas in which women arguably have unique needs, by examining such topics as the laws surrounding pregnancy, rape and domestic violence. ",LA,LA104
 Race and the Law,"LA105 Race and the Law Prerequisite(s): GB 110Note: May be used as social science, art science or unrestricted elective.Examines the role of the law both as a force in maintaining the second-class citizenship of racial minorities and as a tool in dismantling racial discrimination throughout society. Considers the law as an instrument of oppression of racial minorities through historical reviews of laws and court decisions that have treated whites and non-whites differently; examines legal efforts to liberate and empower racial minorities. Focuses on selected topics particular to Native Americans, Asian Americans, Hispanic/Latino Americans, and African Americans, as well as legal issues common to all racial minorities (hate crimes, housing segregation, equal education opportunity, discrimination in the criminal justice system, workplace discrimination, affirmative action). Looks at the intersection of gender and race to identify issues unique to female members of racial minorities. ",LA,LA105
" ""Outsiders"" and the Law","LA106 ""Outsiders"" and the Law Prerequisite(s): GB 110Note: May be used as social science, art science or unrestricted elective.This course provides a focused study of the law as a dynamic force in social change by examining law as both an instrument of institutionalized oppression and a tool for liberation and empowerment of oppressed groups-those ""outside"" the majority.  This particular course will focus on traditionally disenfranchised groups other than women and racial minorities. (For a parallel study of these groups, the Law Department offers LA 104, Gender and the Law, and LA 105, Race and the Law, respectively.) Groups studied in this course include: religious minorities, the physically challenged, the elderly, minors (including students), gay and bisexual persons, non-citizens, the homeless, the mentally ill, and criminals. The course will address the law's historical and current role both in maintaining the second class citizenship of these groups and in dismantling discrimination against them. ",LA,LA106
 Moot Court,"LA108 Moot Court Prerequisite(s): GB 110 or LA 101Note: May be used as social science, art science or unrestricted elective.This upper-level law course simulates a moot court exercise as conducted in law school. In the course, you prepare and present a legal argument before a simulated appeals court. Working in teams of two, you are assigned a contemporary legal problem, which you are required to analyze, research, prepare, and argue. Argument is made both in writing with the submission of a formal legal memorandum and orally in a simulated appellate court setting. The course also includes a visit to the Supreme Judicial Court of Massachusetts where students observe an actual hearing. ",LA,LA108
 English Origins of the Law,"LA145 English Origins of the Law Prerequisite(s): (Formerly ID 245)  Instructor permission required.Note: Includes travel to England dudring Spring break.Students study the developments in early English history that form the basis of the American common law system. As part of the study students travel to London during spring break to enrich their understanding of this English foundation by visiting places and people relevant to course materials. The materials are in the form of readings, case studies, and discussion that focus on the period 1066-1215. Specifically, topics include the historical origins of the common law system under Henry II and the establishment of limits on royal authority under Magna Carta. These topics are developed in relation to the kings interest in protecting real property rights and protecting individuals from criminal activity, both of which came to be the basis of common law jurisdiction in the royal courts. ",LA,LA145
 Business Law I,"LA210 Business Law I Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveProvides an understanding of contract law by discussing and explaining the formation, avoidance, discharge and enforcement of a contract. The Uniform Commercial Code is studied with emphasis on the law of sales, commercial paper, banking law and secured transactions. Personal property law and accountant's and auditor's liability conclude the course, with emphasis on ethical issues as they relate to legal obligations. ",LA,LA210
 Business Law II,"LA211 Business Law II Prerequisite(s): LA 210 or Instructor's PermissionNote: This course fulfills a business or unrestricted elective.Includes topics on the business law section of the CPA exam not covered in Legal Environment of Business and Business Law I and is of special interest to the accountancy major. Acquaints the student with laws relevant to agencies, partnerships, limited partnerships, corporations, limited liability companies, limited liability partnerships, real estate, securities regulations, bankruptcy, insurance, wills, trusts and estates. Tax laws are discussed throughout the course as they relate to the subject matter. ",LA,LA211
 Marketing Law,"LA302 Marketing Law Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveThis course provides a comprehensive overview of the laws relating to marketing activities with emphasis on modern corporate activity. Students will become acquainted with the laws that relate to the 4 Ps of Marketing (product, place, price and promotion).  Students will gain an appreciation for legal problems encountered by those involved in the research, development, manufacture, promotion, sales and distribution of products and services. Additionally students will learn how businesses can keep key personal from engaging in illegal marketing activities and what redress consumers may have based on such behavior. The following areas of law will be addressed: jurisdiction, debt practices, intellectual property (patent, trademark, trade secret), antitrust, franchisor-franchisee relationships, contracts, regulation of advertising, consumer protection, product warranties, and product liability. ",LA,LA302
 International Business Law,"LA308 International Business Law Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveSurveys the leading principles in international business law as applied in decisions of domestic and international courts; the sources, development and authority of international business law, such as the laws of the European Common Market; the making, interpretation and enforcement of treaties; and the organization and jurisdiction of international tribunals. ",LA,LA308
 Management and Human Resources Law,"LA309 Management and Human Resources Law Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveAs both employees and future managers, it is important for students to have a working knowledge of workplace laws that govern the rights of employers and employees. In addition to federal and state statutes, the course will examine court cases, federal and state agency decisions, and pending controversies taken from current news headlines. Topics include:  job interview questions;  performance evaluations; employee terminations; maternity, medical and other leaves; monitoring of employees email, texts and voicemail; employment discrimination; workplace romances; sexual harassment; drug testing; wages and other terms of employment; union representation; collective bargaining; unfair labor practices; occupational safety regulation; and public sector employment topics. Classes will employ student analysis of textual material, including court and agency decisions, and discussion of relevant current events, supplemented by lectures, role playing, student presentations, and films. ",LA,LA309
 Real Estate Law,"LA311 Real Estate Law Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveHelps students recognize potential problems related to the purchase or rental of real estate. It includes the treatment of contracts for the sale of real estate, transfer of title, title examination, security for real estate transactions such as mortgages, methods and problems of co-ownership, zoning ordinances, brokerage contracts, and constitutional issues related to real property. Landlord and tenant rights and liabilities are addressed as well as environmental issues related to real estate. Satisfies Massachusetts real estate salesperson licensing requirements. ",LA,LA311
 Securities Regulation,"LA313 Securities Regulation Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveDiscusses, within a legal context, the roles and ethical considerations of corporate management, the underwriter, CPA, directors and ""insiders."" The nature of a security, the registration process, exemptions from registration, and civil liability are explained within the Securities Acts and regulations promulgated thereunder by the Securities Exchange Commission. ",LA,LA313
 Court and Alternatives,"LA315 Court and Alternatives Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted elective. Formerly: Alternative Dispute Resolution in Business.Litigation has decreased 75% over the last twenty years.  How are companies and consumers solving their legal issues if they are not going to court? This class discusses the fundamentals of a trial, emphasizing those aspects that have led to an increase in the use of alternative means of resolving legal disputes.  In addition to preparing students for the costs and risks of business litigation, the course focuses on the evolution of negotiating settlements, mediations, and arbitration along with collaborative law, summary jury trials, mini-trials and private judging. Develops dispute resolution skills, business considerations on a domestic and international level and ethical concerns in selecting and using alternative dispute resolution. ",LA,LA315
 Sports and Entertainment Law,"LA316 Sports and Entertainment Law Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveAn examination of the sports and entertainment industry requires delving into the law of contracts, labor, anti-trust, intellectual property, torts, Internet and the U.S. Constitution. Our analysis begins by studying college sports, amateur sports, Olympic sports, and Title IX's impact on athletic opportunities for women. A significant amount of the classroom material is devoted to surveying the major professional team sports including looking at collective bargaining agreements, labor discord, privacy, salaries, drug testing and freedom of movement from team to team. The economic aspects of both professional sports and movie industry are explored. This includes looking at team franchise movement in professional sports and financing, producing, and distributing movies and TV. The role of the Screen Actors Guild is reviewed at length. Agency law is also examined in the context of the relationships involving agents (and/or managers) who represent celebrities and athletes. ",LA,LA316
 Media Law,"LA317 Media Law Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveThe study of media is the study of the lifeblood of world culture, art, entertainment, politics, knowledge and transmission of information.  From the invention of movable type by Johannes Gutenberg through the evolution of media technology including radio, television, cable television, satellite radio, the internet, VCRs, DVDs, CDs, TIVOs, IPODs, cell phones and numerous other technologies, there have been  constant expansions of information while the world has shrunk and truly become a global village. Regulation of media through law is essential to an orderly, positive utilization of media in the public interest.  Rules and regulations established through legislatures, administrative agencies, court rulings and industry- established regulations are of primary importance.  In addition, as media has become more of a global phenomenon, the interworking of the law and ethical business practices of countries around the world has become a major factor in today's media law. ",LA,LA317
 White Collar Crime,"LA318 White Collar Crime Prerequisite(s): GB 110Note: This course fulfills a business or unrestricted electiveExamines the growing list of white collar crimes, including: corporate crimes; accounting, securities, and bank fraud; insider trading; bribery; extortion; kickbacks; tax crimes; money laundering; corporate environmental crimes; counterfeit products; intellectual property piracy; corporate espionage; state sponsored corporate crimes; health care, insurance, and mortgage fraud, identity theft; credit card fraud; data base hacking; and an ever expanding list of scams.  Explores the history of white collar crime and its evolution as a framework for understanding the current wide scope and rapidly growing prevalence of these criminal acts which endanger everyone.  Considers efforts to combat white collar crime through civil and criminal statutes and regulations. ",LA,LA318
 Directed Study in Law,LA401 Directed Study in Law Prerequisite(s): Department chairperson's permissionPermits superior students to engage in specialized study. Allows repetition for credit. ,LA,LA401
 Seminar in Law,LA402 Seminar in Law Prerequisite(s): Department chairperson's permissionNote: Not offered regularly.  Check with department chair for availability.Provides opportunity for small groups of advanced students to study selected topics. (Allows repetition for credit.) ,LA,LA402
 Internship in Law,"LA421 Internship in Law Prerequisite(s): Completion of either GB 110, LA 101 or LA 103, junior level standing, 3.0 cumulative grade point average, and permission of the internship coordinatorNote: May be used to fulfill unrestricted elective creditsStudents interested in law are afforded the opportunity to apply and expand their academic learning with hands-on experience that focuses on the laws and procedures of the legal system as related to consumers and others in need of assistance. Minimum hour requirement: 12 hours per week for 12 weeks or the equivalent of 144 hours. It may include more hours. It expected that the student will do additional reading outside these hours and assignments as well. In the summer it is understood that the student may well have to work the equivalent of 3 days a week additionally to earn money outside the internship especially if it is an unpaid one. ",LA,LA421
 Career Management,"MG225 Career Management Prerequisite(s): GB 102 or GB 215Career Success stems not only from technical experience and knowledge, but also from an understanding of your abilities, character, and emotions.  This course aims to help you gain a sense of purpose, engagement, and wellbeing in your life and career preparation.  Through concepts, self-reflection and experiential exercises, including mindfulness meditation, you will develop skills to: 1) effectively navigate stressors and challenges you may experience in your career journey, and 2) cultivate and maintain your personal wellbeing in your professional life. ",MG,MG225
 Managing Diversity in the Workplace,"MG228 Managing Diversity in the Workplace Prerequisite(s): GB 102 or GB 215Explores the opportunities and challenges of the United States' increasingly diverse work force. Addresses the knowledge and skills that managers must develop in working with others who are different from themselves. Special attention is paid to the effect of gender and racial diversity on individuals, work groups, and the organization as a whole. ",MG,MG228
 Interpersonal Relations in Management,"MG240 Interpersonal Relations in Management Prerequisite(s): GB 102 or GB 215Increases awareness of the process of understanding and relating to others in an organizational setting. Designed to deepen insight into the dynamics of relationships and to improve interpersonal competence. Builds a conceptual foundation for understanding interpersonal communication, developing skills in listening, assertiveness and conflict management, and helping students understand the importance of interpersonal issues in a managerial role. ",MG,MG240
" Leadership, Power and Politics in Organizations","MG241 Leadership, Power and Politics in Organizations Prerequisite(s): GB 102 or GB 215Provides an extensive look at the nature of leadership at work. Analyzes how power is distributed, gained and lost in organizations. Examines problems of influence with respect to major actors in organizational life: superiors, subordinates, peers, clients and government. Pays special attention to the problems of managing one's boss. ",MG,MG241
 Emotional Intelligence at Work,"MG242 Emotional Intelligence at Work Prerequisite(s): GB 215Developing ones emotional intelligence is very much in keeping with working and managing in organizations attempting to meet the challenges of our modern era: globalization, the pervasive impact of technology on communication and human functioning, and the need to adapt to the increasing demands of constant change and uncertainty.  It is here that EQ is at the center of working, managing and leading effectively.  This course provides in-depth study and application of the principles of emotional intelligence to working in organizations.  Students will formally assess their own emotional intelligence prior to the start of the course, and each class meeting will be devoted to interpreting and putting a component of emotional intelligence in perspective. Through reading, open discussion, and experiential learning, students will build their emotional self-awareness and crucial competencies such as managing emotions, increasing empathy, self -expression, and creativity. ",MG,MG242
 Human Resources Management,"MG250 Human Resources Management Prerequisite(s): GB 102 or GB 215Examines various aspects of human resources management, including employment planning, recruitment and selection, performance appraisal, training and development, compensation and benefits, and labor relations. Focuses on personnel problems of major concern to managers in general as well as to professionals in the field of human resources management. ",MG,MG250
 Supply Chain Management,"MG315 Supply Chain Management Prerequisite(s): GB 214Supply chain Management has been recognized as an untapped source of competitive advantage. This course will develop your understanding of supply chain activities (planning, sourcing, producing and delivering goods or services). It is likely that no matter where you work (marketing, finance, or accounting) within an organization and no matter whether you work for a service or manufacturing company, you will need to understand the supply chain process and its interactions both within your organization and with your firms customers and suppliers. We will understand how supply chain strategy informs and enables business strategy as well as key business activities such as new product development. We will also address how supply chain functions relate to the use of technology, as well as to the issues of ethics and corporate social responsibility. A variety of teaching methods will be used including case discussions, hands-on excercises and computer simulations. ",MG,MG315
 Service Operations Management,"MG316 Service Operations Management Prerequisite(s): GB 301 or GB 214Service operations constitute a major, growing segment of the U.S. economy. Although many of the concepts developed for manufacturing firms can be applied to service  firms, the unique characteristics of services suggest that these concepts are not directly transferable.  Through text assignments, readings and case discussions, the differences between services and manufacturing are identified in areas such as prices design, facility layout, job design, site locations and quality control. A major portion of the course involves a group project on the design, analysis and implementation of a new type of service. ",MG,MG316
 Managing Quality,"MG317 Managing Quality Prerequisite(s): GB 214 or GB 301In today's highly competitive business environment, companies recognize the importance of providing high quality goods and services.  Quality once provided a firm with a competitive advantage in the marketplace, but this is no longer the case.  High quality products are now considered only an ""ante"" to enter the race to become a world class competitor. The goal of this course is to introduce students to modern quality management principles, methods and tools and to identify the various requirements for the successful implementation of a quality management program. ",MG,MG317
 Management of International Operations,"MG331 Management of International Operations Prerequisite(s): GB 102 or GB 215Views the management problems of enterprises whose interests extend across international boundaries, problems of the formation of international operations and the acquisition of foreign companies, as well as problems arising from the policies of foreign governments. Includes the various cultural and ethical issues confronting the local manager, organizational problems of international companies, and the problems of control and communication. ",MG,MG331
 Managing in the Global Business Environment,"MG332 Managing in the Global Business Environment Prerequisite(s): GB 102 or GB 215In business, scanning the environment for changes in global forces and issues is critical to forming and implementing strategies for managers. The course takes and in-depth look at socio-cultural and ethical issues, global and regional economic issues, natural environment forces and natural resource issues, political/legal forces and issues (including security issues), and global technological forces and issues. Students will also learn to scan the global business environment using analytical frameworks and to recognize the implications of key forces and issues on the firm's or industry's ability to compete both domestically and globally. Students will learn about the intersection of business, government and society on a global level. ",MG,MG332
