description,title,prerequisites,schedule_type,levels,department
"This studio course introduces fundamental architectonic principles through projects of increasing scale and complexity. Design problems emphasize context, program, and the material language of architecture. Topics pertinent to the Urbanism concentration are addressed.",ARCH 3000 - STUDIO 05 (URBANISM),"ARCH2500 - Studio 04, sophomore status in BSA, and Urbanism concentration status",Laboratory,Undergraduate,Architecture
"This studio course introduces fundamental architectonic principles through projects of increasing scale and complexity. Design problems emphasize context, program, and the material language of architecture. Topics pertinent to the Emerging Technologies concentration are addressed.",ARCH 3025 - STUDIO 05 (EMERGING TECH),"ARCH2525 -Studio 04, sophomore status in BSA, and Emerging Technologies concentration status",Laboratory,Undergraduate,Architecture
,ARCH 3050 - STUDIO 05 (ADAPT INTRVENTIONS),"ARCH2550 - Studio 04, sophomore status in BSA, and Adaptive Interventions concentration status",Laboratory,Undergraduate,Architecture
"This lecture and workshop-based course focuses on architectural methods for achieving visual, thermal and acoustical comfort in buildings using passive and active systems. Building system technologies are addressed.",ARCH 3200 - TECHNOLOGY 03,ARCH2700 - Technology 02 and sophomore status in BSA program,Lecture,Undergraduate,Architecture
"Students learn how loads are supplied and distributed, and how to analyze beams and trusses. Both the method of joints and the method of sections will be used. Basic principles of strength of materials, structural mechanics and structural analysis are presented.",ARCH 3400 - STRUCTURES I,ARCH2000 -  Structural Design and sophomore status in BSA program,Lecture,Undergraduate,Architecture
"This design course focuses on the development of highly detailed design proposals, integrating knowledge of building materials and systems within the framework of well-articulated and advanced design intentions. Topics pertinent to the Urbanism concentration are addressed.",ARCH 3500 - STUDIO 06 (URBANISM),"ARCH2200 - Technology 01, and ARCH2700 - Technology 02 and ARCH3000 - Studio 05 and ARCH3200 - Technology 03 and ARCH3400 - Structures I; junior status in BSA program, and Urbanism concentration status. CorequisiteARCH3900 - Structures II",Laboratory,Undergraduate,Architecture
"This design course focuses on the development of highly detailed design proposals, integrating knowledge of building materials and systems within the framework of well-articulated and advanced design intentions. Topics pertinent to the Emerging Technologies concentration are addressed.",ARCH 3525 - STUDIO 06 (EMERGING TECH),"ARCH2200 - Technology 01, ARCH2700 - Technology 02, ARCH3025 - Studio 05, ARCH3200, Technology 03, ARCH3400 - Structures I; junior status in BSA program and Emerging Technologies concentration status. CorequisiteARCH3900, Structures II",Laboratory,Undergraduate,Architecture
"This design course focuses on the development of highly detailed design proposals, integrating knowledge of building materials and systems within the framework of well-articulated and advanced design intentions. Topics pertinent to the Adaptive Interventions concentration are addressed.",ARCH 3550 - STUDIO 06 (ADAPT INTRVENTIONS),"ARCH2200 - Technology 01, ARCH2700 - Technology 02, ARCH 3050 - Studio 05, and ARCH3200 - Technology 03, ARCH 3400 - Structures I; junior status in BSA program and Adaptive Interventions concentration status. CorequisiteARCH 3900 - Structures II",Laboratory,Undergraduate,Architecture
"This course addresses topics pertinent to each concentration, with an emphasis on relevant modes of research within the discipline. Contemporary issues in the field are addressed through readings, discussion, analysis, writing and projects.",ARCH 3700 - CONCENTRATION STUDIES,junior status in BSA program,Lecture,Undergraduate,Architecture
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,ARCH 3800 - SPECIAL TOPICS ARCHITECTURE,,"Lecture, Study Abroad","Graduate, Undergraduate",Architecture
Presents topics that are not covered by existing courses and are likely to change from semester to semester.  Refer to the Class Schedule for a specific semester for details of offerings for the semester.,ARCH 3850 - SPECIAL TOPICS ARCHITECTURE,,"Lecture, Study Abroad","Graduate, Undergraduate",Architecture
"Students analyze more complex systems and design beams and columns in wood, steel, and concrete. Topics include analysis of continuous beams and rigid frames, loads on structural systems, grids & pattern layout and funicular structures (cables and arches).",ARCH 3900 - STRUCTURES II,ARCH3400 - Structures I,Lecture,Undergraduate,Architecture
"This studio course introduces topics of design in the urban realm. Students engage with complex issues and agendas, and develop proposals in response to the physical, cultural, and social contexts that inform design at the urban scale. Topics pertinent to the Urbanism concentration are addressed.",ARCH 4000 - STUDIO 07 (URBANISM),"ARCH3500 - Studio 06; junior status in BSA, and Urbanism concentration status",Laboratory,Undergraduate,Architecture
"This studio course introduces topics of design in the urban realm. Students engage with complex issues and agendas, and develop proposals in response to the physical, cultural, and social contexts that inform design at the urban scale. Topics pertinent to the Emerging Technologies concentration are addressed.",ARCH 4025 - STUDIO 07 (EMERGING TECH),"ARCH3525 - Studio 06; junior status in BSA, and Emerging Technologies concentration status",Laboratory,Undergraduate,Architecture
"This studio course introduces topics of design in the urban realm. Students engage with complex issues and agendas, and develop proposals in response to the physical, cultural, and social contexts that inform design at the urban scale. Topics pertinent to the Adaptive Interventions concentration are addressed.",ARCH 4050 - STUDIO 07 (ADAPT INTRVENTIONS),"ARCH3550 - Studio 06; junior status in BSA, and Adaptive Interventions concentration status",Laboratory,Undergraduate,Architecture
"A history and theory of landscape design is coupled with topics in site planning - such as topography, soils, drainage, and planting - to provide an overview of the relationship between building and site design.",ARCH 4400 - SITE PLANNING AND LANDSCAPE,Junior status or above,Lecture,Undergraduate,Architecture
This studio course proposes design topics grounded in a research agenda that informs the design process. The range and scale of projects vary; students initiate a single original design project.,ARCH 5500 - STUDIO 08,ARCH4000 or ARCH4025 or ARCH4050 - Studio 07,"Laboratory, Study Abroad",Undergraduate,Architecture
This studio addresses graduate level design topics dedicated to students in the two year Master of Architecture program. Prerequisite: Enrollment in two year Master of Architecture program. Please refer to the Design Studio Grade Requirement regarding the final grade for this course.,ARCH 7000 - GRADUATE FOUNDATION STUDIO I,,Laboratory,Graduate,Architecture
"This lecture course surveys world architecture, urbanism and landscapes from the ancient world through roughly 1600 CE. Lectures shall discuss architecture as a form of cultural expression and be presented in relation to artistic, political, religious, scientific, technological, and social developments.",ARCH 7250 - GRADUATE HISTORY THEORY LECTUR,,Lecture,Graduate,Architecture
,ARCH 7300 - TECHNOLOGY I,,Lecture,Graduate,Architecture
Requirement for incoming 3 year graduate students. The course introduces and applies fundamental manual drawing techniques and logics essential to the development of spatial and critical thinking skill sets and practice as well as digital 2D and 3D translations.,ARCH 7350 - 2D + 3D MEDIA & PROCESSES,,Lecture,Graduate,Architecture
"This studio focuses on techniques of visualization and representation (freehand drawing skills and model-making) as they pertain to beginning design. Students continue to develop fundamental design skills through orthographic drawing (plan, section and elevation), perspective drawing, model-making and diagramming. Fundamental digital skills are explored. General concepts of space, form, material and structure are investigated by using techniques in architectural representation and visualization in a series of design problems.",ARCH 7500 - GRADUATE FOUNDATIONS STUDIO 2,ARCH7000 - Graduate Foundations Studio 1,Laboratory,Graduate,Architecture
"This seminar builds on core themes and topics introduced in the Graduate History Theory Lecture, surveying world architecture, urbanism and landscapes from roughly 1600 CE to present. Graduate students concentrate on focused research and themes, critical writing and research at the graduate level is emphasized. Required for three year graduate students.",ARCH 7550 - GRADUATE HISTORY THEORY SEMINR,ARCH7250 - Graduate History Theory Lecture; for two year studentsprevious relevant history theory course work.,Lecture,Graduate,Architecture
"Technology 02 introduces the theory and application of climate, energy use and comfort as determinants of architectural form. Emphasis is on architectural methods for climate adaption using non-mechanical means (climate, shape, orientation, material and structure) for ventilating, cooling, heating and lighting envelope-load dominated buildings.",ARCH 7600 - TECHNOLOGY 02,,Lecture,Graduate,Architecture
"This design course focuses on the development of highly detailed design proposals, integrating knowledge of building materials and systems within the framework of well-articulated and advanced design intentions.",ARCH 8000 - ADV GRADUATE DESIGN STUDIO 01,"ARCH7000 - Grad Foundations Studio 01, and ARCH7300 - Grad Foundations Studio 02.",Laboratory,Graduate,Architecture
"Requirement for incoming 2 year and 3 year Graduate students. This lecture and workshop-based course focuses on site and architecture design skills and concepts, in urban and non-urban environments. The course also includes principles of building siting/orientation and an introduction to passive environmental building strategies. Emphasis on materials, formal logics and structural relatinoships at multiple scales will be invesitgated.",ARCH 8250 - ADVANCED TECH & MATERIALS,,Lecture,Graduate,Architecture
Focus on advanced studies Research & Design methodologies through a series of explorative projects & presentations. Methodologies & Strategies are explored so as to instill a clear understanding of advanced research at the graduate level. Graduate level criteria & expectation are to be met.,ARCH 8300 - APPLIED RESEARCH & DESIGN 01,"Familiarity with fundamental citation formats such as MLA bibliography, footnotes and endnotes. ",Lecture,Graduate,Architecture
,ARCH 8350 - TECHNOLOGY 03,,Lecture,Graduate,Architecture
,ARCH 8400 - STRUCTURES I,,Lecture,Graduate,Architecture
"This design course focuses on the development of highly detailed design proposals, integrating knowledge of building materials and systems within the framework of well-articulated and advanced design intentions.",ARCH 8500 - ADV GRADUATE DESIGN STUDIO 02,"ARCH8350 - Technology 03, ARCH8400 - Structures 1, and ARCH7000 - Graduate Foundations Studio 1",Laboratory,Graduate,Architecture
"Fabrication Methods, with a focus on making as a means of applied research, graduate students work with both manual + digital fabrication tools, techniques and fabrication methodologies. Design and Applied Research will range in scale and scope from the making of artifacts to prototyping to one to one scale manufacturing. Pre-requisite of familiarity with Rhino + Tool shop safety certification.",ARCH 8650 - FABRICATION METHODS,,Lecture,Graduate,Architecture
Focus on advanced studies Research & Design methodologies through a series of explorative projects & presentations. Methodologies & Strategies are explored so as to instill a clear understanding of advanced research at the graduate level. Graduate level criteria & expectation are to be met.,ARCH 8700 - APPLIED RESEARCH & DESIGN 02,"Familiarity with fundamental citation formats such as MLA bibliography, footnotes and endnotes. ",Lecture,Graduate,Architecture
"Concentration Studies offers topics pertinent to Urbanism, Emerging Technologies or Adaptive Interventions with an emphasis on relevant models of research within the selected discipline of the concentration. Contemporary issues in the field are addressed through readings, discussions, analysis, writing and projects.",ARCH 8750 - CONCENTRATION STUDIES,ARCH7000 - Graduate Foundations Studio 1,Lecture,Graduate,Architecture
"Introduction to behavior and analysis of more complex structural systems with the design of beams and columns in wood, steel and reinforced concrete. The effect of cross-sectional properties on stress beams will be investigated along with the design of continuous beams/rigid frames. The princples of structural design through structural grids/patters and funicular structures (cables and arches) will be studied.",ARCH 8800 - STRUCTURES 02,ARCH 8400 - Structures 01,Lecture,Graduate,Architecture
This studio addresses design topics relevant to graduate level study. Students integrate the major architectural issues emphasized in the previous studios in a single design project.,ARCH 9000 - STUDIO 09: SPECIAL TOPICS,"M-Arch status. CorequisiteARCH9200 - Thesis Preparation I, and ARCH 9300 - Thesis Preparation II",Laboratory,Graduate,Architecture
"This course examines the theoretical underpinnings and methodologies pertinent to research in architecture. Students come to understand how researchers conduct architectural research, with the goal of preparing their own thesis agenda.",ARCH 9200 - THESIS PREP 1,"M-Arch status; CorequisiteARCH9300 Thesis Preparation II, ARCH9000 / 917 / 919 Studio VIISpecial Topics (FC / TS / BE)","Hybrid, Lecture",Graduate,Architecture
"Students prepare the groundwork for their thesis project through research and development of an architectural program, site analysis, and design methods that support anoriginal design project in ARCH956 / 967 / 969 Studio VIII: Thesis (FC / TS / BE).",ARCH 9300 - THESIS PREP II,"M-Arch status; CorequisiteARCH9200 Thesis Preparation I, ARCH916 / 917 / 919 Studio VIISpecial Topics (FC / TS / BE)",Lecture,Graduate,Architecture
"Students pursue a final thesis design of a project of their own definition, as developed during the fall semester in ARCH9200 Thesis Preparation I and ARCH9300 Thesis Preparation II. Prerequisite: M-Arch status, ARCH9000 Studio VII: Special Topics, ARCH9200 Thesis Preparation I, and ARCH9300 Thesis Preparation II; Corequisite: ARCH9700 Advanced Topics. Please refer to the Design Studio Grade Requirement regarding the final grade for this course.",ARCH 9500 - STUDIO 10: THESIS,,Laboratory,Graduate,Architecture
"A comprehensive study of architectural practice, including project management, financial planning, organizational structure, scheduling, marketing, legal issues, and the roles and responsibilities of design professionals.",ARCH 9600 - PROFESSIONAL PERSPECTIVES,MArch status,Lecture,Graduate,Architecture
"This course addresses topics relevant to graduate study. Readings, discussion and analytical projects address contemporary issues in the field.",ARCH 9700 - ADVANCED TOPICS I,"MArch status, ARCH9000 - Studio VIISpecial Topics - ARCH9200 - Thesis Preparation I, and ARCH 300 - Thesis Preparation II. CorequisiteARCH9600 - Studio VIIIThesis.",Lecture,Graduate,Architecture
Introductory course in the use of computer-aided-design and drafting techniques in architecture utilizing AUTOCAD? software. Instruction on the use of various commands and functions.,ARCT 1000 - ARCHITECTURAL CADD,,Lecture,Undergraduate,Professional Continuing Educ
"Emphasis includes the development of contract documents for light construction projects using CAD, and a study of light construction methods in architecture.",ARCT 1100 - CONTRACT DRAW & METHODS I,ARCT1000 - Architectural CADD and BLDG1100 - Construction Methods,Lecture,Undergraduate,Professional Continuing Educ
"Emphasis includes the development of contract documents for heavy construction projects using CAD, and a study of heavy construction methods in architecture.",ARCT 1150 - CONTRACT DRAW & METHODS II,ARCT1100 - Contract Drawings and Methods I and BLDG1800 - Concrete Construction Methods,Lecture,Undergraduate,Professional Continuing Educ
"An introduction to the principle elements of design. Through a series of two and three-dimensional projects, students study the basic considerations of design that include function, shape/form, hierarchy, organization, scale, proportion, materials, and light. A small architectural design study requiring the synthesis of these principles is the final project for this course.",ARCT 1200 - DESIGN PRINCIPLES,ARCT1100 - Contract Drawings and Methods I or ARCT1150 - Contract Drawings and Methods II,Lecture,Undergraduate,Professional Continuing Educ
"A study and development of the techniques used in analyzing, selecting, and designing statically determinate structural building elements including footings, retaining walls, slab systems, beams, columns, rigid frames, arches and trusses, and prefabricated veneer walls.",ARCT 2000 - STRUCTURAL DESIGN,ARCT1100 - Contract Drawings and Methods I and MECH1999 - Mechanics and Strength of Materials; or ARCT1150 - Contract Drawings and Methods II and PHYS1005 - Physics A,Lecture,Undergraduate,Professional Continuing Educ
"Introduces basic principles of biology, including cell structure and function, and metabolism; genetics; reproduction; theories of evolution; classifications of organisms; plant form and function, animal form and function; community ecology and ecosystems dynamics. Emphasis placed on scientific inquiry.",BIOL 1000 - GENERAL BIOLOGY,,"Laboratory, Lecture",Undergraduate,Sciences
"Introduction to the evolution, biology and classification of vertebrates, including fish, amphibians, reptiles, birds and mammals. A comparative approach will be used to examine the respiratory, circulatory, endocrine, skeletal, nervous reproductive and digestive systems of vertebrates. Emphasis on evolution, speciation, behavior, spatial patters, migration. Communications, thermal adaptations, communication, coloration and behavior of vertebrates may be emphasized. Lecture and laboratory components are included. Prerequisite: BIOL 1000 - General Biology I.",BIOL 1050 - GENERAL BIOLOGY II,,"Laboratory, Lecture",Undergraduate,Sciences
"This course introduces basic principles of cellular and molecular biology. Topics include: properties of life, organic molecules, general features of cells, membrane structure, synthesis and transport, introduction to energy, enzymes and metabolism, cell respiration, photosynthesis, cell communication, extra cellular matrices, cell junctions, tissues, nucleic acid structure, DNA replication and chromosome structure, gene expression and regulation, mutation, the eukaryotic cell cycle, mitosis and meiosis, viruses and bacteria.",BIOL 1100 - CELL & MOLECULAR BIOLOGY,,"Laboratory, Lecture",Undergraduate,Sciences
"This course introduces students to the central dogma of molecular biology and to insights on how medical biotechnology applications can be used to solve important social and medical problems for the benefit of humankind. Students will learn essential molecular biology techniques commonly used in modern research labs, including preparation of biological reagents, use of expression vectors, selective growth and transformation of bacteria, DNA synthesis and polymerase chain reactions (PCR), subcloning, electrophoresis and the use of bioinformatics databases and algorithms to design and perform successful cloning experiments.",BIOL 1500 - INTRO TO MEDICAL BIOTECHNOLOGY,BIOL1100 - Cell and Molecular Biology,"Laboratory, Lecture",Undergraduate,Sciences
"This course covers the basic structure and function of the human body as an integrated set of systems. Topics include: functional compartments of the cells and body, tissues, mechanisms of communication, integration and homeostasis, an overview of the endocrine, nervous and sensory systems and the integrative control and mechanisms of body movement.",BIOL 1700 - ANATOMY & PHYSIOLOGY I,BIOL1100 - Cell and Molecular Biology,"Laboratory, Lecture",Undergraduate,Sciences
"This course covers the basic structure and function of the human body as an integrated set of systems. Topics include an overview of the cardiovascular, circulatory, respiratory, excretory and digestive systems and energy balance.",BIOL 1750 - ANATOMY & PHYSIOLOGY II,BIOL1700 - Anatomy & Physiology I,"Laboratory, Lecture",Undergraduate,Sciences
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,BIOL 2990 - INDEPENDENT STUDY BIOLOGY,Consent of department head and instructor.,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Sciences
"This course will explore the vast applications of genetics in biomedical science. Students will survey recently published primary research articles, read selected scientific literature and view relevant biomedical films or attend symposia in the Boston area, which emphasize the importance of genetics in biomedical progress. Topics will include: classical molecular genetics, genetic disease, genetic engineering, epigenetics and the social, moral, and ethical issues surrounding biomedicine. Moreover, students will be able to interact with leaders in the field of biomedicine during a series of guest lectures. The lab section will be used for independent research projects using Drosophila melanogaster to allow for application of genetic techniques, promoting an active learning experience.",BIOL 3000 - GENES TO GENOMICS,BIOL 1100 - Cell & Molecular Biology,"Laboratory, Lecture",Undergraduate,Sciences
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,BIOL 3800 - SPECIAL TOPICS BIOLOGY,,"Hybrid, Individualized Study,",Undergraduate,Sciences
"The development and interpretation of civil, architectural, structural, and electrical drawings; freehand sketching of construction details and sections; computer-aided construction drafting.",BLDG 1015 - CONSTRUCTION GRAPHICS,,Lecture,Undergraduate,Professional Continuing Educ
A comprehensive study of construction contracts including conditions of agreement and modifications. Students analyze the Massachusetts State Building Code as it applies to buildings.,BLDG 1050 - CONTRACTS & CODES,BLDG1015 - Construction Graphics and BLDG1100 - Construction Methods; or ARCT1150 - Contract Drawing and Methods II,Lecture,Undergraduate,Professional Continuing Educ
"A detailed study of current methods and equipment used in timber, masonry and steel construction. Laboratory exercises emphasize plan reading.",BLDG 1100 - CONSTRUCTION METHODS,,Lecture,Undergraduate,Professional Continuing Educ
"The fundamentals of construction estimating are covered. Quantity surveys are made for various building components and prices determined for labor and materials, using a current pricing handbook. Standard estimators' forms are prepared. Computer techniques and applications are also examined.",BLDG 1500 - CONSTRUCTION ESTIMATING,BLDG1015 - Construction Graphics and BLDG1100 - Construction Methods,Lecture,Undergraduate,Professional Continuing Educ
"Survey of current methods and equipment used in heavy construction projects including highways, tunnels, bridges, dams, storm drains and sanitary sewers.",BLDG 1600 - HORIZONTAL CONSTRUCTION,BLDG1100 - Construction Methods,Lecture,Undergraduate,Professional Continuing Educ
"An introduction to reinforced concrete buildings with concentration on mix design and complete applications according to the ACI Standard Code, with emphasis on laboratory testing practices of fresh and hardened concrete. Prerequisites: BLDG1100 - Construction Methods and ARCT1000 - Architectural CADD or BLDG1015 - Construction Graphics.",BLDG 1800 - CONCRETE CONSTRUCTION METHODS,,"Laboratory, Lecture",Undergraduate,Professional Continuing Educ
"Examines the basic building services, including heating, water, plumbing, drainage, ventilation, air-conditioning, vertical transportation, acoustical control, electrical controls, and associated building code requirements.",BLDG 1900 - BASIC BUILDING SERVICES,,Lecture,Undergraduate,Professional Continuing Educ
"Topics include the principles of mechanics with emphasis onthe use of dimensions,weights, forces and angles, centroids, center of gravity, free body diagrams and the laws of equilibrium as applied to trusses.",BLDG 2000 - STRUCTURAL DESIGN I,,"Laboratory,",Undergraduate,Professional Continuing Educ
"This course examines the use of Autodesk's REVIT software platform as a complete building design and documentation solution, supporting all phases of design, construction documentation, and construction management required for a building project. Students will create massing and conceptual studies that evolve into building models with schedules, details, renderings, walk-throughs, and other topics via studying real-world building designs.",BLDG 2200 - BUILDING INFORMATION MODELING,"ARCT1000 - Architectural CADD, or BLDG1015 - Construction Graphics",Lecture,Undergraduate,Professional Continuing Educ
"Students learn and apply the basic principles and current practices employed in estimating project costs including unit costs, overhead and profit. Scheduling tools, such as critical path method and bar charts, are examined as an aid and technique in project planning, budgeting and cost control.",BLDG 2500 - PROJECT ESTIMATING & SCHEDULIN,"BLDG1015 - Construction Graphics, or ARCT2150 - Contracts Drawing and Methods II AND BLDG1100 - Construction Methods","Laboratory, Lecture",Undergraduate,Professional Continuing Educ
"Testing of Materials focuses on how to properly determine the properties of the most common construction industry materials. These materials include soils, aggregates, asphalt, concrete, steel, wood and masonry. Particular attention is paid to proper laboratory techniques for data acquisition and reporting.",BLDG 2600 - TESTING OF MATERIALS,,"Lecture,",Undergraduate,Professional Continuing Educ
"An introduction to law and contracts to avoid entanglements and disputes, and to develop awareness of legal rights so that construction claims are settled by negotiation, not litigation. In addition, a study of zoning and building code requirements is made. Roles of building departments and boards of standards and appeals, procedures, enforcement, approvals and permits are discussed.",BLDG 3000 - CONSTRUCTION LAW & GOV'T REGS,third year status,"Laboratory, Lecture",Undergraduate,Professional Continuing Educ
Material handling in heavy construction.  The selection and application of heavy construction equipment including equipment productivity and cost,BLDG 3100 - CONSTRUCTION OPERATIONS,BLDG1100 - Construction Methods,Lecture,Undergraduate,Professional Continuing Educ
"Topic items include project network planning, scheduling, and cost control models. Computer applications to PERT and CPM will be explored and used by the student.",BLDG 3200 - CONSTRUCTION PROJ SCHEDULING,BLDG1100 - Construction Methods and third year status,Lecture,Undergraduate,Professional Continuing Educ
"The study of information management for effective project control. The course will cover gathering of job information and the processing involved in measuring, evaluating and calculating job performance, and reporting the results. Modern-day management information systems, practical accounting techniques, and computer applications will be explored.",BLDG 3400 - CONSTRUCTION PROJECT CONTROL,BLDG3200 - Construction Project Scheduling,"Laboratory, Lecture",Undergraduate,Professional Continuing Educ
"This course will also introduce students to modern techniques for analyzing costs
                            for both vertical and horizontal construction. Costs will be compared to a baselines established for project control. Students will analyze the variety of factors and different methods that affect construction costs. Primary class emphasis is on the cost analysis process available to project managers.",BLDG 3450 - CONSTRUCT PROJ COST ANALYSIS,BLDGBLDG3200 - Construction Project Scheduling,"Hybrid, Lecture",Undergraduate,Professional Continuing Educ
"Topics include: practical procedures for building construction estimating of most major trades; analysis of factors and methods affecting construction costs; bid strategies; preparation of preliminary budgets and complete working estimates with quantities and costs of materials, labor and overhead. Computer applications are explored.",BLDG 3500 - CONSTRUCTION COST ANALYSIS,MGMT2500 - Financial Accounting,"Laboratory, Lecture",Undergraduate,Professional Continuing Educ
"Construction project management from conception to completion is covered. The course covers feasibility studies, site selection, planning, programming, design coordination, and contracting procedures of actual construction. Emphasis is placed on contractor operations, project administration, job planning, and subcontract coord-ination.",BLDG 3600 - CONSTRUCTION MGMT THEORY,third year status,Lecture,Undergraduate,Professional Continuing Educ
Topics include the knowledge and skills required to effectively manage safety compliance and risk associated with construction.,BLDG 3700 - CONSTR SAFETY & RISK MGMT,BLDG1100 - Construction Methods,Lecture,Undergraduate,Professional Continuing Educ
"An investigation of construction financing during all phases of project development. Topic items include: permanent loans, construction loans, sources of mortgage funds and venture capital, and tax and interest considerations. Emphasis is placed on the role of the banker as a vital member of the construction management team.",BLDG 4250 - FINANCING CONSTRUCTION PROJECT,third year status,Lecture,Undergraduate,Professional Continuing Educ
Students have the opportunity to explore and present on a construction management topic of their choice. A final oral presentation is required.,BLDG 5500 - SENIOR PROJECT BLDG CONST MGMT,,Lecture,Undergraduate,Professional Continuing Educ
"The course introduces the field of biomedical engineering with class activities that expose students to biomedical engineering careers, devices and systems related to medical diagnosis, treatment and rehabilitation. The course will include guest lectures by professional experts such as practicing biomedical engineers, physicians, and healthcare industry representatives.",BMED 1000 - INTRO TO BIOMED ENGINEERING,,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"Physiology of humans is explored from cells and tissues to organs and systems. Understanding of physiology is sought from the aspects of functional and control systems, and quantitative relationships. Topics include cell structure and function, mechanisms of homeostasis, membrane transport and biopotentials, skeletal muscle and motor control, nervous system, cardiovascular system, respiratory system, integrative physiology, and applications of engineered designs interacting with physiological systems. The course is intended to prepare students who are not in the Biomedical Engineering (BBME) program, and wish to work on interdisciplinary engineering projects involving biomedical applications.",BMED 1599 - QUANTITATIVE PHYSIO FOR ENG,MATH1750 - Engineering Calculus I or MATH1775 - Integrated Engineereing Calculus I. CorequisitePHYS1750 - Engineering Physics II,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"Provides the foundations of biochemistry, cell metabolism, reproduction and genetics, microorganisms, cells as organ subsystems, cells' interaction with the environment. Will include laboratory projects and simulations.",BMED 2099 - PHYSIOLOGY FOR ENGINEERS I,CHEM1100 - Engineering Chemistry I and MATH1750 - Engineering Calculus I or MATH1775 - Integrated Engineering Chemistry I;  PHYS1250 - Engineering Physics I,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
"Introduction to biomedical electronics and instrumentation for clinical applications. Topics will include sensors for measurement of biomedical signals, bioelectric phenomena, nerve and muscle potentials, electrodes and amplifiers, electrocardiography, blood pressure, heart sounds, respiratory pressure, gas concentration. blood-gases, electromyography, electroencephalography, therapeutic and prosthetic devices, electrical safety of medical devices, and advances in medical instrumentation.",BMED 2500 - BIOMED ELECTRONICS & INSTMNT,ELEC2299 - Analog & Digital Electronics and BIOL1750 - Anatomy & Physiology II.,"Laboratory, Lecture",Undergraduate,Biomedical Engineering
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,BMED 2990 - INDEPENDENT STUDY BIOMEDICAL,Consent of department head and instructor.,"Hybrid,",Undergraduate,Biomedical Engineering
