title,desc
AH 271: The Art of Japan,"Introduces the origins and development of Japanese art from the Neolithic period to the nineteenth century. Study of the influences of Shinto and Buddhism, as well as foreign influences on architecture, painting, sculpture, printmaking and decorative arts using Bostons rich collections of Oriental art.No prerequisite."
AH 288/388: Picasso: The Artist and Modernism,"This course focuses on the dynamic life and artistic career of Pablo Picasso. Picassos art (painting, drawing, printmaking, and sculpture) is studied within the broader context of late nineteenth- and twentieth-century Modern art. Picassos relationship to his contemporaries, including artists, writers, and other intellectuals, is also examined. Throughout the course Picassos life and personal relationships serves as an important backdrop for understanding his art.Students have the option of enrolling in the 200-level of this course (no prerequisite) or 300-level of this course (with prerequisite); both levels run concurrently in the same course.Spring.Prerequisite (388 only): AH 101 or VA 103 or permission.Group: I."
AH 290: Creating Their Own Image: African-American Women Artists,"Examines themes and traditions in the history of African-American women artists by exploring the ways black women traditionally use art to challenge social norms and raise the issues of gender and identity in their roles as writers, artists, and activists from the Colonial period to the present. Drawing on the works of artists Edmonia Lewis, Meta Warrick Fuller, Elizabeth Catlett, Betye Saar, Alison Saar, Zora Neal Hurston, Alice Walker and a cadre of other participants, the course will feature those who consciously imbued their work with a social and political agenda to create an alternative vision and commentary of how women of color are represented in American culture on a canvas of ones own making. Fall. Group: I."
"AH 303: Gender, Myth, and Power in Greek and Roman Art","Course is a thematic and comparative study of the art and architecture of ancient Greece and Rome. Focus is placed on comparing issues of gender, mythology, and political power as expressed in Greek and Roman visual cultures. Offered selectively.Prerequisite: AH 101 or permission. Group: I."
AH 344: American Architecture,"Investigates the development of American architecture and its European influences from the Colonial period to the present. Close study of architectural interiors reveals how space was designed, decorated, and used. Illustrates how changing styles reflected the political, social, and cultural pressures of the time. Offered selectively.Prerequisite: AH 101 or permission.Group: I."
AH 373: Art Exhibition Seminar,"Provides students with the opportunity to organize, mount, and publicize a real exhibition in the Hess Gallery. Working with artists in the Boston area, students take an active role in choosing the exhibitions theme and works of art. They also write a catalog and plan an opening as the final project for the course. Offered selectively.Prerequisite: AH 101 or permission.Group: I."
AN 101: Cultural Anthropology,"This course introduces the student to the study of cultureour learned, shared ideas about behaviorthrough topics such as: the variable roles of men and women; beliefs about magic, science, and religion; human relationships with the environment; and the words and objects people create and use to express their identities. Students explore and better appreciate the diversity of past and present human experience. Offered Spring in alternate years.Group: II."
AN 215/315: Making Monsters.,"Course description for catalog: From origins of Western literature to contemporary blockbuster films, the monster has been across-genre mainstay of storytelling. Monsters represent culturally specific fears informed from prehistoric beasts running rampant in the modern world to the terrifying results of scientific experiments gone wrong. Through a broad sampling of fiction and academic writing in anthropology, cultural studies, film studies and history, along with contemporary and ethnographic films, students develop an understanding that monsters do not develop from thin air, but are manifestations of racial, sexual, class, and scientific/technological anxieties.Offered selectively.Group: II."
"AN 220: Culture, Health, and Healing","By looking at ways various cultures define diseases and prescribe cures, both within Western society and in other societies, this course works toward an appreciation of the interplay of disease and cultural responses to this universal phenomenon. The course addresses the meaning of sickness, the nature of relationships between patients and healers, the morality of illness, the effects of culture on emotional states, and how the knowledge of non-Western practices can inform the management of our own health problems. Offered Spring semester in alternate years.Prerequisites: AN 101, CHC 101, SPS 101, or permission.Group: II."
AN 315: Making Monsters: Manifestations of Fear,"From the origins of Western literature to the most contemporary blockbuster films, the monster has been a cross-genre mainstay of storytelling. Monsters have taken a variety of forms, from prehistoric beasts running rampage in the modern world to the terrifying results of scientific experiments gone wrong. This course will examine the cultural and historical roots of a variety of monsters, from Beowulf to Frankenstein. We will discover how monsters represent culturally-specific fears, and for each monster we will consider what those fears are. Through a broad sampling of literature and film, we will develop an understanding that monsters do not emerge from thin air, but are instead manifestations of racial, sexual, and scientific anxieties.Prerequisites: AN 101, SPS 101, or permission.Group: II."
AN 320 Topics in Developing Areas Studies,
AN/IDS 120: Communicating Identities in the Global Culture,"This course focuses on communication as the hub that interrelates people, commodities, and ideas in the global era. Through topics such as mass media, tourism, advertising, and indigenous forms of cultural expression, we look at the ways in which people build and maintain unique identities, while also participating in a global environment that has erased traditional cultural borders and boundaries. Offered selectively.Group: IDS or II."
BI 101: Principles of Biology (5 credits),"Bi101 provides an introduction to the basic principles of biology and a structure/function analysis of the cell. Topics include: chemical principles, cell structure and function, energy, cellular metabolism and growth and an introduction to Mendelian genetics. A weekly lab complements lecture material with appropriate experiments and demonstrations. Fall and Spring. Group III"
BI 102: Principles of Biology II (5 credits),"Bi102 will continue to the introduction to the basic principles of biology. We will start with an overview of macromolecules with a focus on DNA and protein. Students will also study patterns of inheritance and how genetics influences the process of evolution. Students will then learn how evolution has led to biodiversity by looking at the classification of organisms. We will look at Bacteria, Archaea, Protists and Plants. Finally we will look at how organisms interact with their environment through the study of ecosystems and ecology. Weekly labs will support the concepts in the class by investigating specific examples of genetics, inheritance, structure and function of different phyla of living organisms. Questions pertaining to these experiments will challenge you to think and reason about the information. Bi101 and Bi102 are required for all PMC biology majors. Bi102 can be taken before Bi101.Spring. Group III, Scientific Understanding Thematic Area."
BI 103: Cell Biology (5 credits),"This course focuses on the structure and function of eukaryotic cells. The course begins with a very brief review of cell composition and metabolism, and continues to the fundamentals of molecular biology. Further topics include the organization of the genome, DNA replication, RNA transcription, translation, and protein processing, cell signaling and communication, the cell cycle, cell death and renewal, cellular transformation/cancer induction. The text is supplemented with readings from the lay and research literature. Spring. Prerequisite: BI101 or permission. Group III"
BI 202: Evolution and Biodiversity,"Bi202 examines the processes of evolution and the sequence of events that lead to the introduction of new forms of life. The course starts with a review of basic information about genes, Mendelian inheritance, the general structure of DNA/genes and control of gene expression. Additional topics include the theories of Darwin, adaptation, the emergence of populations, speciation, biodiversity, the origin of life on earth. The course will cover the evolution of plants and fungi, the move of living organisms from aqueous environments to land, the evolution of animals and human evolution. Novel techniques and initiatives such as the Genographic Project will be discussed. The text will be supplemented with readings from the lay and research literature. Offered Spring semester alternate years. Group III"
BI 205: Anatomy and Physiology I (5 credits),"Students make a systematic study of the human body, its structures, functions and malfunctions. The course allows the student to observe physiological processes in her own body, as well as in living and preserved laboratory specimens. A weekly lab complements the lecture. Fall. Prerequisite: BI 101 or permission. Group III"
BI 206: Anatomy and Physiology II (5 credits),A continuation of BI 205. Spring. Prerequisite: BI 205 or permission. Group III
BI 210: Introduction to Biomedical Laboratory Science (at the Metropolitan College of Boston University) (5 credits),"This course provides a theoretical and practical foundation in laboratory science. Students are introduced to the scientific method, laboratory mathematics, chemistry, biochemistry, cell and molecular biology, and immunology. Students learn hands-on solution making, electrophoresis, protein quantitation and other commonly used laboratory methods. Emphasis is placed on lab safety, proper handling of instruments, careful following of written instructions for lab procedures, maintenance of lab notebooks, and data collection, presentation and analysis. Prerequisites: BI101, BI103; GPA 2.5 Strongly suggest CH110/120. Fall; See Metropolitan College catalogue for schedule. Group III"
BI 211: Protein Purification and Analysis (at the Metropolitan College of Boston University) (5 credits),"Familiarizes students with the theory and application of many biochemical techniques involved in protein purification and characterization, such as chromatography (ion exchange, gel permeation, hydrophobic affinity), electrophoresis and blotting techniques. Students learn to think critically about methodology, design a purification scheme, scale it up, and troubleshoot an existing plan. Special problems with recombinant proteins are also covered. The laboratory component will include a wide variety of conventional methods for protein isolation, purification, and characterization. Prerequisites: BI101, Bi103; GPA 2.5 ; Strongly suggest CH110/120. Spring; See Metropolitan College catalogue for schedule. Group III"
"BI 212: Environmental Issues: Global Problems, Local Solutions","Students learn to relate important environmental issues such as global warming, overpopulation, resource use and the consequences of industrialization to current positions of scientists, educators, politicians and the general public. Emphasis is placed on issues of global concern and local actions proposed to address them. A background of ecological principles begins the course which concludes with students presenting a portfolio on a local grassroots movement. Offered Spring semester in alternate years. Group III"
BI 213: Techniques in Molecular Biology (at the Metropolitan College of Boston University) (5 credits),"The course is comprised of a lecture part focusing on the structure, function, and analysis of DNA and RNA and a laboratory component in which students isolate, analyze, and manipulate DNA and RNA in the test tube. Experiments include the isolation of genomic DNA and RNA, followed by their analysis through gel electrophoresis, spectrophotometry, PCR, and blotting techniques. Students are introduced to recombinant DNA technology through bacterial transformation, plasmid preps, mapping of plasmids by restriction digests, and purification of recombinant protein from bacteria by column chromatography. The course also includes a bioinformatics component in which students use a web platform to access various genetic databases, retrieve genetic sequence information and analyze the sequences using free software for translation and restriction enzyme mapping. Prerequisites: BI101, BI103; GPA 2.5; Strongly suggest CH110/120. Fall; See Metropolitan College Catalogue for Schedule. Group III"
BI 215: New England Coastal Marine Ecology (5 credits),"This course introduces the basic principles and methods of oceanography and marine biology in intensive, two-week classroom and field courses. Field work includes trips to salt marshes, sandy beaches, and rocky intertidal habitats, visits to the Museum of Comparative Zoology at Harvard University, the New England Aquarium, the Kendall Whaling Museum in the Gulf of Maine, and a day aboard a research vessel, where students collect and analyze water and plankton samples. Students pay entry fees where appropriate. Summer. Group: III"
BI 225: Nutrition,"Students study the science of foods, their components, and the human bodys needs, including evaluation of diet and nutritional status using a life span approach. Also included are issues such as womens health research, diet, heart disease, and malnutrition. Offered Fall semester in alternate years. Group III"
BI 230: Emerging Diseases,"Scientific literacy is crucial for decision-makers in our society. An informed public is essential for the health and well-being of the local and global community. The challenge of emerging diseases has both historical roots and immediate urgency. These diseases have a two-fold impact: a) they pose immediate, dangerous and sometimes life-threatening challenges to a specific population and b) they are capable of spreading to other populations within close proximity with the added danger of an eventual world-wide infection. Ancient and current history are full of examples of diseases that emerged locally and spread globally: the bubonic plague(s) in Europe during the Middle Ages, the global pandemic of Spanish Influenza in 1918, the repeated waves of infectious polio virus epidemics world-wide in the 1900s, the continuous sporadic outbreaks of Ebola virus infections, the current HIV pandemic now spanning 40 years, and emerging viral infections, such as Zika.Group III, Scientific Understanding Signature Course."
BI 240: The Biology of Women,"This course focuses on the biology of women over their life span. Major topics include normal development from conception to death in women; wellness and illness; life span decision making; problems, process, and solution(s); and the current status of research on women. Offered Spring semester in alternate years. Group III"
BI 250: The Biology of HIV and AIDS,"Explores the biological aspects of AIDS and HIV (the human immunodeficiency virus). Topics include origins of the virus and the disease, perturbation of the human immune system, pathogenesis of the virus, methods of transmission, current and future epidemiology. Offered Spring semester in alternate years. Group III"
BI 254: Cell Culture Techniques (at the Metropolitan College of Boston University) (5 credits),"This course gives students a foundation in basic cell culture techniques used in modern cell culture labs. The topics covered will include aseptic technique, freezing and thawing of cell stocks, passage and maintenance of cells, and culture of adherent and suspension cells. Emphasis will be on practical hands-on experience and much of the class time will be devoted to laboratory work. A short lecture introduces relevant information and techniques to be performed in the laboratory. Upon completion of this course, students will be able to function in a cell culture laboratory at the level of a novice technician and be able to understand and follow basic cell culture protocols. Spring; See Metropolitan College Catalogue for Schedule. Prerequisites: BI101, Bi103; GPA 2.5; Strongly suggest CH110/120. Group III"
Bi 275: Critical Issues in Genetics for Women,"This course will examine issues or choices a woman may face during the course of her lifetime that might require a basic knowledge of genetics. Such issues could include the implication of genetic traits as they affect ethnicity, the use of research as it affects her or her family, or the use of recreational drugs, including alcohol. This interdisciplinary course will begin with a review of the essentials of human genetics which will give the student the tools to make informed decisions about the issues which affect her life.. These choices will be discussed and evaluated using the case study approach. Students will complete the course by presenting a case of her own to her peers. This course is designed for all students. Fall or Spring. Group III"
BI 280: Ethical Issues of Science & Technology,Ethics is the disciplined reflection on the moral intuitions and the moral choices that people make. Bioethics is the analysis of these choices in science and medicine. This course uses a case method of instruction and focuses on the major ethical dilemmas of twenty first century medicine and the natural sciences. Offered Spring semester in alternate years. Group III
BI 289: Biostatistics,"This course is an introduction to the fundamentals of descriptive and inferential statistical analysis for students in the biological and health sciences. Topics covered will include data measurement, frequency distribution and graphic presentation, probability, hypothesis testing, analysis of variance, chi square tests and correlation and regression. Additional topics will include relative risk, odds ratio, rates of fatality, rates of morbidity and life tables. The course will have particular focus on the design of experiments, probability theory and alternative methods of analysis. Data are drawn from labs, the lay and research literature. The course includes a weekly one-hour lab.**Fulfills the Pine Manor College quantitative reasoning requirement. Fall or Spring. Prerequisite: MA 102 or equivalent. Group III"
BI 292: Introduction to Marine Mammals,"This course explores the biology and natural history of marine mammals in the North Atlantic, including whales, dolphins and seals. Topics include evolution, behavior, field identification, the history of whaling, and contemporary whaling issues. Demonstration laboratory work focuses on a small marine animal. One field trip on Massachusetts Bay is required. Fall. Prerequisites: BI 101and BI 103 or permission. Group: III"
BI 294: Marine Biology,"This lecture/lab course surveys the basic biology, behavior, and life history of marine biota, and reviews the physical aspects of various marine habitats from polar to tropical latitudes. The course focuses on the evolution of adaptive responses to the oceanic environment and the roles of the physical environment and species interactions in structuring marine communities. Laboratory activities include field trips and examination of specimens. Fall. Prerequisites: BI 101, BI 103, CH 110, or permission. Group: III"
BI 301: Advanced Cell Biology: Current Topics,"This course is an in-depth exploration of eukaryotic cell structure and function, and builds on the basic information presented in BI101 and BI103. The focus will be on the latest findings and their application in medicine and biological science. This course continues the biology program emphasis on learning how to read and interpret the appropriate level of research literature. The class is discussed based and each student presents a research paper in journal club format. Current cell biology research scientists are invited to lecture on special topics. A research paper is required. Fall or Spring. Prerequisites: Bi103, Bi206, CH200 (prerequisite or concurrent); or permission. Group III"
BI 330: Microbiology and Human Infectious Disease (5 credits),"Lectures and laboratory provide basic knowledge of the handling and understanding of microorganisms, including their characteristics, activities, distribution, and effects on the human body. Includes study of specific pathogenic organisms and diseases, as well as the bodys natural defense mechanisms and methods of disease prevention and treatment. Fall. Prerequisite: BI 101 or permission. Group III"
BI 345: Psychopharmacology: Drugs and Behavior,"Students are introduced to the biological effects of drugs on humans. All major drug classes are studied, with emphasis on those affecting the central nervous system and behavior. Students examine the actions, uses, limitations, and side effects of drugs. Prescription and over-the-counter, as well as herbal and illegal drugs are discussed. Offered Fall semester in alternate years. Prerequisite: BI 101 or PY 101 or permission. Group III"
BI 360: Introduction to Epidemiology,"This course introduces the basic principles and methods of epidemiology and the basic skills needed to interpret the epidemiological literature of medicine and public health. The course includes both lecture and seminar instructions; in the seminars, class discussion of cases illustrate the principles covered in the lectures. Offered Spring semester in alternate years. Prerequisite: BI 289. Group III"
BI 375: Principles of Genetics and Molecular Biology,"This course continues the study of genetic concepts begun in Bi101 and 102. It will focus on classical genetics and molecular genetics in both prokaryotic and eukaryotic systems. Topics will include transmission genetics, the cellular basis of heredity, linkage analysis, DNA structure and replication, the control of gene expression including epigenetics and RNA interference, and current applications of molecular biological techniques. Reading and analysis of the primary literature will be included in the course.Fall. Prerequisite: BI 102, BI 206 or equivalent or permission. Group: III"
BI 380: Pathophysiology: The Biological Basis of Disease,This upper-level course focuses on the disease process and on the structural and functional change inherent in the pathology of specific human diseases. Offered Spring semester in alternate years. Prerequisites: BI 205 and BI 206 or permission. Group III
BI 391: Biology of Whales,"This upper-level course examines the biology and conservation of cetaceans, whales, dolphins, and porpoises. Topics include physiology, population biology and life history analysis, molecular genetics, morphology, distributional ecology, and social behavior. Early lectures focus on the biology of cetaceans and how they are adapted to the marine environment. Later lectures use case studies to review how biological principles can be applied to the conservation of a wide range of cetacean species. Spring. Prerequisites: BI 101, BI103, and two upper-level biology courses. Group: III"
BI 392: Biology of Fishes,"This upper-level survey course covers the evolution, systematics, anatomy, physiology, and behavior of freshwater, marine, and anadromous fishes from temperate to tropical environments. The course also examines the diversity of fish interactions in aquatic communities: predator/prey relationships, host/symbiont interactions, and the various roles of fishes as herbivores. Study of inter- and intra-specific predatory-prey relationships among fish populations in aquatic communities integrates principles of ecology. Spring. Prerequisites: One year of general biology (BI101/103) and two upper-level biology courses. Group: III"
BI 393: Water Resources Policy and Management,"This course is a comprehensive introduction to the economics and ecology of water supply and water pollution control. Topics include watershed management, groundwater and wetlands protection, wastewater treatment, and coastal zone management. The inherent difficulty in applying static laws and regulations to a dynamic natural resource such as water is a recurring theme in the course. Fall. Prerequisites: BI 101, BI 103 plus two courses in biology or chemistry. Group: III"
BI 394: Coastal Zone Management,"This course presents a survey of the coastal environment, its physical characteristics, natural system economic uses, and development pressures. Lectures examine strategies formulated in the United States for land and water management in the coastal zone. The roles of federal, state, and local government, environmental groups, and resource users are also explored. Finally, by comparing coastal zone management problems in the United States with those elsewhere in the world, students gain a global perspective. Spring. Prerequisites: BI 101, BI 103 plus two courses in biology or chemistry. Group: III"
"BI 395: Wetlands: Ecology, Hydrology, Restoration","This course examines the vital role of wetlands in the hydrology and ecology of global landscapes. The function of inland and coastal marshes, swamps, and bogs, and their role in water and nutrient cycles will be examined. We will also survey the biodiversity of wetlands habitats, from microbes to vertebrates. The biological links between wetlands and human activities, such as agriculture, coastal development, and fisheries will be considered, as well as the legal framework for the protection and restoration of endangered wetlands. Fall. Prerequisites: One year of an introductory science (geology, chemistry, biology, physics or engineering, or economics); and two semesters of upperlevel (elective) science courses. Group: III"
BI 490: Senior Seminar in Biology,"The capstone of the major in Biology, the seminar explores a variety of current research topics, such as advances in the ultrastructure of cells, molecular biology of the cell, the current status of the immunoglobins, human pathophysiology, the biology of antiviral agents, the biololgy of cancer, and hormones and womens health. Topics vary to include areas of student interest and new research. Spring. Prerequisite: Senior status"
BI 495: Senior Internship in Biology (6 credits),"For 6 course credits, each student works 16 hours per week at a site chosen with regard to career intentions and the content of the Biology Program. Students keep a journal to examine experiences and their relationship to the program. Interns meet weekly to discuss common problems, experiences, and individual perceptions. Additional written assignments complement the discussions. Fall. Prerequisite: Senior status"
BI 496: Senior Internship in Biology II,"Extends and expands a Senior Internship, taking newly learned experience and implementing it at another site. Students work 16 hours per week at their site, keep a journal, meet weekly with their faculty sponsor, do relevant scholarly reading, and write a final paper integrating their internship, their readings, and classroom experience. Spring. Prerequisites: BI 495 and permission of the B.A.program director."
CH 100: Introductory Chemistry (4 Credits),"The course includes the following topics at introductory level matter: energy and measurement, atoms, balancing chemical Reactions, mole concept, solubility rules, chemical bonds, gases, . There is no lab component to this course. Summer. Prerequisite - No prior knowledge of the subject is assumed. Group: III. Note: CH 100 does not substitute for CH 110, a core course of the Biology Major. Students can take it as an elective."
CH 110: Principles of Chemistry I (5 credits),"This course introduces the standards for measurements, energy, and matter, the Periodic Table, atomic theory and structure, chemical bonds, mole concept, stoichiometry, and balancing chemical equations, Lewis structure and VSEPR, and gases. Problem-solving is stressed. A 3-hour laboratory complements lecture material. Fall. Prerequisite: MA 102 concurrently or the equivalent. Group: III, Scientific Understanding Thematic Area."
CH 120: Principles of Chemistry II (5 credits),"A continuation of CH 110, this course covers topics such as intermolecular forces, chemical kinetics, chemical equilibrium, oxidation-reduction, properties of solutions, acids and bases, and gases, electrochemistry, thermodynamics and nuclear chemistry. Problem solving is stressed. A 3-hour laboratory complements lecture material Spring. Prerequisite: CH 110 or permission. Group: III."
CH 200: Organic Chemistry I (5 credits),"This course offers an introduction to the stereochemistry and the study of different functional groups. Topics include the structure, synthesis and properties of alkanes, alkenes and alkynes, alkyl halides and alcohols. Also, the course introduces briefly benzene and its derivatives, the functional groups aldehydes, ketones and carboxylic acids. A 3-hour laboratory complements lecture material. Fall. Prerequisite: CH 120 or permission. Group: III."
CH 201: Organic Chemistry II (5 credits),"A continuation of CH 200. The course covers the structure, synthesis and properties of benzene and its derivatives, aldehydes, ketones and carboxylic acids. The course focuses on spectroscopy and some other functional groups such as amines, phenols, and heterocyclic compounds. A 3-hour laboratory complements lecture material. Alternate year spring. Prerequisite: CH 200. Group: III."
CH 301: Biochemistry of Macromolecules,"This course focuses on the structure and function of proteins, lipids, carbohydrates and nucleic acids. It also focuses on the role of enzymes in biological systems, enzyme kinetics, recombinant DNA technology and bioinformatics. Briefly covers replication, transcription and translation. Spring. 3-hour lab complements the lecture material. Prerequisite: BI 101, BI102, CH 120, and CH 200. Group: III."
CHC 100: Introduction to Community Health,"This course is designed to introduce the basic concepts of community health, including education, diversity, demography, and epidemiology as they apply to individuals in a given community over the life span. Students use, interpret, and analyze a variety of demographic and epidemiological information as they impact a given community. It is anticipated that students will work with communities in the Greater Boston area. Fall. Group: II or IDS"
CHC 200: Healthcare Policy,"Healthcare Policy provides an introduction to the political, social, and economic aspects of the healthcare system. The course will explore such topics as: How do corporations and insurance companies shape the healthcare provided? What are the roles of government in addressing healthcare needs of the community and the nation? How do medicine and science shape health policy? Who pays, and who benefits under varying healthcare reform proposals? Offered Spring semester in alternate years.Prerequisite: CHC 100, SPS 101 or permission. Group: II."
CHC 490: Senior Project in Community Health,"The capstone project of the Community Health major is a significant independent project designed to bring together the students learning and experiences. Projects address an important topic in community health. They may be completed with a community partner, or in response to a community need. The project will demonstrate the students mastery of the learning goals of the major, including the core skills of the community health professionanalysis, advocacy and assurance. Spring.Prerequisites: Senior Status.Group: II."
CHC 495: Senior Internship,"For 6 course credits, each student works 16 hours per week at a site chosen with regard to career intentions and the content of the Community Health Program. Students keep a journal to examine experiences and their relationship to the program. Interns meet weekly to discuss common problems, experiences, and individual perceptions. Additional written assignments complement the discussions. Fall.Prerequisite: Senior status"
CO 100: Introduction to Mass Communication,"This course explores mass communication in its myriad forms: newspapers, magazines, publishing, advertising, radio, television, cable, the recording industry, film, and newer forms of electronic communication.Group: IV."
CO 101: Public Speaking,"Students improve their ability to communicate through the composition and delivery of seven original speeches. Special attention is given to stage fright, audience analysis, organizing and developing content, and delivery.Group: IV."
CO 120: Introduction to Media Production,"This is an introductory, hands-on course in making Media. It covers program planning and basic production techniques. Students learn to use cameras, microphones, lighting, character generators, recorders, and a wide range of other equipment to create their own productions. Course participants build their skills by engaging in exercises done outside of class.Group: IV."
CO 201: Persuasive Speaking,"This course prepares students for speaking situations that demand persuasive speech: arguing solutions to problems, defending policies and procedures under attack, seeking changes in attitudes, beliefs, or behavior. We explore psychological, ethical, and logical appeals; evidence; and effective delivery through the preparation, presentation, and analysis of six major speeches.Group: IV."
CO 220: Concepts of Media Literacy,"Concepts of Media Literacy provides a broad introduction to theories and research describing the effectiveness and ethics of mainstream media messages, and what might be gained by a more nuanced understanding of how messages are created. Classes examine topics such as the psychology of visual interpretation, the uses and effects of various production variables (camera angle, montage, editing, etc.), genre functions and conventions in entertainment media, tools and processes of creating film and digital media, and viewers resistance to media effects. Satisfies the Industry & Culture elective requirement.Recommended for students who expect to take video production, photography, or visual design courses later.Group: IV."
