Category,Id,Description,Title
AE,4717,"This  course  provides  an  overview  of  the  processing  techniques  and  mechanical  behavior  of composite materials relevant to aerospace applications. Topics in this course may include: classification of composites; elasticity of composite materials; the effect of reinforcements on strength and toughness; bonding mechanisms of interfaces in composite; fabrication methods for polymer-matrix  composite  materials;  viscoelasticity  and creep of composites;  advanced composites materials (bio-composites, nano-composites).      Recommended background: Introductory level material science (ES 2001) and introductory level stress analysis (AE 2712, ES 2502 or equivalent). ",FUNDAMENTALS OF COMPOSITE MATERIALS
AE,4718,"Cat. I  This course covers topics on the design, fabrication and behavior of advanced materials used in structural and propulsion components of aerospace vehicles. The design, fabrication, and properties of polymer, metal and ceramic matrix composites used in aerospace structures are presented. The fabrication and behavior of aluminum and titanium alloys used in propulsion components as well as the processing and performance of Nickel-based superalloys are also presented. The fundamentals of coatings for high temperature oxidation, hot corrosion, and thermal protection are introduced.   Recommended background: Introduction to Materials Science (ES 2001), Stress Analysis (ES 2502 or equivalent).",ADVANCED MATERIALS WITH AEROSPACE APPLICATIONS
AE,4719,"Cat. I  This course provides a study of rocket propulsion systems for launch vehicles and spacecraft. Dynamics, performance and optimization of rocket-propelled vehicles are presented. Performance and component analysis of chemical and electric propulsion systems are covered including thermochemistry of bipropellant and monopropellant thrusters. Additional topics may include advanced propulsion concepts and propellant storage and feed systems.   Recommended background: compressible fluid dynamics (AE/ME 3410 or equivalent).",ROCKET PROPULSION
AE,4723,"The goal of this course is for students to develop, analyze, and utilize models of aircraft dynamics, and to study various aircraft control systems. Topics include: review of linear systems, longitudinal and lateral flight dynamics, simulation methodologies, natural modes of motion, static and dynamic aircraft stability, and aircraft control systems (such as autopilot design, flight path control, and automatic landing). Other topics may include: vertical take-off and landing (VTOL) vehicles and rotorcraft.       Recommended background: dynamics (ES 2503, PH 2201 or equivalent).",AIRECRAFT DYNAMICS AND CONTROL
AE,4733,"Cat. I  This course broadly covers methods and current enabling technologies in the analysis, synthesis and practice of aerospace guidance, navigation, and communication and information systems. Topics covered include: position fixing and celestial navigation with redundant measurements, recursive navigation, and Kalman filtering; inertial navigation systems, global position systems, and Doppler navigation; orbit determination; atmospheric re-entry; communication architectures, data rates, and communication link design; tropospheric and ionospheric effects on radio-wave propagation; pursuit guidance and ballistic flight.   Recommended background: Controls (AE/ME 3703, ES 3011 or equivalent).","GUIDANCE, NAVIGATION AND COMMUNICATION"
AE,4770,"This course introduces students to design of aircraft systems. Students complete a conceptual design of an aircraft in a term-long project. Students are exposed to the aircraft design process, and must establish design specifications, develop and analyze alternative designs, and optimize their designs to meet mission requirements. Students work together in teams to apply material learned in the areas of aerodynamics, structures and materials, propulsion, stability and control, and flight mechanics and maneuvers to the preliminary design of an aircraft. The project requirements are selected to reflect real-life aircraft mission requirements, and teams are required to design systems which incorporate appropriate engineering standards and multiple realistic constraints. The teams present their design in a final report and oral presentation.       Recommended background: fluid dynamics (ME 3410, ME 3602 or equivalent), subsonic aerodynamics (ME 3711 or equivalent), aerospace structures (AE 3712 or equivalent), airbreathing propulsion (AE 4710 or equivalent), aircraft dynamics and control (AE 4723 or equivalent).",AIRCRAFT DESIGN
AE,4771,"Cat. I  This course introduces students to design of spacecraft and missions. Students are introduced to the process of designing a spacecraft and major subsystems to meet a specific set of objectives or needs. In addition, students will learn about different spacecraft subsystems and what factors drive their design. Particular emphasis is given to propulsion, power, attitude control, structural and thermal control subsystems. Students work together in teams to apply material learned in the areas of orbital mechanics, space environments, attitude determination and control, space structures, and propulsion to the preliminary design of a spacecraft and mission. The project requirements are selected to reflect real-life missions, and teams are required to design systems which incorporate appropriate engineering standards and multiple realistic constraints. The teams present their design in a final report and oral presentation.   Recommended background: astronautics (AE 2713 or equivalent), rocket propulsion (AE 4719 or equivalent), spacecraft dynamics and control (AE 4713 or equivalent).",SPACECRAFT AND MISSION DESIGN
AREN,100X,This is a seminar-based course intended for First Year students seeking to understand the breadth of activities and technologies that comprise the Architectural Engineering discipline. The course studies the design of buildings through the historical evolution of construction technology over the last 25 centuries. It reviews the impact of technological advances on building design with a focus on the ways that these technologies have introduced specializations within the discipline.  The class meets once a week during the spring semester (C & D terms).,ARCHITECTURAL ENGINEERING: HISTORY AND PRACTICE
AREN,300X,"The course introduces the fundamentals of sound, its sources and propagation. The subjective and objective scales of measurement and laws of psychophysics are covered. The relationship between sound and listener in different settings, outdoor, indoor and adjacent rooms, is explored. These settings provide comprehensive coverage of the principles relevant to architectural and building acoustics. The course addresses the design of acoustic spaces, such as conference rooms, classrooms, lecture halls, music halls, theaters, and churches. It covers the selection and determination of appropriate spatial and temporal acoustic measures, such as background noise levels, reverberation time and speech transmission index. The second part of the course focuses on noise control at high and low frequency; effects of noise and vibration on humans and buildings; design of noise control systems; calculation of airborne and impact sound insulation and noise and vibration control applications to enclosed spaces, such as residential units, offices, schools and mechanical rooms.  This course can be used to satisfy the distribution requirement in Building Mechanical Systems for an Architectural Engineering major.   Recommended background: No special background required ",BUILDING AND ARCHITECTURAL ACOUSTICS
AREN,2002,"This course aims to develop an understanding of the architectural design process as an activity based upon observation, critical inquiry, and communication. Through a series of design exercises, this course aims to teach the basic architectural design skills needed for the creation of spaces that respond to human needs in terms of materiality, use, and scale. Graphic means for communicating and exchanging design content will be taught alongside the design exercises and as an integral part of the design process. The course covers the following topics: Nature of design, siting and context, human scale, architectural drawings (plans, elevations and cross sections), isometric projections and detail drawings This is a studio course that uses modeling software, hand drawings, and physical model making. Recommended background: AREN 2023  Suggested background: CE 3030 ",ARCHITECTURAL DESIGN I
AREN,2023,"Cat. I  The objective of this course is to introduce the functional parts and systems that make up a building as well as their interactions in delivering required sustainable performance. It encompasses foundations, structures, building enclosures, heating and air conditioning, electrical, plumbing and fire safety systems as well  as concepts of building performance and aspects of pertinent building codes and standards. This course, in addition, incorporates basic principles of building  science and green construction.",INTRODUCTION TO ARCHITECTURAL ENGINEERING SYSTEMS
AREN,2025,"Cat. I The principles of electrical system design in buildings are introduced in this course. Starting with an overview of electrical fundamentals and related laws, it covers circuit design, power distribution and service equipment, communication systems and special electrical systems that meet the requirements of the national electric code as well as building occupants. Other topics include single-phase and three-phase circuits, electrical and lighting loads, panel-board design, switching, system sizing, grounding, fault calculations, and over-current protection. The design criteria and calculation procedures for developing simple layouts of building electrical systems are illustrated. Work includes study of applicable NFPA 70 (NEC) and related building codes.      Recommended background: electricity and magnetism (PH 1120/1121 or equivalent) ",BUILDING ELECTRICAL SYSTEMS
AREN,3001,"Cat. I  With this course, students develop an understanding of the architectural design process and the graphic means for communicating and exchanging design  content during the execution of a building project. The course covers the  following topics: Nature of design (problems, solutions and process), building  siting and orientation aimed at reducing energy requirements, architectural  drawings (plans, elevations and cross sections), isometric projections and detail  drawings. Most of these topics build upon the systematic use of electronic  modeling software. This course is lab oriented.  Recommended background: AREN 2023. ",ARCHITECURAL GRAPHICS AND COMMUNICATION
AREN,3002,"Cat. I  This course is a continuation of AREN 3001, and is designed to further the  student?s knowledge in the process of architectural design through the studies of  ideas, principles and methods of design. The concepts are explored with the  completion of a project, including a residential or a commercial project, which  at its completion, will be reviewed by invited guest critics. The course  emphasizes the development of form, space, spatial relationships, materials, and  architectural presentation techniques through the use of computer graphics. It  introduces principles of passive approaches to reduce energy consumption. It  also covers building codes in the design process.  Recommended background: AREN 3001. ",ARCHITECTURAL DESIGN
AREN,3003,"Cat. I  The course introduces principles and applications of mechanical systems that are required for environmental comfort, health, and safety of building occupants  with a focus on energy efficiency and conservation. Topics include psychometrics,  thermal comfort, building heating and cooling loads, fluid flow basics,  HVAC components and systems, building envelop heat transfer, and energy requirements. In the course, students develop the ability to design and conduct computational modelling experiments and to analyze and interpret output data  for selection between system alternatives in order to optimize energy use. Recommended background: Thermodynamics.",PRINCIPLES OF HVAC DESIGN FOR BUILDINGS
AREN,3004,"Cat. I Introduction to the energy efficiency analysis and design of electrical and illumination systems in buildings. Topics include AC, DC, single-phase and three-phase circuits, transients, electrical and lighting loads, branch circuits, panel-boards, switching, system sizing, grounding, fault calculations, over-current protection, and design and specification of emergency power backup and alternative power systems. Provides general introduction to the visual environment, including subjective and objective scales of measurement, visual perception, photometry, brightness, luminance, illumination, natural and artificial lighting. Design problems, field measurements, computer, and other models will be used to explore major topics and energy savings options. Work includes study of applicable NFPA 70 (NEC) and related building codes. Recommended  background: ECE 2010.",BUILDING ELECTRICAL AND LIGHTING SYSTEMS
AREN,3005,"Cat. I This course focuses on the design of illumination systems in buildings. It provides a general introduction to the visual environment, including subjective and objective scales of measurement, visual perception, photometry, brightness, luminance, illumination, natural and artificial lighting. Other topics include photometric units, light sources, daylight luminaries, lighting quality, light loss factors, average luminance calculations (lumen method), point-by-point calculations, performance impacts, and ethics. Field measurements and computer simulations are used to explore some major aspects of architectural illumination systems. Design problems are solved by considering economic evaluation, energy saving criteria and applicable standards and building codes.      Recommended background: electrical systems (AREN 2025 or equivalent)",LIGHTING SYSTEMS
AREN,3006,"Cat. I   Analysis of heating and cooling load requirements, considering building construction type, geometry, infiltration, occupancy effects, and daily load variations. Heating design addresses water heating systems, electrical heating, central heating, heating of low and high-rise buildings, selection of heaters,  boilers, pumps, piping design. Cooling design addresses refrigerants, refrigeration  cycle, evaporator, compressor, condenser, thermostatic expansion valves,  refrigeration system control equipment, motor and motor control equipment,  refrigeration accessories, calculation of refrigeration piping and absorption  systems. Computer applications for heating and cooling load analysis will be  introduced to develop energy saving solutions. Analytical techniques and  building codes are discussed through case studies and design projects.   Recommended background: AREN 3003, ES 3004. ",ADVANCED HVAC SYSTEM DESIGN
AREN,3024,"Cat. I The course introduces the principles of building physics, as they are applied to various building design situations and performance requirements. Covered topics include heat transfer, moisture control, condensation, cold bridging, external and internal gains, and air flows, as they pertain to building envelopes (external walls, windows and doors, and roofs) and the requirements of environmental comfort of space occupants. Design exercises take into account pertinent building and energy codes as well as comfort standards. The course gives students the tools to integrate engineering science fundamentals and physics principles in developing building design solutions. Thermal measurements in building components are performed.      Recommended background: thermodynamics and heat transfer (ES 3001, ES 3003 or equivalent).",BUILDING PHYSICS
AREN,3025,"Cat. I The course addresses the basic principles of building energy simulation, with a focus on the practical applications of building energy simulation tools to building design. Topics being covered include various model input parameters such as building geometry, orientation, climate, comfort, zoning, material properties, operation schedules, and HVAC systems. Building energy simulation software packages are illustrated and applied to the analysis of various case studies of buildings. Simulation output results are critically analyzed and compared to the results obtained from other building energy calculation methods.      Recommended background: building physics (AREN 3024 or equivalent)",BUILDING ENERGY SIMULATION
AREN,3026,"Cat. I The course presents the basic principles of building envelope design, focusing primarily on its functional performance requirements and practical constructability aspects. Various building envelope systems are discussed and analyzed through case studies. Lecture topics include facade and roofing systems made of masonry, stone, concrete, timber, glass, and various metals. In addition, more complex building envelope strategies such as double skin facades, passive solar design, and building automation approaches, are discussed. The course includes design exercises and a case study project.      Recommended background: architectural engineering systems and architectural drafting (AREN 2023, AREN 3001 or equivalent) ",BUILDING ENVELOPE DESIGN
AS,1001,"Cat. I (1/9 unit)   The AS 1000 sequence of courses are designed to introduce students to the  United States Air Force and Air Force Reserve Officer Training Corps. Featured  topics include mission and organization of the Air Force, officership and  professionalism, Air Force officer opportunities, military customs and courtesies,  and an introduction to communication skills.  The first course focuses on the foundation of officership and customs and  courtesies.  The course includes one hour of class work and two hours of mandatory  leadership laboratory per week. The AS 1001 Leadership Laboratory includes a  study of Air Force customs and courtesies, drill and ceremonies, and military  commands.",THE FOUNDATIONS OF THE UNITED STATES AIR FORCE I
AS,1002,"Cat. I (1/9 unit)   The AS 1000 sequence of courses are designed to introduce students to the  United States Air Force and Air Force Reserve Officer Training Corps.   A continuation of AS 1001, the second course in this series emphasizes those  communication skills needed in today?s Air Force. It describes the communication  systems as well as discusses common barriers and enhancements to effective  communications.  The course includes numerous speaking and written exercises  using current Air Force topics. The course includes one hour of class work and two hours of mandatory  leadership laboratory per week. The AS 1002 Leadership Laboratory includes a  study of Air Force customs and courtesies, drill and ceremonies, and military  commands.",THE FOUNDATIONS OF THE UNITED STATES AIR FORCE II
AS,1003,"Cat. I (1/9 unit)   The AS 1000 sequence of courses are designed to introduce students to the  United States Air Force and Air Force Reserve Officer Training Corps.   A continuation of AS 1002, the course outlines the origin of the Air Force and  the organizational structure of the Air Force with a focus on the missions of select military organizations. The basic history of the United States military is studied in order to appreciate how military history impacts the Air Force today. Written and oral communication skills are practiced.   The course includes one hour of class work and two hours of mandatory  leadership laboratory per week. The AS 1003 Leadership Laboratory includes a  study of Air Force customs and courtesies, drill and ceremonies, and military  commands.",THE FOUNDATIONS OF THE UNITED STATES AIR FORCE III
AS,1004,"Cat. I (1/9 unit)   The AS 1000 sequence of courses are designed to introduced students to the  United States Air Force and Air Force Reserve Officer Training Corps.   The final course in the AS 1000 sequence, it introduces students to the Air Force installation and her sister services. Written and oral communication skills  are practiced.   The course includes one hour of class work and two hours of mandatory leadership laboratory per week. The AS 1004 Leadership Laboratory includes a study of Air Force customs and courtesies, drill and ceremonies, and military  commands.",THE FOUNDATIONS OF THE UNITED STATES AIR FORCE IV
AS,2001,"Cat. I (1/9 unit)   The AS 2000 sequence of courses are designed to examine general aspects of air and space power through a historical perspective. Utilizing this perspective, the  course covers a time period from the first balloons and dirigibles to the space-age global positioning systems of the Persian Gulf War. Historical examples are  provided to extrapolate the development of Air Force capabilities (competencies),  and missions (functions) to demonstrate the evolution of what has become  today?s USAF air and space power. As a whole, the AS 2000 sequence of courses  provides the student with a knowledge level understanding for the general  element and employment of air and space power.   The first course covers the factors leading to the early development of air  power through the use of air power during World War II. The development of  oral and written communication skills is continued from the AS 1000 classes.  The course includes one hour of class work and two hours of mandatory  leadership laboratory per week. The AS 2001 Leadership Laboratory continues a  study of Air Force customs and courtesies, drill and ceremonies, military  commands, and preparation for Field Training.",THE EVOLUTION OF USAF AIR AND SPACE POWER I
AS,2002,"Cat. I (1/9 unit)   The AS 2000 sequence of courses are designed to examine general aspects of air  and space power through a historical perspective. The second course in the series  continues with the development of air power from World War II through the  development of the Intercontinental Ballistic Missile.   The course includes one hour of class work and two hours of mandatory  leadership laboratory per week. The AS 2002 Leadership Laboratory continues a  study of Air Force customs and courtesies, drill and ceremonies, military  commands, and preparation for field training.",THE EVOLUTION OF USAF AIR AND SPACE POWER II
AS,2003,"Cat. I (1/9 unit)   The AS 2000 sequence of courses are designed to examine general aspects of air  and space power through a historical perspective. The third course in the series  begins with a study of air power in the Vietnam war through the Gulf war. Oral  and written communications skills will be practiced.   The course includes one hour of class work and two hours of mandatory  leadership laboratory per week. The AS 2003 Leadership Laboratory continues a  study of Air Force customs and courtesies, drill and ceremonies, military  commands, and preparation for field training.",THE EVOLUTION OF USAF AIR AND SPACE POWER III
AS,2004,"Cat. I (1/9 unit)   The AS 2000 sequence of courses are designed to examine general aspects of air  and space power through a historical perspective. The course examines several  fundamental truths associated with war in the third dimension: e.g. Principles of  War and Tenets of Air and Space Power. As a whole, this course provides the  students with a knowledge level understanding for the general element and  employment of air and space power from an institutional, doctrinal and  historical perspective. In addition, the students will continue to discuss the  importance of the Air Force Core Values with the use of operational examples  and historical Air Force leaders and will continue to develop their communication  skills. The final course in the series explores the future of the Air Force  through 2025.   The course includes one hour of class work and two hours of mandatory  leadership laboratory per week. The AS 2004 Leadership Laboratory continues a  study of Air Force customs and courtesies, drill and ceremonies, military  commands, and preparation for field training.",THE EVOLUTION OF USAF AIR AND SPACE POWER IV
AS,3001,"Cat. I (1/6 unit)   The AS 3000 sequence of courses is a study of leadership, management  fundamentals, professional knowledge, Air Force personnel and evaluation  systems, leadership ethics, and communication skills required of an Air Force  junior officer. Throughout the courses, case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of concepts being studied.   The first course explores different styles of leadership, followership, and  management functions.  The course includes three hours of class work and three hours of mandatory leadership laboratory per week. The AS 3001 Leadership Laboratory complements  the classroom work by providing advanced leadership experiences in  officer-type activities and giving students the opportunity to apply leadership  and management principles.",AIR FORCE LEADERSHIP STUDIES I
AS,3002,"Cat. I (1/6 unit)   The AS 3000 sequence of courses is a study of leadership, management  fundamentals, professional knowledge, Air Force personnel and evaluation  systems, leadership ethics, and communication skills required of an Air Force  junior officer. The second course studies various aspects of leadership, conflict  management, counseling, and supervision.   The course includes three hours of class work and three hours of mandatory  leadership laboratory per week. The AS 3002 Leadership Laboratory complements  the classroom work by providing advanced leadership experiences in  officer-type activities and giving students the opportunity to apply leadership  and management principles.",AIR FORCE LEADERSHIP STUDIES II
AS,3003,"Cat. I (1/6 unit)   The AS 3000 sequence of courses is a study of leadership, management  fundamentals, professional knowledge, Air Force personnel and evaluation  systems, leadership ethics, and communication skills required of an Air Force  junior officer. The third course emphasizes team building, process improvement,  and military ethics.  The course includes three hours of class work and three hours of mandatory  leadership laboratory per week. The AS 3003 Leadership Laboratory complements  the classroom work by providing advanced leadership experiences in  officer-type activities and giving students the opportunity to apply leadership  and management principles.",AIR FORCE LEADERSHIP STUDIES III
AS,3004,"Cat. I (1/6 unit)   The AS 3000 sequence of courses is a study of leadership, management  fundamentals, professional knowledge, Air Force personnel and evaluation  systems, leadership ethics, and communication skills required of an Air Force  junior officer. The final course explores officer professional development, and personnel and evaluation systems including practical exercises.   The course includes three hours of class work and three hours of mandatory  leadership laboratory per week. The AS 3004 Leadership Laboratory complements the classroom work by providing advanced leadership experiences in  officer-type activities and giving students the opportunity to apply leadership  and management principles.",AIR FORCE LEADERSHIP STUDIES IV
AS,4101,"Cat. I (1/6 unit)   The AS 4000 sequence of courses examines the national security process,  regional studies, advanced leadership ethics, and Air Force doctrine. Special  topics of interest focus on the military as a profession, officership, military justice, civilian control of the military, preparation for active duty and current issues affecting military professionalism. Throughout the AS 4000 sequence of courses, briefing and writing exercises will be accomplished with emphasis on refining communication skills.   The first course examines in depth the national security process, principles of  war and the Air Force major commands.  The course includes three hours of class work and three hours of mandatory  leadership laboratory each week. The AS 4101 Leadership Laboratory  complements the classroom work by providing advanced leadership experiences  in officer-like activities and giving the students the opportunity to apply  leadership and management principles.",NATIONAL SECURITY AFFAIRS I
AS,4102,"Cat. I (1/6 unit)   The AS 4000 sequence of courses examines the national security process,  regional studies, advanced leadership ethics, and Air Force doctrine. The second  course provides a detailed examination of Air Force doctrine including a study of  the joint doctrine and the roles of the other military services.   The course includes three hours of class work and three hours of mandatory  leadership laboratory each week. The AS 4102 Leadership Laboratory  complements the classroom work by providing advanced leadership experiences  in officer-like activities and giving the students the opportunity to apply  leadership and management principles.",NATIONAL SECURITY AFFAIRS II
AS,4103,"Cat. I (1/6 unit)   The AS 4000 sequence of courses examines the national security process,  regional studies, advanced leadership ethics, and Air Force doctrine. The third  course provides an extensive study of alliances and regional security issues, including international peacekeeping and terrorism. Continued attention is  given to developing the research and communications skills necessary to be  successful as junior officers.   The course includes three hours of class work and three hours of mandatory  leadership laboratory each week. The AS 4103 Leadership Laboratory  complements the classroom work by providing advanced leadership experiences  in officer-like activities and giving the students the opportunity to apply  leadership and management principles.",NATIONAL SECURITY AFFAIRS III
AS,4104,"Cat. I (1/6 unit)   The AS 4000 sequence of courses examines the national security process,  regional studies, advanced leadership ethics, and Air Force doctrine. The final  course in the series examines officership, the military justice system, social responsibilities, current issues affecting the military profession, and various  factors that will facilitate a smooth transition from civilian to military life.   The course includes three hours of class work and three hours of mandatory  leadership laboratory each week. The AS 4104 Leadership Laboratory  complements the classroom work by providing advanced leadership experiences  in officer-like activities and giving the students the opportunity to apply  leadership and management principles.",PREPARATION FOR ACTIVE DUTY
GE,2341,"Cat. I   Students of this course will examine the fundamental principles of physical geology including the materials, structures, and surface features of the earth and the processes which produced them. Emphasis will be placed on the interrelationship  of people and environment and applications to various fields of technology. The course includes field trips and a significant laboratory  component.",GEOLOGY
BB,100X,"Life scientists are generating huge amounts of data on many different scales, from DNA and protein sequence, to information on biological systems such as protein interaction networks, brain circuitry, and ecosystems.  Analyzing these kinds of data requires quantitative knowledge and approaches using computer science and mathematics.  In this project-based course, students will use case studies to learn about both important biological problems and the computational tools and algorithms used to study them.  Students will study a sampling of topics in the field, including such areas as complex disease genetics, analysis of a flu epidemic, investigating antibiotic resistance, and understanding the behavior of swarms, such as schooling fish.  Computational tools explored will include both freely-available web-based tools as well as guided programming using Python.      Recommended background: High school biology. Programming experience is not required.",EXPLORING BIOINFORMATICS AND COMPUTATIONAL BIOLOGY
BB,290X,"Students in this course will become part of a national crowd sourcing initiative to isolate and identify novel  bacteriophage.  Students will design experiments to initially isolate phage (bacterial viruses) from environmental samples they have collected, then characterize and determine their DNA sequence. The DNA sequences will be used in the follow-on bioinformatics course BB 351X Phage Hunters: The Analysis.  Students in this course will make significant contributions to the field of genomics while gaining skill in the process of scientific inquiry, including hypothesis generation and testing, and practice in common microbiologic techniques.       Recommended background: A working knowledge of biotechnology or microbiology (BB 1035 or BB 2002, or equivalent).      Students enrolled in this course in AY 2015/16 must also enroll in BB 350X.  ",MICROBES TO MOLECULES: CROWD SOURCING NOVEL ANTIBIOTIC DISCOVERY
