Course Title,Course Description,Course Area,Credit,Course Num
 Arts Humanities Social Sciences Capstone Preparatory Workshop ,"This course offers the opportunity to begin researching your proposed AHS Capstone project topic, plan logistics, and write a proposal prior to enrolling in the AHS Capstone project. Students will work on a series of tasks throughout this semester in an independent manner, and can solicit feedback from other students in this course, Capstone teaching assistants, and Capstone teaching staff. Tasks include identification of the project area/topic and mentor, production of a partial annotated bibliography (that contextualizes each source with respect to one or more scholarly disciplines), and a detailed Capstone proposal (which includes a project statement, thesis, plan of work, etc.).",AHSE,"
1 AHSE",3190
" Special Topics in Arts, Humanities and Social Sciences ","Special Topics in Arts, Humanities and Social Science classes (AHSE X199) typically cover a specific topic in Arts, Humanities and Social Science and are intended to enhance and expand the selection of offerings from semester to semester.",AHSE,"
Variable Credits AHSE",3199
 New Technology Ventures  ,"3. To introduce students to a variety of technology entrepreneurs. Case studies are used as tools for discussion, and are augmented with readings and guest speakers. The core project for this course will be the development of a technology based business plan. Students will form teams to explore a business opportunity, and develop a business plan and investor presentation.",AHSE,"
4 AHSE",3510
 Special Topics in Business and Entrepreneurship ,"The objectives of this new course are to engage in the process of real-world innovation and to learn how to legally protect innovative solutions. The course begins with an overview of the types of intellectual property protection available in the United States for inventive products and processes. Students will design their own solutions to technical problems during the first few weeks of the course, or will come to class with a significant product/process innovation already in mind. With guidance from the instructor, students will work individually or in small groups to research the prior art and then prepare the text and drawings for utility patent applications for their own inventions. The final exam for the class will be the e-filing of utility patent applications with the U.S. Patent and Trademark Office. Readings include prior art patents and articles relevant to student inventions, select portions of US laws and regulations relating to patents, and a 20-page poem about the life and work of an inventor from the1800s, Antonio Meucci. If you would like more details about the class, or have questions about whether this class is right for you, please email the instructor at dianecovello@sbcglobal.net.",AHSE,"
Variable Credits AHSE",3599
 Arts Humanities Social Sciences Capstone Project ,"The AHS Capstone is an advanced, self-designed AHS project that builds upon a student's prior experience in one or more AHS disciplines. Students concentrating in the Arts, Humanities and Social Sciences must complete either a 12 credit concentration or an 8 credit concentration with an AHS Capstone in order to graduate. AHS Capstones must be proposed to the AHS Committee and approved by the end of the academic year prior to the Capstone except in extenuating circumstances. Additional information on the AHS Capstone is available at http://ahs.olin.edu/. AHS Capstone students will complete a proposal, a journal, a disciplinary deliverable, an analysis of their deliverable, and a presentation. Class sessions will vary between meetings of the entire class, small group workshops, and individual meetings. Olin strongly recommends that all AHS Capstone students first complete the AHS Capstone Preparatory Seminar. Please contact the AHS Committee at ahs@olin.edu with any questions.",AHSE,"
4 AHSE",4190
" Special Topics in Arts, Humanities and Social Sciences ","Special Topics in Arts, Humanities and Social Science classes (AHSE X199) typically cover a specific topic in Arts, Humanities and Social Science and are intended to enhance and expand the selection of offerings from semester to semester.",AHSE,"
Variable Credits AHSE",4199
" The Digital Eye: Photography, Vision, and Visual Communication ","We live in a world that is fundamentally visual and yet formal teaching and learning about visual communication is almost entirely reserved for specialists. Similarly learning about the evolution of vision and the molecular foundations of human vision are not often dealt with in introductory biology courses. This course seeks to remedy the lack of engagement with these topics at the foundational course level. In this studio-based project-oriented course students will develop an understanding of what it takes to make original art through first-hand experiences in a supportive environment. As a means to this end, students will gain facility with digital single- lens reflex (DSLR) cameras, digital photo editing and printing methods using state-of-the-art equipment.  As this is an AHS foundation course students will also have an opportunity to further develop writing communication skills and critical thinking ability. The course will also address the history of photography, consider the work of a number of contemporary fine art photographers and answer the question ""Why has photography changed everything?""",AHSE,"
4 AHSE",1135
 Entrepreneurship Capstone  ,"The Entrepreneurship Capstone is an advanced, intensive experience designed to complete a student's undergraduate study of entrepreneurship. The Entrepreneurship Capstone is designed as a seminar that enables students to interact with an experienced entrepreneur in order to accomplish three objectives. First, students will spend the majority of the semester focused on an individual project, the goal of which is expertise in a particular entrepreneurial or business topic. These projects are defined by each student in collaboration with the instructor, and are expected to include a substantial educational component that builds knowledge and expertise throughout the course of the semester. Second, students will undertake one or two assigned projects to strengthen their understanding of entrepreneurship. For example, this may involve an assigned paper/presentation and a community outreach project. Third, students will have the chance to fill knowledge gaps regarding the theory and practice of entrepreneurship. Please contact the instructor with any questions about the course or prerequisites.",AHSE,"
4 AHSE",4590
 Special Topics in Engineering  ,"Mechatronics involves the synergistic integration of mechanical engineering with electronics and intelligent computer control in the design of products. In this course, we will develop topics critical to the engineering of modern mechatronic systems including electromechanical actuators (e.g., DC motors, stepper motors, and solenoids), practical electronics design including interfacing sensors and actuators to embedded processors, and embedded software design in the C programming language. During the first part of the course, students will work in small groups on a series of miniprojects to gain experience with course concepts and develop core engineering competencies. During the second part of the course, students will work in teams to engineer a mechatronic system of their choosing subject to realistic constraints.",ENGR,"
Variable Credits ENGR",3199
 Sustainable Design  ,"This course provides a comprehensive overview of sustainable product design. Emphasis is placed on learning and using green design principles, methods, tools and materials. Examples include life cycle assessment, eco-efficiency and eco-effectiveness. A system perspective highlighting material and energy flows over the complete product life cycle is used to structure course material. Students complete substantial reading, investigate existing products and develop their own product ideas.",ENGR,"
4 ENGR",3210
 Human Factors and Interface Design ,"A hands-on exploration of the design and development of user interfaces, taking into account the realities of human perception and behavior, the needs of users, and the pragmatics of computational infrastructure  and application. Focuses on understanding and applying the lessons of human interaction to the design of usable computer applications; will also look at lessons to be learned from less usable systems. This course will mix studio (open project working time) and seminar (readings and discussion) formats.",ENGR,"
4 ENGR",3220
 Investigating Normal: Adaptive and Assistive Technologies ,"Assistive technologies usually refer to prosthetics and medical aids: tools, devices, and other gear that either restore or augment the functioning of body parts. Historically, these have been designed for people with diagnosable disabilities. In this course, we look at medical as well as cultural tools that investigate the 'normal' body and mind, and we design our own devices high-tech, low-tech, digital or analog with these ideas in mind. Through readings, site visits, guest speakers, and projects, we investigate both traditional and unusual prosthetics and assistive technologies, broadly defined. We talk to end-users, to engineers and industrial designers, to artists, and to others whose technologies assist with visible and invisible needs, externalize hidden dynamics, and create capacities far beyond or outside ordinary functionality. The course is organized to facilitate both functional projects in design-engineering and projects that are much more speculative and experimental.",ENGR,"
4 ENGR",3230
 Integrated Product Design  ,"You will work with industrial design students from the Massachusetts College of Art and Design (in Boston) and business students from Babson College to develop new products through a project sponsored by a company. Projects have an Internet of Things (IOT) theme that is informed by contexts chosen by students, such as food, recreation, health, and education. Students learn first hand about the techniques and contributions different disciplines bring to product design and practice cross-functional collaboration common in professional design settings. Multiple guest speakers from local product design companies provide first-hand insight into this practice. This course provides valuable preparation for students interested to work in design firms, such as Continuum, IDEO, Frog, Altitude and Essential to name a few, or develop and launch their own consumer products. Class will be held once a week and rotate among all three campuses. Babson students should enroll in MOB 3578. Wellesley students should cross-register into this course and not MOB 3578 at Babson.",ENGR,"
4 ENGR",3250
 Design for Manufacturing  ,"Design for Manufacturing will build the specialized design skills needed to professionally redesign a prototype in order to meet target price, reliability and functionality goals, whether the final market requires a single unit per year (i.e. space systems, like satellites) or fifty thousand units a week (i.e. consumer products).  This course will be heavily team and project based and will involve the re-design for manufacture of several products, devices and services at the discretion of the instructor. The overall course projects will incorporate a significant mechanical, electronic and software components (but perhaps not all three in any one project) and will be drawn widely from the consumer, industrial, and sustainable market sectors. Course will potentially involve field trips to manufacturing facilities and invited ""DFM "" lecturers as appropriate to support the particular projects offered in a given semester.",ENGR,"
4 ENGR",3260
" Real Products, Real Markets  ","This course is intended to completely re-imagine the product design + entrepreneurship process. Each participant in the course will imagine, design, prototype, test, market and sell a product in the span of the semester. The products and customers will be real. A key measure of success will be the number of products successfully sold and shipped to complete strangers. To achieve these lofty goals, we will have to explore, understand and analyze each element of existing processes with an eye towards exploiting best practices, redesigning them when relevant and, if needed, creating processes anew.",ENGR,"
4 ENGR",3270
 Affordable Design and Entrepreneurship ,"This course is part of the ADE Program that also includes placement assistance to help students find internship and job opportunities in social enterprise. ADE is offered jointly with Babson College where students enroll in EPS 4515. Olin students can elect ADE as an alternative to the SCOPE Program to fulfill the Capstone requirement by registering for ENGR 4290 for two consecutive semesters beginning in the second semester of their junior year or the first semester of their senior year. They cannot change programs once they have completed registration. Alternatively, students can take this course for one semester to fulfill the Design Depth requirement by registering for ENGR 3290. Students who take ENGR 3290 can switch to ENGR 4290 for Capstone credit.",ENGR,"
4 ENGR",3290
 Special Topics in Design Engineering ,"Assistive technologies usually refer to prosthetics and medical aids: tools, devices, and other gear that either restore or augment the functioning of body parts. Historically, these have been designed for people with diagnosable disabilities. In this course, we look at medical as well as cultural tools that investigate the normal body and mind, and we design our own deviceshigh-tech, low-tech, digital or analogwith these ideas in mind. Through readings, site visits, guest speakers, and projects, we investigate both traditional and unusual prosthetics and assistive technologies, broadly defined. We talk to end-users, to engineers and industrial designers, to artists, and to others whose technologies assist with visible and invisible needs, externalize hidden dynamics, and create capacities far beyond or outside ordinary functionality. The course is organized to facilitate both functional projects in design-engineering and projects that are much more speculative and experimental.",ENGR,"
Variable Credits ENGR",3299
 Culture & Difference: An Anthropological Approach ,"This course introduces students to key concepts and methods in cultural anthropology. Cultural anthropology is the study of how humans organize their lives as members of society, and the ways in which they make these lives meaningful. Through readings on such diverse topics as adolescence in Samoa, epilepsy among Hmong-Americans, and McDonald's in Hong Kong, this course will explore contemporary anthropological approaches to three central questions: 1) What is culture? 2) Does ""culture"" explain why people do what they do and believe what they believe? 3) What fate and value do cultural differences have in today's interconnected world?",AHSE,"
4 AHSE",1140
 Transport Phenomena  ,"This course introduces the basic physics and applications of the transport of heat, mass, and momentum. Topics in fluid dynamics include kinematics, conservation laws, dynamic similarity, and laminar flow solutions. Topics in heat and mass transfer include internal and external convection, free convection, boiling and condensation, and the analogy between heat and mass transport.  Applications in aerodynamics, geophysical flows, manufacturing processes, and biological systems will be discussed.",ENGR,"
4 ENGR",3310
 Mechanical Design  ,"This course integrates basic mechanical sciences for application to machine design. Topics include stress, strain, deflection, stiffness, and failure of mechanical components including springs, bearings, gears, shafts and axles; steady and time-dependent loading; mechanical fastening and joining; and power transmission. Techniques for quantitative analysis and design optimization are introduced. The material of this course significantly draws and builds upon the concepts presented in ENGR 2320.  Students will carry out a major design project. ",ENGR,"
4 ENGR",3330
 Dynamics of Mechanical and Aerospace Structures ,"Fundamental techniques for the analysis of the dynamic behavior of mechanical and aerospace structures are studied through case projects that involve both computational analysis and experimental measurements. Topics will be selected from areas such as vibration analysis, flexible body dynamics, aerodynamics, and aero-elasticity. Projects may include the design and construction of vibration absorbers or energy harvesting systems, the dynamics and stability of aerospace vehicles, lift and drag of airfoils, or flutter instability of elastic structures.",ENGR,"
4 ENGR",3340
 Mechanical and Aerospace Systems  ,"A student team will work in the manner of a small engineering research and development company to develop a mechanical or aerospace system to address a current market need. A comprehensive system design will be developed based upon quantitative analysis using commercial simulation software. Prototype systems will be fabricated, evaluated and refined to meet requirements, specifications, and performance objectives. ",ENGR,"
4 ENGR",3345
 Controls  ,"This course explores the techniques for changing the dynamics of a system using feedback control.  The first portion of the course covers methods for analyzing the open-loop dynamics of generic systems in the frequency-domain (transfer functions) and time-domain (state-space equations). Then we will develop feedback techniques for shaping the system response. Students completing this course will have the analytical tools for controller design (both classical and modern) as well as a fundamental understanding of the concepts behind feedback control (stability, performance, controllability, observability, etc.). Students will have ample opportunity to experiment with control design by implementing their own designs in analog and digital hardware. Examples from field robotics, aircraft, and intelligent-structures will be used for both in-class and hands-on demonstrations.",ENGR,"
4 ENGR",3370
 Fundamentals of Robotics  ,"This course encompasses the fundamentals of perception, sensors, computer vision, navigation, localization, actuation, manipulation, mobility (e.g., walk, swim, roll, crawl, fly), and intelligence (e.g., control, planning, and mission execution). The course is built around the review and discussion of seminal technical papers in the robotics field with guest lecturers both from various Olin faculty and from external leaders in the robotics community. There is a significant project component to help solidify key concepts.",ENGR,"
4 ENGR",3390
 Robotics Systems Integration  ,"Previous projects include: the design of a robot arm and vision system that plays checkers against human opponents; the design of closed-loop-controlled unmanned ground vehicles to autonomously circumnavigate the Olin Oval, and the design of an intelligent assembly system for autonomous processing of multi-well bio-assay trays.",ENGR,"
4 ENGR",3392
 Special Topics in Mechanical Engineering ,"The first bicycles appeared nearly two centuries ago and there are about 1 billion bicycles in the world today. Since their appearance, bicycles have been studied by a number of well-known scientists and mathematicians. Despite their long history, the dynamics of the bicycle are still studied and the mechanisms for stability are continually debated. In this course we will begin to explore the complexity of vehicle dynamics through deep exploration of the bicycle. We will use a mixture of analysis, simulation and experimentation to attempt to understand bicycle dynamics. For the analysis component of the course we will study many original papers on the topic. The experimental aspect of the course will involve building and riding bicycles of different designs. Students in this course should have pre-requisites of Linearity I and either Dynamics or Physics: Mechanics.",ENGR,"
Variable Credits ENGR",3399
 Computer Architecture  ,"This course introduces a broad range of computation structures used in computation, from logic gates to specialized (e.g. DSP, cellular automata) as well as general purpose architectures. Design techniques for quantitatively optimizing performance are also taught. Students build a computer from the ground up.",ENGR,"
4 ENGR",3410
 Digital Signal Processing  ,"Signal processing - the modeling, transformation, and manipulation of signals and their content - underpins virtually all facets of our daily lives due to the coupling of computing and communications in consumer, industrial, and public sector applications. Discrete-time signals, obtained through the sampling of continuous-time signals, and their frequency domain equivalents, can undergo transformation via systems, e.g., finite-duration impulse response (FIR) and infinite-impulse response (IIR) filters. Digital filter design and analysis conjoins such topics as difference equations, the z-transform, stability, frequency response, the discrete Fourier transform, FFT algorithms, windowing, practical implementation structures, A/D and D/A conversion techniques. After researching signal processing applications during the first part of the course, students initiate and realize individual DSP projects by end-of-term.",ENGR,"
4 ENGR",3415
 The Human Connection: Tools and Concepts from Anthropology for Understanding Today's World,"The book 'Wired to Care' opens with the story of a designer who disguised herself as an elderly person to better understand the experiences of the elderly in our society. Author Dev Patnaik explains his interest in this experiment. It comes down to empathy: All of this is to reclaim a very old idea, that quantitative data and facts are no substitute for real-world experience and human connection. Anthropologists have long-argued for the importance of putting oneself in other people shoes for better understanding. The anthropologist Bronislaw Malinowski wrote in 1922 that the goal of the anthropologist is to grasp the native's point of view, his relation to life, to realize his vision of his world."" In this course, students will try out the anthropological methods of participation, observation, interviews, and analysis of cultural materials and texts. This is a hands-on course for students who want to get out and meet people all with the aim of greater understanding. The course focuses on three thematic topics important to our society in the twenty-first century. Past offerings have focused on aging, religion, health, and globalization. The class includes assignments, events, and interactions that will take students off campus (perhaps to the Needham Senior Center, local coffee shops, and to Boston's ethnic neighborhoods) and will include visitors from area institutions.",AHSE,"
4 AHSE",1145
 Introduction to Analog and Digital Communication ,"This course teaches students design techniques for analog and digital communications, including elementary coding and information theory. Topics also include modulation schemes, data compression, error detection and correction, encryption, transmitter and receiver design, and routing protocols. Students build an operative communications link over an unreliable channel.",ENGR,"
4 ENGR",3420
 Mixed Analog,"This course will provide an overview of mixed-signal (analog and digital) integrated circuit design in modern complementary metal-oxide (CMOS) technologies. Students will learn transistor-level design of digital and analog circuits, layout techniques for digital and analog circuit modules, and special physical considerations that arise in a mixed-signal integrated circuit. Students will design a custom mixed-signal integrated circuit that will be sent out for fabrication at the end of the semester if they enroll in MADVLSI II (ENGR3427).",ENGR,"
4 ENGR",3426
 Mixed Analog,"This course will provide an overview of mixed signal testing methodologies, exposure to more advanced integrated circuit topics, and an opportunity to test the custom chips designed in MADVLSI I through the design and fabrication of a custom printed circuit board (PCB) featuring their own integrated circuit. Students will participate in collaborative teaching of some advanced topics in a seminar-style format.",ENGR,"
4 ENGR",3427
 EE Prototyping  ,"Through a series of projects, we will learn to design, build, and debug electronic prototype systems. We will cover multiple aspects of the prototyping process, including circuit and system design, soldering, deadbugging, troubleshooting, component selection, schematic capture, printed-circuit board (PCB) layout, PCB fabrication, PCB assembly, and thermal analysis. We will discuss the tradeoffs among ""faster, better, cheaper"", and explore examples in the realms of analog, digital, RF, and power. In addition to hands-on reverse engineering and fabrication experience, students will learn technical communication through design documentation. This course is approved for use as an advanced ECE elective.",ENGR,"
4 ENGR",3430
 Principles of Wireless Communication ,"Topics covered in the course include wireless channel modelling and characterization, synchronization, multi-antenna techniques, multiple access and OFDM.",ENGR,"
4 ENGR",3440
 Semiconductor Devices  ,"Introduction to semiconductor device fabrication, operation, and design. Emphasis on diodes and transistors, with some exploration of speculative technologies. Students will conduct a project of their own choosing involving either device characterization or device simulation using modern tools.",ENGR,"
4 ENGR",3450
 Special Topics in Electrical & Computer Engineering ,Special Topics in Electrical and Computer Engineering classes (ENGR X499) typically cover a specific topic in Electrical and Computer Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,ENGR,"
Variable Credits ENGR",3499
 Foundations of Computer Science  ,"This course uses applications as vehicles for exploring the formal analytic toolkit of the computer scientist as well as aspects of algorithmic computing and intelligent software design. The course combines elements of automata theory, data structures and algorithms, programming languages, artificial intelligence, information management, and internet programming. ",ENGR,"
4 ENGR",3520
 Software Systems  ,"An introduction to the design and implementation of system-level software, including operating systems, networks, and databases. Topics include processes and threads, memory and storage management, networking and inter-process communication, scheduling and synchronization.",ENGR,"
4 ENGR",3525
 Synchronization  ,"When multiple programs run at the same time, they can interact in complex ways, yielding unpredictable behavior at best and impenetrable bugs at worst. Synchronization is the process of imposing timing constraints in order to guarantee the correct execution of programs. This class presents a series of synchronization ""puzzles"" and gradually develops a set of tools for dealing with even the hairiest synchronization problems.",ENGR,"
2 ENGR",3530
 What is 'I'?  ,This course focuses more on philosophy and artificial intelligence while AHSE 1155: Identity from the Mind and the Brain is more focused on the science of psychology and neuroscience.,AHSE,"
4 AHSE",1150
 Data Science  ,"Data Science lies at the intersection of statistics, machine learning, database design, and data visualization. The goal of this class is to prepare students to work on data science projects that involve collecting data or finding data sources, exploratory data analysis and interactive visualization, statistical analysis and machine learning, predictive analytics, model selection, and validation. Class work includes a substantial project on a real world application of the students' choice; projects might involve work with a social change organization like those on DataKind, or participating in a competition like those on Kaggle.",ENGR,"
2 ENGR",3531
 Computational Modeling  ,"The availability of cheap computation has created a new way of understanding the world. Along with experiment and theory, computational modeling provides new tools for analysis, explanation and prediction. This class looks at the history of this revolution and the technology that underlies it. We will survey a range of literature, from the skeptical to the exuberant, and make a critical evaluation of this putative paradigm shift. Students will learn the skills of computational modeling, with an emphasis on discrete and stochastic models, and apply them to problems in a range of fields including engineering and the natural and social sciences. Basic programming ability, in any language, is a prerequisite.",ENGR,"
4 ENGR",3540
 A Computational Introduction to Robotics ,"This course will provide a computationally-focused introduction to the field of robotics. Students will learn how to both select and design algorithms for solving interesting problems in robotic perception and control. Additionally, students will learn to successfully balance tradeoffs between accuracy of an algorithm and its computational efficiency in both space and time. The course will move from structured labs to more open-ended projects as the semester progresses. Specific content areas that the course may address are: computer vision, machine learning, reinforcement learning, path planning, mapping and localization.",ENGR,"
4 ENGR",3590
 Special Topics in Computing  ," Through a series of projects, we will learn to design and develop computer games in a variety of genres--strategy, puzzle, arcade, adventure--for individual play, adversarial play, and team play. Games may be implemented from scratch or via existing frameworks, where appropriate. In the process, we will learn about and tackle problems in computer graphics, algorithms, programming languages, artificial intelligence, simulation, distributed computing, and security.",ENGR,"
Variable Credits ENGR",3599
 Topics in Bioengineering  ,"Broadly, bioengineering can be defined as the application of engineering concepts and methods to the solution and study of biological and medical problems. Using a case study approach, this course aims to provide students with a broad understanding of the types of problems bioengineers explore as well as the engineering and biological methods they employ. We will approach topics through seminar-style discussion of current primary articles from the literature. Topics to be covered include tissue engineering, use of microfluidic devices for diagnostics, imaging disease states, and prosthetic limbs. In order to explore a topic of particular interest in more depth, students will also write and orally present a research paper on a topic of their choice.",ENGR,"
4 ENGR",3600
 Biomedical Materials  ,"The body is a harsh environment for synthetic materials; not only is it warm, wet, and salty, but there are enzymes and cells whose function is to identify and destroy anything foreign. Conversely, implanted materials can provoke unexpected responses from biological systems. This course is an overview of biological interactions with materials, with a special emphasis on the role of the in vivo milieu on failure in medical devices. Topics will include coagulation, inflammation, and immune responses to materials, cell-surface interactions, and the mechanical interactions of materials and tissue, together with emerging fields such as drug delivery and neuron-silicon interfaces. Readings will be drawn primarily from the current literature.",ENGR,"
4 ENGR",3610
