description,title,Notes,Cross Listed Courses,credits,college,Corequisite,department,Prerequisite
"This is an intensive course designed to enhance and increase the skills and knowledge of digital video technology and aesthetics that comprise the realm of digital video production. There are five specific areas of focus. Scriptwriting, Camera Technique, Sound Design, Green Screen/Composite Video Effects and Advanced Edit-ing Techniques. Students will complete a set of video projects.",IANIM 3580 Live Action for Animators,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"Sound is an intensive course that teaches the fundamentals skills of audio acquisition, sound creation, and digital audio mixing techniques. Students are exposed to a brief history of the role of audio in movies, radio, and TV, touching on the technology and aesthetic components that comprise the use of audio. Students learn by watching and listening to demonstrated techniques and classroom video screenings with discussion. There is extensive hands-on experience in the creation, modification, and editing of audio using Final Cut Express and other existing programs.",IANIM 3600 Audio Production & Design,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course is not for the late sleeper! Over the semester, a number of small production teams conceive, design and shoot a 5 to 10 second spot, or otherwise known as a good old commercial. The techniques used are up to each team who take their ideas from product development, through the creative design phase, to the final shoot and post production.",IANIM 4100 Commercials,,,3,College of Art and Design,,IANIM - Animation / Motion Media,IANIM 2490
"This course introduces students to creating 3D interactive applications using a game engine and game level editor. At a conceptual level students will examine the whole game building process, including game design, architecture of a game engine, 3D asset creation, and level design. We will recreate the basic mechanics of a 3D first person adventure game (e.g. The Legend of Zelda: Twilight Princess). Building on the Computer Animation II course and the knowledge gained in class, students will design and create their own interactive application, which can be anything from a simple game to an interactive art show.",IANIM 4110 Game Production II,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"Success in the animation field depends upon a solid, fundamental knowledge of business standards and practices in order to build a career. This course addresses such issues as strategies in seeking employment, copyright, taxes, contracts, and the studio workplace. Freelance concerns like creating a business plan and making presentations or selling an idea are also dealt with. Students also work together in class with University Career Resource Center personnel on resume, cover letter, and interview skills.",IANIM 4200 Business of Animation,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course is the first of the 2-part Senior Studio, in which you create and complete a final thesis project. Senior Studio I emphasizes pre-production, conceptual development, story, story-boarding and pre-visualization. This course prepares you to complete your final thesis project, and you will continue your work in Senior Studio II.",IANIM 4465 Senior Studio I,,,6,College of Art and Design,,IANIM - Animation / Motion Media,
"This course is an introduction to 3D vector-drawn modeling and animation in the program Autodesk Maya. Basic techniques of modeling, lighting, texture-mapping, and animation are covered. This powerful application allows the student to create hyper-realistic virtual worlds, which can be navigated with ease.",IANIM 4450 Computer Animation II: Maya,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"Through the internship program Animation majors have the opportunity to work in a professional setting, while gaining important on-the-job experience. Internships provide exposure to a wide range of professional art environments, including, but not limited to, animation studios, publishing, or media-based companies. The department will post opportunities or students may make arrangements on their own with prior approval from the chairperson of the department. (3 credits = 180 hours of work)",IANIM 4880 Internship - Animation,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"Through the internship program Video & Animation majors have the opportunity to work in a professional setting, while gaining important on-the-job experience. Internships provide exposure to a wide range of professional art environments, including, but not limited to, illustration studios, publishing, or media-based companies. The department will post opportunities or students may make arrangements on their own with prior approval from the chairperson of the department.",IANIM 4882 Internship/Animation,,,2,College of Art and Design,Take concurrently with Internship Seminar ( IANIM 4885 ),IANIM - Animation / Motion Media,
"Through the internship program Video & Animation majors have the opportunity to work in a professional setting, while gaining important on-the-job experience. Internships provide exposure to a wide range of professional art environments, including, but not limited to, illustration studios, publishing, or media-based companies. The department will post opportunities or students may make arrangements on their own with prior approval from the chairperson of the department.",IANIM 4885 Animation Internship Seminar,,,1,College of Art and Design,Take concurrently with Animation Internship ( IANIM 4882 ),IANIM - Animation / Motion Media,
"This is the ultimate opportunity to produce an animated piece prior to graduation and requires a high degree of conceptual and technical understanding. The student works closely with the instructor at all stages in the area of greatest interest. At the end of the semester the students present a final, completed animation to the Senior Jury.",IANIM 4890 Senior Studio II,,,6,College of Art and Design,,IANIM - Animation / Motion Media,
"During this course, students will go through the steps of creating a for-profit business that ideally, is an extension of their personal art. Students must choose a commercially viable product or service to bring to the marketplace, i.e. custom illustrated snowboards, web site designs, or professional photography services. Through this process you will gain knowledge in several key business areas including management (self, time, product), marketing, and finance. The skills learned are easily transferable to any enterprise regardless of whether you ultimately work for yourself, or within an organization.",IAPRO 2100 Business Skills for Artists and Designers,,,3,College of Art and Design,,IAPRO - Professional Development,
"This is a fundamental course designed to familiarize students with many of the tools and methods used by illustrators working in all parts of the field. Students will begin by exploring systematic and informed content and concept creation from visualization to critical analysis. They will learn the ways that composition, color, value, line and shape express ideas; the ways that technique, medium, craftsmanship and presentation influence the viewer and characterize successful work.",IILLU 1250 Illustration Tools & Methods,,,3,College of Art and Design,,IILLU - Illustration,
"An introductory course in Illustration that explores the wide range of illustration practices in contemporary culture. We'll look at and meet working illustrators, as well as address assignments in both traditional and newly evolving areas of the field from comic books, editorial, children's books, to animation, games, toys, mobile devices and web. We'll explore 2D, 3D, and digital mediums including 4D.",IILLU 1240 Illustration Now,,,3,College of Art and Design,,IILLU - Illustration,
"We will study the criteria of Folk Art as well as create works of art in Folk Art traditions. Through critique, we will look at the formal elements of visual art (line, shape, color, composition, contrast, harmony, repetition, etc.) and meaning, purpose and intent as presented in art works representing a variety of cultures and/or national expressions. In looking at art in the context of the culture and the people that produced it, we will understand more about each, and ultimately draw parallels to the ways we each communicate visually through making objects in our own lives. This course includes studio work, a museum visit, and reading and writing assignments. Students are required to minimally purchase and/or scavenge materials as necessary. The course culminates with a final presentation and studio project.",IILLU 1300 Folk Art & Craft,,,3,College of Art and Design,,IILLU - Illustration,
"This course is a thorough study of the human skeletal and muscular systems. Through lectures and drawings from the figure, skeleton and imagination, students explore the complex issues of figure composition.",IILLU 2100 Anatomy and Figure Drawing,,,3,College of Art and Design,,IILLU - Illustration,
"This class is a follow up to Anatomy & Figure Drawing: It allows students to apply their gained knowledge and acquired drawing skills to create figures in dynamic, active poses. The class will focus on drawing figurative comps (composites) through the direct process of working from a model, as well as indirectly through anatomical and visual research. Emphasis is placed on capturing and exaggerating action in short poses with line drawing, building anatomical form on top and honing skills to create a fluid figure in action and in context.",IILLU 2110 The Dynamic Figure,,,3,College of Art and Design,,IILLU - Illustration,
"An introductory projects course to working sequentially. It includes the basics of illustrating for different book formats, as well as exposure to excellent examples. Students interpret a selected story or narrative in order to develop an idea into a series of images.",IILLU 2130 Sequential Projects,,,3,College of Art and Design,,IILLU - Illustration,
"This course introduces students to the process, terminology and context of letterpress printing. After developing a solid foundation in traditional letterpress techniques such as typesetting, inking and printing on fine papers, we begin to explore experimental techniques and applications, like pressure printing, linoleum cuts, photopolymer plates, layering colors, and combining with digital media. Our course structure is a mixture of lectures, readings, typesetting, hand-printing, design and illustration. The relationship between text and image is central to letterpress and, thus, our projects combine various artistic elements, and may include posters, broadsides, calendars, coasters, cards, fine art and finally, small books.",IILLU 2160 Letterpress Studio,,,3,College of Art and Design,,IILLU - Illustration,
"Illustration is primarily a figurative genre that expresses narrative storytelling and conceptual themes. This class will focus on the basic structure in drawing, linear perspective, light and shade techniques, composition in illustration and indirect picture making using reference. Students are required to demonstrate a firm grasp of the fundamental principals in drawing both directly and indirectly. We will practice drawing character designs, caricature creations, environmental landscape drawing and other pre-production drawing techniques. On site drawing, museum visits and drawing from life with be presented to strengthen the visual vocabulary of each student. Homework assignments will be given to apply each theory discussed or used in class.",IILLU 2221 Drawing for Illustration: Indirect,,,1.5,College of Art and Design,,IILLU - Illustration,
Students learn to develop and utilize an online presence for their work as well as how to network and promote their work in the web environment.,IILLU 2225 Web Promotion,,,1.5,College of Art and Design,,IILLU - Illustration,"Must have taken any Foundation Digital Elective: IFNDN 1110, IFNDN 1120 or IFNDN 1581 "
"Drawing can be done with numerous tools and in many different mediums. This course explores the wide range of drawing styles through different centuries and cultures by practicing many of them in class. Natural, personal drawing vocabulary and calligraphy styles are stressed.",IILLU 2230 Mixed Media Drawing,,,1.5,College of Art and Design,,IILLU - Illustration,
"In a fast growing gaming and computer animation market, the ability to create characters is essential. This course delves into the field, including the creation of characters for the Editorial and Children's Book markets. The works of prominent character artists are widely explored.",IILLU 2240 Character Design Drawing,,,1.5,College of Art and Design,,IILLU - Illustration,
"Illustration is still primarily a figurative medium in which to communicate ideas and concepts. This is a good old fashion figure drawing class where progress occurs through tackling problems with proportion, anatomy, line, and volume in order to freely interpret the figure.",IILLU 2250 Life Drawing,,,1.5,College of Art and Design,,IILLU - Illustration,
"A beginning class in the working process of creating illustration, from interpreting written material to creating thumbnails, roughs, sketches, and comps. Each student assembles a portfolio of step-by-step approaches to solving a wide variety of illustration assignments. There is an emphasis on drawing, conceptual development, and working with art direction.",IILLU 2300 Principles of Illustration,,,3,College of Art and Design,,IILLU - Illustration,
"Students will create a variety of narrative pieces through the use of digital tools such as videos, blogs and social media. Students will learn how to work with digital still and video cameras and their accessories so they can effectively pursue their projects. By working with software both online and on the computer, students will work independently and/or collaboratively developing time-based, media rich content. As a student in this course, you will be guided through these processes in support of your ideas so that you may create content that will tell the stories that interest you.",IILLU 2351 Digital Storytelling,,,1.5,College of Art and Design,,IILLU - Illustration,
This course covers fundamental techniques and develops skills in the use of transparent media in the context of strong composition and illustrative expression.,IILLU 2420 Techniques: Composition & Transparent Media,,,3,College of Art and Design,,IILLU - Illustration,
This course covers fundamental techniques and develops skills in the use of a variety of opaque mediums from painting to collage. Students will understand how to work with 2D opaque mediums to express strong illustrative concepts.,IILLU 2430 Techniques: Opaque Media,,,3,College of Art and Design,,IILLU - Illustration,
"A fundamental techniques course that develops skills in the use of a variety of mixed media techniques. Students will explore and apply techniques such as collage, experimental printmaking, and assemblage to express strong illustrative concepts.",IILLU 2440 Techniques: Mixed Media,,,3,College of Art and Design,,IILLU - Illustration,
Illustration has a unique relationship to graphic design that this course will examine. Students will explore the relationship between type and images as well as between images and page design. Student will develop a basic level of fluency and discernment in the language and application of design with in the many mediums of illustration.,IILLU 2515 Design for Illustration,,,3,College of Art and Design,,IILLU - Illustration,
"This course is an introduction to surface design - the application of illustrative patterns and images to produce surfaces of all kinds. Students will keep sketchbooks, design mood boards, experiment with color and texture to create work for textiles, apparel, rugs, snowboard decks, etc. The course will include an overview of the 20th century arts and crafts movements that influenced decorative surface design as well as how to approach the current marketplace including a look at trends, marketing, and licensing.",IILLU 2530 Surface Design Drawing,,,1.5,College of Art and Design,,IILLU - Illustration,
"Students will explore the breadth of the games industry in today's world and in the recent past. They will play and discuss games that have successfully fused art, play, and technology to create new and engaging experiences outside the major studio circle. Students will learn about interactivity and play, and what is expected of an artist in the field of Indie Games. From concept art to asset creation, students will explore the facets of a production cycle and the basics of creating a game of their own.",IILLU2650 Introduction to Indie Games,,,3,College of Art and Design,,IILLU - Illustration,
"The focus of this course is on risk-taking, discovery, and response as it relates to creating an image without tightly prescribed results. These goals are pursued through the exploration of a variety of media, such as gouache, acrylic, mixed-media, 3-D, and transfer techniques. An atmosphere of artful play and serendipity is promoted, which is then capitalized on by controlled experimentation.",IILLU 2900 Experimental Illustration,,,3,College of Art and Design,,IILLU - Illustration,
"This course introduces three essential software programs for the visual artist: Adobe Photoshop, Adobe Illustration and InDesign. In addition to exploring each program individually, we also learn how to integrate them as stages in a single, greater process that culminates in a final, production-ready document.",IILLU 2910 Digital Trio,,,3,College of Art and Design,,IILLU - Illustration,
"Storytelling has long been a way for us to share our life experiences, ideas and imagination to each other. Combining words, images and sound, the storyteller shares a piece of self and engages the audience in their virtual reality. We live in a unique time in History; a time when storytellers from around the world can share their stories instantly to a massive audience. In this class, students will explore and experiment with the methods and techniques used in storytelling and the new digital technologies available, including Photoshop, PowerPoint and iMovie. No computer experience is necessary, just a willingness to learn, share and create!",IILLU 3100 Digital Storytelling,,,3,College of Art and Design,,IILLU - Illustration,
"An illustrator can be a roving reporter with a pencil and a pad and be called a sketching journalist. That is exactly what this class is about, with Boston as the field! Going on site to document the happenings in the Boston Metro area offers a unique perspective of the people, the buildings, and the surroundings.",IILLU 3130 City Sketchbook,,,1.5,College of Art and Design,,IILLU - Illustration,
"This course combines the love of biological, botanical, and ecological surveys in drawing. Trips to museums and gardens throughout New England challenge students' perceptions about how to include nature in illustrations. Light research is required.",IILLU 3140 Natural History Drawing,,,1.5,College of Art and Design,,IILLU - Illustration,
"Using plant life as the basis for experimentation and journaling, this class gives students an opportunity to explore various techniques and approaches to drawing and painting in a natural setting. Set in a Brookline garden, students will draw, paint, used mixed-media techniques and monotype printmaking. We will include people, plants and objects, and students are encouraged to work in their own styles. Writing or poetry may also be incorporated into the work. Field trips are planned to visit extraordinary environments. This course is relevant to applications for greeting cards, surface design, textiles, advertising and editorial illustration.",IILLU 3141 Nature Illustration,,,1.5,College of Art and Design,,IILLU - Illustration,
"Body Adornment & Fashion Drawing is a drawing course in which students will examine adornments, such as garments, tattoos, piercings, hairstyles, and jewelry, and how they are used as expression and self-identification. Through readings and lectures students will be presented with the cultural context to understand adornment in its many forms, knowledge that will serve them in the development of characters for illustration, sequential narratives, and animation. Students will experiment with a variety of media, drawing from radically clothed models, and developing adornments and fashions of their own.",IILLU 3150 Body Adornment & Fashion Drawing,,,1.5,College of Art and Design,,IILLU - Illustration,
This course is the first of three directed toward construction of a professional portfolio and culminating in Senior Jury. Faculty will help students broaden their awareness of the illustration field and their unique place in it. Students will complete broadly constructed assignments to help them develop their individual interests as illustrators.,IILLU 3165 Junior Studio,,,3,College of Art and Design,,IILLU - Illustration,
"Op-Ed is a course based on editorial assignments (newspapers, magazines, etc.) and the pace of the editorial world. It has a political and world/national events focus and might include illustrating articles from national or international newspapers.",IILLU 3170 Op-Ed Projects,,,1.5,College of Art and Design,,IILLU - Illustration,
"This course covers 3D concepts, techniques, and materials for Illustration projects.",IILLU 3190 3D Projects in Illustration,,,3,College of Art and Design,,IILLU - Illustration,
"An advanced course in 3D concepts, techniques, and materials for Illustration projects, this class emphasizes ambitious self-directed projects and experimentation. This course builds on the basic 3D principles and projects taught in 3D Projects for Illustration, including a variety of fabrication techniques; perspective and scale manipulation for staging used in animation; 3D character development; the critical and applied language and vocabulary of sculptural approaches to illustration. Each student will develop and complete projects with faculty guidance that employ more sophisticated use of 3D materials to create a distinctive voice in this medium.",IILLU 3195 Advanced 3D Projects,,,3,College of Art and Design,,IILLU - Illustration,
"An introduction to the use of Corel Painter as an illustration tool, this course encourages students to explore the use of a variety of exciting, cutting-edge media tools including filters, masks, floating objects, and animation as they create illustrations based on actual jobs, for print and multi-media.",IILLU 3210 Digital Illustration: Painter,,,3,College of Art and Design,,IILLU - Illustration,
"This is an advanced course in which students create and manipulate illustrations in Adobe Photoshop and texture programs. Creative projects involve scanning drawings in the Mac for further manipulation with Photoshop tools, filters, layers, and color adjustments. The focus is on using Photoshop as a very powerful and versatile painting medium.",IILLU 3230 Digital Illustration: Photoshop,,,3,College of Art and Design,,IILLU - Illustration,
The course teaches the skills necessary to create appealing and visually distinctive characters for the illustration/animation industry. It utilizes the visual techniques and psychological knowledge to invent and refine professional character designs.,IILLU 3265 Character Design,,,3,College of Art and Design,,IILLU - Illustration,
"Beyond traditional super-heroic narratives, sequential art in America (and beyond) is wide-open in both content and format. From short, autobiographical meditations to thousand page historical epics, indie and alternative authors create comics from low-tech to polished, from lowbrow to avant-garde. Weekly assignments will push your storytelling skills, while class lectures demonstrate the vast range of comic book genres and production methods. Your comics can be anything you want, and in this class, they will be.",IILLU 3275 Alternative Comix,,,3,College of Art and Design,,IILLU - Illustration,
"The subject of this course is painting as a process and medium for creating finished illustrations. The focus is the use of the medium and varied sources of reference to produce cohesive, articulate, and compelling illustrations. Exploration, experimentation, and the development of personal style are encouraged.",IILLU 3500 Painting for Illustration,,,3,College of Art and Design,,IILLU - Illustration,
"The comic book is an art form that knows no age or social boundaries; it is a feature of popular culture that is present from museum walls to the newsstand. Through historical perspectives and assignments, students explore this visual, narrative art. Issues of content, plot, character development, sequential narrative, and design are addressed. Techniques for creating compelling storyboards for a variety of outlets are also covered.",IILLU 3610 Comic Book and Storyboard,,,3,College of Art and Design,,IILLU - Illustration,
"This is an advanced course dealing with all aspects of illustration for children's and other picture books. Through assignments based on actual jobs, students gain practical experience in various stages of book illustration, from initial conceptualization and manuscript interpretation to presentation and production techniques used in publishing today.",IILLU 3710 Book Illustration,,,3,College of Art and Design,,IILLU - Illustration,
"Toys, Props & Productsis a course that explores illustration as product. The course will consider the industry, culture, markets and studio practice culminating in a complete ready for market product, or product line. Examples of illustrated products include, graphic novels and other books, action figures, plush toys, stickers, magnets, lunchboxes, surface design for bike helmets or sunglasses, etc. Students will approach products in a collaborative manner: brainstorming ideas, markets, production, promotion and funding. Each student or group of students will choose a product or product line to develop from sketch to specs to mock up; research and build a shared list of manufacturers and materials, and markets to approach with their developed ideas and mock-ups.","IILLU 3650 Toys, Props & Products",,,3,College of Art and Design,,IILLU - Illustration,
"Editorial is a course based on editorial assignments (newspapers, magazines, etc.) and the pace of the editorial world. It has a social and cultural focus that might include Illustrating articles from Scientific American, The New Yorker, Rolling Stone or the Boston Phoenix.",IILLU 3811 Editorial Illustration,,,1.5,College of Art and Design,,IILLU - Illustration,
"This course explores the role of the illustrator as cultural commentator. The first part of the semester is dedicated to understanding how to develop an illustration accompanying an article, essay or report. In this section, we absorb current news and learn to translate the concepts into visual metaphors. In the second part of the semester, we examine the elements of craft that comprise successful visual narratives. Structured like a writing workshop, students develop their own nonfiction stories, illustrate and critique them. Throughout the entire course, we explore a history of visual media (e.g. Puck, Scribner's), as well as the current landscape of news and media sources (The Globe, Harper's, New York Times, New Yorker). At the end of the semester, we'll combine our visual essays into a limited edition compendium.",IILLU 3860 Visual Journalism,,,1.5,College of Art and Design,,IILLU - Illustration,
"This course focuses on the transition from student to professional illustrator and is broken into three main components: marketing and self-promotion, real-world experience and how to land and keep jobs. While the subjects overlap in content, we dedicate time to understanding strategies specific to each. Throughout the semester, the course explores potential career choices available after graduation, including agency work, in-house illustration teams and freelance opportunities. It examines methods for marketing one's portfolio both online and off, as well as techniques for professional networking in a connected world. Students research subjects critical to the professional illustrator, including marketing, networking, agency representation, ethical guidelines, pricing and contracts, client management, participating in the illustration community and maintaining a successful studio practice. The course structure combines readings, lectures, visiting speakers, real-world illustration work and developing and marketing a portfolio website.",IILLU 3960 The Working Illustrator,,,3,College of Art and Design,,IILLU - Illustration,
"Course number is assigned when paperwork is submitted to the Registrar's Office. The student assists a faculty member with the weekly preparation and instruction of a class. Duties may include research, slide show preparation, demonstrations, instructing, and assisting in critiques. This position provides valuable experience and insight into the teaching profession, and strengthens the student's abilities to articulate and communicate visual concepts. Additionally, this position provides the opportunity for developing mentor relationships. Participation in this course is limited to students selected by the faculty of the specific course and/or the Department Chair.",IILLU 4089 Studio Assistantship,,,1.5,College of Art and Design,,IILLU - Illustration,
"The primary objective in this class is story telling with visual images in a sequential pattern. The industry standards of storyboards, graphic novels, comic book funnies, directing manuals and picture books are explored. In addition to image sequencing, basic drawing elements are reviewed by creating multi-figured compositions and narratives as examples.",IILLU 4100 Drawing Images in a Series,,,3,College of Art and Design,,IILLU - Illustration,
"A workshop course devoted to learning the software and settings for making high quality digital prints in the Digital Printing Studio at AIB. This course serves the needs of Portfolio, but can be taken earlier.",IILLU 4214 Digital Production,,,1,College of Art and Design,,IILLU - Illustration,
"This course presents an exploration into the meshing of numerous computer programs to create individual approaches for the creation of unique 2D digital illustration. The student gains a deeper knowledge of the programs and the process of creating digital art. Among the programs addressed are Adobe Photoshop; Adobe Illustrator; Corel Painter; Corel KPT 3, 5, 6; Texture Creator; and Curious Labs Poser. This is an advanced level course with an expectation that students have a firm grasp of Photoshop as a painting medium.",IILLU 4230 Advanced Computer Illustration,,,3,College of Art and Design,,IILLU - Illustration,
"A course designed to help students critically evaluate and refine their portfolios in preparation for graduation. In addition to revising existing work, students are assigned individual projects to augment their presentations. The course covers all aspects of presenting a portfolio and oneself to a potential client. Portfolios are presented to a senior jury composed of area professionals at the close of the semester. Senior illustration students: Portfolio is taken only in the last semester prior to graduation.",IILLU 4310 Portfolio for Illustration/Senior Jury,Taken in last semester ,,3,College of Art and Design,,IILLU - Illustration,
"In this class, students develop self-initiated projects under strong faculty guidance. Upon completion of a studio project, each student gives a public digital presentation. The purpose of this class is to encourage a strong sense of self-direction and personal vision, as well as an effective professional practice.",IILLU 4315 Senior Studio,Taken first semester of senior year ,,3,College of Art and Design,,IILLU - Illustration,
